,rust-lang/rust,swiftlang/swift,golang/go
2010-09-12,-0.3286521529312496,0,16
2010-09-13,-0.1780771999999997,0,10
2010-09-14,3.9305894675,0,10
2010-09-15,1.8053498266874994,0,6
2010-09-16,13.737181413084375,0,14
2010-09-17,-5.911512636804688,0,3
2010-09-18,-2.273777415728124,2,2
2010-09-19,-1.344239625948437,0,3
2010-09-20,0.08728069698437502,0,16
2010-09-21,11.007106051251561,0,5
2010-09-22,3.753710107939062,0,17
2010-09-23,-0.15424031322656262,0,12
2010-09-24,4.89747637881875,0,29
2010-09-25,-4.025004861725,0,2
2010-09-26,-1.7792238624999992,0,0
2010-09-27,1.8272603762500004,0,12
2010-09-28,3.2302080982343746,0,10
2010-09-29,-1.5016476544203128,0,14
2010-09-30,3.44440931208125,0,16
2010-10-01,-0.34681986292500033,0,5
2010-10-02,-0.6558206370562503,0,0
2010-10-03,-1.1747736433624998,0,1
2010-10-04,0.37219111625,0,3
2010-10-05,1.2458763684531249,0,2
2010-10-06,3.939901590223437,0,13
2010-10-07,0.9756378733203124,0,13
2010-10-08,4.261675092939063,0,2
2010-10-09,6.358826976554687,17,1
2010-10-10,-1.8350774057312496,11,0
2010-10-11,-0.2501911619828121,3,11
2010-10-12,9.154168673234375,3,16
2010-10-13,2.6212501969859368,0,9
2010-10-14,3.97508534345625,0,10
2010-10-15,-2.368084121460937,4,10
2010-10-16,-1.710915729042187,0,2
2010-10-17,-1.9029274527875002,4,4
2010-10-18,7.798650062373437,1,14
2010-10-19,1.4919966912531248,0,7
2010-10-20,0.9346384728624999,0,17
2010-10-21,12.251005272079688,0,17
2010-10-22,6.137744463245312,0,12
2010-10-23,1.9593272368562502,0,0
2010-10-24,-5.114322555731249,1,1
2010-10-25,-2.5759216894828114,0,11
2010-10-26,3.2654459803593747,0,14
2010-10-27,-0.8046193354234381,0,8
2010-10-28,5.9420846105234375,0,14
2010-10-29,-3.613718589415626,0,7
2010-10-30,-1.7057424896796878,0,4
2010-10-31,-0.9949409429187503,0,4
2010-11-01,-0.6058121183625002,0,18
2010-11-02,1.62088990625,0,6
2010-11-03,8.096454968671875,0,6
2010-11-04,-0.16132868969531255,0,10
2010-11-05,5.881819439409375,0,14
2010-11-06,5.5605076941375,0,4
2010-11-07,-4.139403,0,0
2010-11-08,0.14446852500000085,0,6
2010-11-09,0.20659694000000028,0,5
2010-11-10,-0.6814359847812499,0,9
2010-11-11,0.6903417513937498,5,4
2010-11-12,1.5646081781078123,0,8
2010-11-13,-0.6476449375734379,0,3
2010-11-14,5.868277518246875,0,0
2010-11-15,-1.700272241595313,0,0
2010-11-16,-0.36737684353124966,0,0
2010-11-17,-1.0752625087468748,0,2
2010-11-18,0.37384157176875,0,8
2010-11-19,3.2668062194859373,0,5
2010-11-20,3.3683969619875,0,1
2010-11-21,3.7781710147859373,0,1
2010-11-22,3.2298789331578126,0,4
2010-11-23,3.9522118668546877,0,2
2010-11-24,0.5405655075015625,0,1
2010-11-25,7.192759613017188,4,0
2010-11-26,5.536093375734375,0,1
2010-11-27,-3.0590208240453123,1,1
2010-11-28,-3.0008378042593744,0,1
2010-11-29,3.2346069532421877,1,5
2010-11-30,3.2795873537593745,0,10
2010-12-01,2.7961972832437496,0,4
2010-12-02,4.632087377807812,0,9
2010-12-03,9.9629522169125,0,5
2010-12-04,-1.1190920974843763,0,0
2010-12-05,-4.149288378359374,0,3
2010-12-06,-1.1192598702156245,0,13
2010-12-07,7.269650598671875,0,28
2010-12-08,1.1149360907421872,0,29
2010-12-09,8.692547705009375,0,17
2010-12-10,4.709017141478125,0,5
2010-12-11,5.62558954066875,0,1
2010-12-12,-1.8251269815875002,0,4
2010-12-13,5.123046647585938,0,18
2010-12-14,2.1643355069843757,0,17
2010-12-15,8.447379417126562,0,14
2010-12-16,3.6799970370765624,0,17
2010-12-17,-0.9659433923515621,0,12
2010-12-18,1.5044586623000002,0,0
2010-12-19,-4.24598912425,0,0
2010-12-20,4.738005836126563,0,2
2010-12-21,3.4124087674281243,0,2
2010-12-22,2.062782829795312,0,0
2010-12-23,-1.7372797605828127,0,5
2010-12-24,-0.4974605834328125,0,1
2010-12-25,2.01485939134375,0,0
2010-12-26,-2.3041601542578127,0,0
2010-12-27,-1.1748139331468748,0,3
2010-12-28,-0.7612886086093752,0,0
2010-12-29,0.41338322251093707,0,0
2010-12-30,6.3062985342765625,0,1
2010-12-31,14.550708089571874,0,0
2011-01-01,-5.029249354996875,0,0
2011-01-02,-2.6323361935281238,0,0
2011-01-03,7.518308597068751,0,2
2011-01-04,10.3264148875,0,13
2011-01-05,-1.8723300612500005,0,14
2011-01-06,2.2204274544843763,0,6
2011-01-07,1.1152625531578129,0,8
2011-01-08,-1.581702601395313,0,5
2011-01-09,-2.515056004223437,0,3
2011-01-10,10.622513048017188,0,5
2011-01-11,0.4004502666093739,0,15
2011-01-12,6.451034726185937,0,16
2011-01-13,-3.7822631073218753,0,11
2011-01-14,4.579607952725,0,11
2011-01-15,-1.5562541107250007,0,1
2011-01-16,-2.323767099695312,0,3
2011-01-17,5.665076576034375,0,1
2011-01-18,3.952026655062499,0,14
2011-01-19,1.4213951073781246,0,31
2011-01-20,3.880451954929687,0,32
2011-01-21,4.346389009656249,0,9
2011-01-22,-2.084314228092188,0,3
2011-01-23,-2.555157613660937,0,0
2011-01-24,3.5614274697843755,0,10
2011-01-25,1.4914160038906248,0,12
2011-01-26,3.4929396837609374,0,12
2011-01-27,7.929644207292187,0,13
2011-01-28,2.2539135014765623,0,7
2011-01-29,-4.181263424254688,0,4
2011-01-30,0.9938189481062505,0,4
2011-01-31,1.8483143547843754,0,16
2011-02-01,2.5820418961718747,0,24
2011-02-02,6.1922011867734374,0,18
2011-02-03,-1.1045775022750002,0,23
2011-02-04,-0.7811560300687503,1,13
2011-02-05,-2.1005906504203127,0,6
2011-02-06,-1.1436429138796873,0,0
2011-02-07,4.253166692203125,0,6
2011-02-08,-1.078056988010938,0,7
2011-02-09,8.741384211990624,0,25
2011-02-10,6.2832589366953115,0,11
2011-02-11,4.481892083107812,0,16
2011-02-12,-4.606267423229687,0,3
2011-02-13,-2.114916388965624,0,2
2011-02-14,3.6476052687500005,0,9
2011-02-15,8.510185517421874,0,7
2011-02-16,2.4013426045703117,0,19
2011-02-17,-3.1239510808890625,0,14
2011-02-18,0.6444707362656255,0,13
2011-02-19,1.7093866667812492,0,2
2011-02-20,-2.4212152815953125,0,1
2011-02-21,-0.19758010624999933,0,5
2011-02-22,2.860912617421875,10,10
2011-02-23,10.046646520664062,0,24
2011-02-24,3.4522645758296866,0,10
2011-02-25,7.800881619354688,0,17
2011-02-26,0.5185870914703123,3,1
2011-02-27,-4.2643689692609374,1,0
2011-02-28,-0.1883573766812492,0,7
2011-03-01,6.952211838234375,4,9
2011-03-02,23.001557534704688,6,11
2011-03-03,5.9817957058812485,0,14
2011-03-04,3.091987847081251,1,10
2011-03-05,-4.720334549549999,0,10
2011-03-06,1.231307265612501,1,12
2011-03-07,13.397010460603125,2,31
2011-03-08,9.00307381521875,0,19
2011-03-09,14.12147203139375,0,12
2011-03-10,6.780255448232811,0,14
2011-03-11,6.3541440019640625,0,14
2011-03-12,-6.1806392091625,0,6
2011-03-13,-4.228412026590624,4,2
2011-03-14,22.688993119707813,7,4
2011-03-15,1.0092581275718722,2,13
2011-03-16,6.410627305543752,0,20
2011-03-17,0.10120589943281288,7,16
2011-03-18,16.853575490114064,4,7
2011-03-19,4.041306806793749,3,1
2011-03-20,3.5244967729796883,7,1
2011-03-21,23.4124299222875,9,8
2011-03-22,14.8785793483625,20,11
2011-03-23,8.799616872776564,4,18
2011-03-24,2.7525758759718766,0,7
2011-03-25,17.83210759311719,0,19
2011-03-26,-9.419062740220314,3,6
2011-03-27,1.6571279221781268,3,3
2011-03-28,-0.8029747889453134,0,11
2011-03-29,9.584739802723437,0,31
2011-03-30,2.5270742578468735,0,8
2011-03-31,14.723231285123436,0,10
2011-04-01,14.875967759896874,0,3
2011-04-02,-6.9265771579265625,2,6
2011-04-03,2.2167661411718758,0,3
2011-04-04,-6.2609577163187495,1,13
2011-04-05,3.687133966564063,2,20
2011-04-06,0.744779886621874,0,11
2011-04-07,17.257795152604686,0,10
2011-04-08,13.795895263096874,0,24
2011-04-09,-7.9897856577609385,1,1
2011-04-10,-4.764019644646874,13,2
