,pytorch/pytorch,tensorflow/tensorflow,apache/mxnet
2017-04-22,8,16,2
2017-04-23,4,4,0
2017-04-24,23,16,10
2017-04-25,23,28,9
2017-04-26,18,40,9
2017-04-27,11,59,12
2017-04-28,40,50,4
2017-04-29,7,21,0
2017-04-30,3,8,5
2017-05-01,68,49,8
2017-05-02,25,48,4
2017-05-03,27,32,3
2017-05-04,18,52,9
2017-05-05,13,41,1
2017-05-06,4,29,8
2017-05-07,4,8,1
2017-05-08,25,10,8
2017-05-09,26,2,5
2017-05-10,24,65,11
2017-05-11,8,90,11
2017-05-12,12,79,9
2017-05-13,1,8,7
2017-05-14,2,6,5
2017-05-15,12,43,6
2017-05-16,9,50,11
2017-05-17,17,65,19
2017-05-18,11,59,13
2017-05-19,15,65,19
2017-05-20,6,11,11
2017-05-21,3,11,5
2017-05-22,6,44,5
2017-05-23,13,59,13
2017-05-24,23,55,10
2017-05-25,32,51,11
2017-05-26,16,63,18
2017-05-27,1,32,3
2017-05-28,1,7,0
2017-05-29,0,9,0
2017-05-30,15,33,5
2017-05-31,15,64,6
2017-06-01,16,50,6
2017-06-02,44,41,7
2017-06-03,5,12,7
2017-06-04,2,2,1
2017-06-05,19,31,3
2017-06-06,24,84,5
2017-06-07,36,63,3
2017-06-08,13,46,4
2017-06-09,10,55,8
2017-06-10,5,11,4
2017-06-11,70,10,0
2017-06-12,8,18,5
2017-06-13,30,73,4
2017-06-14,20,99,7
2017-06-15,29,33,2
2017-06-16,13,63,6
2017-06-17,49,5,2
2017-06-18,0,2,2
2017-06-19,20,32,7
2017-06-20,18,55,7
2017-06-21,29,63,2
2017-06-22,32,68,6
2017-06-23,18,39,5
2017-06-24,13,9,1
2017-06-25,0,3,1
2017-06-26,13,47,2
2017-06-27,16,59,6
2017-06-28,17,42,11
2017-06-29,17,43,1
2017-06-30,10,44,5
2017-07-01,2,14,6
2017-07-02,4,7,0
2017-07-03,17,5,4
2017-07-04,17,16,2
2017-07-05,10,24,5
2017-07-06,7,71,4
2017-07-07,13,54,1
2017-07-08,5,12,1
2017-07-09,3,2,0
2017-07-10,18,35,6
2017-07-11,25,39,7
2017-07-12,30,47,29
2017-07-13,45,45,9
2017-07-14,32,41,9
2017-07-15,4,11,2
2017-07-16,3,5,4
2017-07-17,11,20,2
2017-07-18,20,50,3
2017-07-19,31,41,3
2017-07-20,19,44,10
2017-07-21,19,51,6
2017-07-22,4,12,1
2017-07-23,6,2,1
2017-07-24,10,41,1
2017-07-25,60,83,5
2017-07-26,26,42,3
2017-07-27,24,46,4
2017-07-28,8,48,5
2017-07-29,6,10,2
2017-07-30,2,8,5
2017-07-31,8,41,7
2017-08-01,22,33,14
2017-08-02,16,53,7
2017-08-03,19,51,19
2017-08-04,18,106,7
2017-08-05,0,11,3
2017-08-06,11,3,2
2017-08-07,11,32,4
2017-08-08,13,36,7
2017-08-09,24,52,7
2017-08-10,16,69,8
2017-08-11,7,48,2
2017-08-12,5,9,7
2017-08-13,1,1,2
2017-08-14,18,33,3
2017-08-15,22,36,5
2017-08-16,32,48,5
2017-08-17,19,60,2
2017-08-18,17,49,5
2017-08-19,4,13,1
2017-08-20,1,4,1
2017-08-21,8,39,4
2017-08-22,13,40,3
2017-08-23,19,40,7
2017-08-24,21,66,14
2017-08-25,50,46,3
2017-08-26,14,12,6
2017-08-27,6,5,4
2017-08-28,9,50,4
2017-08-29,13,48,11
2017-08-30,26,49,13
2017-08-31,21,27,7
2017-09-01,16,28,4
2017-09-02,6,8,4
2017-09-03,2,27,1
2017-09-04,3,22,7
2017-09-05,250,68,5
2017-09-06,22,52,9
2017-09-07,44,68,9
2017-09-08,25,61,9
2017-09-09,6,9,10
2017-09-10,9,3,16
2017-09-11,22,33,9
2017-09-12,16,42,5
2017-09-13,38,50,5
2017-09-14,19,48,1
2017-09-15,18,53,4
2017-09-16,2,21,0
2017-09-17,18,13,6
2017-09-18,14,40,4
2017-09-19,38,52,4
2017-09-20,29,55,6
2017-09-21,30,40,3
2017-09-22,21,57,9
2017-09-23,9,15,2
2017-09-24,6,11,8
2017-09-25,19,27,15
2017-09-26,21,58,10
2017-09-27,11,60,9
2017-09-28,30,76,4
2017-09-29,8,60,9
2017-09-30,16,14,2
2017-10-01,1,7,6
2017-10-02,16,58,3
2017-10-03,22,56,4
2017-10-04,17,73,7
2017-10-05,36,67,2
2017-10-06,28,69,4
2017-10-07,11,16,2
2017-10-08,3,9,3
2017-10-09,5,28,4
2017-10-10,32,54,10
2017-10-11,23,32,8
2017-10-12,21,56,2
2017-10-13,26,68,9
2017-10-14,9,10,7
2017-10-15,3,12,4
2017-10-16,22,54,4
2017-10-17,7,40,7
2017-10-18,12,48,4
2017-10-19,18,51,0
2017-10-20,41,57,0
2017-10-21,2,11,7
2017-10-22,4,7,2
2017-10-23,10,44,1
2017-10-24,27,39,1
2017-10-25,13,65,6
2017-10-26,31,53,2
2017-10-27,9,66,5
2017-10-28,19,17,7
2017-10-29,1,4,0
2017-10-30,16,44,3
2017-10-31,25,59,3
2017-11-01,26,38,4
2017-11-02,298,49,4
2017-11-03,20,40,4
2017-11-04,10,25,3
2017-11-05,1,22,4
2017-11-06,16,44,4
2017-11-07,24,66,7
2017-11-08,23,75,9
2017-11-09,21,76,5
2017-11-10,35,34,5
2017-11-11,6,175,6
2017-11-12,3,6,2
2017-11-13,15,37,9
2017-11-14,29,76,1
2017-11-15,26,42,6
2017-11-16,21,71,8
2017-11-17,13,68,3
2017-11-18,7,22,3
2017-11-19,2,2,10
2017-11-20,11,41,8
2017-11-21,17,51,9
2017-11-22,11,81,16
2017-11-23,6,26,2
2017-11-24,7,2,2
2017-11-25,0,5,7
2017-11-26,4,2,2
2017-11-27,12,29,5
2017-11-28,17,61,4
2017-11-29,21,60,0
2017-11-30,19,52,9
2017-12-01,17,53,3
2017-12-02,8,24,8
2017-12-03,4,5,0
2017-12-04,22,63,6
2017-12-05,19,44,3
2017-12-06,16,63,5
2017-12-07,12,77,2
2017-12-08,10,50,8
2017-12-09,2,19,15
2017-12-10,2,20,5
2017-12-11,11,43,2
2017-12-12,8,50,7
2017-12-13,12,52,7
2017-12-14,21,55,9
2017-12-15,26,83,11
2017-12-16,9,20,5
2017-12-17,1,5,0
2017-12-18,32,58,13
2017-12-19,11,74,6
2017-12-20,22,110,5
2017-12-21,18,74,6
2017-12-22,14,63,4
2017-12-23,12,14,1
2017-12-24,1,3,0
2017-12-25,1,2,3
2017-12-26,2,23,0
2017-12-27,7,21,6
2017-12-28,9,22,6
2017-12-29,7,18,1
2017-12-30,4,6,5
2017-12-31,2,17,1
2018-01-01,2,17,2
2018-01-02,17,33,11
2018-01-03,19,57,9
2018-01-04,33,59,14
2018-01-05,9,62,9
2018-01-06,11,13,0
2018-01-07,2,5,2
2018-01-08,13,17,2
2018-01-09,12,55,5
2018-01-10,11,60,5
2018-01-11,26,74,4
2018-01-12,12,56,10
2018-01-13,6,45,3
2018-01-14,5,3,1
2018-01-15,2,11,20
2018-01-16,16,39,8
2018-01-17,11,56,5
2018-01-18,14,60,3
2018-01-19,22,80,2
2018-01-20,11,18,4
2018-01-21,2,5,2
2018-01-22,13,36,29
2018-01-23,25,96,4
2018-01-24,22,96,5
2018-01-25,20,89,6
2018-01-26,14,98,7
2018-01-27,8,25,11
2018-01-28,6,14,2
2018-01-29,20,76,4
2018-01-30,18,89,4
2018-01-31,17,18,15
2018-02-01,15,91,6
2018-02-02,18,110,5
2018-02-03,8,39,3
2018-02-04,6,15,2
2018-02-05,17,51,4
2018-02-06,26,63,4
2018-02-07,20,64,6
2018-02-08,23,99,2
2018-02-09,15,42,5
2018-02-10,3,15,3
2018-02-11,0,11,2
2018-02-12,22,68,1
2018-02-13,26,54,8
2018-02-14,21,56,1
2018-02-15,17,66,4
2018-02-16,14,85,0
2018-02-17,4,15,1
2018-02-18,5,6,1
2018-02-19,1,13,4
2018-02-20,16,49,3
2018-02-21,17,68,4
2018-02-22,10,55,3
2018-02-23,22,52,6
2018-02-24,14,29,0
2018-02-25,7,7,2
2018-02-26,22,50,5
2018-02-27,25,107,8
2018-02-28,22,49,8
2018-03-01,32,54,8
2018-03-02,29,70,2
2018-03-03,13,6,4
2018-03-04,6,18,2
2018-03-05,12,53,4
2018-03-06,34,63,4
2018-03-07,17,83,2
2018-03-08,23,93,9
2018-03-09,42,72,4
2018-03-10,17,13,5
2018-03-11,3,14,1
2018-03-12,19,53,0
2018-03-13,11,70,3
2018-03-14,15,58,5
2018-03-15,26,76,1
2018-03-16,10,59,6
2018-03-17,16,21,2
2018-03-18,2,15,1
2018-03-19,27,42,1
2018-03-20,44,76,12
2018-03-21,17,62,4
2018-03-22,22,74,14
2018-03-23,33,38,5
2018-03-24,11,6,2
2018-03-25,5,52,1
2018-03-26,15,46,7
2018-03-27,28,80,8
2018-03-28,53,79,6
2018-03-29,18,77,3
2018-03-30,19,76,3
2018-03-31,32,7,9
2018-04-01,0,5,5
2018-04-02,14,46,12
2018-04-03,19,61,8
2018-04-04,17,61,6
2018-04-05,24,62,15
2018-04-06,18,67,9
2018-04-07,9,29,1
2018-04-08,2,2,4
2018-04-09,15,54,11
2018-04-10,33,86,15
2018-04-11,14,84,15
2018-04-12,22,116,6
2018-04-13,11,89,3
2018-04-14,5,20,2
2018-04-15,3,3,3
2018-04-16,21,92,5
2018-04-17,29,138,8
2018-04-18,27,89,7
2018-04-19,34,109,4
2018-04-20,23,99,2
2018-04-21,12,16,3
2018-04-22,9,23,0
2018-04-23,22,66,8
2018-04-24,17,74,8
2018-04-25,30,73,9
2018-04-26,30,77,8
2018-04-27,17,43,25
2018-04-28,15,35,3
2018-04-29,5,12,4
2018-04-30,23,59,7
2018-05-01,42,56,8
2018-05-02,16,65,6
2018-05-03,22,40,5
2018-05-04,34,56,8
2018-05-05,3,25,2
2018-05-06,3,2,1
2018-05-07,11,37,7
2018-05-08,26,74,6
2018-05-09,20,70,9
2018-05-10,26,69,7
2018-05-11,11,53,9
2018-05-12,6,10,0
2018-05-13,21,6,2
2018-05-14,12,57,6
2018-05-15,25,47,10
2018-05-16,28,74,3
2018-05-17,15,85,9
2018-05-18,24,57,5
2018-05-19,7,16,0
2018-05-20,4,6,1
2018-05-21,14,43,4
2018-05-22,10,67,3
2018-05-23,17,55,5
2018-05-24,19,88,5
2018-05-25,17,47,4
2018-05-26,10,17,0
2018-05-27,0,8,2
2018-05-28,1,8,1
2018-05-29,26,59,6
2018-05-30,23,64,6
2018-05-31,22,67,5
2018-06-01,25,71,2
2018-06-02,13,17,4
2018-06-03,2,8,2
2018-06-04,22,90,4
2018-06-05,17,79,5
2018-06-06,35,67,6
2018-06-07,30,73,9
2018-06-08,24,65,3
2018-06-09,6,14,0
2018-06-10,7,1,4
2018-06-11,13,49,4
2018-06-12,21,80,6
2018-06-13,25,105,3
2018-06-14,31,71,12
2018-06-15,23,78,8
2018-06-16,4,19,2
2018-06-17,0,10,6
2018-06-18,18,62,6
2018-06-19,23,93,3
2018-06-20,33,78,6
2018-06-21,21,82,5
2018-06-22,22,97,2
2018-06-23,3,26,1
2018-06-24,2,9,0
2018-06-25,17,63,9
2018-06-26,20,90,5
2018-06-27,15,70,4
2018-06-28,22,77,19
2018-06-29,19,204,23
2018-06-30,7,16,10
2018-07-01,4,5,5
2018-07-02,9,79,14
2018-07-03,11,108,7
2018-07-04,3,24,4
2018-07-05,7,14,1
2018-07-06,18,33,5
2018-07-07,1,6,3
2018-07-08,5,21,2
2018-07-09,15,66,3
2018-07-10,19,67,5
2018-07-11,20,83,7
2018-07-12,16,71,9
2018-07-13,17,70,13
2018-07-14,8,26,1
2018-07-15,2,13,4
2018-07-16,12,68,9
2018-07-17,21,66,6
2018-07-18,29,92,13
2018-07-19,15,87,9
2018-07-20,17,76,8
2018-07-21,5,21,3
2018-07-22,3,12,6
2018-07-23,18,55,2
2018-07-24,23,92,8
2018-07-25,25,69,9
2018-07-26,22,77,3
2018-07-27,31,47,3
2018-07-28,12,15,2
2018-07-29,2,12,4
2018-07-30,21,54,6
2018-07-31,25,78,6
2018-08-01,40,72,7
2018-08-02,30,61,7
2018-08-03,25,60,12
2018-08-04,14,17,10
2018-08-05,4,3,1
2018-08-06,12,67,2
2018-08-07,22,69,4
2018-08-08,3,61,11
2018-08-09,16,131,12
2018-08-10,17,89,14
2018-08-11,4,42,5
2018-08-12,3,12,7
2018-08-13,18,53,4
2018-08-14,27,83,3
2018-08-15,38,69,14
2018-08-16,23,73,7
2018-08-17,24,58,16
2018-08-18,3,21,5
2018-08-19,2,15,3
2018-08-20,17,50,12
2018-08-21,12,90,11
2018-08-22,26,102,14
2018-08-23,24,84,12
2018-08-24,23,85,10
2018-08-25,6,32,4
2018-08-26,2,7,4
2018-08-27,15,54,8
2018-08-28,25,73,3
2018-08-29,39,58,5
2018-08-30,26,69,3
2018-08-31,41,97,4
2018-09-01,3,24,3
2018-09-02,15,4,0
2018-09-03,3,15,4
2018-09-04,15,68,1
2018-09-05,36,87,4
2018-09-06,31,85,0
2018-09-07,39,76,2
2018-09-08,11,33,3
2018-09-09,9,7,0
2018-09-10,17,53,8
2018-09-11,35,77,5
2018-09-12,52,71,10
2018-09-13,37,88,9
2018-09-14,34,57,3
2018-09-15,1,9,3
2018-09-16,4,8,0
2018-09-17,24,70,3
2018-09-18,31,53,10
2018-09-19,26,74,7
2018-09-20,21,65,14
2018-09-21,27,76,10
2018-09-22,6,36,2
2018-09-23,2,13,2
2018-09-24,10,71,4
