period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
3_month_shifted,T2,107_0,730,7,8.653938035046892,9.075994885141723,8.816927793411168,10,35.36360911971116,0.12989232331174524
3_month_shifted,T3,107_0,1095,15,8.949360094555326,9.58629606879266,9.190534102562765,30,148.29338344116144,0.20492797183897896
3_month_shifted,T4,107_0,1461,7,8.458110497395591,8.698949171378603,8.54799626516019,10,41.038580993249695,0.040835559730955436
original,T1,107_1,366,13,4.2991706125595535,5.6190975265649765,4.824492843271459,26,85.88880639524969,0.9862335480930786
original,T2,107_1,731,12,5.044903424128882,5.753951606437027,5.318705642945759,24,80.54664675092299,0.9777018163595816
original,T3,107_1,1096,12,4.338531816190307,4.850470985254092,4.532367362853892,24,97.60459163062102,0.7535245044625156
original,T4,107_1,1461,12,3.6844692361089275,4.089516096898538,3.835640754622116,24,118.58442110103374,0.22876094720901252
1_month_shifted,T1,107_1,366,13,4.692896810654713,6.012823724660137,5.218219041366619,26,70.0318589269729,0.999822336441671
1_month_shifted,T2,107_1,731,12,5.0299593448520765,5.739007527160221,5.303761563668954,24,83.59237256179043,0.9607251279710145
1_month_shifted,T3,107_1,1096,12,4.289226390597298,4.801165559661083,4.483061937260882,24,100.72194039454043,0.6776550123769506
1_month_shifted,T4,107_1,1461,8,3.5971106196358087,3.87079093098014,3.699253537550125,10,20.28503279742239,0.3170032346322786
2_month_shifted,T1,107_1,365,12,5.1608724586390045,6.384388401918044,5.647875024050947,24,66.9798438761612,0.9993247171445021
2_month_shifted,T2,107_1,730,12,4.860712731989861,5.570535616240259,5.13483187105705,24,82.9746770768396,0.9647909708054111
2_month_shifted,T3,107_1,1095,12,4.126156255215289,4.638474321449666,4.320144044264752,24,96.32180326411029,0.7821257009776545
2_month_shifted,T4,107_1,1461,12,3.4702203027375313,3.875267163527142,3.62139182125072,24,116.20286517498796,0.27769606427651533
3_month_shifted,T1,107_1,365,13,5.228176434168692,6.550896372848735,5.754665694073493,26,85.37557330181505,0.9876250303555819
3_month_shifted,T2,107_1,730,12,4.882080495627045,5.591903379877444,5.156199634694234,24,85.30277150986666,0.9475854734006296
3_month_shifted,T3,107_1,1095,12,4.104170247760832,4.616488313995209,4.298158036810294,24,100.04061194186346,0.6949074912345098
3_month_shifted,T4,107_1,1461,12,3.450542565105415,3.8555894258950256,3.6017140836186035,24,119.65880722763197,0.2085692864774997
original,T1,107_2,366,15,-3.0050264695743616,-1.487110518468124,-2.4009059042556693,30,105.89932337191337,0.9696566306179479
original,T2,107_2,731,14,-2.9203768547436035,-2.096347886115219,-2.602174276118584,28,78.85560844760538,0.9996718095363322
original,T3,107_2,1096,7,-2.60880888530104,-2.304412622614465,-2.493555317014584,10,17.381357928000195,0.9212920204203051
1_month_shifted,T1,107_2,366,15,-3.2341767636520613,-1.7162608125458236,-2.630056198333369,30,101.35927705836221,0.9863038857968881
1_month_shifted,T2,107_2,731,14,-2.389747928243637,-1.5657189596152525,-2.0715453496186176,28,85.38076276136402,0.9978657206529182
1_month_shifted,T3,107_2,1096,7,-2.6621902940552395,-2.3577940313686643,-2.546936725768784,10,20.163118194416285,0.8238414913792558
2_month_shifted,T1,107_2,365,4,-4.118580043487592,-3.6886960634165775,-3.947471034018531,10,38.91729727680367,0.9391985070460664
2_month_shifted,T2,107_2,730,7,-2.6136048545989485,-2.1915480045041167,-2.4506150962346736,10,17.176299819110426,0.9266836885212024
2_month_shifted,T3,107_2,1095,14,-2.642792815736525,-2.0473961441668433,-2.417347547381744,28,108.26424530411477,0.8711656356034405
3_month_shifted,T1,107_2,365,15,-3.773797720322809,-2.25266979084076,-3.1683350714322867,30,100.12272896237295,0.9892058943335027
3_month_shifted,T2,107_2,730,7,-2.483874694111239,-2.061817844016407,-2.320884935746964,10,14.609373454789884,0.9745615905757558
3_month_shifted,T3,107_2,1095,14,-2.658347300255531,-2.0629506286858494,-2.43290203190075,28,107.10490717929035,0.8874414274064013
