,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2015-08-09,0,-3.891613940029687,0
2015-08-10,6,24.534478652575004,5
2015-08-11,3,45.4704260286625,8
2015-08-12,19,3.328826858857812,7
2015-08-13,9,24.7902040114,11
2015-08-14,1,10.725477854517187,4
2015-08-15,0,-5.425377824470309,0
2015-08-16,0,-3.4030327775109335,0
2015-08-17,0,23.701918358498443,0
2015-08-18,10,15.607423598578128,6
2015-08-19,7,24.33393954699844,2
2015-08-20,6,20.377240830031248,1
2015-08-21,8,11.419745395385938,1
2015-08-22,3,4.056587602656251,0
2015-08-23,1,-3.8125403181109347,1
2015-08-24,8,18.554212897500005,4
2015-08-25,3,45.020853574093756,7
2015-08-26,6,35.62138680750313,3
2015-08-27,2,15.793800806828122,6
2015-08-28,24,18.03519368930156,18
2015-08-29,4,4.3627109965500015,0
2015-08-30,0,0.9074941772484424,0
2015-08-31,23,20.050083843426567,5
2015-09-01,20,9.80264327292188,12
2015-09-02,8,16.18065327022969,8
2015-09-03,19,23.821460493567187,12
2015-09-04,27,18.12198478482969,26
2015-09-05,3,-1.642022520003124,3
2015-09-06,4,-2.6798369840703105,0
2015-09-07,3,-1.5151404034890583,7
2015-09-08,17,7.05487391615938,0
2015-09-09,18,9.597284860153128,8
2015-09-10,6,9.316847647382815,11
2015-09-11,14,18.193967009292187,6
2015-09-12,3,-2.714822283417188,1
2015-09-13,3,-2.044102171674999,1
2015-09-14,16,9.742433468090626,7
2015-09-15,26,1.9684319181984398,6
2015-09-16,4,27.36030357532344,7
2015-09-17,6,19.99044720348906,7
2015-09-18,17,19.49197687963125,21
2015-09-19,6,5.120751249990623,1
2015-09-20,0,-2.758405853770311,0
2015-09-21,6,11.619636688714065,6
2015-09-22,29,24.85597340932813,0
2015-09-23,12,27.17980687879219,5
2015-09-24,14,20.065956502403125,5
2015-09-25,10,32.985533179082815,10
2015-09-26,0,3.6585045517624994,0
2015-09-27,3,-2.201086462268748,0
