,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2015-08-09,0,0,-10.3020504064
2015-08-10,5,8,21.7602828288
2015-08-11,8,17,35.7079809024
2015-08-12,7,9,-14.818891161599996
2015-08-13,11,18,16.0270806016
2015-08-14,4,19,-1.9444173823999975
2015-08-15,0,5,-14.9299393536
2015-08-16,0,1,-7.140424499200001
2015-08-17,0,10,21.6007757824
2015-08-18,6,8,6.413912576000001
2015-08-19,2,15,15.376508006400002
2015-08-20,1,21,8.587888128000003
2015-08-21,1,20,-0.14935060479999862
2015-08-22,0,3,-5.028343807999999
2015-08-23,1,0,-9.924051865600001
2015-08-24,4,2,15.944893439999998
2015-08-25,7,29,37.110655488
2015-08-26,3,17,18.230760243200006
2015-08-27,6,14,-2.257055743999995
2015-08-28,18,6,4.946236620800001
2015-08-29,0,1,-8.055126220799998
2015-08-30,0,3,-7.0286452736000005
2015-08-31,5,14,14.7675020288
2015-09-01,12,21,0.011307008000001062
2015-09-02,8,13,8.1771579392
2015-09-03,12,15,14.391149260800002
2015-09-04,26,19,6.115970969599999
2015-09-05,3,5,-12.7927519232
2015-09-06,0,7,-7.806886912000001
2015-09-07,7,8,-4.2684474368000025
2015-09-08,0,15,5.158680371199999
2015-09-09,8,17,5.744545996799999
2015-09-10,11,13,4.300486656000001
2015-09-11,6,10,12.871424819200001
2015-09-12,1,9,-10.8436810752
2015-09-13,1,1,-4.865880371200001
2015-09-14,7,14,8.3859883008
2015-09-15,6,26,-2.1658713088
2015-09-16,7,33,24.7642033152
2015-09-17,7,12,10.186322124800002
2015-09-18,21,22,9.462208614400001
2015-09-19,1,7,-5.322090393599998
2015-09-20,0,6,-9.278720204799999
2015-09-21,6,7,8.6902648832
2015-09-22,0,25,19.016624128
2015-09-23,5,29,16.635886387200003
2015-09-24,5,35,7.1201614848000006
2015-09-25,10,18,20.9502389248
2015-09-26,0,5,-12.229689651199998
2015-09-27,0,0,-10.712424243200001
2015-09-28,5,3,-3.0993587200000015
2015-09-29,11,14,17.060671795199998
2015-09-30,17,12,21.193836748800003
2015-10-01,22,29,22.129197465600004
2015-10-02,5,24,-7.606492569599997
2015-10-03,0,7,-1.4229506048000005
2015-10-04,0,2,-12.738616627199999
2015-10-05,11,24,19.0872635392
2015-10-06,6,20,21.1960375296
2015-10-07,7,18,-7.752335871999996
2015-10-08,6,22,10.3255763968
2015-10-09,18,30,6.683225088
2015-10-10,1,9,-4.282043289599997
2015-10-11,0,0,-7.7753901056
2015-10-12,10,24,17.588786176
2015-10-13,12,35,11.7096435712
2015-10-14,17,40,2.487612211200002
2015-10-15,20,9,5.527371059200002
2015-10-16,12,27,2.667997593600001
2015-10-17,0,5,-9.2144366592
2015-10-18,0,5,-3.6129403904000013
2015-10-19,10,21,21.1604040704
2015-10-20,10,26,3.8137392128000016
2015-10-21,17,37,7.106108928000001
2015-10-22,13,24,2.4472957952000023
2015-10-23,6,19,14.8545604608
2015-10-24,0,7,-11.236449279999999
2015-10-25,0,1,-8.6068161536
2015-10-26,4,25,33.386201804799995
2015-10-27,2,34,3.627237068800003
2015-10-28,10,34,7.270120550400003
2015-10-29,20,22,15.130823577600003
2015-10-30,20,23,-6.258075647999998
2015-10-31,0,11,-9.1512035328
2015-11-01,0,0,-7.0536743936000015
2015-11-02,29,16,14.042241535999999
2015-11-03,14,28,28.046465024
2015-11-04,6,22,11.546086297600006
2015-11-05,8,28,0.6444422144000015
2015-11-06,30,24,3.3487932415999992
2015-11-07,0,9,-1.4497005567999999
2015-11-08,0,3,-8.524998246400003
2015-11-09,18,21,7.296982220799999
2015-11-10,27,27,19.4109770752
2015-11-11,9,18,6.858237132800003
2015-11-12,12,13,10.425115340800001
2015-11-13,5,21,9.239485030400004
2015-11-14,0,10,-14.194196172799998
2015-11-15,0,0,-9.351033344000001
2015-11-16,9,16,13.7457005568
2015-11-17,10,29,19.8313340928
2015-11-18,10,33,6.6373524480000015
2015-11-19,2,13,7.480498688000004
2015-11-20,2,22,16.4413820928
2015-11-21,0,2,-11.302924697599998
2015-11-22,0,2,-1.8653858816
2015-11-23,20,25,4.978659532799998
2015-11-24,7,37,9.723789312000001
2015-11-25,15,16,6.0921817088
2015-11-26,6,28,4.875273011200001
2015-11-27,11,14,-11.751310131199999
2015-11-28,0,1,-4.8851412992
2015-11-29,0,4,-0.8038861824000012
2015-11-30,7,19,10.618033868799998
2015-12-01,10,25,7.539348992000001
2015-12-02,10,25,10.086941696000002
2015-12-03,5,23,10.926853427200001
2015-12-04,10,8,25.005602816
2015-12-05,0,6,5.843049676800003
2015-12-06,0,6,-18.737069977599997
2015-12-07,3,11,21.9789712384
2015-12-08,10,22,14.928982732800002
2015-12-09,3,17,5.978643456
2015-12-10,10,22,9.205323571200001
2015-12-11,4,18,-10.557002751999999
2015-12-12,8,14,-5.235195494400001
2015-12-13,0,11,-9.3092923392
2015-12-14,11,22,22.008958566399997
2015-12-15,9,36,15.899371520000003
2015-12-16,9,27,8.209700352000006
2015-12-17,3,17,-6.462298009599998
2015-12-18,7,18,-5.646389452799999
2015-12-19,0,5,-8.064047718400001
2015-12-20,0,7,-0.24543979520000114
2015-12-21,4,9,2.5051597824
2015-12-22,6,8,-2.416436224
2015-12-23,2,28,-4.0061633536
2015-12-24,0,10,-0.0922485759999998
2015-12-25,0,3,-1.0126962688
2015-12-26,0,7,1.7019692032
2015-12-27,0,2,-1.8488695807999997
2015-12-28,1,5,3.234693632
2015-12-29,0,16,-0.1058982911999995
2015-12-30,0,22,1.3842673664
2015-12-31,0,6,2.1160452096
2016-01-01,0,4,-2.3719715839999997
2016-01-02,0,4,9.0291282944
2016-01-03,0,5,-4.590822092799999
2016-01-04,2,24,6.3859408896
2016-01-05,0,22,3.873938432000001
2016-01-06,0,37,10.1955314688
2016-01-07,1,31,22.083934310400004
2016-01-08,3,18,1.0265506816000034
2016-01-09,0,7,-6.767314227199998
2016-01-10,0,3,-0.03887871999999959
2016-01-11,11,7,23.420068352
2016-01-12,16,17,7.663181824000002
2016-01-13,10,12,-4.123317350399997
2016-01-14,4,14,4.230791065600002
2016-01-15,8,16,3.6949473280000014
2016-01-16,0,6,-2.2383912959999996
2016-01-17,0,4,-8.6045349888
2016-01-18,6,18,8.757176831999999
2016-01-19,13,10,8.931343462400001
2016-01-20,12,22,15.537269760000001
2016-01-21,3,34,8.3773551616
2016-01-22,5,17,6.200857395200002
2016-01-23,0,6,-9.505219072
2016-01-24,2,1,-0.20967936000000087
2016-01-25,8,14,4.376072908799999
2016-01-26,16,10,8.251137024
2016-01-27,5,15,8.981196697600001
2016-01-28,3,14,5.193072742400002
2016-01-29,4,26,1.3912527872000027
2016-01-30,0,3,-6.994809958399999
2016-01-31,0,6,2.459753267199999
2016-02-01,10,22,4.8801024
2016-02-02,8,25,8.6866466816
2016-02-03,12,24,15.406298214400001
2016-02-04,14,11,11.124954214400002
2016-02-05,11,11,-0.2545745919999973
2016-02-06,0,18,3.0266781696000002
2016-02-07,1,5,-12.2554744832
2016-02-08,5,20,5.397232844799999
2016-02-09,13,20,29.9252533248
2016-02-10,15,21,6.849265254400002
2016-02-11,17,8,10.400105062400002
2016-02-12,9,25,38.4022592512
2016-02-13,1,3,-11.603444428799996
2016-02-14,1,3,1.848366899200002
2016-02-15,15,10,-2.5510002687999993
2016-02-16,5,19,5.592306687999999
2016-02-17,7,16,17.5210350592
2016-02-18,17,15,-12.706344550399997
2016-02-19,9,19,12.0664732672
2016-02-20,0,4,-7.006771814399997
2016-02-21,0,1,1.2884767743999994
2016-02-22,4,15,8.9665266688
2016-02-23,7,10,9.5246902272
2016-02-24,24,23,6.773731328000002
2016-02-25,15,12,27.521049088
2016-02-26,1,30,14.9310288896
2016-02-27,3,3,-0.9753037823999975
2016-02-28,0,2,-14.080848691199996
2016-02-29,9,14,-1.7194749952000024
2016-03-01,8,15,13.1613000704
2016-03-02,6,19,9.3781971968
2016-03-03,2,23,29.9231094784
2016-03-04,1,16,2.5923039232000065
2016-03-05,0,8,-13.133146521599997
2016-03-06,0,10,3.6752710656000005
2016-03-07,9,13,5.151927193599999
2016-03-08,7,23,13.651376127999999
2016-03-09,15,17,3.883578572800001
2016-03-10,4,24,15.1566739456
2016-03-11,7,14,24.421568204800003
2016-03-12,1,4,4.146213171200003
2016-03-13,0,5,-13.133164646399997
2016-03-14,1,12,20.7698548736
2016-03-15,5,28,-1.8147176447999982
2016-03-16,9,12,-8.559100006400001
2016-03-17,7,15,10.8273516544
2016-03-18,7,15,27.1042429952
2016-03-19,1,5,-17.582147788799997
2016-03-20,0,10,-11.7137620992
2016-03-21,12,26,28.855938048
2016-03-22,8,13,-4.9533678592
2016-03-23,8,15,11.7171652608
2016-03-24,14,20,21.687270604800002
2016-03-25,13,9,1.6868463616000007
2016-03-26,0,6,-7.7934427135999975
2016-03-27,0,2,-0.9479448575999996
2016-03-28,9,1,7.6516718592
2016-03-29,7,10,17.454592
