,twbs/bootstrap,ant-design/ant-design,mui/material-ui
2024-05-07,0,6,-0.6967982079999999
2024-05-08,0,8,6.872570982399999
2024-05-09,0,7,1.6972100608000003
2024-05-10,0,12,2.0577030144
2024-05-11,0,1,-1.8653616128
2024-05-12,0,3,-1.0046801920000004
2024-05-13,0,2,3.335474176
2024-05-14,0,12,0.6862216192000004
2024-05-15,0,7,1.8839925759999998
2024-05-16,0,3,3.7710068736
2024-05-17,0,1,2.3045874688000003
2024-05-18,0,6,-1.6207722495999999
2024-05-19,0,4,-0.8434646016000005
2024-05-20,0,5,4.454827519999999
2024-05-21,0,4,5.585229312
2024-05-22,0,3,4.8662790144
2024-05-23,0,3,8.565549363199999
2024-05-24,0,3,4.5589465088
2024-05-25,1,0,-3.2987776
2024-05-26,0,1,-0.733973401600001
2024-05-27,0,4,9.6400128
2024-05-28,0,2,5.836876800000001
2024-05-29,1,2,4.561447424
2024-05-30,2,6,1.5807762431999999
2024-05-31,0,8,0.15189995520000021
2024-06-01,0,4,-0.23998935040000013
2024-06-02,0,2,3.2799776767999997
2024-06-03,0,5,5.939271167999999
2024-06-04,1,14,4.1890149376000005
2024-06-05,0,9,5.0719819776
2024-06-06,0,9,-0.1363178495999997
2024-06-07,0,4,2.7641888767999996
2024-06-08,0,3,2.6950046719999996
2024-06-09,0,0,0.6942005247999994
2024-06-10,0,3,5.0796193791999995
2024-06-11,0,10,3.416026112
2024-06-12,0,8,-0.5968489471999998
2024-06-13,3,8,2.2002086912000003
2024-06-14,0,3,6.1104964608
2024-06-15,0,6,-2.6516186112
2024-06-16,0,2,-0.38048307200000053
2024-06-17,0,2,1.8839582719999999
2024-06-18,0,2,3.6685160448000005
2024-06-19,0,9,2.2185316352000006
2024-06-20,0,10,3.2876711936
2024-06-21,0,5,1.0957606912
2024-06-22,0,5,-0.6220158975999999
2024-06-23,0,1,0.8799520767999998
2024-06-24,0,1,5.938544128
2024-06-25,1,7,-1.0584612864
2024-06-26,0,5,9.7545945088
2024-06-27,0,2,4.025446400000001
2024-06-28,0,6,-0.8072969215999999
2024-06-29,0,3,-0.8636462080000005
2024-06-30,0,4,1.6802131967999996
2024-07-01,0,8,2.5277433856
2024-07-02,0,3,-0.7012482047999997
2024-07-03,0,6,2.8204593152
2024-07-04,0,4,1.4715851776000006
2024-07-05,0,4,1.5288329216000005
2024-07-06,0,3,1.6379820031999999
