,ceph/ceph,seaweedfs/seaweedfs,minio/minio
2015-09-17,25.0,0,9
2015-09-18,40.0,0,20
2015-09-19,3.0,0,9
2015-09-20,7.0,0,14
2015-09-21,42.0,0,4
2015-09-22,47.0,0,6
2015-09-23,34.0,0,7
2015-09-24,31.0,0,1
2015-09-25,28.0,0,6
2015-09-26,9.0,0,6
2015-09-27,3.0,2,0
2015-09-28,19.0,0,0
2015-09-29,20.0,0,2
2015-09-30,29.0,0,0
2015-10-01,121.0,0,5
2015-10-02,61.0,0,3
2015-10-03,8.0,0,2
2015-10-04,3.0,0,8
2015-10-05,17.0,0,2
2015-10-06,31.0,0,6
2015-10-07,23.0,0,4
2015-10-08,21.0,0,8
2015-10-09,37.0,0,4
2015-10-10,6.0,0,0
2015-10-11,0.0,0,5
2015-10-12,69.0,0,3
2015-10-13,43.0,0,0
2015-10-14,40.0,0,2
2015-10-15,21.0,0,0
2015-10-16,26.0,0,8
2015-10-17,8.0,1,16
2015-10-18,7.0,0,4
2015-10-19,46.0,4,8
2015-10-20,23.0,1,6
2015-10-21,13.0,0,4
2015-10-22,50.0,0,16
2015-10-23,11.0,0,2
2015-10-24,8.0,0,4
2015-10-25,8.0,0,2
2015-10-26,17.0,0,2
2015-10-27,16.0,0,2
2015-10-28,16.0,0,1
2015-10-29,13.0,0,1
2015-10-30,31.0,0,6
2015-10-31,3.0,0,0
2015-11-01,1.0,0,0
2015-11-02,23.0,0,6
2015-11-03,14.0,0,0
2015-11-04,35.0,0,2
2015-11-05,29.0,0,0
2015-11-06,65.0,0,0
2015-11-07,1.0,0,12
2015-11-08,0.0,0,2
2015-11-09,46.0,0,0
2015-11-10,30.0,0,0
2015-11-11,54.0,0,4
2015-11-12,37.0,0,0
2015-11-13,98.0,0,0
2015-11-14,22.0,0,10
2015-11-15,9.0,0,0
2015-11-16,33.0,0,0
2015-11-17,38.0,0,0
2015-11-18,12.0,2,4
2015-11-19,49.0,0,0
2015-11-20,19.0,0,0
2015-11-21,12.0,0,2
2015-11-22,6.0,2,2
2015-11-23,86.0,0,6
2015-11-24,17.0,0,0
2015-11-25,43.0,0,0
2015-11-26,38.0,1,2
2015-11-27,18.0,0,0
2015-11-28,10.0,0,6
2015-11-29,8.0,2,0
2015-11-30,34.0,0,0
2015-12-01,51.0,2,0
2015-12-02,77.0,6,6
2015-12-03,41.0,3,4
2015-12-04,42.0,0,0
2015-12-05,8.0,0,2
2015-12-06,4.0,0,2
2015-12-07,41.0,0,10
2015-12-08,49.0,0,0
2015-12-09,17.0,0,0
2015-12-10,13.0,0,2
2015-12-11,46.0,0,0
2015-12-12,5.0,0,0
2015-12-13,10.0,0,1
2015-12-14,26.0,4,0
2015-12-15,60.0,6,0
2015-12-16,16.0,0,0
2015-12-17,29.0,0,0
2015-12-18,45.0,0,0
2015-12-19,12.0,0,0
2015-12-20,13.0,0,0
2015-12-21,18.0,0,0
2015-12-22,18.0,0,1
2015-12-23,53.0,0,2
2015-12-24,25.0,0,0
2015-12-25,2.0,4,0
2015-12-26,2.0,0,0
2015-12-27,0.0,0,2
2015-12-28,3.0,1,4
2015-12-29,4.0,0,2
2015-12-30,3.0,0,2
2015-12-31,8.0,2,0
2016-01-01,200.0,0,0
2016-01-02,1.0,0,0
2016-01-03,10.0,0,0
2016-01-04,59.0,2,0
2016-01-05,78.0,0,0
2016-01-06,47.0,0,0
2016-01-07,23.0,0,0
2016-01-08,57.0,0,4
2016-01-09,5.0,0,4
2016-01-10,1.0,0,0
2016-01-11,42.0,0,0
2016-01-12,49.0,0,0
2016-01-13,77.0,1,2
2016-01-14,69.0,0,0
2016-01-15,54.0,0,4
2016-01-16,4.0,0,0
2016-01-17,8.0,1,2
2016-01-18,49.0,1,0
2016-01-19,47.0,0,2
2016-01-20,58.0,0,2
2016-01-21,30.0,0,0
2016-01-22,17.0,0,0
2016-01-23,3.0,0,1
2016-01-24,0.0,0,0
2016-01-25,23.0,0,2
2016-01-26,26.0,0,20
2016-01-27,91.0,0,7
2016-01-28,18.0,0,6
2016-01-29,116.0,0,4
2016-01-30,23.0,0,2
2016-01-31,11.0,0,2
2016-02-01,86.0,0,6
2016-02-02,43.0,0,2
2016-02-03,57.0,0,8
2016-02-04,70.0,0,11
2016-02-05,44.0,0,19
2016-02-06,24.0,0,7
2016-02-07,5.0,0,6
2016-02-08,58.0,0,2
2016-02-09,144.0,0,2
2016-02-10,44.0,0,9
2016-02-11,36.0,0,6
2016-02-12,860.0,0,0
2016-02-13,28.0,0,5
2016-02-14,1.0,0,4
2016-02-15,27.0,0,4
2016-02-16,16.0,0,0
2016-02-17,27.0,0,1
2016-02-18,65.0,0,8
2016-02-19,86.0,0,2
2016-02-20,32.0,0,5
2016-02-21,17.0,0,1
2016-02-22,25.0,0,8
2016-02-23,57.0,0,10
2016-02-24,44.0,0,3
2016-02-25,78.0,0,2
2016-02-26,52.0,0,1
2016-02-27,21.0,2,3
2016-02-28,3.0,0,2
2016-02-29,41.0,0,2
2016-03-01,120.0,0,0
2016-03-02,34.0,0,8
2016-03-03,104.0,0,1
2016-03-04,77.0,0,8
2016-03-05,10.0,0,0
2016-03-06,5.0,0,1
2016-03-07,65.0,0,10
2016-03-08,60.0,2,5
2016-03-09,64.0,0,6
2016-03-10,90.0,0,6
2016-03-11,117.0,0,10
2016-03-12,30.0,0,8
2016-03-13,43.0,0,3
2016-03-14,74.0,0,0
2016-03-15,112.0,0,2
2016-03-16,76.0,0,4
2016-03-17,55.0,1,4
2016-03-18,60.0,0,6
2016-03-19,18.0,0,2
2016-03-20,14.0,0,2
2016-03-21,31.0,0,2
2016-03-22,39.0,0,8
2016-03-23,49.0,0,8
2016-03-24,34.0,0,4
2016-03-25,36.0,0,6
2016-03-26,17.0,0,3
2016-03-27,5.0,0,4
2016-03-28,34.0,0,0
2016-03-29,109.0,0,2
2016-03-30,80.0,2,1
2016-03-31,39.0,0,0
2016-04-01,21.0,3,9
2016-04-02,5.0,0,1
2016-04-03,17.0,0,9
2016-04-04,31.0,1,2
2016-04-05,55.0,0,6
2016-04-06,33.0,2,5
2016-04-07,70.0,0,3
2016-04-08,60.0,1,6
2016-04-09,21.0,3,2
2016-04-10,5.0,7,0
2016-04-11,26.0,4,1
2016-04-12,65.0,2,2
2016-04-13,34.0,0,0
2016-04-14,45.0,6,1
2016-04-15,102.0,3,1
2016-04-16,22.0,0,8
2016-04-17,11.0,1,4
2016-04-18,15.0,0,1
2016-04-19,44.0,0,4
2016-04-20,14.0,0,0
2016-04-21,17.0,0,1
2016-04-22,61.0,0,5
2016-04-23,39.0,0,0
2016-04-24,18.0,0,1
2016-04-25,41.0,0,21
2016-04-26,49.0,0,4
2016-04-27,27.0,2,5
2016-04-28,39.0,2,4
2016-04-29,39.0,0,9
2016-04-30,35.0,0,8
2016-05-01,15.0,0,4
2016-05-02,50.0,0,8
2016-05-03,96.0,0,5
2016-05-04,86.0,0,7
2016-05-05,35.0,1,8
2016-05-06,107.0,0,10
2016-05-07,15.0,0,5
2016-05-08,2.0,0,10
2016-05-09,126.0,2,6
2016-05-10,52.0,0,9
2016-05-11,80.0,0,5
2016-05-12,31.0,2,3
2016-05-13,36.0,1,7
2016-05-14,12.0,0,6
2016-05-15,12.0,0,3
2016-05-16,43.0,0,2
2016-05-17,30.0,0,2
2016-05-18,56.0,0,9
2016-05-19,56.0,0,9
2016-05-20,70.0,2,11
2016-05-21,8.0,0,2
2016-05-22,24.0,0,0
2016-05-23,47.0,4,1
2016-05-24,58.0,1,1
2016-05-25,34.0,1,2
2016-05-26,45.0,1,0
2016-05-27,41.0,1,0
2016-05-28,17.0,0,31
2016-05-29,2.0,0,2
2016-05-30,33.0,1,4
2016-05-31,46.0,0,5
2016-06-01,191.0,0,5
2016-06-02,112.0,1,5
2016-06-03,58.0,5,12
2016-06-04,31.0,0,0
2016-06-05,11.0,2,3
2016-06-06,65.0,1,0
2016-06-07,91.0,4,4
2016-06-08,54.0,3,1
2016-06-09,36.0,0,5
2016-06-10,58.0,2,1
2016-06-11,12.0,0,0
2016-06-12,16.0,0,0
2016-06-13,31.0,2,2
2016-06-14,53.0,0,3
2016-06-15,98.0,0,0
2016-06-16,44.0,0,2
2016-06-17,43.0,0,6
2016-06-18,28.0,1,0
2016-06-19,25.0,2,4
2016-06-20,51.0,0,7
2016-06-21,60.0,0,7
2016-06-22,82.0,0,7
2016-06-23,53.0,2,4
2016-06-24,27.0,1,4
2016-06-25,11.0,0,3
2016-06-26,1.0,4,6
2016-06-27,49.0,1,7
2016-06-28,73.0,0,5
2016-06-29,85.0,2,10
2016-06-30,87.0,2,3
2016-07-01,33.0,0,6
2016-07-02,19.0,2,3
2016-07-03,1.0,10,2
2016-07-04,47.0,0,8
2016-07-05,29.0,1,5
2016-07-06,37.0,0,6
2016-07-07,45.0,0,6
2016-07-08,51.0,0,10
2016-07-09,20.0,0,6
2016-07-10,8.0,0,4
2016-07-11,38.0,0,6
2016-07-12,34.0,0,11
2016-07-13,48.0,0,8
2016-07-14,51.0,0,3
2016-07-15,36.0,0,5
2016-07-16,14.0,0,2
2016-07-17,1.0,0,3
2016-07-18,67.0,1,0
2016-07-19,40.0,0,7
2016-07-20,50.0,2,8
2016-07-21,43.0,6,5
2016-07-22,69.0,0,4
2016-07-23,9.0,0,2
2016-07-24,9.0,0,4
2016-07-25,39.0,6,4
2016-07-26,47.0,0,11
2016-07-27,36.0,0,2
2016-07-28,45.0,0,10
2016-07-29,44.0,0,3
2016-07-30,8.0,0,5
2016-07-31,1.0,0,0
2016-08-01,33.0,0,0
2016-08-02,45.0,0,3
2016-08-03,18.0,0,1
2016-08-04,15.0,0,5
2016-08-05,33.0,11,6
2016-08-06,6.0,1,1
2016-08-07,22.0,0,2
2016-08-08,31.0,0,0
2016-08-09,31.0,1,7
2016-08-10,31.0,3,2
2016-08-11,44.0,0,3
2016-08-12,39.0,0,8
2016-08-13,16.0,0,2
2016-08-14,0.0,0,0
2016-08-15,22.0,0,10
2016-08-16,42.0,0,6
2016-08-17,41.0,0,9
2016-08-18,37.0,0,2
2016-08-19,36.0,0,4
2016-08-20,3.0,0,1
2016-08-21,7.0,0,1
2016-08-22,22.0,0,3
2016-08-23,44.0,0,2
2016-08-24,29.0,0,1
2016-08-25,14.0,0,1
2016-08-26,32.0,0,1
2016-08-27,17.0,0,1
2016-08-28,6.0,0,1
2016-08-29,56.0,0,1
2016-08-30,24.0,0,4
2016-08-31,53.0,2,4
2016-09-01,36.0,0,3
2016-09-02,26.0,0,3
2016-09-03,8.0,0,1
2016-09-04,3.0,0,0
2016-09-05,22.0,1,0
2016-09-06,25.0,0,2
2016-09-07,61.0,0,1
2016-09-08,50.0,7,0
2016-09-09,28.0,1,3
2016-09-10,13.0,0,5
2016-09-11,14.0,0,2
2016-09-12,22.0,0,1
2016-09-13,37.0,0,2
2016-09-14,42.0,0,72
2016-09-15,52.0,0,5
2016-09-16,22.0,0,8
2016-09-17,11.0,0,3
2016-09-18,34.0,0,0
2016-09-19,33.0,0,4
2016-09-20,48.0,0,3
2016-09-21,120.0,0,2
2016-09-22,58.0,0,9
2016-09-23,42.0,4,6
2016-09-24,8.0,0,2
2016-09-25,5.0,0,0
2016-09-26,29.0,0,2
2016-09-27,27.0,2,5
2016-09-28,51.0,0,4
2016-09-29,107.0,1,3
2016-09-30,42.0,0,5
2016-10-01,4.0,0,3
2016-10-02,2.0,0,2
2016-10-03,35.0,0,1
2016-10-04,50.0,0,4
2016-10-05,46.0,0,4
2016-10-06,48.0,0,8
2016-10-07,60.0,3,5
2016-10-08,3.0,1,3
2016-10-09,7.0,0,4
2016-10-10,44.0,0,6
2016-10-11,44.0,0,3
2016-10-12,27.0,2,6
2016-10-13,28.0,1,10
2016-10-14,46.0,0,8
2016-10-15,9.0,0,7
2016-10-16,54.0,0,1
2016-10-17,50.0,0,10
2016-10-18,68.0,0,6
2016-10-19,78.0,0,2
2016-10-20,35.0,0,9
2016-10-21,114.0,0,5
2016-10-22,10.0,0,9
2016-10-23,2.0,0,3
2016-10-24,29.0,0,4
2016-10-25,64.0,0,6
2016-10-26,24.0,0,6
2016-10-27,14.0,0,7
2016-10-28,29.0,0,3
2016-10-29,17.0,0,3
2016-10-30,11.0,0,1
2016-10-31,27.0,0,8
2016-11-01,71.0,0,3
2016-11-02,101.0,0,5
2016-11-03,52.0,2,2
2016-11-04,51.0,0,3
2016-11-05,20.0,1,3
2016-11-06,6.0,0,3
2016-11-07,53.0,1,5
2016-11-08,42.0,2,1
2016-11-09,72.0,0,7
2016-11-10,38.0,0,5
2016-11-11,69.0,1,5
2016-11-12,12.0,0,1
2016-11-13,9.0,3,4
2016-11-14,43.0,0,3
2016-11-15,47.0,0,2
2016-11-16,48.0,1,3
2016-11-17,127.0,0,4
2016-11-18,32.0,0,1
2016-11-19,5.0,0,1
2016-11-20,10.0,0,3
2016-11-21,51.0,0,11
2016-11-22,36.0,0,4
2016-11-23,76.0,0,16
2016-11-24,33.0,0,12
2016-11-25,14.0,0,3
2016-11-26,1.0,1,1
2016-11-27,1.0,0,1
2016-11-28,36.0,7,4
2016-11-29,46.0,2,2
2016-11-30,46.0,0,6
2016-12-01,53.0,0,3
2016-12-02,49.0,0,3
2016-12-03,9.0,0,6
2016-12-04,17.0,0,2
2016-12-05,37.0,0,2
2016-12-06,44.0,0,0
2016-12-07,79.0,2,3
2016-12-08,40.0,4,0
2016-12-09,28.0,0,1
2016-12-10,5.0,0,2
2016-12-11,3.0,0,3
2016-12-12,32.0,1,2
2016-12-13,36.0,1,6
2016-12-14,50.0,0,1
2016-12-15,44.0,0,5
2016-12-16,45.0,0,4
2016-12-17,7.0,0,2
2016-12-18,12.0,0,2
2016-12-19,30.0,0,0
2016-12-20,38.0,0,8
2016-12-21,22.0,0,4
2016-12-22,51.0,0,2
2016-12-23,17.0,0,0
2016-12-24,22.0,0,1
2016-12-25,5.0,0,0
2016-12-26,10.0,2,3
2016-12-27,28.0,0,2
2016-12-28,22.0,0,1
2016-12-29,40.0,0,2
2016-12-30,33.0,0,1
2016-12-31,0.0,0,1
2017-01-01,3.0,0,1
2017-01-02,10.0,0,2
2017-01-03,28.0,0,1
2017-01-04,34.0,15,1
2017-01-05,24.0,4,0
2017-01-06,28.0,1,1
2017-01-07,7.0,0,2
2017-01-08,10.0,6,2
2017-01-09,32.0,4,3
2017-01-10,61.0,3,1
2017-01-11,28.0,2,4
2017-01-12,49.0,1,2
2017-01-13,50.0,1,2
2017-01-14,1.0,0,3
2017-01-15,9.0,4,0
2017-01-16,31.0,0,4
2017-01-17,25.0,0,6
2017-01-18,44.0,4,2
2017-01-19,23.0,0,5
2017-01-20,30.0,8,1
2017-01-21,9.0,2,1
2017-01-22,16.0,0,2
2017-01-23,19.0,3,5
2017-01-24,28.0,0,6
2017-01-25,23.0,0,5
2017-01-26,44.0,0,6
2017-01-27,112.0,0,4
2017-01-28,2.0,0,0
2017-01-29,1.0,0,4
2017-01-30,26.0,0,9
