,lodash/lodash,jashkenas/underscore,ramda/ramda
2014-04-04,4,0,0.0
2014-04-05,2,0,0.0
2014-04-06,5,1,0.0
2014-04-07,4,7,3.0
2014-04-08,5,0,-0.8000000000000003
2014-04-09,1,0,-0.9600000000000001
2014-04-10,3,5,-0.288
2014-04-11,0,3,-0.1567999999999999
2014-04-12,12,0,-0.10214399999999998
2014-04-13,8,0,-0.07311360000000003
2014-04-14,4,1,-0.05553152000000003
2014-04-15,13,5,-0.043946496000000036
2014-04-16,12,0,-0.03584655360000004
2014-04-17,5,0,-0.00850206720000001
2014-04-18,5,5,0.0
2014-04-19,7,1,0.0
2014-04-20,6,4,0.0
2014-04-21,0,1,0.0
2014-04-22,1,0,0.0
2014-04-23,0,8,0.0
2014-04-24,3,4,0.0
2014-04-25,3,2,0.0
2014-04-26,2,0,0.0
2014-04-27,5,0,0.0
2014-04-28,13,1,0.0
2014-04-29,8,0,0.0
2014-04-30,10,0,0.0
2014-05-01,9,0,0.0
2014-05-02,6,2,0.0
2014-05-03,12,2,2.0
2014-05-04,25,0,-1.2000000000000002
2014-05-05,1,0,-0.24
2014-05-06,8,3,3.888
2014-05-07,5,5,-0.4672000000000005
2014-05-08,0,0,-1.7256960000000001
2014-05-09,5,0,-0.49751039999999996
2014-05-10,0,0,-0.27225087999999986
2014-05-11,2,0,-0.17927270399999998
2014-05-12,5,0,-0.12972093440000007
2014-05-13,8,1,-0.08521216000000005
2014-05-14,0,0,-0.06721228800000005
2014-05-15,0,0,-0.054688972800000055
2014-05-16,14,4,0.9829958656
2014-05-17,0,4,1.4
2014-05-18,0,5,11.68
2014-05-19,8,1,-8.096
2014-05-20,0,10,0.2944
2014-05-21,11,0,-2.0180480000000003
2014-05-22,0,0,-0.7392511999999997
2014-05-23,3,0,-0.45545984000000006
2014-05-24,2,0,6.678791168
2014-05-25,6,2,-4.442909491200001
2014-05-26,5,0,-1.0249391104
2014-05-27,0,0,1.4716222464
2014-05-28,6,0,-0.4558807039999999
2014-05-29,0,0,-1.0169401344
2014-05-30,8,0,-0.34928640000000005
2014-05-31,0,0,0.78632192
2014-06-01,6,0,4.248321536
2014-06-02,7,0,-1.2358728704000006
2014-06-03,0,3,-0.8986060800000002
2014-06-04,4,2,-1.1872061440000001
2014-06-05,3,2,0.5498075136000001
2014-06-06,1,2,4.1373027328
2014-06-07,1,1,-3.2959974400000007
2014-06-08,0,6,-0.787325952
2014-06-09,5,1,3.5835900927999997
2014-06-10,3,6,-2.6669644800000003
2014-06-11,8,2,3.3616603136
2014-06-12,9,3,-2.7292035072000003
2014-06-13,3,8,0.3106324480000001
2014-06-14,3,0,2.0244041727999997
2014-06-15,7,1,7.836068864
2014-06-16,6,4,-4.5590937600000006
2014-06-17,5,2,-2.709982208
2014-06-18,0,3,5.9906419712000005
2014-06-19,9,2,-4.7746606080000005
2014-06-20,0,9,-0.23287930880000007
2014-06-21,11,5,15.745635328
2014-06-22,16,0,1.2425120767999989
2014-06-23,2,2,1.3893033983999992
2014-06-24,0,5,-3.248587776000001
2014-06-25,0,3,-1.2935302143999996
2014-06-26,11,2,8.783246336
2014-06-27,0,3,-1.3370543104000028
2014-06-28,0,7,5.755936768
2014-06-29,6,0,-6.092788531200002
2014-06-30,4,1,17.7200295936
2014-07-01,6,6,-5.783369318400002
2014-07-02,3,0,-0.8907968512000011
2014-07-03,6,0,-7.5863391232
2014-07-04,2,0,6.525182976
2014-07-05,6,0,-6.7947762688000015
2014-07-06,2,0,1.0926364671999997
2014-07-07,7,7,-0.8169284608000007
2014-07-08,5,5,-0.127706624
2014-07-09,15,3,2.0409137151999994
2014-07-10,2,1,3.0752196607999993
2014-07-11,8,1,11.725968384
2014-07-12,1,4,14.4378331136
2014-07-13,4,0,-4.346843443200001
2014-07-14,7,7,-4.841316454400001
2014-07-15,0,4,-4.735688703999999
2014-07-16,15,0,-2.5254279168
2014-07-17,3,0,-5.1259435008
2014-07-18,3,2,-1.2239035392000002
2014-07-19,2,0,-0.05208975360000068
2014-07-20,6,0,-0.3455451136000005
2014-07-21,7,5,3.8278419455999995
2014-07-22,8,2,-3.3378421760000005
2014-07-23,2,0,21.2980298752
2014-07-24,2,0,-10.469522944000003
2014-07-25,9,0,9.4562598912
2014-07-26,0,0,-9.008389632000002
2014-07-27,0,0,-3.1752128511999995
2014-07-28,11,0,1.5281033215999997
2014-07-29,5,0,-1.7047332864000002
2014-07-30,2,0,-1.5715786752000005
2014-07-31,0,7,0.30734407679999975
2014-08-01,4,1,2.9464510463999996
2014-08-02,1,8,-3.6863116288000004
2014-08-03,4,0,-1.019453952
2014-08-04,2,6,-0.4826046464
2014-08-05,0,2,-0.30616555519999994
2014-08-06,0,0,3.7846351872
2014-08-07,1,0,-2.5369713664000004
2014-08-08,3,0,-0.5738099712
2014-08-09,2,0,19.7072941056
2014-08-10,0,0,4.823089663999998
2014-08-11,3,0,-8.691392
2014-08-12,2,0,-5.6270208
2014-08-13,0,0,2.8442982400000005
2014-08-14,0,0,-2.293521408
2014-08-15,5,0,-0.6919282688000004
2014-08-16,0,0,-0.3547392000000005
2014-08-17,0,0,-2.2135603200000005
2014-08-18,10,0,4.069030912
2014-08-19,0,1,-0.4945685504000008
2014-08-20,3,0,9.3549581312
