,serverless/serverless,aws/chalice,apache/openwhisk
2016-12-06,8.3602233344,1,4
2016-12-07,13.9412063232,0,12
2016-12-08,24.6018630656,0,6
2016-12-09,3.688749670400002,0,9
2016-12-10,-6.1011234816,0,1
2016-12-11,17.228288716799998,0,0
2016-12-12,0.5622254592000004,0,7
2016-12-13,20.3471232,3,2
2016-12-14,16.3110411264,0,9
2016-12-15,1.4557446144000004,0,4
2016-12-16,22.733782528,0,2
2016-12-17,-3.2416222207999983,0,0
2016-12-18,-3.571100569600002,0,0
2016-12-19,6.3839690752,0,0
2016-12-20,16.5948618752,0,6
2016-12-21,-6.547000115199999,0,0
2016-12-22,-0.25050583039999985,0,1
2016-12-23,7.496990208000001,0,5
2016-12-24,-3.336663654399998,0,0
2016-12-25,-2.617683456,0,0
2016-12-26,-1.5340121088000003,0,0
2016-12-27,0.8917664768000004,20,0
2016-12-28,3.733169561600002,12,0
2016-12-29,0.23332689920000083,14,0
2016-12-30,2.8273570815999998,2,0
2016-12-31,-1.4922689535999993,0,0
2017-01-01,0.21337743359999994,1,0
2017-01-02,12.3597930496,0,0
2017-01-03,3.9985305600000003,0,1
2017-01-04,0.25558937599999965,0,2
2017-01-05,2.9699540991999998,7,0
2017-01-06,21.802834944,0,0
2017-01-07,-6.014086348799999,1,2
2017-01-08,-1.771930521600002,1,0
2017-01-09,2.0259553279999993,0,1
2017-01-10,0.8066369536000004,0,0
2017-01-11,4.0033963008,0,0
2017-01-12,-1.3709733888,0,1
2017-01-13,-1.4995238912000004,0,1
2017-01-14,6.000975360000002,0,0
2017-01-15,4.875885670400001,0,1
2017-01-16,0.7098030079999997,0,1
2017-01-17,3.2350908415999995,0,3
2017-01-18,4.9737703424,0,3
2017-01-19,2.5013869568000002,0,4
2017-01-20,5.688242585599999,1,3
2017-01-21,-2.8545659904000003,0,0
2017-01-22,-1.5233674240000006,0,0
2017-01-23,7.9283244032,0,0
2017-01-24,4.4454362112000005,0,2
2017-01-25,13.3457343488,0,12
2017-01-26,7.396875264,5,2
2017-01-27,12.3869622272,0,5
2017-01-28,-1.7704724480000005,0,0
2017-01-29,-2.7359660032000015,0,1
2017-01-30,9.556881919999999,0,3
2017-01-31,0.8755307520000004,0,3
2017-02-01,-1.3054232576000002,1,4
2017-02-02,-2.3796430847999996,0,6
2017-02-03,1.4296324096000008,0,3
2017-02-04,1.3472090112000012,0,2
2017-02-05,0.4335178752000006,0,0
2017-02-06,3.7953982463999996,0,2
2017-02-07,7.284586905600001,8,2
2017-02-08,10.2711677952,2,2
2017-02-09,4.1437834239999995,0,7
2017-02-10,3.571922739199999,0,6
2017-02-11,-2.2288808960000006,0,0
2017-02-12,-2.0271926272000007,0,0
2017-02-13,1.6485557247999993,0,5
2017-02-14,7.3977198592,1,2
2017-02-15,-2.8276659199999994,3,1
2017-02-16,1.5327842304000003,7,1
2017-02-17,0.45108090880000073,0,4
2017-02-18,-1.2364035071999995,0,0
2017-02-19,4.3032164351999995,0,0
2017-02-20,7.556091289599999,1,5
2017-02-21,-2.539311616,2,6
2017-02-22,20.7607441408,3,4
2017-02-23,2.796138086400001,1,0
2017-02-24,1.1329034239999989,7,4
2017-02-25,-1.0941514752000012,0,1
2017-02-26,-2.216631500800001,0,0
2017-02-27,5.5451289599999996,0,5
2017-02-28,4.49044224,0,0
2017-03-01,8.1970776064,1,2
2017-03-02,4.298840576000002,0,6
2017-03-03,2.4338813952000002,0,4
2017-03-04,-1.9874988032000003,0,1
2017-03-05,-1.8464757760000008,0,2
2017-03-06,13.7958766592,0,5
2017-03-07,1.1021941760000011,0,10
2017-03-08,1.0755602432,0,2
2017-03-09,5.5509271552,0,3
2017-03-10,1.9617463296000004,0,11
2017-03-11,2.4139522048,0,3
2017-03-12,-1.4417158144000002,0,0
2017-03-13,9.4205418496,0,1
2017-03-14,4.725547520000001,0,4
2017-03-15,4.686203904,5,2
2017-03-16,2.71326464,0,4
2017-03-17,2.0291073024,0,2
2017-03-18,-2.6904517632000005,0,3
2017-03-19,-1.5370168320000004,0,0
2017-03-20,0.9277532159999997,0,1
2017-03-21,2.8092056576000006,1,3
2017-03-22,0.40206888960000065,0,1
2017-03-23,9.765439180800001,1,0
2017-03-24,0.11008532480000088,2,2
2017-03-25,-0.9082266624000004,0,1
2017-03-26,-0.24054835200000046,0,0
2017-03-27,2.0397593599999997,2,2
2017-03-28,-0.24703590400000008,0,3
2017-03-29,13.0607322112,10,1
2017-03-30,6.5907308544,2,2
2017-03-31,1.4512515072000003,3,1
2017-04-01,-2.799889510400001,2,0
2017-04-02,-1.5059448832000009,1,0
2017-04-03,3.9684299775999996,12,2
2017-04-04,-1.7819224063999999,3,2
2017-04-05,6.979262156799999,1,0
2017-04-06,24.6746914816,0,1
2017-04-07,-4.611081625599998,0,7
2017-04-08,2.7316879359999984,0,1
2017-04-09,0.910709247999999,0,0
2017-04-10,0.4278783999999991,0,1
2017-04-11,15.79995904,0,1
2017-04-12,8.965989888,0,2
2017-04-13,5.715403263999999,5,2
2017-04-14,5.968406732800001,0,1
2017-04-15,-2.9821314047999996,0,1
2017-04-16,-1.9783062528000013,0,0
2017-04-17,6.834030489599999,3,0
2017-04-18,-2.3102206976,10,0
2017-04-19,-1.0741737471999997,2,5
2017-04-20,9.366541004800002,0,2
2017-04-21,1.7841767424000015,0,3
2017-04-22,-2.5411339263999997,0,3
2017-04-23,0.6461398015999997,0,1
2017-04-24,3.7527683071999998,0,1
2017-04-25,-0.7882102783999996,0,3
2017-04-26,16.8080646144,6,2
2017-04-27,9.6976050176,0,7
2017-04-28,-1.7624397823999995,10,3
2017-04-29,-2.995239014400001,7,0
2017-04-30,-0.740680192000001,0,0
2017-05-01,2.592114176,9,2
2017-05-02,0.18017361920000008,10,1
2017-05-03,16.487973376,0,0
2017-05-04,-2.5553086463999986,6,6
2017-05-05,0.4274075648000002,10,1
2017-05-06,-1.0315068416000002,0,0
2017-05-07,-1.3279219712000006,0,0
2017-05-08,3.1261998079999995,11,0
2017-05-09,2.5285359616000003,0,3
2017-05-10,5.3456006144,0,5
2017-05-11,24.6834066432,3,0
2017-05-12,9.389167308800001,1,1
2017-05-13,-6.017572556800001,0,0
2017-05-14,-3.046854963200002,1,0
2017-05-15,4.984156569599999,1,4
2017-05-16,-0.8953313280000001,0,2
2017-05-17,24.853931110399998,0,3
2017-05-18,3.169526374400001,0,2
2017-05-19,0.7622188031999997,0,2
2017-05-20,-2.1088278527999993,0,0
2017-05-21,-1.6607832064000005,0,0
2017-05-22,2.1671833599999992,8,2
2017-05-23,8.880894976,4,1
2017-05-24,70.4342136832,12,3
2017-05-25,2.3380810752000016,10,3
2017-05-26,3.9690964991999973,1,3
2017-05-27,-2.8090460160000035,0,0
2017-05-28,-6.281529446400002,0,0
2017-05-29,5.940185907199998,1,1
2017-05-30,10.9548706816,22,1
2017-05-31,6.5664932864,5,2
2017-06-01,16.656890777600005,0,2
2017-06-02,-6.316572057599997,0,0
2017-06-03,-4.2112536576,0,1
2017-06-04,-0.5870305280000006,0,0
2017-06-05,6.828287897599999,0,1
2017-06-06,3.7051929600000006,11,2
2017-06-07,19.688121344000002,1,1
2017-06-08,5.524077977600001,12,6
2017-06-09,6.5436556288,0,4
2017-06-10,1.714547916799999,0,0
2017-06-11,6.869796659199999,0,0
2017-06-12,6.349354495999999,0,1
2017-06-13,9.1315904512,1,3
2017-06-14,0.4029697024000001,3,3
2017-06-15,0.7371789312000008,0,1
2017-06-16,23.3919341568,0,2
2017-06-17,-5.504784588799998,0,3
2017-06-18,-3.0203609088000016,0,0
2017-06-19,13.305036595199999,1,1
2017-06-20,5.934145433600001,3,4
2017-06-21,11.173032857599999,5,3
2017-06-22,-2.8297803776000006,4,6
2017-06-23,8.384230297599998,0,4
2017-06-24,13.308726784000001,0,1
2017-06-25,-1.2317314047999997,0,0
2017-06-26,27.939753267199997,5,5
2017-06-27,14.1004645376,0,3
2017-06-28,2.9988796415999985,0,3
2017-06-29,-1.0669400064000012,0,5
2017-06-30,8.7196082176,0,7
2017-07-01,-6.0628375552,0,3
2017-07-02,-1.5454942208000007,0,0
2017-07-03,11.1120636928,0,0
2017-07-04,-1.7408296959999978,2,0
2017-07-05,11.770865971200001,32,0
2017-07-06,3.1737888768000015,1,1
2017-07-07,13.0615954432,1,1
2017-07-08,-5.535405670399999,4,0
2017-07-09,-2.8190355456000016,0,0
2017-07-10,7.205124095999999,1,1
2017-07-11,0.8409331712000006,4,1
2017-07-12,6.4108227584,0,3
2017-07-13,-2.2879270911999994,0,3
2017-07-14,-1.004296192,0,5
2017-07-15,-0.4205699071999993,0,1
2017-07-16,0.8716178432000001,1,1
2017-07-17,9.97452032,0,1
2017-07-18,4.151808512000001,1,2
2017-07-19,11.2223197184,0,7
2017-07-20,10.8025416704,0,3
2017-07-21,2.9593606143999995,1,1
2017-07-22,-1.0727373824000015,0,0
2017-07-23,4.105420697599999,0,1
2017-07-24,0.7440557055999992,0,2
2017-07-25,-1.7435337728000002,7,0
2017-07-26,6.0576290816,17,4
2017-07-27,2.1101473792000007,7,2
2017-07-28,4.411761254400001,12,5
2017-07-29,-1.8156677119999993,1,0
2017-07-30,0.3625438207999996,0,0
