Target,Competitor1,Competitor2,REV,Competitors in README
facebookresearch/pytext,facebookresearch/fairseq,pytorch/text,1,"pytorch/text"
orchest/orchest,apache/airflow,PrefectHQ/prefect,1,"apache/airflow"
allenai/allennlp,huggingface/transformers,flairNLP/flair,1,"huggingface/transformers,flairNLP/flair"
deepmind/dm-haiku,pytorch/pytorch,google/flax,1,"google/flax"
eleutherai/gpt-neo,huggingface/transformers,EleutherAI/gpt-neox,1,"huggingface/transformers,EleutherAI/gpt-neox"
railsware/upterm,Eugeny/terminus,vercel/hyper,1,"vercel/hyper"
palantir/tslint,eslint/eslint,typescript-eslint/typescript-eslint,1,"eslint/eslint"
microsoft/reactxp,flutter/flutter,necolas/react-native-web,1,"necolas/react-native-web"
alibaba/bizcharts,antvis/g2,recharts/recharts,1,"antvis/g2"
graphql/express-graphql,graphile/postgraphile,apollographql/apollo-server,1,"graphile/postgraphile,apollographql/apollo-server"
apollographql/apollo-tooling,dotansimha/graphql-code-generator,apollographql/rover,1,"dotansimha/graphql-code-generator,apollographql/rover"
alephjs/aleph.js,vercel/next.js,denoland/fresh,1,"denoland/fresh"
datorama/akita,ngrx/platform,ngneat/elf,1,"ngneat/elf"
componentjs/component,webpack/webpack,browserify/browserify,1,"webpack/webpack,browserify/browserify"
yuche/vue-strap,bootstrap-vue/bootstrap-vue,wxsms/uiv,1,"bootstrap-vue/bootstrap-vue,wxsms/uiv"
moscajs/mosca,eclipse/mosquitto,moscajs/aedes,1,"moscajs/aedes"
aheckmann/gm,lovell/sharp,moxystudio/node-cross-spawn,1,"moxystudio/node-cross-spawn"
exacttarget/fuelux,twbs/bootstrap,salesforce/lwc,1,"salesforce/lwc"
automattic/kue,OptimalBits/bull,agenda/agenda,1,"OptimalBits/bull"
phenomic/phenomic,vercel/next.js,gatsbyjs/gatsby,1,"vercel/next.js"
redux-form/redux-form,formium/formik,final-form/react-final-form,1,"formium/formik,final-form/react-final-form"
cnpm/cnpmjs.org,yarnpkg/yarn,cnpm/cnpmcore,1,"cnpm/cnpmcore"
adobe/brackets,microsoft/vscode,atom/atom,1,"microsoft/vscode"
ronggang/pt-plugin-plus,Jackett/Jackett,pt-plugins/PT-depiler,1,"pt-plugins/PT-depiler"
nteract/hydrogen,microsoft/vscode,nteract/nteract,1,"microsoft/vscode,nteract/nteract"
ssbc/patchwork,staltz/manyverse,fraction/oasis,1,"staltz/manyverse,fraction/oasis"
appium/appium-desktop,appium/appium,appium/appium-inspector,1,"appium/appium,appium/appium-inspector"
snowpackjs/snowpack,evanw/esbuild,parcel-bundler/parcel,1,"evanw/esbuild,parcel-bundler/parcel"
vuejs/vue-cli,vitejs/vite,vuejs/create-vue,1,"vitejs/vite,vuejs/create-vue"
facebook/create-react-app,vercel/next.js,insin/nwb,1,"vercel/next.js,insin/nwb"
olefredrik/foundationpress,twbs/bootstrap,Semantic-Org/Semantic-UI,1,"twbs/bootstrap,Semantic-Org/Semantic-UI"
rocketeers/rocketeer,deployphp/deployer,laravel/envoy,1,"deployphp/deployer"
chriskacerguis/codeigniter-restserver,laravel/framework,codeigniter4/CodeIgniter4,1,"codeigniter4/CodeIgniter4"
sds/scss-lint,stylelint/stylelint,kristerkari/stylelint-scss,1,"stylelint/stylelint,kristerkari/stylelint-scss"
eventmachine/eventmachine,puma/puma,celluloid/celluloid,1,"celluloid/celluloid"
thoughtbot/paperclip,rails/rails,carrierwaveuploader/carrierwave,1,"rails/rails"
kubernetes-retired/heapster,prometheus-operator/prometheus-operator,heptiolabs/eventrouter,1,"prometheus-operator/prometheus-operator,heptiolabs/eventrouter"
masterminds/glide,golang/go,pote/gpm,1,"golang/go,pote/gpm"
sirupsen/logrus,uber-go/zap,rs/zerolog,1,"uber-go/zap,rs/zerolog"
lib/pq,jackc/pgx,go-pg/pg,1,"jackc/pgx"
go-mgo/mgo,coreos/bbolt,lib/pq,1,"coreos/bbolt,lib/pq"
github/hub,cli/cli,profclems/glab,1,"cli/cli"
weaveworks/ignite,kubevirt/kubevirt,liquidmetal-dev/flintlock,1,"liquidmetal-dev/flintlock"
rails/webpacker,shakacode/shakapacker,rails/importmap-rails,1,"shakacode/shakapacker,rails/importmap-rails"
tfsec/tfsec,bridgecrewio/checkov,aquasecurity/trivy,1,"aquasecurity/trivy"
dethcrypto/typechain,NomicFoundation/hardhat,wagmi-dev/wagmi,1,"NomicFoundation/hardhat,wagmi-dev/wagmi"
withastro/snowpack,evanw/esbuild,parcel-bundler/parcel,1,"evanw/esbuild,parcel-bundler/parcel"
gfx-rs/gfx,gfx-rs/wgpu,vulkano-rs/vulkano,1,"gfx-rs/wgpu"
bytecodealliance/lucet,wasmerio/wasmer,bytecodealliance/wasmtime,1,"bytecodealliance/wasmtime"
racer-rust/racer,rust-lang/rust-analyzer,intellij-rust/intellij-rust,1,"rust-lang/rust-analyzer"
pistondevelopers/conrod,iced-rs/iced,emilk/egui,1,"emilk/egui"
rust-lang/rls,rust-lang/rust-analyzer,intellij-rust/intellij-rust,1,"rust-lang/rust-analyzer"
redox-os/orbtk,slint-ui/slint,iced-rs/iced,1,"slint-ui/slint,iced-rs/iced"
godot-rust/godot-rust,godot-rust/gdext,godotengine/godot-cpp,1,"godot-rust/gdext"
alpa-projects/alpa,openxla/xla,NVIDIA/Megatron-LM,1,"openxla/xla"
fredkschott/snowpack,evanw/esbuild,parcel-bundler/parcel,1,"evanw/esbuild,parcel-bundler/parcel"
dream-num/luckysheet,handsontable/handsontable,dream-num/univer,1,"dream-num/univer"
abumq/easyloggingpp,gabime/spdlog,google/glog,1,"gabime/spdlog"
thedevdojo/voyager,filamentphp/filament,thedevdojo/wave,1,"filamentphp/filament,thedevdojo/wave"
nagadomi/waifu2x,DeadSix27/waifu2x-converter-cpp,lltcggie/waifu2x-caffe,1,"DeadSix27/waifu2x-converter-cpp,lltcggie/waifu2x-caffe"
fastai/fastpages,quarto-dev/quarto-cli,executablebooks/jupyter-book,1,"quarto-dev/quarto-cli"
lagom/lagom,akka/akka,lightbend/kalix-jvm-sdk,1,"akka/akka,lightbend/kalix-jvm-sdk"
idris-lang/Idris-dev,agda/agda,idris-lang/Idris2,1,"idris-lang/Idris2"
ichord/At.js,yuku-t/jquery-textcomplete,zurb/tribute,1,"zurb/tribute"
bhauman/lein-figwheel,thheller/shadow-cljs,bhauman/figwheel-main,1,"bhauman/figwheel-main"
python/cpython,php/php-src,ruby/ruby,0,""
rails/rails,django/django,sinatra/sinatra,0,""
django/django,rails/rails,pallets/flask,0,""
jquery/jquery,stimulusjs/stimulus,fabiospampinato/cash,0,""
tesseract-ocr/tesseract,PaddlePaddle/PaddleOCR,faustomorales/keras-ocr,0,""
golang/go,llvm/llvm-project,gcc-mirror/gcc,0,""
scrapy/scrapy,seleniumhq/selenium,microlinkhq/metascraper,0,""
protocolbuffers/protobuf,apache/thrift,apache/avro,0,""
jetbrains/kotlin,scala/scala,apache/groovy,0,""
google/guava,apache/commons-lang,apache/commons-io,0,""
JuliaLang/julia,rust-lang/rust,python/cpython,0,""
bitcoin/bitcoin,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj,0,""
ohmyzsh/ohmyzsh,Bash-it/bash-it,sorin-ionescu/prezto,0,""
nodejs/node,python/cpython,ruby/ruby,0,""
spring-projects/spring-framework,apache/tomcat,apache/struts,0,""
scikit-learn/scikit-learn,mlpack/mlpack,statsmodels/statsmodels,0,""
redis/redis,tarantool/tarantool,memcached/memcached,0,""
elastic/elasticsearch,apache/solr,blevesearch/bleve,0,""
socketio/socket.io,websockets/ws,faye/faye,0,""
expressjs/express,balderdashy/sails,hapijs/hapi,0,""
jekyll/jekyll,getpelican/pelican,middleman/middleman,0,""
opencv/opencv,scikit-image/scikit-image,davisking/dlib,0,""
rust-lang/rust,golang/go,nim-lang/Nim,0,""
lodash/lodash,ramda/ramda,jashkenas/underscore,0,""
swiftlang/swift,rust-lang/rust,golang/go,0,""
apple/swift,rust-lang/rust,JetBrains/kotlin,0,""
mrdoob/three.js,BabylonJS/Babylon.js,playcanvas/engine,0,""
d3/d3,highcharts/highcharts,plotly/plotly.js,0,""
psf/requests,urllib3/urllib3,twisted/treq,0,""
pallets/flask,django/django,expressjs/express,0,""
twbs/bootstrap,zurb/foundation-sites,primer/css,0,""
square/okhttp,jetty/jetty.project,apache/httpcomponents-client,0,""
reactivex/rxjava,reactor/reactor-core,Kotlin/kotlinx.coroutines,0,""
definitelytyped/definitelytyped,microsoft/TypeScript,sindresorhus/type-fest,0,""
moment/moment,date-fns/date-fns,moment/luxon,0,""
rclone/rclone,iterate-ch/cyberduck,aws/aws-cli,0,""
webpack/webpack,rollup/rollup,parcel-bundler/parcel,0,""
moby/moby,canonical/lxd,containerd/containerd,0,""
grafana/grafana,getsentry/sentry,elastic/kibana,0,""
electron/electron,AvaloniaUI/Avalonia,nwjs/nw.js,0,""
godotengine/godot,MonoGame/MonoGame,4ian/GDevelop,0,""
tryghost/ghost,WordPress/WordPress,getgrav/grav,0,""
chartjs/chart.js,highcharts/highcharts,d3/d3,0,""
apache/echarts,highcharts/highcharts,plotly/plotly.js,0,""
etcd-io/etcd,hashicorp/consul,apache/zookeeper,0,""
netdata/netdata,grafana/grafana,cacti/cacti,0,""
ansible/ansible,saltstack/salt,cfengine/core,0,""
spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard,0,""
home-assistant/core,node-red/node-red,ioBroker/ioBroker,0,""
freecodecamp/freecodecamp,ossu/computer-science,exercism/exercism,0,""
ethereum/go-ethereum,NethermindEth/nethermind,hyperledger/besu,0,""
facebook/react,angular/angular,jquery/jquery,0,""
gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket,0,""
remix-run/react-router,vercel/next.js,tanstack/router,0,""
cypress-io/cypress,seleniumhq/selenium,DevExpress/testcafe,0,""
gorhill/ublock,brave/brave-browser,adblockplus/adblockplus,0,""
avelino/awesome-go,fffaraz/awesome-cpp,vinta/awesome-python,0,""
rust-unofficial/awesome-rust,avelino/awesome-go,fffaraz/awesome-cpp,0,""
ocornut/imgui,lvgl/lvgl,Immediate-Mode-UI/Nuklear,0,""
pi-hole/pi-hole,NLnetLabs/unbound,AdguardTeam/AdGuardHome,0,""
minio/minio,ceph/ceph,seaweedfs/seaweedfs,0,""
mermaid-js/mermaid,plantuml/plantuml,yuzutech/kroki,0,""
gohugoio/hugo,sphinx-doc/sphinx,hexojs/hexo,0,""
vsouza/awesome-ios,matteocrippa/awesome-swift,raywenderlich/swift-style-guide,0,""
ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript,0,""
kubernetes/kubernetes,hashicorp/nomad,docker-archive/classicswarm,0,""
serverless/serverless,apache/openwhisk,aws/chalice,0,""
microsoft/typescript,google/closure-compiler,rescript-lang/rescript-compiler,0,""
ant-design/ant-design,twbs/bootstrap,mui/material-ui,0,""
mui/material-ui,ant-design/ant-design,twbs/bootstrap,0,""
apache/superset,metabase/metabase,getredash/redash,0,""
flutter/flutter,facebook/react-native,NativeScript/NativeScript,0,""
traefik/traefik,haproxy/haproxy,kong/kong,0,""
strapi/strapi,TryGhost/Ghost,decaporg/decap-cms,0,""
facebook/react-native,flutter/flutter,NativeScript/NativeScript,0,""
storybookjs/storybook,histoire-dev/histoire,tajo/ladle,0,""
tensorflow/models,huggingface/transformers,pytorch/vision,0,""
mastodon/mastodon,friendica/friendica,diaspora/diaspora,0,""
angular/angular,emberjs/ember.js,facebook/react,0,""
tensorflow/tensorflow,pytorch/pytorch,apache/mxnet,0,""
microsoft/vscode,pulsar-edit/pulsar,neovim/neovim,0,""
reduxjs/redux,reduxjs/redux-toolkit,mobxjs/mobx,0,""
gatsbyjs/gatsby,vercel/next.js,gohugoio/hugo,0,""
sveltejs/svelte,angular/angular,facebook/react,0,""
prettier/prettier,eslint/eslint,standard/standard,0,""
commaai/openpilot,apolloauto/apollo,carla-simulator/carla,0,""
eugeny/tabby,gnome-terminator/terminator,alacritty/alacritty,0,""
kamranahmedse/developer-roadmap,bregman-arie/devops-exercises,liuchong/awesome-roadmaps,0,""
facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify,0,""
vercel/next.js,gatsbyjs/gatsby,gohugoio/hugo,0,""
microsoft/terminal,mintty/mintty,alacritty/alacritty,0,""
nestjs/nest,fastify/fastify,koajs/koa,0,""
ElemeFE/element,ant-design/ant-design,youzan/vant,0,""
meilisearch/meilisearch,elastic/elasticsearch,typesense/typesense,0,""
jesseduffield/lazygit,jonas/tig,dandavison/delta,0,""
puppeteer/puppeteer,seleniumhq/selenium,gocolly/colly,0,""
tailwindlabs/tailwindcss,twbs/bootstrap,jgthms/bulma,0,""
vuejs/core,facebook/react,sveltejs/svelte,0,""
denoland/deno,nodejs/node,oven-sh/bun,0,""
nuxt/nuxt,vercel/next.js,remix-run/remix,0,""
