,jekyll/jekyll,getpelican/pelican,middleman/middleman
2011-04-13,0,0.0,0.7819393037500002
2011-04-14,0,0.0,0.7344711369843755
2011-04-15,0,0.0,2.7216426124640627
2011-04-16,0,0.0,1.5224166854374999
2011-04-17,0,0.0,0.52677360860625
2011-04-18,0,2.0,0.639879184921875
2011-04-19,0,3.0,0.6647394748203128
2011-04-20,1,7.0,1.71256904125
2011-04-21,0,2.0,-0.38654404676562487
2011-04-22,0,0.0,0.7671484706984377
2011-04-23,1,0.0,-0.2662324465828123
2011-04-24,2,8.0,-0.17103064238906213
2011-04-25,0,9.0,3.8886447731625
2011-04-26,0,34.0,4.523952613198437
2011-04-27,0,4.0,4.263728691948437
2011-04-28,0,0.0,-0.8796974910671881
2011-04-29,1,0.0,3.521958598678125
2011-04-30,0,0.0,1.2801521869843753
2011-05-01,0,0.0,-0.624943152535937
2011-05-02,1,0.0,-0.3947685974999996
2011-05-03,0,0.0,-0.2992017958124993
2011-05-04,0,1.0,-0.24269745647187424
2011-05-05,0,0.0,-0.174717377757812
2011-05-06,0,14.0,0.8873069273203128
2011-05-07,0,8.0,-0.16046064456249992
2011-05-08,2,7.0,0.9022679638250001
2011-05-09,9,0.0,-0.14529770507187506
2011-05-10,0,4.0,-0.06566249999999996
2011-05-11,0,6.0,-0.04461674999999997
2011-05-12,1,0.0,0.9661754875000002
2011-05-13,0,0.0,-0.12721044625
2011-05-14,1,4.0,-0.06773032551562497
2011-05-15,0,2.0,-0.047992548785937464
2011-05-16,0,0.0,-0.0302308130156249
2011-05-17,0,0.0,-0.024515602535937424
2011-05-18,0,1.0,0.9868379875000001
2011-05-19,0,4.0,1.88890630375
2011-05-20,0,0.0,-0.2545683130156252
2011-05-21,0,0.0,-0.12689885253593758
2011-05-22,0,1.0,1.9223375
2011-05-23,1,0.0,0.7425582500000001
2011-05-24,0,0.0,-0.23539551250000001
2011-05-25,0,0.0,-0.13941772124999996
2011-05-26,0,0.0,-0.10158070551562479
2011-05-27,0,1.0,-0.08043147856718724
2011-05-28,0,0.0,-0.05923848007187482
2011-05-29,0,0.0,-0.035349404999999896
2011-05-30,10,0.0,-0.030230322281249916
2011-05-31,1,2.0,2.9736339819125
2011-06-01,0,2.0,2.691601147464062
2011-06-02,0,0.0,6.5649999999999995
2011-06-03,1,1.0,-0.9205000000000008
2011-06-04,0,2.0,-0.46248750000000005
2011-06-05,3,0.0,2.69016225
2011-06-06,0,0.0,3.4675262125000006
2011-06-07,0,0.0,-0.7205843762499998
2011-06-08,0,0.0,0.5803798847031253
2011-06-09,0,1.0,0.5924551295953129
2011-06-10,0,0.0,2.631825001282813
2011-06-11,0,1.0,-0.5362450052515624
2011-06-12,0,9.0,0.7299083612500002
2011-06-13,0,9.0,-0.29535897404687483
2011-06-14,0,0.0,4.800263927829688
2011-06-15,0,0.0,-0.6347013688937502
2011-06-16,0,2.0,-0.3058105467656249
2011-06-17,0,6.0,-0.2098650043015624
2011-06-18,0,2.0,-0.15357830408281198
2011-06-19,0,0.0,-0.11687400385781213
2011-06-20,1,0.0,-0.07537837551562479
2011-06-21,0,2.0,-0.06386733378593731
2011-06-22,0,1.0,0.9521584349218751
2011-06-23,0,0.0,1.8580057373203125
2011-06-24,0,0.0,9.754999999999999
2011-06-25,0,0.0,-1.118500000000001
2011-06-26,2,0.0,-0.5276625000000004
2011-06-27,0,0.0,3.65755825
2011-06-28,4,0.0,0.34797948750000063
2011-06-29,1,4.0,-0.4785852212499996
2011-06-30,0,4.0,-0.3223758305156247
2011-07-01,0,1.0,1.7503775589328132
2011-07-02,2,7.0,-0.3976103352281246
2011-07-03,0,1.0,-0.24275332535937466
2011-07-04,2,0.0,-0.11453679749999987
2011-07-05,0,0.0,-0.09069194831249972
2011-07-06,2,0.0,7.924602776840625
2011-07-07,2,0.0,4.165277122464062
2011-07-08,0,0.0,1.1178126074999994
2011-07-09,0,0.0,-0.6721366260312505
2011-07-10,2,0.0,11.585402294928125
2011-07-11,0,0.0,1.5107534999999996
2011-07-12,0,0.0,0.93279515
2011-07-13,0,0.0,2.1362068675
2011-07-14,0,1.0,9.118210989625002
2011-07-15,0,4.0,3.415391722134375
2011-07-16,0,1.0,1.6557497112890625
2011-07-17,1,0.0,-1.0936290975718748
2011-07-18,0,0.0,-0.7069001199374988
2011-07-19,0,2.0,-0.5411445994781235
2011-07-20,0,0.0,-0.3518056473890614
2011-07-21,1,5.0,2.7294000808812506
2011-07-22,0,3.0,-0.5158342065140622
2011-07-23,0,3.0,0.6998888208125004
2011-07-24,0,0.0,4.743800798273438
2011-07-25,0,0.0,0.3678159423921873
2011-07-26,0,1.0,10.59814975
2011-07-27,0,1.0,16.6523514625
2011-07-28,0,1.0,-0.4762103387500014
2011-07-29,0,3.0,-1.4666132015468756
2011-07-30,0,0.0,-0.9485045663578118
2011-07-31,0,0.0,-0.6844080567656229
2011-08-01,0,0.0,1.4564572486359393
2011-08-02,0,1.0,2.3572570405546887
2011-08-03,0,9.0,7.270339146792188
2011-08-04,0,2.0,2.7211955953234375
2011-08-05,0,0.0,9.942859028321875
2011-08-06,0,0.0,8.380981294928123
2011-08-07,0,1.0,-1.8489742750000004
2011-08-08,2,0.0,-0.03675742999999976
2011-08-09,0,0.0,11.16553168521875
2011-08-10,0,0.0,-1.8158095141187491
2011-08-11,0,6.0,-1.0205674842328116
2011-08-12,0,0.0,2.278222643900001
2011-08-13,0,0.0,-0.8138505658156236
2011-08-14,0,0.0,0.47036647944843857
2011-08-15,0,0.0,-0.43852637160937447
2011-08-16,0,4.0,-0.2496801680156244
2011-08-17,0,2.0,-0.20006885872343705
2011-08-18,0,6.0,2.8390652320687506
2011-08-19,0,4.0,3.6506021612499997
2011-08-20,0,2.0,3.4231330484531246
2011-08-21,0,0.0,2.298209746142187
2011-08-22,0,2.0,1.3344441869843746
2011-08-23,0,0.0,-0.5883991025359374
2011-08-24,0,0.0,-0.3621030374999995
2011-08-25,0,0.0,-0.2693836387499993
2011-08-26,0,0.0,-0.21540302404687434
2011-08-27,0,0.0,-0.17956413217031197
2011-08-28,0,0.0,-0.13147377595624965
2011-08-29,0,0.0,8.915512258309375
2011-08-30,0,6.0,0.055666816360936844
2011-08-31,0,0.0,5.478202294928124
2011-09-01,0,0.0,-0.9015000000000007
2011-09-02,0,0.0,-0.4844624999999995
2011-09-03,0,0.0,0.6632867500000004
2011-09-04,0,0.0,1.6414501375000008
2011-09-05,0,0.0,-0.45470577874999957
2011-09-06,0,3.0,1.7053194116093753
2011-09-07,0,3.0,-0.4293826633390622
2011-09-08,0,0.0,0.7867495193703128
2011-09-09,0,0.0,1.7472113722843752
2011-09-10,0,1.0,-0.3237427212499999
2011-09-11,0,0.0,0.8175107944843751
2011-09-12,0,0.0,2.7684779964328126
2011-09-13,0,0.0,-0.441426847571875
2011-09-14,0,0.0,-0.22803213853124993
2011-09-15,0,1.0,-0.1603779263218748
2011-09-16,1,0.0,0.8901400444843753
2011-09-17,0,0.0,2.810952258932813
2011-09-18,0,0.0,0.587622561178125
2011-09-19,0,0.0,-0.3063494017656251
2011-09-20,1,0.0,5.811733708417187
2011-09-21,0,0.0,0.26819919239218726
2011-09-22,0,0.0,-0.4521747625
2011-09-23,0,0.0,1.71730351625
2011-09-24,0,0.0,-0.4084864142656246
2011-09-25,0,0.0,-0.25556048783281204
2011-09-26,0,0.0,-0.18685369562343718
2011-09-27,2,0.0,0.8705519574640629
2011-09-28,0,0.0,-0.2007370743437498
2011-09-29,0,0.0,-0.1312854532312498
2011-09-30,0,2.0,-0.05908624503593743
2011-10-01,0,0.0,-0.039799126031249875
2011-10-02,0,0.0,-0.032914455071874904
2011-10-03,0,1.0,-0.01316201249999996
2011-10-04,0,2.0,1.98890630375
2011-10-05,0,0.0,0.7904316869843748
2011-10-06,0,2.0,-0.19839885253593764
2011-10-07,0,0.0,0.8979999999999999
2011-10-08,0,0.0,-0.16982499999999995
2011-10-09,0,0.0,-0.09789599999999984
2011-10-10,0,0.0,-0.07094077499999989
2011-10-11,0,0.0,0.9439880950000001
2011-10-12,0,0.0,0.8536529277187501
2011-10-13,0,0.0,3.8154719694125
2011-10-14,0,1.0,3.5070074512140623
2011-10-15,0,0.0,2.3612691869843747
2011-10-16,0,0.0,1.3608218974640622
2011-10-17,0,0.0,-0.5609287625
2011-10-18,1,1.0,3.6531272912500006
2011-10-19,0,1.0,6.343235440734375
2011-10-20,0,0.0,-0.0846652505515626
2011-10-21,0,0.0,-0.6917664270984374
2011-10-22,0,0.0,-0.45862377595624954
2011-10-23,0,3.0,-0.32209224169062406
2011-10-24,1,0.0,1.7695390163609384
2011-10-25,0,1.0,1.6305766724281252
2011-10-26,0,0.0,0.5809088616875001
2011-10-27,0,2.0,1.6413327024968751
2011-10-28,0,0.0,1.5883147192328124
2011-10-29,0,2.0,-0.4004573525359375
2011-10-30,0,3.0,-0.22622002499999988
2011-10-31,0,0.0,1.8370468325000002
2011-11-01,0,0.0,-0.32804453103124975
2011-11-02,0,0.0,-0.19558555235312475
2011-11-03,2,0.0,1.8681225644125001
2011-11-04,3,0.0,-0.2910478710671874
2011-11-05,0,0.0,-0.15816783110312488
2011-11-06,0,1.0,0.8998782699281251
2011-11-07,0,0.0,0.8364876075000001
2011-11-08,0,0.0,12.80362987396875
2011-11-09,0,0.0,1.583378269928124
2011-11-10,0,0.0,6.0436501074999995
2011-11-11,0,0.0,3.7385841239687494
2011-11-12,0,0.0,-1.2151889675718746
2011-11-13,0,0.0,-0.7202609587499994
