,microsoft/vscode,pulsar-edit/pulsar,neovim/neovim
2020-07-08,49,2,1
2020-07-09,45,0,0
2020-07-10,40,8,7
2020-07-11,9,12,2
2020-07-12,7,1,0
2020-07-13,59,14,0
2020-07-14,43,7,0
2020-07-15,31,0,4
2020-07-16,57,19,0
2020-07-17,50,13,0
2020-07-18,10,3,1
2020-07-19,0,2,20
2020-07-20,46,0,7
2020-07-21,60,2,5
2020-07-22,79,2,0
2020-07-23,49,0,6
2020-07-24,31,0,3
2020-07-25,5,8,0
2020-07-26,5,1,1
2020-07-27,33,0,0
2020-07-28,37,0,3
2020-07-29,40,1,1
2020-07-30,37,0,2
2020-07-31,33,3,6
2020-08-01,3,0,0
2020-08-02,1,4,22
2020-08-03,54,0,1
2020-08-04,20,1,0
2020-08-05,71,0,0
2020-08-06,37,0,0
2020-08-07,17,1,0
2020-08-08,8,0,4
2020-08-09,8,0,1
2020-08-10,52,0,2
2020-08-11,58,1,2
2020-08-12,69,2,0
2020-08-13,55,9,7
2020-08-14,19,5,19
2020-08-15,4,1,9
2020-08-16,5,0,2
2020-08-17,30,8,4
2020-08-18,42,1,1
2020-08-19,46,3,1
2020-08-20,39,3,1
2020-08-21,53,7,0
2020-08-22,2,5,3
2020-08-23,1,13,11
2020-08-24,42,7,3
2020-08-25,43,3,2
2020-08-26,59,1,5
2020-08-27,55,2,1
2020-08-28,56,3,1
2020-08-29,7,10,0
2020-08-30,16,4,10
2020-08-31,77,16,18
2020-09-01,43,0,5
2020-09-02,60,0,6
2020-09-03,41,1,11
2020-09-04,37,4,19
2020-09-05,12,17,9
2020-09-06,5,6,23
2020-09-07,49,6,1
2020-09-08,80,3,3
2020-09-09,87,9,11
2020-09-10,63,14,6
2020-09-11,40,34,31
2020-09-12,3,0,10
2020-09-13,1,0,18
2020-09-14,39,39,7
2020-09-15,40,6,0
2020-09-16,88,30,8
2020-09-17,55,31,4
2020-09-18,55,22,2
2020-09-19,10,1,13
2020-09-20,1,0,2
2020-09-21,38,0,4
2020-09-22,47,6,1
2020-09-23,42,16,0
2020-09-24,37,7,9
2020-09-25,42,2,0
2020-09-26,1,3,5
2020-09-27,12,4,2
2020-09-28,65,4,2
2020-09-29,21,6,5
2020-09-30,57,22,10
2020-10-01,47,12,14
2020-10-02,14,14,5
2020-10-03,19,2,6
2020-10-04,2,1,4
2020-10-05,50,4,14
2020-10-06,37,6,16
2020-10-07,34,4,10
2020-10-08,26,5,7
2020-10-09,40,3,2
2020-10-10,6,1,10
2020-10-11,5,1,13
2020-10-12,28,2,8
2020-10-13,33,5,1
2020-10-14,43,5,6
2020-10-15,27,1,4
2020-10-16,29,1,4
2020-10-17,8,1,15
2020-10-18,1,0,5
2020-10-19,33,4,2
2020-10-20,55,8,4
2020-10-21,41,10,7
2020-10-22,58,5,13
2020-10-23,61,5,5
2020-10-24,6,2,4
2020-10-25,15,1,19
2020-10-26,80,2,5
2020-10-27,49,1,1
2020-10-28,78,0,6
2020-10-29,33,3,5
2020-10-30,28,16,4
2020-10-31,1,32,2
2020-11-01,0,0,21
2020-11-02,61,2,7
2020-11-03,59,2,14
2020-11-04,85,1,12
2020-11-05,73,0,4
2020-11-06,49,7,1
2020-11-07,4,1,13
2020-11-08,3,0,12
2020-11-09,86,0,9
2020-11-10,93,0,7
2020-11-11,79,0,4
2020-11-12,58,0,5
2020-11-13,63,0,17
2020-11-14,0,0,7
2020-11-15,7,0,6
2020-11-16,50,0,13
2020-11-17,52,0,2
2020-11-18,72,5,4
2020-11-19,45,0,4
2020-11-20,60,0,10
2020-11-21,4,0,14
2020-11-22,7,0,22
2020-11-23,44,0,19
2020-11-24,76,1,9
2020-11-25,79,0,24
2020-11-26,62,42,7
2020-11-27,51,0,4
2020-11-28,6,0,8
2020-11-29,0,0,7
2020-11-30,43,0,7
2020-12-01,45,0,16
2020-12-02,68,0,2
2020-12-03,36,0,7
2020-12-04,31,0,12
2020-12-05,5,0,17
2020-12-06,3,0,10
2020-12-07,22,1,11
2020-12-08,38,1,1
2020-12-09,44,1,9
2020-12-10,49,3,5
2020-12-11,96,1,9
2020-12-12,2,0,19
2020-12-13,4,0,3
2020-12-14,94,0,6
2020-12-15,86,0,6
2020-12-16,85,0,7
2020-12-17,83,0,2
2020-12-18,102,0,1
2020-12-19,5,0,11
2020-12-20,0,0,13
2020-12-21,34,0,5
2020-12-22,46,0,14
2020-12-23,33,0,8
2020-12-24,31,0,9
2020-12-25,7,0,5
2020-12-26,1,0,6
2020-12-27,0,0,8
2020-12-28,18,0,4
2020-12-29,24,0,6
2020-12-30,15,0,18
2020-12-31,13,0,8
2021-01-01,0,0,30
2021-01-02,2,0,8
2021-01-03,1,0,10
2021-01-04,40,1,5
2021-01-05,79,0,10
2021-01-06,67,1,4
2021-01-07,64,1,1
2021-01-08,55,0,0
2021-01-09,5,0,2
2021-01-10,1,0,2
2021-01-11,68,0,7
2021-01-12,64,2,3
2021-01-13,79,0,4
2021-01-14,58,0,2
2021-01-15,79,1,2
2021-01-16,8,0,3
2021-01-17,0,0,10
2021-01-18,61,2,10
2021-01-19,63,3,1
2021-01-20,55,2,11
2021-01-21,94,3,1
2021-01-22,73,1,10
2021-01-23,4,0,4
2021-01-24,5,0,2
2021-01-25,63,3,2
2021-01-26,41,2,3
2021-01-27,64,2,7
2021-01-28,73,2,2
2021-01-29,13,4,5
2021-01-30,4,0,12
2021-01-31,0,0,14
2021-02-01,72,2,1
2021-02-02,89,1,4
2021-02-03,82,0,4
2021-02-04,101,3,11
2021-02-05,79,0,1
2021-02-06,6,0,11
2021-02-07,2,0,10
2021-02-08,51,1,4
2021-02-09,95,6,2
2021-02-10,77,0,11
2021-02-11,105,0,5
2021-02-12,92,0,1
