,facebook/docusaurus,docsifyjs/docsify,mkdocs/mkdocs
2022-08-30,0.9207799750000003,1,0
2022-08-31,3.8353718325,0,0
2022-09-01,0.5005139689687498,0,2
2022-09-02,3.644471972646875,0,6
2022-09-03,0.39397148191249964,0,3
2022-09-04,0.5843343974640627,0,2
2022-09-05,-0.3572915124999999,0,4
2022-09-06,-0.23600849624999953,0,0
2022-09-07,5.819265389484375,0,3
2022-09-08,5.252806899151563,0,0
2022-09-09,-0.9868172706593754,0,4
2022-09-10,-0.5119278133484376,0,1
2022-09-11,0.6507675805906254,0,2
2022-09-12,0.6613573344484382,0,1
2022-09-13,-0.32907142753593704,0,0
2022-09-14,-0.21903425249999964,0,4
2022-09-15,-0.1731345555937496,0,0
2022-09-16,-0.14458224330937458,0,0
2022-09-17,-0.07967187771562477,2,1
2022-09-18,-0.024255708749999928,0,4
2022-09-19,1.979337990734375,0,9
2022-09-20,-0.21796716555156265,1,0
2022-09-21,-0.09839885253593754,0,0
2022-09-22,0.943,0,1
2022-09-23,-0.14132499999999992,0,0
2022-09-24,-0.07723349999999993,0,2
2022-09-25,-0.05482402499999994,0,15
2022-09-26,-0.04284989249999986,0,4
2022-09-27,-0.035253376031249894,0,2
2022-09-28,3.970040282428125,0,0
2022-09-29,1.5889063037499997,0,0
2022-09-30,-0.3895683130156253,0,0
2022-10-01,-0.21239885253593763,0,0
2022-10-02,1.8603500000000002,0,3
2022-10-03,-0.30579199999999984,0,1
2022-10-04,-0.1748815499999998,0,0
2022-10-05,2.87230119,0,0
2022-10-06,1.5982143554375001,0,1
