,pulsar-edit/pulsar,neovim/neovim,microsoft/vscode
2016-07-15,3,2,37
2016-07-16,3,2,8
2016-07-17,1,3,0
2016-07-18,4,4,20
2016-07-19,7,2,23
2016-07-20,10,3,33
2016-07-21,20,0,35
2016-07-22,15,0,29
2016-07-23,0,0,0
2016-07-24,2,7,1
2016-07-25,24,2,49
2016-07-26,14,0,25
2016-07-27,33,2,29
2016-07-28,35,3,19
2016-07-29,34,3,3
2016-07-30,1,14,2
2016-07-31,1,2,0
2016-08-01,12,10,0
2016-08-02,41,0,20
2016-08-03,19,1,41
2016-08-04,15,6,34
2016-08-05,21,5,16
2016-08-06,10,2,2
2016-08-07,4,17,0
2016-08-08,33,7,44
2016-08-09,25,6,59
2016-08-10,15,5,12
2016-08-11,45,9,7
2016-08-12,43,0,53
2016-08-13,8,2,0
2016-08-14,1,13,2
2016-08-15,22,3,28
2016-08-16,23,0,48
2016-08-17,20,11,65
2016-08-18,8,4,56
2016-08-19,19,1,35
2016-08-20,1,4,9
2016-08-21,0,5,4
2016-08-22,1,10,49
2016-08-23,17,0,92
2016-08-24,0,8,51
2016-08-25,14,3,55
2016-08-26,14,16,64
2016-08-27,2,0,6
2016-08-28,6,0,11
2016-08-29,21,7,86
2016-08-30,21,0,16
2016-08-31,5,14,75
2016-09-01,9,2,47
2016-09-02,4,2,19
2016-09-03,0,5,12
2016-09-04,0,7,4
2016-09-05,0,6,57
2016-09-06,4,2,40
2016-09-07,25,0,60
2016-09-08,11,2,43
2016-09-09,15,0,36
2016-09-10,2,6,13
2016-09-11,4,5,18
2016-09-12,13,4,53
2016-09-13,5,7,43
2016-09-14,7,1,42
2016-09-15,13,8,54
2016-09-16,8,2,33
2016-09-17,3,3,3
2016-09-18,0,6,4
2016-09-19,3,2,35
2016-09-20,16,5,56
2016-09-21,17,5,71
2016-09-22,26,4,58
2016-09-23,1,5,74
2016-09-24,4,10,3
2016-09-25,0,7,5
2016-09-26,3,0,70
2016-09-27,2,8,41
2016-09-28,1,7,75
2016-09-29,37,1,48
2016-09-30,3,3,12
2016-10-01,2,4,3
2016-10-02,0,2,1
2016-10-03,2,0,28
2016-10-04,3,7,41
2016-10-05,3,0,38
2016-10-06,12,3,35
2016-10-07,35,9,41
2016-10-08,5,4,22
2016-10-09,0,3,3
2016-10-10,29,4,23
2016-10-11,14,4,18
2016-10-12,18,18,14
2016-10-13,0,4,44
2016-10-14,33,1,55
2016-10-15,8,14,1
2016-10-16,4,5,7
2016-10-17,18,1,54
2016-10-18,4,5,58
2016-10-19,5,6,50
2016-10-20,2,5,76
2016-10-21,5,3,150
2016-10-22,1,15,9
2016-10-23,0,1,17
2016-10-24,2,8,91
2016-10-25,7,6,51
2016-10-26,8,5,61
2016-10-27,10,0,36
2016-10-28,8,5,43
2016-10-29,10,3,6
2016-10-30,7,6,5
2016-10-31,9,4,46
2016-11-01,15,0,60
2016-11-02,6,9,38
2016-11-03,7,3,63
2016-11-04,6,1,52
2016-11-05,2,6,5
2016-11-06,3,0,2
2016-11-07,6,0,53
2016-11-08,1,13,50
2016-11-09,1,2,54
2016-11-10,6,2,58
2016-11-11,17,3,60
2016-11-12,2,4,2
2016-11-13,1,1,0
2016-11-14,4,4,39
2016-11-15,10,12,44
2016-11-16,15,15,38
2016-11-17,7,4,45
2016-11-18,5,1,46
2016-11-19,2,2,4
2016-11-20,3,2,1
2016-11-21,15,4,45
2016-11-22,1,0,51
2016-11-23,9,4,63
2016-11-24,9,10,37
2016-11-25,0,4,37
2016-11-26,0,4,3
2016-11-27,10,2,8
2016-11-28,17,1,35
2016-11-29,6,10,72
2016-11-30,24,1,62
2016-12-01,13,14,54
2016-12-02,6,1,73
2016-12-03,0,7,21
2016-12-04,2,5,11
2016-12-05,8,1,94
2016-12-06,11,3,28
2016-12-07,5,17,87
2016-12-08,5,5,50
2016-12-09,8,8,28
2016-12-10,5,8,11
2016-12-11,1,6,3
2016-12-12,10,39,52
2016-12-13,12,3,48
2016-12-14,15,5,33
2016-12-15,12,3,16
2016-12-16,5,3,25
2016-12-17,2,0,11
2016-12-18,0,1,3
2016-12-19,0,1,39
2016-12-20,8,0,39
2016-12-21,2,0,42
2016-12-22,9,5,10
2016-12-23,4,6,26
2016-12-24,0,4,2
2016-12-25,0,0,0
2016-12-26,2,4,1
2016-12-27,1,38,17
2016-12-28,7,17,21
2016-12-29,3,1,18
2016-12-30,1,0,25
2016-12-31,11,8,13
2017-01-01,2,6,3
2017-01-02,7,13,5
2017-01-03,5,35,29
2017-01-04,9,23,41
2017-01-05,7,9,30
2017-01-06,5,10,39
2017-01-07,9,16,14
2017-01-08,1,15,6
2017-01-09,9,6,63
2017-01-10,12,21,47
2017-01-11,10,6,61
2017-01-12,10,6,63
2017-01-13,6,14,71
2017-01-14,4,6,11
2017-01-15,1,8,14
2017-01-16,0,4,67
2017-01-17,2,2,88
2017-01-18,15,5,58
2017-01-19,24,13,75
2017-01-20,12,8,119
2017-01-21,0,4,35
2017-01-22,0,9,6
2017-01-23,6,12,78
2017-01-24,7,1,48
2017-01-25,18,1,103
2017-01-26,5,3,58
2017-01-27,1,0,37
2017-01-28,1,1,1
2017-01-29,0,0,2
2017-01-30,0,1,27
2017-01-31,1,6,55
2017-02-01,3,7,36
2017-02-02,2,2,67
2017-02-03,2,8,34
2017-02-04,0,24,11
2017-02-05,1,1,6
2017-02-06,21,8,48
2017-02-07,10,5,34
2017-02-08,1,1,42
2017-02-09,4,3,43
2017-02-10,2,20,52
2017-02-11,3,4,7
2017-02-12,0,6,3
2017-02-13,17,15,22
2017-02-14,13,8,29
2017-02-15,13,29,59
2017-02-16,6,10,83
2017-02-17,5,5,60
2017-02-18,2,4,10
2017-02-19,0,3,6
2017-02-20,3,7,85
2017-02-21,3,0,94
2017-02-22,3,1,55
2017-02-23,13,23,71
2017-02-24,10,6,46
2017-02-25,0,1,1
2017-02-26,0,11,5
2017-02-27,10,18,24
2017-02-28,12,8,31
2017-03-01,2,15,67
2017-03-02,15,4,37
2017-03-03,23,0,51
2017-03-04,7,3,5
2017-03-05,1,8,7
2017-03-06,32,12,44
2017-03-07,16,5,64
2017-03-08,20,1,57
2017-03-09,7,1,42
2017-03-10,41,1,58
2017-03-11,5,29,6
2017-03-12,1,22,6
2017-03-13,3,6,35
2017-03-14,11,1,48
2017-03-15,3,11,41
2017-03-16,13,5,52
2017-03-17,19,9,77
2017-03-18,11,8,4
2017-03-19,0,37,10
2017-03-20,10,16,70
2017-03-21,5,13,78
2017-03-22,5,43,57
2017-03-23,19,7,76
2017-03-24,22,6,76
2017-03-25,1,4,19
2017-03-26,3,60,10
2017-03-27,5,12,82
2017-03-28,24,2,17
2017-03-29,3,95,74
2017-03-30,8,22,66
2017-03-31,7,26,31
2017-04-01,1,23,3
2017-04-02,2,10,1
2017-04-03,9,7,39
2017-04-04,17,9,38
2017-04-05,24,3,49
2017-04-06,36,11,23
2017-04-07,13,11,17
2017-04-08,5,28,1
2017-04-09,1,59,3
2017-04-10,5,38,49
2017-04-11,18,14,56
2017-04-12,16,6,42
2017-04-13,7,0,42
2017-04-14,3,7,29
2017-04-15,5,13,1
2017-04-16,0,55,0
2017-04-17,10,4,7
2017-04-18,18,1,54
2017-04-19,13,14,48
2017-04-20,12,12,24
2017-04-21,2,8,41
2017-04-22,0,7,8
2017-04-23,0,9,3
2017-04-24,1,12,50
2017-04-25,4,3,99
2017-04-26,3,6,34
2017-04-27,3,3,82
2017-04-28,2,32,40
2017-04-29,0,2,2
2017-04-30,3,18,2
2017-05-01,1,20,9
2017-05-02,4,14,30
2017-05-03,46,7,32
2017-05-04,3,6,38
2017-05-05,308,2,52
2017-05-06,1,0,4
2017-05-07,2,0,1
2017-05-08,12,19,46
2017-05-09,12,3,58
2017-05-10,27,16,65
2017-05-11,31,8,34
2017-05-12,12,10,66
2017-05-13,1,17,5
2017-05-14,3,1,3
2017-05-15,18,6,46
2017-05-16,15,1,52
2017-05-17,20,2,48
2017-05-18,7,0,99
2017-05-19,13,1,65
2017-05-20,2,29,16
2017-05-21,1,6,12
2017-05-22,7,9,83
2017-05-23,10,5,53
2017-05-24,22,2,86
2017-05-25,11,7,55
2017-05-26,1,0,148
2017-05-27,1,2,1
2017-05-28,0,8,1
2017-05-29,0,3,68
2017-05-30,8,1,32
2017-05-31,14,13,102
2017-06-01,39,0,76
2017-06-02,10,1,33
2017-06-03,4,57,1
2017-06-04,0,2,2
2017-06-05,6,16,14
2017-06-06,12,25,46
2017-06-07,17,8,65
2017-06-08,8,2,20
2017-06-09,5,3,48
2017-06-10,1,1,1
2017-06-11,0,4,3
2017-06-12,7,0,42
2017-06-13,7,0,50
2017-06-14,3,3,66
2017-06-15,12,5,69
2017-06-16,10,0,89
2017-06-17,0,7,15
2017-06-18,0,2,9
2017-06-19,5,2,102
2017-06-20,2,5,81
2017-06-21,0,4,74
2017-06-22,2,0,62
2017-06-23,0,0,65
2017-06-24,2,9,9
2017-06-25,0,3,13
2017-06-26,6,12,131
2017-06-27,5,9,41
2017-06-28,1,12,96
2017-06-29,2,3,59
2017-06-30,6,3,45
2017-07-01,0,5,1
2017-07-02,0,17,0
2017-07-03,2,6,38
2017-07-04,2,24,16
2017-07-05,5,0,27
2017-07-06,2,7,51
2017-07-07,4,5,42
2017-07-08,0,11,2
2017-07-09,0,5,1
2017-07-10,6,2,50
2017-07-11,1,0,50
2017-07-12,11,3,69
2017-07-13,29,2,52
2017-07-14,7,12,39
2017-07-15,0,16,10
2017-07-16,2,16,5
2017-07-17,10,10,80
2017-07-18,8,0,80
2017-07-19,7,2,64
2017-07-20,3,2,90
2017-07-21,8,1,51
2017-07-22,0,5,6
2017-07-23,1,10,13
2017-07-24,2,2,45
2017-07-25,0,5,67
2017-07-26,0,10,71
2017-07-27,1,6,35
2017-07-28,1,3,48
2017-07-29,0,12,10
2017-07-30,0,8,23
2017-07-31,8,5,31
2017-08-01,86,0,20
2017-08-02,18,4,26
2017-08-03,26,3,31
2017-08-04,14,7,13
2017-08-05,2,5,2
2017-08-06,4,16,1
2017-08-07,13,0,9
2017-08-08,11,1,24
2017-08-09,15,7,38
2017-08-10,8,5,24
2017-08-11,7,3,42
2017-08-12,15,12,13
2017-08-13,3,23,5
2017-08-14,8,7,33
2017-08-15,17,11,58
2017-08-16,21,25,50
2017-08-17,18,1,39
2017-08-18,15,7,50
2017-08-19,4,1,10
2017-08-20,5,7,11
2017-08-21,12,8,47
2017-08-22,14,12,46
2017-08-23,18,0,41
2017-08-24,9,4,39
2017-08-25,4,1,50
2017-08-26,5,5,19
2017-08-27,0,0,5
2017-08-28,14,0,96
2017-08-29,19,0,35
2017-08-30,14,3,72
2017-08-31,11,1,44
2017-09-01,6,0,29
2017-09-02,2,0,3
2017-09-03,0,3,11
2017-09-04,3,4,66
2017-09-05,11,15,34
2017-09-06,11,2,55
2017-09-07,13,1,62
2017-09-08,9,0,85
2017-09-09,15,7,11
2017-09-10,36,4,12
2017-09-11,5,2,36
2017-09-12,37,2,56
2017-09-13,4,1,55
2017-09-14,12,1,45
2017-09-15,8,0,62
2017-09-16,7,3,5
2017-09-17,5,12,12
2017-09-18,7,0,63
2017-09-19,33,1,80
2017-09-20,26,0,67
2017-09-21,22,0,70
2017-09-22,9,1,69
2017-09-23,8,5,7
2017-09-24,3,14,8
2017-09-25,9,0,90
2017-09-26,0,9,74
2017-09-27,19,8,88
2017-09-28,11,5,50
2017-09-29,9,0,25
2017-09-30,4,6,1
2017-10-01,5,6,1
2017-10-02,4,3,52
2017-10-03,15,2,45
2017-10-04,0,1,65
2017-10-05,19,4,44
2017-10-06,9,0,30
2017-10-07,4,9,4
2017-10-08,1,20,3
2017-10-09,4,3,21
2017-10-10,3,3,67
2017-10-11,6,0,49
2017-10-12,0,0,49
2017-10-13,4,0,62
2017-10-14,4,2,5
2017-10-15,10,39,2
2017-10-16,7,15,56
2017-10-17,15,4,39
2017-10-18,9,1,66
2017-10-19,19,8,43
2017-10-20,8,1,76
2017-10-21,7,7,14
2017-10-22,1,6,6
2017-10-23,31,0,42
2017-10-24,14,2,75
2017-10-25,33,1,67
2017-10-26,17,23,51
2017-10-27,5,6,74
2017-10-28,3,8,12
2017-10-29,4,34,16
2017-10-30,8,3,77
2017-10-31,19,6,38
2017-11-01,25,0,74
2017-11-02,32,1,40
2017-11-03,14,1,20
2017-11-04,2,3,4
2017-11-05,1,9,5
2017-11-06,17,21,67
2017-11-07,11,31,63
2017-11-08,7,4,85
2017-11-09,8,2,55
2017-11-10,1,7,67
2017-11-11,2,6,14
2017-11-12,3,10,7
2017-11-13,13,6,51
2017-11-14,9,4,88
2017-11-15,19,0,64
2017-11-16,9,3,53
2017-11-17,21,4,64
2017-11-18,6,5,5
2017-11-19,7,16,9
2017-11-20,16,4,65
2017-11-21,18,3,50
2017-11-22,7,11,42
2017-11-23,3,2,34
2017-11-24,0,5,43
2017-11-25,0,18,7
2017-11-26,0,9,1
2017-11-27,5,6,67
2017-11-28,6,4,29
2017-11-29,16,7,46
2017-11-30,8,4,83
2017-12-01,5,3,57
2017-12-02,1,7,9
2017-12-03,0,8,5
2017-12-04,24,0,92
2017-12-05,8,16,50
2017-12-06,7,5,69
2017-12-07,26,1,51
2017-12-08,11,0,19
2017-12-09,7,1,12
2017-12-10,12,26,6
2017-12-11,4,8,74
2017-12-12,0,3,82
2017-12-13,4,5,81
2017-12-14,3,1,53
2017-12-15,2,4,66
2017-12-16,4,5,8
2017-12-17,1,13,12
2017-12-18,1,10,57
2017-12-19,1,10,39
2017-12-20,4,1,49
2017-12-21,13,2,47
2017-12-22,10,0,19
2017-12-23,0,8,3
2017-12-24,2,12,2
2017-12-25,0,0,3
2017-12-26,6,3,5
2017-12-27,10,6,11
2017-12-28,3,6,18
2017-12-29,0,6,4
2017-12-30,2,8,0
2017-12-31,3,7,4
2018-01-01,2,7,2
2018-01-02,0,4,16
2018-01-03,15,14,24
2018-01-04,16,1,48
2018-01-05,25,1,54
2018-01-06,8,8,3
2018-01-07,2,5,2
2018-01-08,16,3,40
2018-01-09,20,8,50
2018-01-10,15,3,25
2018-01-11,7,3,43
2018-01-12,9,0,61
