,flutter/flutter,facebook/react-native,NativeScript/NativeScript
2015-07-01,0.5213040640000006,11,9
2015-07-02,-0.33380413439999934,7,4
2015-07-03,-0.9875276799999991,9,4
2015-07-04,-0.5891023871999991,0,0
2015-07-05,-0.3238636543999997,1,0
2015-07-06,7.85754368,10,22
2015-07-07,-0.7146347519999996,15,18
2015-07-08,3.0644729855999997,16,6
2015-07-09,0.6653591552,15,10
2015-07-10,0.9238735871999997,17,9
2015-07-11,-1.0023573504000003,0,0
2015-07-12,-0.5793664000000004,0,0
2015-07-13,-0.42118656000000027,12,6
2015-07-14,0.6679843840000004,19,11
2015-07-15,-0.4737789951999997,17,23
2015-07-16,7.7752687616000005,10,17
2015-07-17,16.2394937344,14,4
2015-07-18,3.672685875200001,1,0
2015-07-19,-3.474474700800001,0,0
2015-07-20,8.206771199999999,8,12
2015-07-21,30.78998528,17,6
2015-07-22,20.493733888,9,10
2015-07-23,21.2801104896,12,6
2015-07-24,10.928786943999999,15,14
2015-07-25,-4.163907379200001,4,0
2015-07-26,-6.834462003200002,0,0
2015-07-27,14.718254796799997,22,11
2015-07-28,8.0693632,11,12
2015-07-29,9.978564608000001,11,8
2015-07-30,23.5194205184,13,10
2015-07-31,2.779009126400002,6,11
2015-08-01,-3.6898238464000004,6,0
2015-08-02,-3.0310391808000015,4,0
2015-08-03,13.477432217599999,7,25
2015-08-04,12.145027072000001,9,12
2015-08-05,6.103851622400001,4,1
2015-08-06,10.752721919999999,8,6
2015-08-07,32.1139674112,16,13
2015-08-08,-4.505066598399999,4,0
2015-08-09,-6.833243443200003,0,0
2015-08-10,22.9307065344,8,5
2015-08-11,41.679702835200004,17,8
2015-08-12,-3.4293987327999993,9,7
2015-08-13,20.8292819968,18,11
2015-08-14,5.6029636608,19,4
2015-08-15,-9.5890587648,5,0
2015-08-16,-5.584996249600001,1,0
2015-08-17,22.329357107199996,10,0
2015-08-18,12.003198976,8,6
2015-08-19,20.630772019200002,15,2
2015-08-20,15.715176448000001,21,1
2015-08-21,6.7898515455999995,20,1
2015-08-22,0.17339238399999957,3,0
2015-08-23,-6.636247756800002,0,1
2015-08-24,17.001185279999998,2,4
2015-08-25,41.827813888,29,7
2015-08-26,29.149506969600004,17,3
2015-08-27,8.788161024,14,6
2015-08-28,12.495094886399999,6,18
2015-08-29,-0.8877906943999996,1,0
2015-08-30,-2.818537164800002,3,0
2015-08-31,17.3468555264,14,5
2015-09-01,5.729146368,21,12
2015-09-02,12.599005593600001,13,8
2015-09-03,19.8188729344,15,12
2015-09-04,13.311012044800002,19,26
2015-09-05,-6.2125879296,5,3
2015-09-06,-5.262490112000002,7,0
2015-09-07,-3.1188184064000017,8,7
2015-09-08,5.8780292096,15,0
2015-09-09,7.861759590400002,17,8
2015-09-10,7.2259077120000015,13,11
2015-09-11,15.981807513600002,10,6
2015-09-12,-5.858987929599998,9,1
2015-09-13,-3.4831947776000014,1,1
2015-09-14,8.9373169664,14,7
2015-09-15,0.31562485760000003,26,6
2015-09-16,26.1599190016,33,7
2015-09-17,16.4094618624,12,7
2015-09-18,15.6202253312,22,21
2015-09-19,1.0040031232000004,7,1
2015-09-20,-5.649504870400001,6,0
2015-09-21,10.020677529599997,7,6
2015-09-22,22.402329088000002,25,0
2015-09-23,23.1072562176,29,5
2015-09-24,15.0353864704,35,5
2015-09-25,28.0826184704,18,10
2015-09-26,-2.548569497599999,5,0
2015-09-27,-6.1042794496000035,0,0
2015-09-28,-0.9908136960000027,3,5
2015-09-29,18.916096921599998,14,11
2015-09-30,26.6402653184,12,17
2015-10-01,30.411937484800003,29,22
2015-10-02,2.745433395199999,24,5
2015-10-03,4.493115801599998,7,0
2015-10-04,-7.962357657600002,2,0
2015-10-05,20.723789209599996,24,11
2015-10-06,27.1256921088,20,6
2015-10-07,0.8757913600000009,18,7
2015-10-08,14.9943138304,22,6
2015-10-09,12.897966592000003,30,18
2015-10-10,1.9398305792000006,9,1
2015-10-11,-3.7239661568000013,0,0
2015-10-12,19.620672512,24,10
2015-10-13,17.456849817600002,35,12
2015-10-14,9.064972697600002,40,17
2015-10-15,10.9671274496,9,20
2015-10-16,8.147989196800001,27,12
2015-10-17,-4.3390176256,5,0
2015-10-18,-1.460210483200001,5,0
2015-10-19,22.7453161472,21,10
2015-10-20,9.768267878400001,26,10
2015-10-21,12.063490048,37,17
2015-10-22,7.744062361600001,24,13
2015-10-23,19.4325146624,19,6
2015-10-24,-4.577672192,7,0
2015-10-25,-5.948462284800003,1,0
2015-10-26,34.3235119104,25,4
2015-10-27,11.692621414400003,34,2
2015-10-28,13.4414815232,34,10
2015-10-29,21.3537123328,22,20
2015-10-30,1.5884441599999999,23,20
2015-10-31,-4.566179430400002,11,0
2015-11-01,-4.847497420800002,0,0
2015-11-02,15.072076287999998,16,29
2015-11-03,32.310600704,28,14
2015-11-04,20.3526596608,22,6
2015-11-05,9.0367101952,28,8
2015-11-06,9.669487308799999,24,30
2015-11-07,4.326690201599998,9,0
2015-11-08,-4.103830323200002,3,0
2015-11-09,9.414652006399997,21,18
2015-11-10,23.2000444416,27,27
2015-11-11,13.858181734400002,18,9
2015-11-12,16.8773474304,13,12
2015-11-13,16.3081572352,21,5
2015-11-14,-6.9713398784,10,0
2015-11-15,-6.653433856000002,0,0
2015-11-16,14.765049446399999,16,9
2015-11-17,24.1475421184,29,10
2015-11-18,13.879637504000002,33,10
2015-11-19,13.97787136,13,2
2015-11-20,22.9271307264,22,2
2015-11-21,-2.9916315647999987,2,0
2015-11-22,2.027613491199997,2,0
2015-11-23,8.271958118399997,25,20
2015-11-24,13.757949952,37,7
2015-11-25,11.3954427904,16,15
2015-11-26,10.221929369600002,28,6
2015-11-27,-6.554370457599999,14,11
2015-11-28,-3.0993273856000005,1,0
2015-11-29,0.3030668288,4,0
2015-11-30,11.8558731264,19,7
2015-12-01,10.927069696,25,10
2015-12-02,14.073864192000002,25,10
2015-12-03,15.902452121600001,23,5
2015-12-04,30.828391424000003,8,10
2015-12-05,15.098098278399998,6,0
2015-12-06,-11.132429004800002,6,0
2015-12-07,24.021228851199997,11,3
2015-12-08,21.8611753984,22,10
2015-12-09,14.071255552,17,3
2015-12-10,16.4372263936,22,10
2015-12-11,-3.016024064,18,4
2015-12-12,-1.434217267200001,14,8
2015-12-13,-6.642388889599999,11,0
2015-12-14,22.9050683392,22,11
2015-12-15,21.742156800000004,36,9
2015-12-16,15.528387584000003,27,9
2015-12-17,0.49434091520000045,17,3
2015-12-18,-1.6496011264000003,18,7
2015-12-19,-5.622590259200001,5,0
2015-12-20,0.5878042623999988,7,0
2015-12-21,3.7212931071999993,9,4
2015-12-22,-0.6299146239999995,8,6
2015-12-23,-2.938331340799998,28,2
2015-12-24,0.23267225600000185,10,0
2015-12-25,-0.4653722623999985,3,0
2015-12-26,2.0552436736000006,7,0
2015-12-27,-1.1381325824,2,0
2015-12-28,3.407475712,5,1
2015-12-29,0.7699564544000006,16,0
2015-12-30,1.9823578112000002,22,0
2015-12-31,2.8797017088,6,0
2016-01-01,-1.377388544,4,0
2016-01-02,9.276549427199999,4,0
2016-01-03,-2.4812196863999993,5,0
2016-01-04,6.8430194688,24,2
2016-01-05,5.665165312,22,0
2016-01-06,12.2128518144,37,0
2016-01-07,25.5848312832,31,1
2016-01-08,7.847953100800002,18,3
2016-01-09,-2.0122326016000027,7,0
2016-01-10,2.264404479999998,3,0
2016-01-11,25.617422335999997,7,11
2016-01-12,14.339372544,17,16
2016-01-13,2.0058027007999986,12,10
2016-01-14,8.006887116799998,14,4
2016-01-15,7.837604864000001,16,8
2016-01-16,1.9012008960000006,6,0
2016-01-17,-5.679727206400001,4,0
2016-01-18,9.634379264,18,6
2016-01-19,11.948011827200002,10,13
2016-01-20,19.676936192,22,12
2016-01-21,14.580783308800001,34,3
2016-01-22,12.2764614656,17,5
2016-01-23,-3.7463644160000005,6,0
2016-01-24,2.326183935999998,1,2
2016-01-25,6.875702886399999,14,8
2016-01-26,11.421128704,10,16
2016-01-27,13.2350942208,15,5
2016-01-28,10.263141171200001,14,3
2016-01-29,6.2637863936,26,4
2016-01-30,-2.9146330111999994,3,0
2016-01-31,4.395533721599999,6,0
2016-02-01,7.364621312,22,10
2016-02-02,11.7892144128,25,8
2016-02-03,19.615619891199998,24,12
2016-02-04,17.3690386432,11,14
2016-02-05,6.443920896,11,11
2016-02-06,7.916925644799999,18,0
2016-02-07,-7.665319833600002,5,1
2016-02-08,6.684686950399998,20,5
2016-02-09,32.7266842624,20,13
2016-02-10,15.208357171200001,21,15
2016-02-11,17.470409011199997,8,17
2016-02-12,45.8304280576,25,9
2016-02-13,1.7290699776000018,3,1
2016-02-14,8.797602201599997,3,1
2016-02-15,3.7772660735999963,10,15
2016-02-16,10.445163007999998,19,5
2016-02-17,23.0020509696,16,7
2016-02-18,-4.597089587199999,15,17
2016-02-19,15.6797147136,19,9
2016-02-20,-0.9988938751999967,4,0
2016-02-21,4.630467379200001,1,0
2016-02-22,12.414975590400001,15,4
2016-02-23,14.306955161600001,10,7
2016-02-24,12.391929344000001,23,24
2016-02-25,33.145089536,12,15
2016-02-26,24.8024772608,30,1
2016-02-27,8.9650700288,3,3
2016-02-28,-6.943413657600001,2,0
2016-02-29,1.3326260223999968,14,9
2016-03-01,16.1222966272,15,8
2016-03-02,14.9299139584,19,6
2016-03-03,36.1089876992,23,2
2016-03-04,13.366701977600002,16,1
2016-03-05,-4.9965283328000005,8,0
2016-03-06,7.485026508799999,10,0
2016-03-07,9.676599500799998,13,9
2016-03-08,18.549102079999997,23,7
2016-03-09,10.6190843904,17,15
2016-03-10,21.0513763328,24,4
2016-03-11,32.2121462784,14,7
2016-03-12,14.906431385600001,4,1
2016-03-13,-4.505861427200003,5,0
2016-03-14,24.923927244799998,12,1
2016-03-15,6.425469337599999,28,5
2016-03-16,-2.6852544512000005,12,9
2016-03-17,14.117110067199999,15,7
2016-03-18,32.6102608896,15,7
2016-03-19,-7.761893990399997,5,1
2016-03-20,-8.1971864576,10,0
2016-03-21,30.093286399999997,26,12
2016-03-22,2.6525635584000025,13,8
2016-03-23,16.0437161984,15,8
2016-03-24,27.7443672064,20,14
2016-03-25,10.6302204928,9,13
2016-03-26,-1.0227299328000008,6,0
2016-03-27,2.9205850111999982,2,0
2016-03-28,11.107110297599998,1,9
2016-03-29,22.10845952,10,7
2016-03-30,14.3230976,15,7
2016-03-31,12.507482316799999,6,3
2016-04-01,17.6490916864,28,2
2016-04-02,-6.2939153408,0,0
2016-04-03,-4.934664499200003,3,0
2016-04-04,3.244296703999998,9,2
2016-04-05,6.0572087296,11,0
2016-04-06,7.631881932800002,18,3
2016-04-07,15.246025728000001,14,1
2016-04-08,11.693384704000001,10,11
2016-04-09,-4.493030195199999,8,0
2016-04-10,-4.4640602112000005,2,0
2016-04-11,7.359179263999999,17,7
2016-04-12,11.0895352832,15,4
2016-04-13,7.706944204800001,14,18
2016-04-14,4.5755805696,15,15
2016-04-15,10.056862412800001,12,16
2016-04-16,-2.7693630463999988,7,0
2016-04-17,-3.584208793600001,6,0
2016-04-18,7.858924748799999,11,11
2016-04-19,6.43328768,19,10
2016-04-20,10.951315456,10,8
2016-04-21,11.793612288000002,15,8
2016-04-22,3.9628341247999996,29,7
2016-04-23,-2.0626493440000004,8,0
2016-04-24,-1.409851392000001,9,0
2016-04-25,9.514796748799998,15,5
2016-04-26,2.90631168,11,6
2016-04-27,7.318078976,10,8
2016-04-28,9.687640576,19,5
2016-04-29,11.867543040000001,26,1
2016-04-30,-3.0371258367999996,9,0
2016-05-01,-0.6272076800000015,3,0
2016-05-02,5.180398284799999,5,10
2016-05-03,14.5465009152,12,8
2016-05-04,17.358544691200002,28,2
2016-05-05,5.5687780352,18,11
2016-05-06,2.662960537599999,11,5
2016-05-07,-4.2843165696000005,4,2
2016-05-08,-3.2458006528000007,2,1
2016-05-09,15.880168652799998,18,20
2016-05-10,8.790578892800001,14,7
2016-05-11,7.4829534208,15,3
2016-05-12,6.4311917568000005,21,1
2016-05-13,5.6365954048,13,16
2016-05-14,-4.0225656832,13,3
2016-05-15,-1.9446342656000013,2,0
2016-05-16,13.8536784896,16,8
2016-05-17,15.234440704,20,12
2016-05-18,8.4664347648,15,11
2016-05-19,7.7834153984,5,12
2016-05-20,5.935487180799999,16,15
2016-05-21,-2.665828556800001,11,0
2016-05-22,-3.742058086400001,1,0
2016-05-23,10.6242994176,20,0
2016-05-24,6.6076568576,18,0
2016-05-25,3.3256001536000017,16,11
2016-05-26,11.872069632,17,8
2016-05-27,5.542324736000001,15,8
2016-05-28,-1.9635716095999998,5,0
2016-05-29,0.7439342591999987,0,0
2016-05-30,-0.7920602112000008,1,17
2016-05-31,6.821159424,14,10
2016-06-01,8.6836630528,19,4
2016-06-02,11.8251831296,6,7
2016-06-03,12.661217484800002,18,9
2016-06-04,-4.2997417983999995,9,0
2016-06-05,-3.5299144704000014,3,1
2016-06-06,5.819296460799999,26,4
2016-06-07,14.8144850944,31,8
2016-06-08,5.548742451200001,14,14
2016-06-09,5.0015053823999995,15,5
2016-06-10,6.2618258432000005,16,5
2016-06-11,-4.8294298624,3,0
2016-06-12,-0.605902131200001,1,0
2016-06-13,8.927033139199999,17,14
2016-06-14,8.370540544,21,16
2016-06-15,4.593888460800001,17,7
2016-06-16,9.8681028608,11,8
2016-06-17,1.0160941056000006,14,12
2016-06-18,-2.7599119360000004,4,0
2016-06-19,-1.3565650944000005,0,0
2016-06-20,5.271661055999999,10,16
2016-06-21,11.342712627200001,26,7
2016-06-22,12.657024921600001,31,3
2016-06-23,11.4461955072,31,0
2016-06-24,1.8716227584,24,10
2016-06-25,0.27659530239999874,3,0
2016-06-26,-2.633836134400001,1,0
2016-06-27,1.5793406975999984,9,5
2016-06-28,6.4796409856,14,5
2016-06-29,-3.4640452607999994,9,4
2016-06-30,8.056373350400001,18,9
2016-07-01,3.713936179200002,24,6
2016-07-02,-2.0366870527999996,1,0
2016-07-03,-1.7401592832000004,1,0
2016-07-04,0.9196994559999996,5,4
2016-07-05,-1.1609206784,17,4
2016-07-06,4.2439931904,19,9
2016-07-07,3.4539710464000004,29,2
2016-07-08,8.25000704,15,2
2016-07-09,-2.933406207999999,2,1
2016-07-10,-1.3505307648000007,2,0
2016-07-11,2.1779972095999995,23,5
2016-07-12,3.8054005760000003,18,8
2016-07-13,2.2929236991999997,29,6
2016-07-14,2.29513984,22,5
2016-07-15,2.235647488,17,4
2016-07-16,-0.7628318719999996,2,0
2016-07-17,-1.1600599040000001,2,0
2016-07-18,6.33853184,11,10
2016-07-19,1.1059440640000002,11,10
2016-07-20,6.4454873088,18,8
2016-07-21,7.52914432,8,7
2016-07-22,7.7852360704,11,7
2016-07-23,-2.7879069696,3,0
2016-07-24,-2.1126747136000015,0,0
2016-07-25,4.659469209599999,10,4
2016-07-26,7.812115456000001,7,5
2016-07-27,11.7353536512,11,4
2016-07-28,4.339970252800001,10,5
2016-07-29,5.8681453567999995,13,7
2016-07-30,-4.229101055999999,3,0
2016-07-31,-2.265483366400001,7,0
2016-08-01,1.516242329599999,8,4
2016-08-02,5.272150528,26,3
2016-08-03,0.44818677760000014,21,3
2016-08-04,8.998862336,27,2
2016-08-05,20.637403136000003,17,3
2016-08-06,-5.3919092736,4,0
2016-08-07,-3.113531904000002,4,1
2016-08-08,5.128010239999998,13,1
2016-08-09,10.241767423999999,20,1
2016-08-10,1.7799170047999997,10,0
2016-08-11,10.5915302912,14,2
2016-08-12,0.23845703679999986,10,3
2016-08-13,-1.5229466623999999,3,0
2016-08-14,-2.4622217216,1,0
2016-08-15,7.5798532095999995,18,2
2016-08-16,8.135161856,18,4
2016-08-17,8.2232307712,18,5
2016-08-18,6.6493820928,12,2
2016-08-19,5.6078647296,15,0
2016-08-20,-3.335786905600001,1,0
2016-08-21,-2.487077376000001,2,0
2016-08-22,4.3619720191999996,9,7
2016-08-23,4.574275072000001,11,3
2016-08-24,5.1327135744,14,1
2016-08-25,5.8261666816,9,1
2016-08-26,3.5248069632000005,10,0
2016-08-27,-2.1903826943999998,4,0
2016-08-28,-1.9012060160000006,0,0
2016-08-29,6.820280729599999,10,9
2016-08-30,3.5187322880000003,12,5
2016-08-31,3.4528449536,11,7
2016-09-01,7.4127347712,9,7
2016-09-02,2.5950399488,12,2
2016-09-03,-1.9237528576000003,4,0
2016-09-04,-1.7799195648000006,2,0
2016-09-05,-1.1276719104000006,11,2
2016-09-06,-0.8441948159999999,29,0
2016-09-07,3.3212546048000005,14,2
2016-09-08,6.721481625600001,13,2
2016-09-09,12.739317657600001,22,2
2016-09-10,-4.059946495999999,2,0
2016-09-11,-1.807603814400001,2,0
2016-09-12,7.8965866496,14,3
2016-09-13,4.4099968,9,2
2016-09-14,4.265822719999999,14,6
2016-09-15,8.108603392,14,9
2016-09-16,11.182720102400001,11,10
2016-09-17,-3.996594483199999,0,12
2016-09-18,-2.712851456000001,1,0
2016-09-19,5.356305919999999,19,4
2016-09-20,14.376125952,15,5
2016-09-21,7.0672180224000005,8,6
2016-09-22,12.197838643199999,9,0
2016-09-23,0.06892011519999919,18,0
2016-09-24,-2.2558572544000004,4,0
2016-09-25,-1.8777415680000007,1,0
2016-09-26,12.996122009599999,19,6
2016-09-27,7.554674176000001,12,10
2016-09-28,4.2492972032,12,9
2016-09-29,1.6403694592000004,8,7
2016-09-30,4.4378227712000005,14,3
2016-10-01,-1.6508274687999998,2,0
2016-10-02,-1.363782246400001,1,0
2016-10-03,8.2862031872,7,4
2016-10-04,7.786719129600001,12,3
2016-10-05,5.045905920000001,9,7
2016-10-06,4.2112156672,6,2
2016-10-07,2.4156422143999996,11,7
2016-10-08,-2.1411600384000002,1,0
2016-10-09,-1.9970409472000006,4,0
2016-10-10,1.7000655871999995,4,1
2016-10-11,6.419712409600001,21,9
2016-10-12,1.374454784000001,17,1
2016-10-13,11.865825177600001,9,5
2016-10-14,7.045885030400001,16,5
2016-10-15,0.9395842048,8,0
2016-10-16,-0.041178214400001245,8,0
2016-10-17,9.6727760896,8,7
2016-10-18,6.132603904,14,5
2016-10-19,6.9408841728,12,9
2016-10-20,12.5765234688,12,10
2016-10-21,6.2205487104,6,3
2016-10-22,-5.4091877376,3,0
2016-10-23,1.0940128255999988,3,0
2016-10-24,8.258985471999999,14,13
2016-10-25,6.0386434048,10,13
2016-10-26,-0.20542484479999956,17,7
2016-10-27,8.921741824,15,5
2016-10-28,6.743381401600001,7,7
2016-10-29,-1.435242700799999,7,0
2016-10-30,-2.887815884800001,1,0
2016-10-31,5.278623231999999,14,13
2016-11-01,16.320843366400002,17,3
2016-11-02,13.6644115456,23,9
2016-11-03,9.657310208,16,4
2016-11-04,-3.3372102656000004,13,5
2016-11-05,-3.9678291968000012,7,0
2016-11-06,-1.454911590400001,2,0
2016-11-07,7.089173708799999,13,10
2016-11-08,4.800155136,23,7
2016-11-09,5.546271539200001,12,1
2016-11-10,12.252001894400001,19,13
2016-11-11,-1.1498372095999985,26,6
2016-11-12,-0.27372554240000113,4,0
2016-11-13,-2.432881971200001,1,0
2016-11-14,4.470417407999999,31,6
2016-11-15,10.6517922816,32,5
2016-11-16,10.0105288704,19,4
2016-11-17,0.21360506879999974,15,3
2016-11-18,4.5829791744,17,1
2016-11-19,-1.5698566144,4,0
2016-11-20,-2.2979813376000005,5,0
2016-11-21,5.525953228799999,22,13
2016-11-22,13.515143168,17,3
2016-11-23,4.367537561600001,30,6
2016-11-24,-2.0786655231999998,8,5
2016-11-25,-2.5459808256000005,5,4
2016-11-26,-1.5196538880000001,2,0
2016-11-27,1.9214921728,2,0
2016-11-28,6.6326894592,23,4
2016-11-29,6.553527296,17,6
2016-11-30,8.9053130752,20,5
2016-12-01,0.032347545600000416,10,4
2016-12-02,2.3215924223999993,20,3
2016-12-03,-1.4889131008000005,6,0
2016-12-04,-0.6392345600000007,3,0
2016-12-05,4.6767319039999995,16,7
2016-12-06,8.8518601728,14,1
2016-12-07,-0.40336005119999907,10,2
2016-12-08,1.7181364224000002,25,0
2016-12-09,5.8926185472,4,0
2016-12-10,-1.7459874815999998,2,0
2016-12-11,-0.6299299840000006,2,0
2016-12-12,4.771857817599999,5,4
2016-12-13,1.9547800576000003,6,21
2016-12-14,0.06853570560000044,13,1
2016-12-15,4.5214007296,4,7
2016-12-16,1.9700625408000003,22,4
2016-12-17,-1.8659506175999998,2,0
2016-12-18,-0.030986035200000206,1,0
2016-12-19,1.1451954175999997,254,16
2016-12-20,0.025023897600000233,4,19
2016-12-21,0.20106280960000023,13,14
2016-12-22,-0.6715283456,11,10
2016-12-23,-0.39970785279999976,5,0
2016-12-24,-0.2854677503999996,0,0
2016-12-25,-0.16679772159999992,0,0
2016-12-26,-0.094205952,2,0
2016-12-27,-0.07860029439999987,2,20
2016-12-28,-0.05625313279999988,0,12
2016-12-29,-0.026857062399999902,4,2
2016-12-30,-0.012469350399999964,4,8
2016-12-31,0.0,1,0
2017-01-01,0.0,0,0
2017-01-02,0.0,3,0
2017-01-03,2.0,6,19
2017-01-04,2.6,6,18
2017-01-05,15.24,4,7
2017-01-06,7.464,17,14
2017-01-07,-2.6912000000000003,7,0
2017-01-08,-1.9998720000000014,4,0
2017-01-09,4.736934399999999,19,8
2017-01-10,17.87868416,11,6
2017-01-11,9.799087616000001,14,10
2017-01-12,5.5228178431999995,11,11
2017-01-13,3.9641658367999995,13,12
2017-01-14,-2.5999171584000003,7,0
2017-01-15,-2.936843366400001,2,0
2017-01-16,-1.8672456704000011,5,9
2017-01-17,4.589411328,1,1
2017-01-18,2.6617880576000017,10,3
2017-01-19,11.633672192000002,10,0
2017-01-20,5.973496832000001,13,1
2017-01-21,0.13789429759999994,6,0
2017-01-22,1.2657844223999994,1,0
2017-01-23,11.654408499199999,13,4
2017-01-24,8.79079168,9,0
2017-01-25,11.241276928,12,5
2017-01-26,7.2634392576,15,1
2017-01-27,14.40869888,13,2
2017-01-28,-1.0701741055999996,4,0
2017-01-29,-3.829522432000001,3,0
2017-01-30,2.904647270399999,12,1
2017-01-31,12.6298184704,21,0
2017-02-01,7.661666918400001,12,2
2017-02-02,17.6242556928,20,2
2017-02-03,5.517206937600001,19,1
2017-02-04,7.673339084799999,3,0
2017-02-05,-5.2645888,2,0
2017-02-06,4.433607065599999,14,1
2017-02-07,17.9886744576,12,3
2017-02-08,17.1147027456,6,15
2017-02-09,19.6234571776,21,12
2017-02-10,4.130594508800002,18,3
2017-02-11,-4.866726195200002,9,0
2017-02-12,-1.976078643200001,0,0
2017-02-13,6.160530022399999,15,3
2017-02-14,21.4403419136,20,0
2017-02-15,13.0031638528,21,5
2017-02-16,2.6830098432000007,18,5
2017-02-17,10.4590111744,14,10
2017-02-18,-0.07959633920000009,5,0
2017-02-19,-3.1303382016000008,1,0
2017-02-20,0.5371568127999984,13,12
2017-02-21,10.8015193088,6,12
2017-02-22,12.035736064000002,18,14
2017-02-23,7.882219417600002,11,10
2017-02-24,6.1316509696,16,6
2017-02-25,-4.4496425984000005,0,0
2017-02-26,-1.1889655808000006,0,0
2017-02-27,2.5697170431999994,26,2
2017-02-28,10.3645427712,32,5
2017-03-01,15.7389051904,20,2
2017-03-02,7.725982310400001,19,4
2017-03-03,3.1199716352000006,14,0
2017-03-04,9.1505122304,3,0
2017-03-05,-4.4959853568,7,0
2017-03-06,7.875427225599998,19,8
2017-03-07,8.662595379199999,17,7
2017-03-08,11.897851392,18,9
2017-03-09,5.7702069248,21,11
2017-03-10,11.331705344,20,10
2017-03-11,-6.4551591936,2,1
2017-03-12,-3.394463641600001,1,0
2017-03-13,12.7059610624,10,10
2017-03-14,9.3842968576,21,10
2017-03-15,12.7087850496,13,15
2017-03-16,3.6028971008,17,11
2017-03-17,15.7116142592,15,6
2017-03-18,-5.111663308799999,8,0
2017-03-19,-1.0407149568000023,2,0
2017-03-20,11.896448,22,6
2017-03-21,1.8825318400000004,17,11
2017-03-22,7.7551068160000005,24,5
2017-03-23,9.136306278400001,22,3
2017-03-24,4.5587478528,13,5
2017-03-25,-2.8362152959999998,6,0
2017-03-26,-1.1017959424000008,1,0
