,python/cpython,rust-lang/rust,JuliaLang/julia
2014-11-16,0,42,17
2014-11-17,2,62,9
2014-11-18,8,42,28
2014-11-19,4,73,26
2014-11-20,8,38,29
2014-11-21,6,55,22
2014-11-22,7,18,12
2014-11-23,10,46,15
2014-11-24,10,25,13
2014-11-25,6,36,40
2014-11-26,9,33,9
2014-11-27,20,45,13
2014-11-28,17,11,15
2014-11-29,2,7,9
2014-11-30,7,16,20
2014-12-01,23,12,7
2014-12-02,10,18,20
2014-12-03,4,33,12
2014-12-04,8,41,15
2014-12-05,20,60,15
2014-12-06,12,17,6
2014-12-07,7,51,13
2014-12-08,12,27,22
2014-12-09,2,42,29
2014-12-10,15,20,32
2014-12-11,10,17,12
2014-12-12,20,24,23
2014-12-13,12,122,26
2014-12-14,2,79,23
2014-12-15,17,47,22
2014-12-16,10,37,11
2014-12-17,8,63,15
2014-12-18,6,41,6
2014-12-19,7,103,11
2014-12-20,6,45,11
2014-12-21,2,57,15
2014-12-22,6,62,7
2014-12-23,3,26,5
2014-12-24,6,22,9
2014-12-25,4,35,13
2014-12-26,6,30,8
2014-12-27,3,27,6
2014-12-28,2,35,30
2014-12-29,3,63,5
2014-12-30,10,126,18
2014-12-31,0,42,16
2015-01-01,7,49,21
2015-01-02,0,70,51
2015-01-03,7,61,30
2015-01-04,9,60,37
2015-01-05,6,127,26
2015-01-06,21,136,24
2015-01-07,13,78,14
2015-01-08,12,109,28
2015-01-09,20,43,15
2015-01-10,1,33,13
2015-01-11,10,48,23
2015-01-12,1,86,23
2015-01-13,12,32,29
2015-01-14,12,34,23
2015-01-15,38,91,20
2015-01-16,0,50,28
2015-01-17,7,44,6
2015-01-18,17,46,36
2015-01-19,3,43,28
2015-01-20,6,72,14
2015-01-21,9,96,10
2015-01-22,11,51,23
2015-01-23,15,28,8
2015-01-24,2,43,13
2015-01-25,8,22,38
2015-01-26,43,31,12
2015-01-27,11,66,18
2015-01-28,13,44,12
2015-01-29,27,40,8
2015-01-30,10,65,15
2015-01-31,13,28,28
2015-02-01,17,36,17
2015-02-02,31,51,36
2015-02-03,15,43,44
2015-02-04,10,21,24
2015-02-05,12,49,9
2015-02-06,22,71,24
2015-02-07,8,35,16
2015-02-08,12,18,23
2015-02-09,6,21,29
2015-02-10,8,66,30
2015-02-11,11,75,21
2015-02-12,4,39,33
2015-02-13,6,46,9
2015-02-14,16,25,14
2015-02-15,13,71,13
2015-02-16,13,71,18
2015-02-17,14,86,9
2015-02-18,11,123,18
2015-02-19,3,36,39
2015-02-20,21,17,22
2015-02-21,6,53,17
2015-02-22,6,72,35
2015-02-23,8,64,22
2015-02-24,0,105,17
2015-02-25,14,32,20
2015-02-26,9,31,11
2015-02-27,16,34,9
2015-02-28,10,41,10
2015-03-01,13,43,11
2015-03-02,28,32,11
2015-03-03,6,76,12
2015-03-04,7,31,5
2015-03-05,16,55,13
2015-03-06,14,59,12
2015-03-07,6,15,28
2015-03-08,15,38,7
2015-03-09,8,35,30
2015-03-10,16,33,20
2015-03-11,8,24,9
2015-03-12,15,33,14
2015-03-13,18,29,11
2015-03-14,8,18,15
2015-03-15,4,42,15
2015-03-16,9,30,22
2015-03-17,10,53,25
2015-03-18,28,37,13
2015-03-19,23,57,28
2015-03-20,26,41,26
2015-03-21,12,10,15
2015-03-22,17,23,3
2015-03-23,6,96,10
2015-03-24,35,65,7
2015-03-25,17,24,12
2015-03-26,5,44,20
2015-03-27,18,79,11
2015-03-28,11,26,19
2015-03-29,19,34,18
2015-03-30,35,37,14
2015-03-31,27,75,25
2015-04-01,23,95,17
2015-04-02,33,34,13
2015-04-03,17,37,14
2015-04-04,16,42,3
2015-04-05,4,18,3
2015-04-06,13,21,12
2015-04-07,15,43,10
2015-04-08,12,68,10
2015-04-09,10,38,5
2015-04-10,22,57,10
2015-04-11,11,45,4
2015-04-12,10,21,8
2015-04-13,55,36,23
2015-04-14,41,86,21
2015-04-15,12,49,23
2015-04-16,17,31,29
2015-04-17,3,75,24
2015-04-18,3,35,14
2015-04-19,14,22,31
2015-04-20,20,35,22
2015-04-21,8,99,36
2015-04-22,18,30,20
2015-04-23,11,45,7
2015-04-24,4,63,22
2015-04-25,4,50,16
2015-04-26,14,25,18
2015-04-27,4,51,16
2015-04-28,2,31,20
2015-04-29,4,97,9
2015-04-30,5,70,8
2015-05-01,0,44,19
2015-05-02,15,36,15
2015-05-03,22,23,23
2015-05-04,3,43,17
2015-05-05,5,52,21
2015-05-06,14,58,31
2015-05-07,7,56,17
2015-05-08,9,43,32
2015-05-09,12,37,13
2015-05-10,2,54,5
2015-05-11,17,54,18
2015-05-12,33,63,19
2015-05-13,39,66,20
2015-05-14,17,52,13
2015-05-15,6,53,19
2015-05-16,35,39,12
2015-05-17,13,40,13
2015-05-18,19,33,8
2015-05-19,14,84,13
2015-05-20,14,36,22
2015-05-21,15,35,16
2015-05-22,20,21,13
2015-05-23,35,34,22
2015-05-24,13,26,10
2015-05-25,8,34,23
2015-05-26,12,35,24
2015-05-27,17,30,23
2015-05-28,23,41,30
2015-05-29,13,41,27
2015-05-30,46,20,7
2015-05-31,25,22,6
2015-06-01,14,28,30
2015-06-02,32,34,18
2015-06-03,13,26,25
2015-06-04,11,30,23
2015-06-05,6,25,18
2015-06-06,3,30,12
2015-06-07,9,20,0
2015-06-08,23,44,19
2015-06-09,9,58,21
2015-06-10,8,40,21
2015-06-11,0,36,21
2015-06-12,14,35,21
2015-06-13,3,25,15
2015-06-14,3,18,12
2015-06-15,6,35,16
