,golang/go,rust-lang/rust,swiftlang/swift
2014-11-10,13,18,13
2014-11-11,26,18,40
2014-11-12,16,32,35
2014-11-13,7,20,18
2014-11-14,21,20,29
2014-11-15,2,14,16
2014-11-16,4,42,6
2014-11-17,10,62,29
2014-11-18,11,42,27
2014-11-19,6,73,33
2014-11-20,9,38,38
2014-11-21,13,55,47
2014-11-22,4,18,17
2014-11-23,1,46,4
2014-11-24,4,25,11
2014-11-25,4,36,2
2014-11-26,0,33,2
2014-11-27,0,45,0
2014-11-28,0,11,4
2014-11-29,0,7,0
2014-11-30,0,16,1
2014-12-01,2,12,12
2014-12-02,2,18,22
2014-12-03,2,33,39
2014-12-04,2,41,28
2014-12-05,11,60,46
2014-12-06,4,17,15
2014-12-07,0,51,2
2014-12-08,13,27,19
2014-12-09,7,42,18
2014-12-10,7,20,15
2014-12-11,9,17,20
2014-12-12,12,24,28
2014-12-13,4,122,16
2014-12-14,3,79,11
2014-12-15,4,47,19
2014-12-16,9,37,15
2014-12-17,2,63,31
2014-12-18,21,41,24
2014-12-19,7,103,26
2014-12-20,8,45,17
2014-12-21,2,57,3
2014-12-22,27,62,19
2014-12-23,22,26,42
2014-12-24,5,22,15
2014-12-25,1,35,0
2014-12-26,5,30,3
2014-12-27,2,27,3
2014-12-28,7,35,2
2014-12-29,6,63,0
2014-12-30,7,126,0
2014-12-31,3,42,0
2015-01-01,6,49,4
2015-01-02,7,70,1
2015-01-03,2,61,0
2015-01-04,7,60,2
2015-01-05,11,127,15
2015-01-06,22,136,25
2015-01-07,25,78,12
2015-01-08,17,109,35
2015-01-09,8,43,43
2015-01-10,3,33,18
2015-01-11,2,48,10
2015-01-12,12,86,10
2015-01-13,8,32,27
2015-01-14,21,34,22
2015-01-15,14,91,28
2015-01-16,6,50,28
2015-01-17,2,44,7
2015-01-18,3,46,2
2015-01-19,15,43,34
2015-01-20,9,72,35
2015-01-21,30,96,34
2015-01-22,5,51,40
2015-01-23,10,28,33
2015-01-24,4,43,16
2015-01-25,1,22,9
2015-01-26,10,31,12
2015-01-27,10,66,24
2015-01-28,29,44,41
2015-01-29,16,40,27
2015-01-30,27,65,27
2015-01-31,1,28,18
2015-02-01,0,36,7
2015-02-02,11,51,17
2015-02-03,29,43,18
2015-02-04,23,21,51
2015-02-05,13,49,37
2015-02-06,26,71,33
2015-02-07,5,35,16
2015-02-08,7,18,0
2015-02-09,11,21,15
2015-02-10,13,66,42
2015-02-11,22,75,58
2015-02-12,17,39,48
2015-02-13,34,46,31
2015-02-14,10,25,11
2015-02-15,4,71,7
2015-02-16,8,71,21
2015-02-17,29,86,23
2015-02-18,14,123,25
2015-02-19,21,36,18
2015-02-20,22,17,32
2015-02-21,8,53,30
2015-02-22,3,72,4
2015-02-23,30,64,10
2015-02-24,15,105,27
2015-02-25,38,32,16
2015-02-26,27,31,30
2015-02-27,12,34,57
2015-02-28,11,41,14
2015-03-01,20,43,17
2015-03-02,28,32,31
2015-03-03,30,76,31
2015-03-04,24,31,44
2015-03-05,31,55,20
2015-03-06,15,59,27
2015-03-07,3,15,19
2015-03-08,4,38,20
2015-03-09,8,35,33
2015-03-10,12,33,56
2015-03-11,12,24,36
2015-03-12,18,33,70
2015-03-13,10,29,39
2015-03-14,8,18,27
2015-03-15,7,42,30
2015-03-16,26,30,23
2015-03-17,25,53,39
2015-03-18,10,37,38
2015-03-19,15,57,49
2015-03-20,28,41,35
2015-03-21,3,10,15
2015-03-22,0,23,19
2015-03-23,13,96,36
2015-03-24,27,65,44
2015-03-25,10,24,49
2015-03-26,11,44,46
2015-03-27,15,79,39
2015-03-28,11,26,29
2015-03-29,1,34,19
2015-03-30,16,37,24
2015-03-31,12,75,35
2015-04-01,16,95,49
2015-04-02,21,34,61
2015-04-03,20,37,35
2015-04-04,5,42,30
2015-04-05,0,18,31
2015-04-06,12,21,19
2015-04-07,24,43,51
2015-04-08,38,68,36
2015-04-09,20,38,41
2015-04-10,24,57,28
2015-04-11,11,45,11
2015-04-12,15,21,6
2015-04-13,32,36,17
2015-04-14,13,86,25
2015-04-15,22,49,36
2015-04-16,36,31,42
2015-04-17,30,75,51
2015-04-18,9,35,10
2015-04-19,2,22,12
2015-04-20,16,35,38
2015-04-21,31,99,24
2015-04-22,22,30,74
2015-04-23,11,45,44
2015-04-24,22,63,37
2015-04-25,1,50,9
2015-04-26,11,25,53
2015-04-27,24,51,63
2015-04-28,24,31,44
2015-04-29,32,97,53
2015-04-30,22,70,50
2015-05-01,21,44,41
2015-05-02,5,36,31
2015-05-03,6,23,10
2015-05-04,12,43,34
2015-05-05,20,52,47
2015-05-06,41,58,40
2015-05-07,21,56,69
2015-05-08,6,43,41
2015-05-09,3,37,36
2015-05-10,2,54,15
2015-05-11,28,54,39
2015-05-12,19,63,45
2015-05-13,16,66,41
2015-05-14,21,52,45
2015-05-15,29,53,57
2015-05-16,4,39,14
2015-05-17,3,40,20
2015-05-18,17,33,43
2015-05-19,16,84,58
2015-05-20,8,36,52
2015-05-21,11,35,31
2015-05-22,16,21,33
2015-05-23,3,34,37
2015-05-24,0,26,22
2015-05-25,2,34,9
2015-05-26,8,35,29
2015-05-27,13,30,40
2015-05-28,16,41,32
2015-05-29,8,41,30
2015-05-30,5,20,13
2015-05-31,2,22,18
2015-06-01,8,28,15
2015-06-02,15,34,37
2015-06-03,35,26,25
2015-06-04,22,30,21
2015-06-05,29,25,11
2015-06-06,5,30,10
2015-06-07,4,20,4
2015-06-08,7,44,12
2015-06-09,14,58,5
2015-06-10,7,40,6
2015-06-11,14,36,0
2015-06-12,14,35,6
2015-06-13,4,25,2
2015-06-14,15,18,3
2015-06-15,17,35,19
2015-06-16,18,19,16
2015-06-17,25,52,57
2015-06-18,25,51,26
2015-06-19,20,36,25
2015-06-20,2,37,10
2015-06-21,2,28,2
2015-06-22,13,28,19
2015-06-23,9,44,23
2015-06-24,13,40,63
2015-06-25,14,36,64
2015-06-26,34,25,33
2015-06-27,7,21,19
2015-06-28,2,9,8
2015-06-29,36,32,19
2015-06-30,18,57,25
2015-07-01,7,37,41
2015-07-02,9,28,35
2015-07-03,2,26,7
2015-07-04,0,28,3
2015-07-05,7,35,0
2015-07-06,2,35,12
2015-07-07,11,29,21
2015-07-08,1,46,49
2015-07-09,8,32,40
2015-07-10,9,27,48
2015-07-11,9,27,25
2015-07-12,9,32,8
2015-07-13,19,38,44
2015-07-14,13,39,22
2015-07-15,56,11,36
2015-07-16,15,47,48
