,python/cpython,JuliaLang/julia,rust-lang/rust
2015-02-05,12,9,49
2015-02-06,22,24,71
2015-02-07,8,16,35
2015-02-08,12,23,18
2015-02-09,6,29,21
2015-02-10,8,30,66
2015-02-11,11,21,75
2015-02-12,4,33,39
2015-02-13,6,9,46
2015-02-14,16,14,25
2015-02-15,13,13,71
2015-02-16,13,18,71
2015-02-17,14,9,86
2015-02-18,11,18,123
2015-02-19,3,39,36
2015-02-20,21,22,17
2015-02-21,6,17,53
2015-02-22,6,35,72
2015-02-23,8,22,64
2015-02-24,0,17,105
2015-02-25,14,20,32
2015-02-26,9,11,31
2015-02-27,16,9,34
2015-02-28,10,10,41
2015-03-01,13,11,43
2015-03-02,28,11,32
2015-03-03,6,12,76
2015-03-04,7,5,31
2015-03-05,16,13,55
2015-03-06,14,12,59
2015-03-07,6,28,15
2015-03-08,15,7,38
2015-03-09,8,30,35
2015-03-10,16,20,33
2015-03-11,8,9,24
2015-03-12,15,14,33
2015-03-13,18,11,29
2015-03-14,8,15,18
2015-03-15,4,15,42
2015-03-16,9,22,30
2015-03-17,10,25,53
2015-03-18,28,13,37
2015-03-19,23,28,57
2015-03-20,26,26,41
2015-03-21,12,15,10
2015-03-22,17,3,23
2015-03-23,6,10,96
2015-03-24,35,7,65
2015-03-25,17,12,24
2015-03-26,5,20,44
2015-03-27,18,11,79
2015-03-28,11,19,26
2015-03-29,19,18,34
2015-03-30,35,14,37
2015-03-31,27,25,75
2015-04-01,23,17,95
2015-04-02,33,13,34
2015-04-03,17,14,37
2015-04-04,16,3,42
2015-04-05,4,3,18
2015-04-06,13,12,21
2015-04-07,15,10,43
2015-04-08,12,10,68
2015-04-09,10,5,38
2015-04-10,22,10,57
2015-04-11,11,4,45
2015-04-12,10,8,21
2015-04-13,55,23,36
2015-04-14,41,21,86
2015-04-15,12,23,49
2015-04-16,17,29,31
2015-04-17,3,24,75
2015-04-18,3,14,35
2015-04-19,14,31,22
2015-04-20,20,22,35
2015-04-21,8,36,99
2015-04-22,18,20,30
2015-04-23,11,7,45
2015-04-24,4,22,63
2015-04-25,4,16,50
2015-04-26,14,18,25
2015-04-27,4,16,51
2015-04-28,2,20,31
2015-04-29,4,9,97
2015-04-30,5,8,70
2015-05-01,0,19,44
2015-05-02,15,15,36
2015-05-03,22,23,23
2015-05-04,3,17,43
2015-05-05,5,21,52
2015-05-06,14,31,58
2015-05-07,7,17,56
2015-05-08,9,32,43
2015-05-09,12,13,37
2015-05-10,2,5,54
2015-05-11,17,18,54
2015-05-12,33,19,63
2015-05-13,39,20,66
2015-05-14,17,13,52
2015-05-15,6,19,53
2015-05-16,35,12,39
2015-05-17,13,13,40
2015-05-18,19,8,33
2015-05-19,14,13,84
2015-05-20,14,22,36
2015-05-21,15,16,35
2015-05-22,20,13,21
2015-05-23,35,22,34
2015-05-24,13,10,26
2015-05-25,8,23,34
2015-05-26,12,24,35
2015-05-27,17,23,30
2015-05-28,23,30,41
2015-05-29,13,27,41
2015-05-30,46,7,20
2015-05-31,25,6,22
2015-06-01,14,30,28
2015-06-02,32,18,34
2015-06-03,13,25,26
2015-06-04,11,23,30
2015-06-05,6,18,25
2015-06-06,3,12,30
2015-06-07,9,0,20
2015-06-08,23,19,44
2015-06-09,9,21,58
2015-06-10,8,21,40
2015-06-11,0,21,36
2015-06-12,14,21,35
2015-06-13,3,15,25
2015-06-14,3,12,18
2015-06-15,6,16,35
2015-06-16,1,21,19
2015-06-17,6,19,52
2015-06-18,0,11,51
2015-06-19,2,23,36
2015-06-20,2,20,37
2015-06-21,15,22,28
2015-06-22,3,25,28
2015-06-23,7,24,44
2015-06-24,20,28,40
2015-06-25,11,27,36
2015-06-26,3,16,25
2015-06-27,12,24,21
2015-06-28,11,35,9
2015-06-29,6,19,32
2015-06-30,8,29,57
2015-07-01,15,14,37
2015-07-02,16,18,28
2015-07-03,20,14,26
2015-07-04,20,12,28
2015-07-05,29,10,35
2015-07-06,16,15,35
2015-07-07,14,21,29
2015-07-08,6,22,46
2015-07-09,9,21,32
2015-07-10,6,42,27
2015-07-11,3,6,27
2015-07-12,0,9,32
2015-07-13,1,23,38
2015-07-14,7,27,39
2015-07-15,2,17,11
2015-07-16,8,20,47
2015-07-17,11,41,37
2015-07-18,14,10,33
2015-07-19,0,18,24
2015-07-20,14,40,52
2015-07-21,12,26,46
2015-07-22,26,20,63
2015-07-23,20,23,45
2015-07-24,11,31,60
2015-07-25,21,13,34
2015-07-26,9,17,35
2015-07-27,12,43,32
2015-07-28,14,28,52
2015-07-29,24,52,53
2015-07-30,15,32,32
2015-07-31,15,33,31
2015-08-01,15,10,16
2015-08-02,23,8,21
2015-08-03,17,13,20
2015-08-04,20,6,40
2015-08-05,36,12,37
2015-08-06,18,16,41
2015-08-07,6,15,23
2015-08-08,9,11,16
2015-08-09,18,14,21
2015-08-10,4,32,27
2015-08-11,4,60,66
2015-08-12,6,36,109
2015-08-13,10,26,78
2015-08-14,12,21,28
2015-08-15,8,20,36
2015-08-16,4,26,40
2015-08-17,19,28,81
2015-08-18,26,20,42
2015-08-19,14,34,39
2015-08-20,0,21,26
2015-08-21,1,22,29
2015-08-22,0,36,49
2015-08-23,2,24,25
2015-08-24,16,22,42
2015-08-25,17,23,67
2015-08-26,8,28,44
2015-08-27,15,31,44
2015-08-28,3,38,28
2015-08-29,5,11,23
2015-08-30,15,7,29
2015-08-31,5,17,37
2015-09-01,7,21,51
2015-09-02,29,23,41
2015-09-03,34,26,60
2015-09-04,34,122,66
2015-09-05,13,25,31
2015-09-06,24,24,49
2015-09-07,36,30,27
2015-09-08,19,26,30
2015-09-09,56,23,29
2015-09-10,41,24,43
2015-09-11,44,52,32
2015-09-12,24,16,19
2015-09-13,37,25,15
2015-09-14,4,58,40
2015-09-15,15,22,32
2015-09-16,3,27,25
2015-09-17,0,34,56
2015-09-18,39,24,25
2015-09-19,11,12,52
2015-09-20,14,11,44
2015-09-21,56,15,29
2015-09-22,18,20,30
2015-09-23,38,20,19
2015-09-24,22,15,47
2015-09-25,11,9,32
2015-09-26,19,1,44
2015-09-27,37,18,31
2015-09-28,30,14,15
2015-09-29,54,112,27
2015-09-30,16,20,62
2015-10-01,30,25,53
2015-10-02,19,27,54
2015-10-03,22,21,23
2015-10-04,8,5,11
2015-10-05,10,15,25
2015-10-06,22,18,37
2015-10-07,16,34,47
2015-10-08,15,18,60
2015-10-09,22,12,32
2015-10-10,25,17,19
2015-10-11,36,8,19
2015-10-12,21,10,29
2015-10-13,10,34,53
2015-10-14,29,18,41
2015-10-15,3,17,46
2015-10-16,8,23,31
2015-10-17,8,12,22
2015-10-18,6,7,25
2015-10-19,14,14,40
2015-10-20,14,17,31
2015-10-21,4,28,25
2015-10-22,10,19,31
2015-10-23,7,25,44
2015-10-24,10,4,26
2015-10-25,6,7,31
2015-10-26,5,26,32
2015-10-27,4,13,38
2015-10-28,9,11,49
2015-10-29,9,9,33
2015-10-30,15,18,15
2015-10-31,13,11,11
2015-11-01,6,8,19
2015-11-02,15,19,19
2015-11-03,4,9,58
2015-11-04,15,17,32
2015-11-05,10,5,47
2015-11-06,13,11,24
2015-11-07,16,12,17
2015-11-08,4,11,26
2015-11-09,19,14,30
2015-11-10,16,34,41
2015-11-11,2,11,51
2015-11-12,32,8,51
2015-11-13,17,13,32
2015-11-14,21,15,27
2015-11-15,0,13,23
2015-11-16,33,12,41
2015-11-17,13,16,54
2015-11-18,10,22,20
2015-11-19,10,16,58
2015-11-20,30,16,44
2015-11-21,20,22,16
2015-11-22,11,7,25
2015-11-23,19,29,31
2015-11-24,17,14,33
2015-11-25,19,23,40
2015-11-26,11,10,41
2015-11-27,0,6,15
2015-11-28,2,7,14
2015-11-29,3,17,13
2015-11-30,11,10,39
2015-12-01,7,20,26
2015-12-02,12,27,37
2015-12-03,5,18,23
2015-12-04,7,18,29
2015-12-05,25,19,24
2015-12-06,18,14,23
2015-12-07,11,31,16
2015-12-08,6,28,27
2015-12-09,7,14,33
2015-12-10,2,13,30
2015-12-11,13,17,26
2015-12-12,7,10,22
2015-12-13,17,12,32
2015-12-14,10,7,26
2015-12-15,8,6,23
2015-12-16,2,50,45
2015-12-17,27,18,39
2015-12-18,17,7,55
2015-12-19,5,7,30
2015-12-20,9,5,13
2015-12-21,10,5,26
2015-12-22,6,12,21
2015-12-23,0,3,41
2015-12-24,6,13,6
2015-12-25,4,1,22
2015-12-26,5,0,8
2015-12-27,10,2,11
2015-12-28,8,2,18
2015-12-29,16,7,21
2015-12-30,6,7,40
2015-12-31,0,11,22
2016-01-01,18,11,17
2016-01-02,9,16,29
2016-01-03,3,14,18
2016-01-04,3,14,40
2016-01-05,1,17,27
2016-01-06,15,8,58
2016-01-07,13,24,42
2016-01-08,8,12,16
2016-01-09,8,7,16
2016-01-10,5,7,11
2016-01-11,32,15,29
2016-01-12,9,9,48
2016-01-13,2,16,41
2016-01-14,11,45,81
2016-01-15,14,11,37
2016-01-16,27,11,38
2016-01-17,5,6,29
2016-01-18,14,18,33
2016-01-19,15,15,31
2016-01-20,16,12,34
2016-01-21,16,12,42
2016-01-22,23,22,38
2016-01-23,4,8,35
2016-01-24,3,13,16
2016-01-25,3,12,25
2016-01-26,6,18,55
2016-01-27,6,18,30
2016-01-28,22,60,30
2016-01-29,4,17,52
2016-01-30,15,9,31
2016-01-31,5,21,32
2016-02-01,6,34,44
2016-02-02,8,17,55
2016-02-03,4,11,52
2016-02-04,8,7,45
2016-02-05,2,4,33
2016-02-06,5,11,27
2016-02-07,5,8,26
2016-02-08,19,29,39
2016-02-09,3,17,48
2016-02-10,14,13,29
2016-02-11,9,11,82
2016-02-12,0,46,56
2016-02-13,5,8,62
2016-02-14,3,14,43
2016-02-15,5,16,45
2016-02-16,2,25,22
2016-02-17,0,19,38
2016-02-18,9,41,38
2016-02-19,8,18,33
2016-02-20,4,17,26
2016-02-21,11,13,23
2016-02-22,10,13,21
2016-02-23,3,24,22
2016-02-24,14,14,45
2016-02-25,9,9,25
2016-02-26,13,21,42
2016-02-27,4,7,44
2016-02-28,7,16,29
2016-02-29,1,12,23
2016-03-01,13,27,28
2016-03-02,22,28,47
2016-03-03,0,10,28
2016-03-04,6,11,51
2016-03-05,1,11,28
2016-03-06,15,16,27
2016-03-07,8,13,55
2016-03-08,22,12,49
2016-03-09,4,16,53
2016-03-10,1,12,45
2016-03-11,10,22,37
2016-03-12,9,10,46
2016-03-13,8,16,52
2016-03-14,21,17,70
2016-03-15,15,17,49
2016-03-16,9,9,25
2016-03-17,13,6,118
2016-03-18,17,15,55
2016-03-19,13,2,42
2016-03-20,10,2,23
2016-03-21,10,8,67
2016-03-22,28,12,33
2016-03-23,36,16,57
2016-03-24,19,17,45
2016-03-25,26,11,71
2016-03-26,4,11,70
2016-03-27,14,7,41
2016-03-28,3,20,44
2016-03-29,11,20,59
2016-03-30,13,14,55
2016-03-31,11,14,50
2016-04-01,10,14,35
2016-04-02,4,14,34
2016-04-03,8,4,22
2016-04-04,1,9,33
2016-04-05,8,14,41
2016-04-06,9,18,70
2016-04-07,0,10,49
2016-04-08,10,23,29
2016-04-09,14,8,16
2016-04-10,12,10,17
2016-04-11,19,7,52
2016-04-12,12,14,24
2016-04-13,10,8,35
2016-04-14,12,8,75
2016-04-15,24,44,51
2016-04-16,21,22,24
2016-04-17,9,18,36
2016-04-18,12,16,22
2016-04-19,23,22,37
2016-04-20,8,22,23
2016-04-21,1,26,30
2016-04-22,2,24,27
2016-04-23,15,9,18
2016-04-24,24,4,26
2016-04-25,13,11,27
2016-04-26,13,15,27
2016-04-27,3,22,23
2016-04-28,6,15,44
2016-04-29,11,19,21
2016-04-30,2,7,19
2016-05-01,14,21,20
2016-05-02,8,25,87
2016-05-03,2,14,60
2016-05-04,12,17,11
2016-05-05,4,35,24
2016-05-06,4,38,43
2016-05-07,15,23,45
2016-05-08,15,13,21
2016-05-09,2,16,74
2016-05-10,6,23,49
2016-05-11,9,14,85
2016-05-12,6,14,38
2016-05-13,19,21,35
2016-05-14,3,11,35
2016-05-15,16,9,40
2016-05-16,38,31,42
2016-05-17,22,16,26
2016-05-18,16,25,54
2016-05-19,7,21,31
2016-05-20,18,37,31
2016-05-21,6,25,26
2016-05-22,12,12,12
2016-05-23,2,9,46
2016-05-24,6,23,51
2016-05-25,4,27,34
2016-05-26,11,11,29
2016-05-27,12,35,52
2016-05-28,20,3,35
2016-05-29,10,14,17
2016-05-30,8,12,50
2016-05-31,0,19,55
2016-06-01,12,26,59
2016-06-02,32,17,37
2016-06-03,36,41,33
2016-06-04,54,33,19
2016-06-05,21,11,56
2016-06-06,11,14,28
2016-06-07,10,21,42
2016-06-08,31,31,42
2016-06-09,15,19,66
2016-06-10,17,26,48
2016-06-11,34,13,23
2016-06-12,57,57,25
2016-06-13,21,24,31
2016-06-14,52,22,27
2016-06-15,15,29,24
2016-06-16,4,19,66
2016-06-17,8,20,24
2016-06-18,20,11,16
2016-06-19,4,15,16
2016-06-20,11,11,33
2016-06-21,2,15,43
2016-06-22,14,11,30
2016-06-23,4,15,43
2016-06-24,19,9,29
2016-06-25,17,13,29
2016-06-26,6,14,14
2016-06-27,20,22,27
2016-06-28,6,17,44
2016-06-29,1,30,44
2016-06-30,8,26,21
2016-07-01,7,27,42
2016-07-02,0,31,33
2016-07-03,8,22,28
2016-07-04,0,10,22
2016-07-05,2,26,34
2016-07-06,14,23,46
2016-07-07,9,36,29
2016-07-08,7,30,60
2016-07-09,1,13,16
2016-07-10,22,4,27
2016-07-11,11,52,23
2016-07-12,5,58,35
2016-07-13,0,24,36
2016-07-14,13,31,41
2016-07-15,15,21,35
2016-07-16,11,25,26
2016-07-17,12,9,25
2016-07-18,12,25,20
2016-07-19,9,28,31
2016-07-20,0,20,14
2016-07-21,0,47,25
2016-07-22,8,28,35
2016-07-23,12,17,7
2016-07-24,2,12,17
2016-07-25,15,31,18
2016-07-26,7,43,27
2016-07-27,4,21,34
2016-07-28,12,22,36
2016-07-29,10,19,53
2016-07-30,9,10,29
2016-07-31,8,7,24
2016-08-01,0,36,38
2016-08-02,4,24,41
2016-08-03,11,35,26
2016-08-04,12,27,38
2016-08-05,9,30,73
2016-08-06,9,20,42
2016-08-07,3,11,82
2016-08-08,12,16,72
2016-08-09,16,28,76
2016-08-10,17,28,44
2016-08-11,2,27,76
2016-08-12,13,15,27
2016-08-13,6,12,84
2016-08-14,18,13,52
2016-08-15,16,16,25
2016-08-16,33,24,31
2016-08-17,26,17,120
2016-08-18,6,31,59
2016-08-19,42,22,26
2016-08-20,18,18,38
2016-08-21,19,8,26
2016-08-22,22,10,40
2016-08-23,24,17,48
2016-08-24,24,15,39
2016-08-25,6,13,38
2016-08-26,8,5,19
2016-08-27,9,2,42
2016-08-28,0,3,41
2016-08-29,10,10,45
2016-08-30,16,5,61
2016-08-31,19,4,60
2016-09-01,7,15,53
2016-09-02,16,4,36
2016-09-03,13,8,40
2016-09-04,8,20,25
2016-09-05,52,17,56
2016-09-06,73,27,47
2016-09-07,82,26,41
2016-09-08,105,12,24
2016-09-09,112,23,18
2016-09-10,83,7,28
2016-09-11,72,2,34
2016-09-12,54,4,18
2016-09-13,48,30,60
2016-09-14,29,12,26
2016-09-15,44,20,42
