,expressjs/express,django/django,pallets/flask
2011-04-07,0,1.0,0
2011-04-08,4,0.0,0
2011-04-09,1,1.0,0
2011-04-10,0,0.0,0
2011-04-11,3,2.0,0
2011-04-12,3,0.0,0
2011-04-13,0,1.0,0
2011-04-14,1,0.0,0
2011-04-15,0,1.0,0
2011-04-16,0,0.0,0
2011-04-17,2,7.0,1
2011-04-18,0,4.0,8
2011-04-19,2,3.0,0
2011-04-20,3,12.0,0
2011-04-21,1,1.0,0
2011-04-22,6,25.0,0
2011-04-23,0,3.0,0
2011-04-24,1,2.0,0
2011-04-25,13,2.0,2
2011-04-26,27,3.0,0
2011-04-27,3,3.0,2
2011-04-28,1,10.0,0
2011-04-29,2,5.0,0
2011-04-30,0,7.0,0
2011-05-01,1,4.0,1
2011-05-02,1,0.0,0
2011-05-03,8,9.0,0
2011-05-04,2,5.0,0
2011-05-05,0,7.0,0
2011-05-06,0,5.0,0
2011-05-07,0,12.0,1
2011-05-08,5,0.0,2
2011-05-09,0,16.0,0
2011-05-10,0,5.0,0
2011-05-11,0,2.0,0
2011-05-12,0,2.0,1
2011-05-13,1,3.0,0
2011-05-14,3,5.0,0
2011-05-15,0,3.0,0
2011-05-16,11,0.0,0
2011-05-17,1,3.0,1
2011-05-18,0,6.0,0
2011-05-19,2,0.0,1
2011-05-20,26,5.0,0
2011-05-21,1,4.0,0
2011-05-22,2,8.0,0
2011-05-23,14,5.0,0
2011-05-24,2,4.0,7
2011-05-25,11,0.0,0
2011-05-26,5,2.0,0
2011-05-27,2,5.0,6
2011-05-28,0,2.0,2
2011-05-29,0,3.0,5
2011-05-30,1,5.0,3
2011-05-31,0,5.0,0
2011-06-01,1,6.0,0
2011-06-02,6,5.0,1
2011-06-03,0,4.0,0
2011-06-04,3,6.0,0
2011-06-05,0,1.0,20
2011-06-06,6,1.0,1
2011-06-07,2,5.0,1
2011-06-08,1,4.0,6
2011-06-09,0,10.0,0
2011-06-10,0,11.0,2
2011-06-11,0,14.0,0
2011-06-12,4,9.0,0
2011-06-13,2,6.0,0
2011-06-14,0,7.0,0
2011-06-15,0,3.0,0
2011-06-16,0,15.0,4
2011-06-17,0,9.0,11
2011-06-18,0,3.0,0
2011-06-19,0,6.0,0
2011-06-20,0,0.0,3
2011-06-21,12,0.0,2
2011-06-22,2,2.0,0
2011-06-23,2,0.0,1
2011-06-24,0,0.0,1
2011-06-25,0,7.0,4
2011-06-26,0,16.0,6
2011-06-27,0,2.0,10
2011-06-28,8,12.0,20
2011-06-29,1,2.0,6
2011-06-30,0,2.0,4
2011-07-01,1,3.0,0
2011-07-02,0,0.0,0
2011-07-03,0,7.0,0
2011-07-04,7,11.0,0
2011-07-05,1,7.0,0
2011-07-06,9,4.0,8
2011-07-07,3,2.0,8
2011-07-08,0,4.0,3
2011-07-09,2,1.0,0
2011-07-10,0,6.0,7
2011-07-11,18,0.0,3
2011-07-12,0,1.0,3
2011-07-13,0,2.0,2
2011-07-14,22,2.0,3
2011-07-15,23,0.0,3
2011-07-16,0,0.0,0
2011-07-17,0,2.0,0
2011-07-18,0,0.0,3
2011-07-19,4,3.0,2
2011-07-20,1,0.0,0
2011-07-21,0,0.0,0
