,friendica/friendica,diaspora/diaspora,mastodon/mastodon
2024-06-22,0.21647759360000018,0,0
2024-06-23,13.3394106368,0,0
2024-06-24,-0.1951601663999991,0,7
2024-06-25,-1.9566210048000008,0,7
2024-06-26,-0.07916154880000037,0,6
2024-06-27,-0.9306710016000002,0,11
2024-06-28,-0.5925862400000004,0,1
2024-06-29,2.5436866559999998,0,0
2024-06-30,0.028813107200000077,0,0
2024-07-01,2.2697865216000004,0,3
2024-07-02,0.9378371584000007,0,0
2024-07-03,10.1568652288,0,4
2024-07-04,0.37140428800000036,0,4
2024-07-05,-1.7760917504000007,0,5
2024-07-06,0.016983039999999283,0,1
2024-07-07,-0.8860482560000001,0,3
2024-07-08,1.3948704768,0,6
2024-07-09,-0.8388107263999999,0,5
2024-07-10,0.4927362047999999,0,4
2024-07-11,6.444480307200001,0,3
2024-07-12,3.2520452096000008,0,6
2024-07-13,-1.7134067712000003,0,0
2024-07-14,0.17515468799999945,0,0
2024-07-15,2.2529412096,0,5
2024-07-16,7.9240437759999995,0,4
2024-07-17,-2.4005470208,0,4
2024-07-18,0.8673812479999992,0,7
2024-07-19,3.8438470656000003,0,6
2024-07-20,1.2813391872000004,0,0
2024-07-21,4.533616128,0,0
2024-07-22,0.00377292799999962,0,7
2024-07-23,-0.45104496640000047,0,7
2024-07-24,3.9157649408000004,0,1
2024-07-25,-1.7024295935999998,0,8
2024-07-26,2.1568885759999996,0,4
2024-07-27,-0.19490222079999975,0,0
2024-07-28,4.118536192,0,0
2024-07-29,-0.5296965631999995,0,6
2024-07-30,7.0285377536,0,3
2024-07-31,1.8458319872000004,0,5
2024-08-01,-0.8272303104000001,0,4
2024-08-02,0.8011642879999994,0,9
2024-08-03,3.8714301439999996,0,0
2024-08-04,3.2964538368,0,3
2024-08-05,-0.8965090304000001,0,1
2024-08-06,1.7734005759999996,0,8
2024-08-07,7.645221273600001,0,9
2024-08-08,0.4012300288000006,0,10
2024-08-09,1.1744574463999993,0,11
2024-08-10,-1.6263583744000003,0,6
2024-08-11,1.0350523392,0,3
2024-08-12,0.9128775680000003,0,4
2024-08-13,5.951218176,0,9
2024-08-14,4.9981326336,0,6
2024-08-15,7.5978359808,0,2
2024-08-16,0.7795605504000003,0,3
2024-08-17,6.6562992128,0,0
2024-08-18,0.8739289087999995,0,0
2024-08-19,-0.4323824640000007,0,9
2024-08-20,1.1430372351999993,0,10
2024-08-21,-1.8049717248,0,9
2024-08-22,0.8607941632,0,7
2024-08-23,4.8039273472,0,4
2024-08-24,35.071827968,0,0
2024-08-25,0.6594607104000012,0,0
2024-08-26,2.619885158399998,0,15
2024-08-27,-2.4781049856000017,0,11
2024-08-28,-0.9773754368000014,0,4
2024-08-29,-2.385066291200001,0,4
2024-08-30,-1.6408253440000007,0,4
2024-08-31,-0.28890081280000013,0,0
2024-09-01,2.7587956736000026,0,0
2024-09-02,3.301801267200002,0,7
2024-09-03,1.3299631104000007,0,31
2024-09-04,0.6120163328000001,2,16
2024-09-05,-0.09365012480000012,0,15
2024-09-06,3.1804884992,0,12
2024-09-07,2.69687808,0,0
2024-09-08,0.5039534079999997,0,3
2024-09-09,1.7873878016,0,6
2024-09-10,1.6746102784000003,0,8
2024-09-11,0.6676638720000001,0,3
2024-09-12,-0.11816939520000025,0,15
2024-09-13,-0.8446204928000002,0,4
2024-09-14,1.4680073216,0,1
2024-09-15,3.2056239104000004,0,0
2024-09-16,-0.23539138559999984,0,12
2024-09-17,-0.8012755968,0,4
2024-09-18,2.5259465728,0,10
2024-09-19,2.0834178048000003,0,8
2024-09-20,-1.0559280128,0,12
2024-09-21,0.4624260095999997,0,0
2024-09-22,0.438288896,0,0
2024-09-23,-0.5568242687999998,0,13
2024-09-24,0.6698404864,0,10
2024-09-25,0.5938640895999999,0,13
2024-09-26,-0.4330792959999999,0,9
2024-09-27,0.7454640128000002,0,7
2024-09-28,0.6436364288,0,0
2024-09-29,0.6295495680000001,0,0
2024-09-30,0.5991781376,0,5
2024-10-01,-0.4114248704000001,0,26
2024-10-02,-0.21845043200000008,0,17
2024-10-03,2.8455781376,0,4
2024-10-04,-0.7089608703999999,0,13
2024-10-05,-0.3172792320000002,0,0
2024-10-06,-0.2082125824,0,0
2024-10-07,1.8554162176,0,6
2024-10-08,2.4965349376,0,8
2024-10-09,-0.8337557503999999,0,5
2024-10-10,-0.3867801600000003,0,3
2024-10-11,0.7456368640000001,0,3
2024-10-12,-0.38928005119999987,0,0
2024-10-13,0.8025343999999999,0,0
2024-10-14,2.65686016,0,7
2024-10-15,1.206844416,0,24
2024-10-16,6.2183621632,0,9
2024-10-17,-0.7954368511999999,0,3
2024-10-18,1.0007372799999994,0,4
2024-10-19,4.005375487999999,0,0
2024-10-20,7.4150455296,0,0
2024-10-21,1.3856225279999999,0,2
2024-10-22,-2.0852235264000005,0,4
2024-10-23,-0.17617131520000062,0,16
2024-10-24,2.9944829952000003,0,7
2024-10-25,2.5181053952,0,9
2024-10-26,3.4201184255999997,0,0
2024-10-27,7.1234670592,0,0
2024-10-28,0.18852096000000085,0,6
2024-10-29,4.0132521984,0,7
2024-10-30,-0.2906633216000003,0,2
2024-10-31,0.3821102079999994,0,7
2024-11-01,11.5815049216,0,0
2024-11-02,0.4898709504000003,0,0
2024-11-03,3.5081411583999995,0,0
2024-11-04,12.37253888,0,6
2024-11-05,8.5423227904,0,3
2024-11-06,17.2471866368,0,3
2024-11-07,-3.8667633664,0,10
2024-11-08,22.003307315199997,0,5
2024-11-09,6.2819013632,0,0
2024-11-10,22.2771872768,0,2
2024-11-11,0.5137291263999995,0,3
2024-11-12,0.09767925759999763,0,12
2024-11-13,-4.534090752000001,0,4
2024-11-14,-0.6324641792000003,0,5
2024-11-15,3.8638692351999993,0,8
2024-11-16,17.5805421568,0,1
2024-11-17,10.662854041600001,0,0
2024-11-18,18.5535806464,0,15
2024-11-19,5.675787878400001,0,8
2024-11-20,-2.8039726080000005,0,4
2024-11-21,2.4770890751999985,0,7
2024-11-22,-0.2692363264000015,0,12
2024-11-23,5.498327244799999,0,0
2024-11-24,-3.1358056447999996,0,1
2024-11-25,-2.6649626624,0,8
2024-11-26,1.2844869632000013,0,6
2024-11-27,0.22358579200000173,0,0
2024-11-28,9.6642520064,0,3
2024-11-29,5.068306534400001,0,7
2024-11-30,3.0055944192,0,1
2024-12-01,7.2918984704,0,0
2024-12-02,0.5274297344000001,0,10
2024-12-03,1.458196889599999,0,4
2024-12-04,0.6923786239999994,0,7
2024-12-05,-2.0170237952000005,0,7
2024-12-06,4.7370499072,0,4
2024-12-07,13.861343129600002,0,1
2024-12-08,-1.3200074751999988,0,0
2024-12-09,6.3872766976,0,8
2024-12-10,-2.320837632,0,15
2024-12-11,0.08697559039999936,0,13
2024-12-12,-1.6369893376000002,0,7
2024-12-13,8.9471628288,0,5
2024-12-14,15.222135808,0,3
2024-12-15,6.967605145600001,0,0
2024-12-16,3.2134859775999995,0,10
2024-12-17,-0.9846817792000007,0,9
2024-12-18,6.163374694399999,0,8
2024-12-19,6.4676192256,0,7
2024-12-20,10.998843699199998,0,9
2024-12-21,0.7692083200000006,0,0
2024-12-22,18.99076864,0,0
2024-12-23,23.040374988800004,0,0
2024-12-24,-9.3867332608,0,0
2024-12-25,11.411813580799997,0,0
2024-12-26,59.7913873408,0,0
2024-12-27,-1.7079028735999984,0,0
2024-12-28,12.273988095999997,0,0
2024-12-29,-6.781145088000002,0,0
2024-12-30,5.100288921599998,0,0
2024-12-31,-3.0586632191999996,0,0
2025-01-01,3.898951167999999,0,0
2025-01-02,17.928473088,0,10
2025-01-03,-6.890205798399995,0,11
2025-01-04,-3.4226545663999994,0,2
2025-01-05,20.380645888,0,0
2025-01-06,-1.3598057471999985,0,15
2025-01-07,4.016975974399998,0,9
2025-01-08,3.0074780671999997,0,10
2025-01-09,20.332553830400002,0,12
2025-01-10,4.020174950400001,5,9
2025-01-11,1.3595481087999994,0,0
2025-01-12,8.610196377599998,0,0
2025-01-13,50.7353972736,0,8
2025-01-14,-4.195612979199998,0,9
2025-01-15,-6.406322688000005,0,3
2025-01-16,-3.334978867200002,0,8
2025-01-17,-4.0153540608,0,7
2025-01-18,-2.8636066816000003,0,0
2025-01-19,0.9795030016000004,0,0
2025-01-20,-2.1447820287999995,0,2
2025-01-21,-0.4690102271999965,0,5
2025-01-22,31.7391282176,0,9
2025-01-23,31.031877632,4,8
2025-01-24,-4.4183221247999995,0,5
2025-01-25,-0.9438251008000034,0,0
2025-01-26,12.510883839999998,0,0
2025-01-27,-0.27107993600000047,0,10
2025-01-28,7.299546828799999,0,4
2025-01-29,4.633520127999999,0,11
2025-01-30,-4.199932006399999,0,1
2025-01-31,2.626362060800002,0,2
2025-02-01,2.691499212800001,0,0
2025-02-02,2.0724862976,0,1
2025-02-03,8.289396224,0,3
2025-02-04,50.179150131200004,0,5
2025-02-05,-3.711980646399997,0,5
2025-02-06,8.597775155199997,0,2
2025-02-07,-4.372494336000002,0,1
2025-02-08,6.290204057599999,0,0
2025-02-09,-3.3598367744000006,0,0
2025-02-10,3.3724722175999986,0,1
2025-02-11,5.084110336,0,4
2025-02-12,-0.29550858239999744,0,12
2025-02-13,0.6609557504000012,0,2
2025-02-14,14.5438034944,0,0
2025-02-15,-2.8628762623999995,0,0
2025-02-16,2.311248076799999,0,0
2025-02-17,4.3191714816,0,1
2025-02-18,-2.9290523648,0,3
2025-02-19,-1.6675089408000001,0,0
2025-02-20,-0.13984348160000004,0,0
2025-02-21,-0.9989200895999999,0,6
2025-02-22,0.31078205440000095,0,0
2025-02-23,-0.7163895807999994,0,0
2025-02-24,3.6710356992000004,0,0
2025-02-25,9.963403264,0,3
2025-02-26,3.3386857472000004,0,0
2025-02-27,0.6855372799999992,0,4
2025-02-28,-1.7772165120000005,0,9
2025-03-01,0.9708599295999993,0,0
2025-03-02,-0.12259891200000017,0,0
2025-03-03,-0.9189090304000003,0,3
2025-03-04,-0.6189255680000001,0,3
2025-03-05,3.5138110464000007,0,7
2025-03-06,2.8410587136000007,0,4
2025-03-07,1.6956271616000003,0,7
2025-03-08,2.7963097088,0,0
2025-03-09,-1.4121021440000001,0,0
2025-03-10,2.2601295872,0,6
2025-03-11,3.9108714496,0,7
2025-03-12,4.399569919999999,0,6
2025-03-13,14.967311872,0,1
2025-03-14,9.539276390400001,0,5
2025-03-15,-2.8533554176000013,0,0
2025-03-16,-2.8215252992000015,0,0
2025-03-17,8.2407824384,0,3
2025-03-18,2.7491184640000004,0,6
2025-03-19,-1.9829005312000008,0,3
2025-03-20,-0.9335024640000005,0,1
2025-03-21,-1.5012388863999993,0,4
2025-03-22,-1.0322203647999988,0,0
2025-03-23,-0.6424503295999996,0,0
2025-03-24,3.6240852992,0,7
2025-03-25,0.9085977600000006,0,8
2025-03-26,1.0316247040000004,0,7
2025-03-27,-0.8581305343999999,0,6
2025-03-28,0.5827429375999998,0,7
2025-03-29,2.5221866496,0,2
2025-03-30,-0.8799872,0,0
2025-03-31,1.5523635199999997,0,5
2025-04-01,-0.7098618879999998,0,2
2025-04-02,0.6011577344000001,0,9
2025-04-03,-0.4467509247999999,0,0
2025-04-04,-0.25035182080000007,0,1
2025-04-05,-0.16423987200000004,0,0
2025-04-06,-0.1300900863999998,0,0
2025-04-07,-0.09679749119999993,0,3
2025-04-08,-0.049204223999999894,0,9
2025-04-09,1.9581345792,0,1
2025-04-10,7.585612288,0,5
2025-04-11,3.2275306496000002,0,7
2025-04-12,-1.7360000000000004,0,0
2025-04-13,-0.8512000000000006,2,0
2025-04-14,12.440128,0,4
2025-04-15,-0.013145599999999646,0,0
2025-04-16,-0.9649638400000009,0,2
2025-04-17,1.6696668159999994,0,5
2025-04-18,-0.4854739967999997,0,2
2025-04-19,-1.0924613631999998,0,0
