,metabase/metabase,getredash/redash,apache/superset
2016-02-02,7,2,0
2016-02-03,30,4,0
2016-02-04,13,0,12
2016-02-05,7,0,1
2016-02-06,11,1,0
2016-02-07,1,1,0
2016-02-08,11,3,0
2016-02-09,6,5,0
2016-02-10,21,5,11
2016-02-11,7,1,4
2016-02-12,22,0,8
2016-02-13,13,0,0
2016-02-14,3,14,0
2016-02-15,16,1,0
2016-02-16,27,4,3
2016-02-17,8,2,0
2016-02-18,24,1,0
2016-02-19,25,0,3
2016-02-20,10,0,0
2016-02-21,8,2,0
2016-02-22,13,5,0
2016-02-23,35,8,2
2016-02-24,27,10,9
2016-02-25,18,3,5
2016-02-26,12,2,3
2016-02-27,24,1,5
2016-02-28,2,4,4
2016-02-29,14,17,10
2016-03-01,33,5,13
2016-03-02,17,1,10
2016-03-03,6,0,0
2016-03-04,9,1,9
2016-03-05,7,0,4
2016-03-06,1,2,7
2016-03-07,7,6,2
2016-03-08,28,9,3
2016-03-09,19,4,1
2016-03-10,17,10,2
2016-03-11,10,4,3
2016-03-12,1,4,0
2016-03-13,0,12,0
2016-03-14,5,12,3
2016-03-15,17,10,1
2016-03-16,38,1,9
2016-03-17,25,8,10
2016-03-18,10,0,3
2016-03-19,0,0,5
2016-03-20,0,1,2
2016-03-21,34,5,4
2016-03-22,24,4,1
2016-03-23,17,35,8
2016-03-24,30,8,7
2016-03-25,21,1,5
2016-03-26,2,0,8
2016-03-27,0,3,9
2016-03-28,13,5,6
2016-03-29,24,7,13
2016-03-30,4,14,9
2016-03-31,11,1,15
2016-04-01,12,1,15
2016-04-02,2,0,0
2016-04-03,0,5,9
2016-04-04,19,2,11
2016-04-05,15,2,7
2016-04-06,6,7,7
2016-04-07,1,7,14
2016-04-08,3,1,2
2016-04-09,4,0,12
2016-04-10,4,3,5
2016-04-11,18,1,5
2016-04-12,33,1,5
2016-04-13,38,0,4
2016-04-14,32,5,10
2016-04-15,12,10,7
2016-04-16,0,0,1
2016-04-17,2,15,2
2016-04-18,21,10,3
2016-04-19,48,2,1
2016-04-20,41,83,4
2016-04-21,31,1,5
2016-04-22,18,1,1
2016-04-23,4,0,0
2016-04-24,0,0,0
2016-04-25,8,1,2
2016-04-26,29,0,5
2016-04-27,12,0,1
2016-04-28,27,1,3
2016-04-29,14,2,3
2016-04-30,7,0,1
2016-05-01,0,4,1
2016-05-02,20,1,4
2016-05-03,19,1,3
2016-05-04,16,11,2
2016-05-05,15,9,5
2016-05-06,23,0,1
2016-05-07,13,4,0
2016-05-08,0,6,0
2016-05-09,28,4,0
2016-05-10,51,0,7
2016-05-11,20,0,0
2016-05-12,13,0,6
2016-05-13,12,1,0
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,9,0,2
2016-05-17,7,6,7
2016-05-18,8,11,0
2016-05-19,8,4,1
2016-05-20,8,2,8
2016-05-21,0,0,0
2016-05-22,0,4,0
2016-05-23,12,2,4
2016-05-24,22,3,2
2016-05-25,20,1,0
2016-05-26,9,7,0
2016-05-27,2,2,0
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,0,5,0
2016-05-31,18,7,0
2016-06-01,8,7,4
2016-06-02,3,2,7
2016-06-03,2,1,6
2016-06-04,2,0,0
2016-06-05,0,1,0
2016-06-06,11,7,1
2016-06-07,24,4,2
2016-06-08,26,10,2
2016-06-09,10,8,5
2016-06-10,29,0,6
2016-06-11,2,0,4
2016-06-12,0,0,2
2016-06-13,27,5,4
2016-06-14,33,22,5
2016-06-15,19,9,10
2016-06-16,11,2,2
2016-06-17,11,11,5
2016-06-18,0,0,0
2016-06-19,0,5,0
2016-06-20,18,6,6
2016-06-21,2,4,8
2016-06-22,5,5,5
2016-06-23,5,3,4
2016-06-24,23,0,5
2016-06-25,0,0,1
2016-06-26,0,1,1
2016-06-27,23,1,0
2016-06-28,18,2,9
2016-06-29,11,0,1
2016-06-30,20,1,2
2016-07-01,16,1,8
2016-07-02,8,0,0
2016-07-03,1,8,0
2016-07-04,1,4,0
2016-07-05,13,6,0
2016-07-06,38,7,0
2016-07-07,18,0,0
2016-07-08,14,0,3
2016-07-09,7,0,0
2016-07-10,4,0,0
2016-07-11,13,11,4
2016-07-12,23,3,1
2016-07-13,33,0,6
2016-07-14,14,2,4
2016-07-15,10,1,3
2016-07-16,9,0,0
2016-07-17,4,0,0
2016-07-18,35,0,0
2016-07-19,54,1,2
2016-07-20,34,3,1
2016-07-21,27,3,2
2016-07-22,21,0,9
2016-07-23,6,0,0
2016-07-24,6,2,0
2016-07-25,18,4,0
2016-07-26,43,1,3
2016-07-27,55,4,1
2016-07-28,49,6,4
2016-07-29,15,0,0
2016-07-30,6,0,1
2016-07-31,0,7,0
2016-08-01,12,0,0
2016-08-02,10,0,6
2016-08-03,17,5,1
2016-08-04,39,2,1
2016-08-05,5,3,0
2016-08-06,1,1,0
2016-08-07,4,0,0
2016-08-08,1,0,2
2016-08-09,8,2,2
2016-08-10,13,6,7
2016-08-11,69,2,8
2016-08-12,22,0,1
2016-08-13,1,0,1
2016-08-14,0,0,3
2016-08-15,5,0,4
2016-08-16,17,4,5
2016-08-17,11,2,10
2016-08-18,15,1,1
2016-08-19,6,6,3
2016-08-20,2,0,1
2016-08-21,0,0,0
2016-08-22,17,4,1
2016-08-23,14,6,5
2016-08-24,29,2,0
2016-08-25,9,1,5
2016-08-26,5,1,3
2016-08-27,0,2,0
2016-08-28,0,3,0
2016-08-29,17,3,0
2016-08-30,3,5,4
2016-08-31,11,0,6
2016-09-01,11,1,4
