,scikit-image/scikit-image,davisking/dlib,opencv/opencv
2011-04-04,0,0,3.32286925625
2011-04-05,4,0,0.15829920117187535
2011-04-06,0,0,2.382937035554688
2011-04-07,3,2,2.304036110917188
2011-04-08,2,1,2.263192171579688
2011-04-09,0,1,-0.7466715889718748
2011-04-10,0,0,2.555861105773438
2011-04-11,3,0,1.4022922688609378
2011-04-12,0,0,-0.5509884408843746
2011-04-13,0,0,0.6602189005906254
2011-04-14,0,0,0.6711415821671879
2011-04-15,0,0,5.678142164595313
2011-04-16,0,0,-0.7991210341546877
2011-04-17,1,1,2.5960358286421874
2011-04-18,1,14,7.441328418453125
2011-04-19,4,0,3.8674130538609375
2011-04-20,0,0,2.916746086178125
2011-04-21,0,0,6.985378415734375
2011-04-22,0,3,5.579320406948438
2011-04-23,0,2,2.4884587318703124
2011-04-24,0,0,1.7047959460343753
2011-04-25,0,0,7.907468428453126
2011-04-26,0,0,12.367568907017187
2011-04-27,0,0,2.6493294796343747
2011-04-28,0,0,0.2258943277578127
2011-04-29,0,9,12.70124141198125
2011-04-30,0,0,12.715144416103126
2011-05-01,0,2,0.23524857893593776
2011-05-02,0,0,5.157679459559375
2011-05-03,0,1,6.0835583152515635
2011-05-04,0,8,5.972589438707814
2011-05-05,0,1,3.964880181918751
2011-05-06,0,0,15.205139426289064
2011-05-07,0,4,-0.8327628185406253
2011-05-08,0,0,3.183242193012501
2011-05-09,2,0,13.334951299164063
2011-05-10,0,5,7.483816581282813
2011-05-11,0,0,16.564130133123438
2011-05-12,0,0,-0.34709971441250076
2011-05-13,0,6,3.8299611903687514
2011-05-14,0,10,-2.0259281414812484
2011-05-15,0,9,4.675929212107816
2011-05-16,0,4,4.498129411100002
2011-05-17,2,3,9.411140592085939
2011-05-18,0,0,10.890367315554688
2011-05-19,0,2,2.5319853635937495
2011-05-20,4,8,8.125979185270314
2011-05-21,0,6,12.918933489298437
2011-05-22,0,9,-2.734324117715625
2011-05-23,0,2,16.45841555690625
2011-05-24,0,1,11.084351435440626
2011-05-25,0,1,6.953222327862501
2011-05-26,0,1,4.211384696651563
2011-05-27,0,10,6.613681201954689
2011-05-28,1,27,4.616540663414064
2011-05-29,0,14,-0.20118894559374834
2011-05-30,2,4,17.412757504460938
2011-05-31,7,1,19.05255874321875
2011-06-01,0,1,25.110104972134373
2011-06-02,0,3,12.004976698090623
2011-06-03,0,4,9.60023492978125
2011-06-04,0,13,-2.0011799336421863
2011-06-05,0,7,-0.6831144939328091
2011-06-06,0,0,5.914078652467191
2011-06-07,0,6,13.665384917631254
2011-06-08,0,4,17.800488011723438
2011-06-09,0,3,21.04332465550625
2011-06-10,0,2,13.313602682692187
2011-06-11,0,4,-1.3082822928296878
2011-06-12,0,3,-1.7784845540343732
2011-06-13,0,0,13.061709648896878
2011-06-14,0,0,18.047410638303127
2011-06-15,0,0,13.062109237712502
2011-06-16,0,0,13.008912404846875
2011-06-17,0,0,24.955689451354687
2011-06-18,0,5,4.746192201070313
2011-06-19,0,25,6.132377581556251
2011-06-20,0,7,7.620680173126564
2011-06-21,0,8,4.683157368479691
2011-06-22,0,0,1.0067248398828155
2011-06-23,1,0,7.649379076729691
2011-06-24,0,3,4.444765869373439
2011-06-25,0,0,-1.2694029080640608
2011-06-26,0,0,1.4934470463015643
2011-06-27,0,0,8.777409585734377
2011-06-28,0,0,9.200057411468752
2011-06-29,0,0,19.88609145797969
2011-06-30,0,0,19.63336062765
2011-07-01,0,0,19.921428323449998
2011-07-02,0,0,0.34799854978124856
2011-07-03,0,0,-2.1006207445171863
2011-07-04,0,0,14.86837110841719
2011-07-05,0,1,6.71344012848594
2011-07-06,0,0,7.980357926468752
2011-07-07,0,0,18.99032017201094
2011-07-08,0,13,13.91571602235
2011-07-09,0,0,-3.0755533644515616
2011-07-10,3,0,-0.40971693469062354
