,llvm/llvm-project,golang/go,gcc-mirror/gcc
2021-01-10,27,4,2
2021-01-11,122,12,28
2021-01-12,114,17,21
2021-01-13,102,7,35
2021-01-14,106,18,45
2021-01-15,101,17,42
2021-01-16,47,4,9
2021-01-17,29,10,6
2021-01-18,78,6,22
2021-01-19,133,18,25
2021-01-20,118,15,20
2021-01-21,92,23,19
2021-01-22,162,18,30
2021-01-23,74,14,6
2021-01-24,34,1,1
2021-01-25,132,25,19
2021-01-26,132,13,19
2021-01-27,114,13,24
2021-01-28,133,8,21
2021-01-29,88,3,25
2021-01-30,31,2,9
2021-01-31,24,0,3
2021-02-01,103,6,23
2021-02-02,174,6,22
2021-02-03,100,10,46
2021-02-04,115,10,20
2021-02-05,118,11,15
2021-02-06,37,0,1
2021-02-07,21,2,1
2021-02-08,101,12,9
2021-02-09,114,12,19
2021-02-10,121,13,22
2021-02-11,136,6,20
2021-02-12,139,18,31
2021-02-13,54,4,6
2021-02-14,35,0,3
2021-02-15,71,2,10
2021-02-16,100,20,11
2021-02-17,116,5,11
2021-02-18,144,24,13
2021-02-19,125,65,22
2021-02-20,66,8,5
2021-02-21,31,2,3
2021-02-22,101,8,18
2021-02-23,123,48,18
2021-02-24,130,30,28
2021-02-25,109,22,28
2021-02-26,97,12,17
2021-02-27,58,4,6
2021-02-28,25,0,7
2021-03-01,119,9,6
2021-03-02,123,13,23
2021-03-03,111,13,30
2021-03-04,162,36,20
2021-03-05,125,31,20
2021-03-06,69,0,10
2021-03-07,33,2,2
2021-03-08,106,8,19
2021-03-09,135,22,22
2021-03-10,129,25,26
2021-03-11,124,20,26
2021-03-12,115,14,10
2021-03-13,38,16,7
2021-03-14,27,5,3
2021-03-15,127,22,21
2021-03-16,109,21,16
2021-03-17,90,16,11
2021-03-18,122,27,17
2021-03-19,117,15,20
2021-03-20,53,1,5
2021-03-21,40,0,2
2021-03-22,129,11,17
2021-03-23,162,19,37
2021-03-24,146,16,11
2021-03-25,106,29,23
2021-03-26,80,3,30
2021-03-27,31,2,2
2021-03-28,32,1,11
2021-03-29,86,19,18
2021-03-30,125,23,16
2021-03-31,98,16,23
2021-04-01,116,8,14
2021-04-02,105,17,8
2021-04-03,27,9,15
2021-04-04,33,3,2
2021-04-05,60,32,15
2021-04-06,137,22,25
2021-04-07,94,17,15
2021-04-08,111,31,38
2021-04-09,94,30,28
2021-04-10,26,8,17
2021-04-11,31,3,5
2021-04-12,116,31,17
2021-04-13,140,25,22
2021-04-14,134,36,22
2021-04-15,105,20,21
2021-04-16,118,39,23
2021-04-17,36,1,7
2021-04-18,25,1,2
2021-04-19,106,15,15
2021-04-20,160,22,18
2021-04-21,133,28,39
2021-04-22,162,24,23
2021-04-23,125,34,22
2021-04-24,42,1,11
2021-04-25,36,0,2
2021-04-26,103,12,26
2021-04-27,134,37,40
2021-04-28,126,32,66
2021-04-29,110,30,64
2021-04-30,121,37,30
2021-05-01,38,5,4
2021-05-02,26,7,5
2021-05-03,107,21,50
2021-05-04,125,30,55
2021-05-05,128,18,75
2021-05-06,106,14,55
2021-05-07,107,14,53
2021-05-08,37,6,4
2021-05-09,16,9,1
2021-05-10,118,11,61
2021-05-11,118,6,31
2021-05-12,121,10,27
2021-05-13,135,12,27
2021-05-14,179,10,22
2021-05-15,45,1,8
2021-05-16,30,0,5
2021-05-17,116,7,33
2021-05-18,116,13,40
2021-05-19,116,20,38
2021-05-20,104,15,26
2021-05-21,105,28,37
2021-05-22,38,1,5
2021-05-23,25,0,8
2021-05-24,96,21,16
2021-05-25,150,5,31
2021-05-26,121,23,30
2021-05-27,113,25,18
2021-05-28,78,7,15
2021-05-29,23,2,6
2021-05-30,18,2,3
2021-05-31,57,1,7
2021-06-01,88,14,21
2021-06-02,113,33,15
2021-06-03,108,20,31
2021-06-04,100,29,29
2021-06-05,45,9,12
2021-06-06,33,1,10
2021-06-07,95,20,18
2021-06-08,129,26,44
2021-06-09,109,13,39
2021-06-10,110,3,23
2021-06-11,132,15,26
2021-06-12,23,7,6
2021-06-13,46,4,7
2021-06-14,107,10,28
2021-06-15,107,12,50
2021-06-16,110,13,53
2021-06-17,97,40,59
2021-06-18,98,11,53
2021-06-19,40,1,4
2021-06-20,27,2,5
2021-06-21,100,17,38
2021-06-22,117,12,33
2021-06-23,126,16,26
2021-06-24,122,15,36
2021-06-25,95,17,23
2021-06-26,29,6,8
2021-06-27,27,4,3
2021-06-28,126,12,30
2021-06-29,131,8,58
2021-06-30,114,13,23
2021-07-01,117,20,25
2021-07-02,107,10,25
2021-07-03,11,5,4
2021-07-04,11,2,2
2021-07-05,54,0,43
2021-07-06,66,1,52
2021-07-07,93,21,39
2021-07-08,85,7,45
2021-07-09,110,4,53
2021-07-10,54,3,4
2021-07-11,29,1,1
2021-07-12,118,3,26
2021-07-13,135,5,26
2021-07-14,109,15,23
2021-07-15,140,5,30
2021-07-16,125,20,38
2021-07-17,44,3,3
2021-07-18,32,2,5
2021-07-19,121,29,15
2021-07-20,167,6,24
2021-07-21,131,12,34
2021-07-22,142,18,17
2021-07-23,139,6,23
2021-07-24,42,5,2
2021-07-25,41,1,2
2021-07-26,135,13,15
2021-07-27,167,11,28
2021-07-28,128,11,36
2021-07-29,126,13,21
2021-07-30,129,16,42
2021-07-31,43,3,8
2021-08-01,10,0,2
2021-08-02,108,6,22
2021-08-03,92,8,37
2021-08-04,120,16,34
2021-08-05,114,8,25
2021-08-06,115,18,19
2021-08-07,27,2,4
2021-08-08,10,1,5
2021-08-09,79,6,24
2021-08-10,107,10,15
2021-08-11,91,7,25
2021-08-12,98,13,26
2021-08-13,78,12,13
2021-08-14,28,8,5
2021-08-15,35,4,5
2021-08-16,85,55,20
2021-08-17,101,16,44
2021-08-18,125,13,30
2021-08-19,120,8,26
2021-08-20,114,15,15
2021-08-21,20,6,6
2021-08-22,30,9,4
2021-08-23,66,20,41
2021-08-24,101,14,30
2021-08-25,108,20,21
2021-08-26,109,14,23
2021-08-27,90,19,18
2021-08-28,22,10,9
2021-08-29,19,1,14
2021-08-30,79,17,21
2021-08-31,97,27,37
2021-09-01,116,22,30
2021-09-02,121,32,17
2021-09-03,100,8,32
2021-09-04,46,10,1
2021-09-05,17,2,6
2021-09-06,46,6,12
2021-09-07,110,17,30
2021-09-08,113,34,21
2021-09-09,107,30,10
2021-09-10,115,16,25
2021-09-11,31,2,4
2021-09-12,21,2,3
2021-09-13,95,11,35
2021-09-14,86,14,33
2021-09-15,93,21,26
2021-09-16,101,13,40
2021-09-17,97,19,41
2021-09-18,28,1,16
2021-09-19,25,3,18
2021-09-20,105,24,44
2021-09-21,115,25,46
2021-09-22,129,26,61
2021-09-23,124,14,46
2021-09-24,136,20,14
2021-09-25,37,3,2
2021-09-26,27,0,3
2021-09-27,127,35,16
2021-09-28,138,21,45
2021-09-29,117,21,21
2021-09-30,111,13,27
2021-10-01,124,13,89
2021-10-02,41,7,8
2021-10-03,58,0,8
2021-10-04,101,20,44
2021-10-05,134,33,52
2021-10-06,151,29,17
2021-10-07,132,19,21
2021-10-08,145,20,30
2021-10-09,49,4,6
2021-10-10,25,1,4
2021-10-11,113,17,53
2021-10-12,154,16,31
2021-10-13,111,14,21
2021-10-14,103,19,39
2021-10-15,94,16,33
2021-10-16,46,2,4
2021-10-17,27,2,3
2021-10-18,127,16,24
2021-10-19,88,25,35
2021-10-20,93,16,63
2021-10-21,126,13,39
2021-10-22,106,6,13
2021-10-23,23,9,6
2021-10-24,16,0,5
2021-10-25,156,24,48
2021-10-26,114,21,33
2021-10-27,148,26,26
2021-10-28,121,29,24
2021-10-29,156,27,20
2021-10-30,33,5,11
2021-10-31,28,6,6
2021-11-01,68,12,19
2021-11-02,125,51,20
2021-11-03,106,20,21
2021-11-04,91,45,53
2021-11-05,115,54,39
2021-11-06,36,8,8
2021-11-07,28,2,8
2021-11-08,107,15,27
2021-11-09,162,35,66
2021-11-10,146,20,63
2021-11-11,133,27,47
2021-11-12,130,22,33
2021-11-13,44,15,20
2021-11-14,40,2,9
2021-11-15,123,18,40
2021-11-16,144,23,39
2021-11-17,120,25,32
2021-11-18,114,19,29
2021-11-19,90,10,39
2021-11-20,27,4,8
2021-11-21,15,0,8
2021-11-22,102,24,14
2021-11-23,91,6,28
2021-11-24,98,20,23
2021-11-25,80,4,26
2021-11-26,85,4,20
2021-11-27,20,5,7
2021-11-28,25,0,6
2021-11-29,86,16,19
2021-11-30,143,7,62
2021-12-01,132,10,54
2021-12-02,155,22,60
2021-12-03,105,13,23
2021-12-04,55,7,10
2021-12-05,35,1,3
2021-12-06,97,15,18
2021-12-07,134,18,14
2021-12-08,128,20,20
2021-12-09,118,8,33
2021-12-10,130,3,22
2021-12-11,33,0,8
2021-12-12,32,7,6
2021-12-13,120,16,26
2021-12-14,117,14,37
2021-12-15,133,13,27
2021-12-16,143,10,18
2021-12-17,118,9,26
2021-12-18,25,0,7
2021-12-19,21,1,10
2021-12-20,75,6,13
2021-12-21,97,10,9
2021-12-22,79,5,10
2021-12-23,105,4,6
2021-12-24,46,0,6
2021-12-25,19,0,2
2021-12-26,18,0,3
2021-12-27,51,0,8
2021-12-28,48,0,12
2021-12-29,63,4,9
2021-12-30,56,0,9
2021-12-31,25,0,4
2022-01-01,33,0,5
2022-01-02,49,2,8
2022-01-03,96,2,22
2022-01-04,128,3,21
2022-01-05,154,5,59
2022-01-06,122,12,48
2022-01-07,121,14,52
2022-01-08,60,1,8
2022-01-09,26,1,5
2022-01-10,137,12,38
2022-01-11,149,9,83
2022-01-12,170,10,26
2022-01-13,157,9,29
2022-01-14,177,10,35
2022-01-15,60,0,7
2022-01-16,31,0,10
2022-01-17,112,1,37
2022-01-18,154,10,53
2022-01-19,157,14,45
2022-01-20,178,5,31
2022-01-21,125,5,30
2022-01-22,32,0,7
2022-01-23,51,0,10
2022-01-24,159,17,22
2022-01-25,152,5,19
2022-01-26,183,12,15
2022-01-27,187,7,22
2022-01-28,161,8,22
2022-01-29,56,2,3
2022-01-30,70,1,2
2022-01-31,141,6,20
2022-02-01,189,11,30
2022-02-02,173,5,23
2022-02-03,158,17,34
2022-02-04,145,15,24
2022-02-05,56,1,8
2022-02-06,51,0,3
2022-02-07,122,10,11
2022-02-08,186,15,28
2022-02-09,160,12,42
2022-02-10,192,9,31
2022-02-11,180,15,21
2022-02-12,55,2,5
2022-02-13,39,2,6
2022-02-14,164,11,14
2022-02-15,159,11,20
2022-02-16,164,5,14
2022-02-17,180,0,21
2022-02-18,120,5,9
2022-02-19,31,3,5
2022-02-20,34,1,4
2022-02-21,76,1,7
2022-02-22,96,3,39
2022-02-23,168,4,11
2022-02-24,118,7,15
2022-02-25,124,6,15
2022-02-26,46,2,1
2022-02-27,28,0,3
2022-02-28,95,12,19
2022-03-01,146,21,23
2022-03-02,132,15,16
2022-03-03,108,18,14
2022-03-04,122,11,29
2022-03-05,38,3,5
2022-03-06,16,1,2
2022-03-07,156,21,22
2022-03-08,134,19,24
2022-03-09,120,9,19
2022-03-10,112,15,36
2022-03-11,93,8,11
2022-03-12,39,1,15
2022-03-13,28,1,3
2022-03-14,132,9,12
2022-03-15,145,15,11
2022-03-16,170,17,23
2022-03-17,168,13,13
2022-03-18,146,32,23
2022-03-19,41,2,8
2022-03-20,24,4,2
2022-03-21,169,24,17
2022-03-22,124,15,28
2022-03-23,164,12,17
2022-03-24,152,12,16
2022-03-25,109,8,15
2022-03-26,39,5,13
2022-03-27,12,9,3
2022-03-28,110,16,29
2022-03-29,102,13,39
2022-03-30,90,17,22
2022-03-31,125,44,18
2022-04-01,95,21,21
2022-04-02,41,4,4
2022-04-03,36,5,4
2022-04-04,99,22,13
2022-04-05,150,21,21
2022-04-06,141,4,24
2022-04-07,144,10,20
2022-04-08,141,5,11
2022-04-09,44,1,8
2022-04-10,19,2,2
2022-04-11,119,24,22
2022-04-12,127,24,30
2022-04-13,138,10,22
2022-04-14,139,8,23
2022-04-15,119,11,9
2022-04-16,41,2,2
2022-04-17,18,2,1
2022-04-18,48,5,7
2022-04-19,97,18,11
2022-04-20,160,11,8
2022-04-21,146,35,14
2022-04-22,134,19,9
2022-04-23,40,2,2
2022-04-24,21,1,3
2022-04-25,92,12,18
2022-04-26,98,14,19
2022-04-27,126,9,19
2022-04-28,129,13,42
2022-04-29,109,19,34
2022-04-30,36,3,3
2022-05-01,26,2,3
2022-05-02,87,15,16
2022-05-03,120,40,19
2022-05-04,97,18,29
2022-05-05,114,40,22
2022-05-06,141,20,18
2022-05-07,42,2,2
2022-05-08,21,12,1
2022-05-09,100,16,50
2022-05-10,118,24,60
2022-05-11,96,19,56
2022-05-12,99,21,43
2022-05-13,126,32,83
2022-05-14,53,5,1
2022-05-15,27,0,5
2022-05-16,121,15,49
2022-05-17,110,26,62
2022-05-18,140,11,50
2022-05-19,125,24,49
2022-05-20,94,17,18
2022-05-21,36,0,6
2022-05-22,23,0,1
2022-05-23,91,8,17
2022-05-24,124,11,33
2022-05-25,119,6,19
2022-05-26,123,12,17
2022-05-27,90,6,17
2022-05-28,25,2,11
2022-05-29,14,0,4
2022-05-30,76,2,41
2022-05-31,91,3,11
2022-06-01,148,3,52
2022-06-02,130,5,46
2022-06-03,106,12,18
2022-06-04,40,8,4
2022-06-05,30,0,1
2022-06-06,97,31,3
2022-06-07,139,23,11
2022-06-08,153,16,12
2022-06-09,153,9,16
2022-06-10,143,5,13
2022-06-11,49,0,6
2022-06-12,32,0,5
2022-06-13,176,13,19
2022-06-14,138,6,20
2022-06-15,176,12,27
2022-06-16,132,11,23
2022-06-17,115,6,12
2022-06-18,57,1,6
2022-06-19,47,0,3
2022-06-20,110,1,13
2022-06-21,124,11,10
2022-06-22,118,13,16
2022-06-23,130,17,20
2022-06-24,126,9,35
2022-06-25,54,3,6
2022-06-26,37,4,9
2022-06-27,137,10,34
2022-06-28,132,12,23
2022-06-29,155,11,19
2022-06-30,145,18,18
2022-07-01,120,5,31
2022-07-02,20,0,4
2022-07-03,21,0,9
2022-07-04,60,2,49
2022-07-05,113,4,48
2022-07-06,105,8,34
2022-07-07,152,6,21
2022-07-08,132,4,12
2022-07-09,37,0,10
2022-07-10,23,0,7
2022-07-11,112,11,13
2022-07-12,135,16,42
2022-07-13,150,6,38
2022-07-14,142,6,10
2022-07-15,120,2,18
2022-07-16,67,0,4
2022-07-17,39,0,1
2022-07-18,120,4,16
2022-07-19,124,17,21
2022-07-20,119,4,12
2022-07-21,139,3,15
2022-07-22,162,3,21
2022-07-23,50,0,2
2022-07-24,52,2,6
2022-07-25,130,9,14
2022-07-26,163,4,20
2022-07-27,130,3,14
2022-07-28,111,11,18
2022-07-29,110,1,14
2022-07-30,67,2,4
2022-07-31,34,0,8
2022-08-01,117,6,15
2022-08-02,121,21,18
2022-08-03,114,4,13
2022-08-04,103,16,15
2022-08-05,72,6,11
2022-08-06,37,2,1
2022-08-07,50,0,4
2022-08-08,117,45,11
2022-08-09,116,32,12
2022-08-10,119,15,6
2022-08-11,135,26,12
2022-08-12,107,31,10
2022-08-13,65,0,3
2022-08-14,49,5,1
2022-08-15,95,18,19
2022-08-16,94,14,24
2022-08-17,107,37,19
2022-08-18,127,41,19
2022-08-19,138,41,5
2022-08-20,40,2,4
2022-08-21,39,0,1
2022-08-22,107,18,15
2022-08-23,126,35,17
2022-08-24,161,17,31
2022-08-25,122,14,13
2022-08-26,148,29,26
2022-08-27,37,4,5
2022-08-28,39,1,2
2022-08-29,104,21,17
2022-08-30,114,12,38
2022-08-31,118,32,30
2022-09-01,116,23,34
2022-09-02,122,51,28
2022-09-03,66,7,5
2022-09-04,39,1,6
2022-09-05,80,14,54
2022-09-06,122,39,50
2022-09-07,107,46,28
2022-09-08,133,27,24
2022-09-09,115,19,22
2022-09-10,28,0,5
2022-09-11,24,0,2
2022-09-12,99,0,52
2022-09-13,135,16,19
2022-09-14,101,9,24
2022-09-15,90,21,15
2022-09-16,112,22,15
2022-09-17,34,4,4
2022-09-18,34,1,6
2022-09-19,144,24,6
2022-09-20,120,10,25
2022-09-21,137,10,16
2022-09-22,116,5,37
2022-09-23,103,11,25
2022-09-24,24,1,4
2022-09-25,23,1,11
2022-09-26,116,23,43
2022-09-27,105,38,22
2022-09-28,138,31,17
2022-09-29,160,54,53
2022-09-30,133,24,28
2022-10-01,44,10,10
2022-10-02,27,4,6
2022-10-03,121,7,29
2022-10-04,125,15,23
2022-10-05,133,14,28
2022-10-06,152,10,41
2022-10-07,143,14,32
2022-10-08,32,4,3
2022-10-09,18,0,4
2022-10-10,85,13,27
2022-10-11,120,12,32
2022-10-12,143,17,25
2022-10-13,137,11,23
2022-10-14,170,17,23
2022-10-15,29,1,4
2022-10-16,28,0,4
2022-10-17,87,19,30
2022-10-18,149,13,18
2022-10-19,91,8,26
2022-10-20,91,9,29
2022-10-21,121,11,19
2022-10-22,57,0,4
2022-10-23,50,1,2
2022-10-24,115,15,24
2022-10-25,118,13,25
2022-10-26,124,16,20
2022-10-27,127,6,16
2022-10-28,132,8,23
2022-10-29,55,4,8
2022-10-30,51,0,1
2022-10-31,123,19,17
2022-11-01,109,19,21
2022-11-02,136,12,17
2022-11-03,104,24,24
2022-11-04,94,21,50
2022-11-05,42,1,7
2022-11-06,26,0,10
2022-11-07,121,17,54
2022-11-08,103,23,56
2022-11-09,84,25,48
2022-11-10,105,32,17
2022-11-11,91,14,31
2022-11-12,54,0,17
2022-11-13,29,0,14
2022-11-14,124,18,90
2022-11-15,138,45,40
2022-11-16,118,32,38
2022-11-17,133,25,19
2022-11-18,157,24,23
2022-11-19,50,13,14
2022-11-20,48,0,7
2022-11-21,107,20,39
2022-11-22,154,18,36
2022-11-23,85,14,17
2022-11-24,97,3,22
2022-11-25,113,0,17
2022-11-26,89,0,2
2022-11-27,113,0,1
2022-11-28,191,11,68
2022-11-29,153,5,14
2022-11-30,138,7,27
2022-12-01,147,18,30
2022-12-02,151,14,22
2022-12-03,75,1,4
2022-12-04,56,0,9
2022-12-05,165,8,9
2022-12-06,170,9,34
2022-12-07,259,11,16
2022-12-08,191,8,24
2022-12-09,141,3,16
2022-12-10,87,1,10
2022-12-11,50,1,10
2022-12-12,170,6,20
2022-12-13,203,3,66
2022-12-14,166,6,19
2022-12-15,147,2,24
2022-12-16,143,4,24
2022-12-17,105,1,4
2022-12-18,53,0,4
2022-12-19,143,1,35
2022-12-20,142,0,9
2022-12-21,134,6,25
2022-12-22,133,6,23
2022-12-23,84,2,23
2022-12-24,21,0,5
2022-12-25,22,0,3
2022-12-26,38,0,3
2022-12-27,47,1,16
2022-12-28,48,1,6
2022-12-29,47,2,18
2022-12-30,37,0,5
2022-12-31,15,0,4
2023-01-01,14,0,4
2023-01-02,35,0,11
2023-01-03,138,3,28
2023-01-04,121,4,16
2023-01-05,125,2,38
2023-01-06,139,3,15
2023-01-07,29,0,5
2023-01-08,44,0,2
2023-01-09,132,7,16
2023-01-10,156,3,20
2023-01-11,176,3,17
2023-01-12,182,0,17
2023-01-13,164,3,29
2023-01-14,56,0,13
2023-01-15,35,0,10
2023-01-16,97,1,38
2023-01-17,128,42,12
2023-01-18,133,7,18
2023-01-19,149,19,16
2023-01-20,179,38,6
2023-01-21,52,3,4
2023-01-22,70,0,5
2023-01-23,159,12,35
2023-01-24,158,20,23
2023-01-25,168,16,35
2023-01-26,110,22,47
2023-01-27,108,14,42
2023-01-28,60,6,19
2023-01-29,52,1,4
2023-01-30,115,25,35
2023-01-31,134,31,90
2023-02-01,114,14,28
2023-02-02,121,17,28
2023-02-03,126,7,31
2023-02-04,63,9,4
2023-02-05,33,0,3
2023-02-06,125,15,18
2023-02-07,155,8,11
2023-02-08,114,10,14
2023-02-09,116,13,14
2023-02-10,150,20,49
2023-02-11,51,2,7
2023-02-12,43,0,137
2023-02-13,139,8,19
2023-02-14,139,8,15
2023-02-15,164,7,80
2023-02-16,109,8,32
2023-02-17,133,10,21
2023-02-18,52,1,11
2023-02-19,25,1,2
2023-02-20,79,1,13
2023-02-21,97,8,119
2023-02-22,115,14,23
2023-02-23,116,18,22
2023-02-24,95,12,27
2023-02-25,33,3,9
2023-02-26,35,0,3
2023-02-27,101,34,11
2023-02-28,121,26,18
2023-03-01,127,23,20
2023-03-02,136,10,28
2023-03-03,92,5,39
2023-03-04,25,1,13
2023-03-05,24,0,17
2023-03-06,120,13,11
2023-03-07,133,12,27
2023-03-08,129,5,11
2023-03-09,127,13,20
2023-03-10,129,25,36
2023-03-11,45,1,6
2023-03-12,37,0,14
2023-03-13,138,16,27
2023-03-14,179,11,28
2023-03-15,142,24,25
2023-03-16,124,17,22
2023-03-17,139,12,20
2023-03-18,31,4,5
2023-03-19,34,0,7
2023-03-20,119,8,12
2023-03-21,139,20,25
2023-03-22,112,21,23
2023-03-23,139,5,24
2023-03-24,118,20,19
2023-03-25,31,2,3
2023-03-26,25,0,5
2023-03-27,133,12,13
2023-03-28,122,16,39
2023-03-29,125,24,18
2023-03-30,116,12,12
2023-03-31,135,18,13
2023-04-01,49,0,9
2023-04-02,39,0,7
2023-04-03,113,7,11
2023-04-04,140,21,16
2023-04-05,148,16,14
2023-04-06,139,16,96
2023-04-07,103,20,3
2023-04-08,38,3,8
2023-04-09,23,0,2
