,apache/thrift,protocolbuffers/protobuf,apache/avro
2012-05-16,1,1,7
2012-05-17,2,1,7
2012-05-18,7,0,3
2012-05-19,1,0,0
2012-05-20,0,0,11
2012-05-21,1,0,5
2012-05-22,0,0,0
2012-05-23,2,0,4
2012-05-24,0,0,0
2012-05-25,1,0,0
2012-05-26,0,0,0
2012-05-27,2,0,0
2012-05-28,0,0,0
2012-05-29,1,0,0
2012-05-30,0,0,0
2012-05-31,0,0,0
2012-06-01,0,0,0
2012-06-02,0,0,0
2012-06-03,0,0,0
2012-06-04,0,3,0
2012-06-05,2,1,0
2012-06-06,1,0,0
2012-06-07,1,0,3
2012-06-08,0,0,0
