,microsoft/TypeScript,definitelytyped/definitelytyped,sindresorhus/type-fest
2019-12-06,3.1363272192328124,20,0
2019-12-07,-0.8408076025359377,20,0
2019-12-08,-0.4825310624999998,1,0
2019-12-09,1.6525447437500007,11,0
2019-12-10,3.5272512549218757,39,0
2019-12-11,7.285310960039062,1,0
2019-12-12,-0.1906191753687505,1,0
2019-12-13,5.267262092314063,22,0
2019-12-14,-1.0681510147421878,0,0
2019-12-15,0.41181356485625076,0,0
2019-12-16,1.5045680575000007,28,0
2019-12-17,1.4461007389687508,15,0
2019-12-18,12.427816960365625,31,0
2019-12-19,1.3321298144812492,1,0
2019-12-20,5.857236939196875,37,0
2019-12-21,2.641970756870312,0,0
2019-12-22,0.8108431635343756,1,0
2019-12-23,5.090915019484376,52,0
2019-12-24,-0.2178167835671867,1,0
2019-12-25,-0.842105669853124,0,0
2019-12-26,-0.5883929505249991,45,0
2019-12-27,0.5470975542359388,21,0
2019-12-28,-0.38023655871718676,1,0
2019-12-29,-0.25934143731406195,0,0
2019-12-30,0.8390437738250003,7,0
2019-12-31,0.7940362205843752,12,0
2020-01-01,-0.22107817823124992,0,0
2020-01-02,2.9049391349640623,33,0
2020-01-03,10.63974380375,34,0
2020-01-04,0.7186524369843741,0,0
2020-01-05,-0.818177615035938,0,0
2020-01-06,3.51025679125,15,0
2020-01-07,9.246700240734375,17,0
2020-01-08,6.543937546948437,31,0
2020-01-09,1.417304421214062,22,0
2020-01-10,6.795290377203125,14,0
2020-01-11,-1.5867273932796873,5,0
2020-01-12,-0.9361395539265613,0,0
2020-01-13,2.388285884928126,19,0
2020-01-14,1.2318434354375012,4,0
2020-01-15,4.278551852200001,33,0
2020-01-16,4.025387781765625,28,0
2020-01-17,7.971367170665625,36,0
2020-01-18,1.541081688267187,4,0
2020-01-19,-1.0897228577874998,0,0
2020-01-20,-0.6350013637499995,17,0
2020-01-21,7.531251355953126,33,1
2020-01-22,6.827350022610938,35,0
2020-01-23,7.5530838861,22,0
2020-01-24,12.282834868492188,1,2
2020-01-25,4.640309831429687,19,0
2020-01-26,-1.9850286118703124,1,0
2020-01-27,4.840610842392189,42,0
2020-01-28,8.572128580000001,28,0
2020-01-29,12.075973813375,24,0
2020-01-30,3.4383339843374996,24,0
2020-01-31,12.960273527571875,23,3
2020-02-01,-2.759527428792188,3,0
2020-02-02,-1.5599767016124984,1,0
2020-02-03,1.9659162297484392,17,0
2020-02-04,1.9407469844062522,16,0
2020-02-05,7.942888682128126,25,0
2020-02-06,2.3975627274218754,32,1
2020-02-07,2.7061132426531254,27,0
2020-02-08,-1.1407555604499997,3,0
2020-02-09,-0.6937815755390615,2,0
2020-02-10,1.5855321237500009,43,3
2020-02-11,5.472438859703126,16,0
2020-02-12,8.039140187095313,27,0
2020-02-13,2.564665790251562,12,0
2020-02-14,6.824437290114062,31,3
2020-02-15,0.5354228377937498,0,0
2020-02-16,-1.0165824351437494,0,0
2020-02-17,-0.6468602174999992,0,0
2020-02-18,1.5090760839687514,40,0
2020-02-19,7.403042100584376,23,0
2020-02-20,13.791587682643751,26,2
2020-02-21,14.85406348011406,15,0
2020-02-22,-1.7766543067687515,7,0
2020-02-23,-1.57636094631875,1,0
2020-02-24,9.988506769928126,2,1
2020-02-25,21.151002757500002,76,0
2020-02-26,10.605036366468749,54,0
2020-02-27,20.751879384553124,21,0
2020-02-28,2.674742135728124,17,0
2020-02-29,2.8687404444453137,0,0
2020-03-01,-2.5560911936265605,0,0
2020-03-02,10.375809701214067,40,0
2020-03-03,9.552885868078128,14,0
2020-03-04,6.239549125245314,16,0
2020-03-05,5.435786711954688,20,0
2020-03-06,3.701198603371876,36,0
2020-03-07,1.0070361705281263,4,0
2020-03-08,-0.4515094958453112,0,0
2020-03-09,2.9421876297843768,12,3
2020-03-10,7.850188776312502,15,1
2020-03-11,13.312066647131251,4,0
2020-03-12,14.557364557428125,22,1
2020-03-13,13.011548858051562,25,0
2020-03-14,-1.2139732996312507,18,0
2020-03-15,-2.002328050512499,13,0
2020-03-16,0.6633884818765647,2,0
2020-03-17,11.794469691651566,7,0
2020-03-18,4.800937116465626,25,0
2020-03-19,9.007467095692189,1,0
2020-03-20,0.6807077256953127,43,0
2020-03-21,0.3865931061390635,1,0
2020-03-22,0.8175024583937511,30,0
2020-03-23,1.0743039899281266,24,0
2020-03-24,4.158239485218751,7,0
2020-03-25,9.899700964475,13,0
2020-03-26,3.2067615296734373,7,0
2020-03-27,2.5652929753265625,58,0
2020-03-28,-0.2436497344421873,4,0
2020-03-29,-0.8232158511390615,1,0
2020-03-30,9.436471463896876,23,0
2020-03-31,6.572081300146875,111,0
2020-04-01,7.4123905086,30,0
2020-04-02,7.183521012898437,23,0
2020-04-03,5.062609259526562,18,0
2020-04-04,-0.7793287109921871,5,0
2020-04-05,-1.1611803481593739,0,4
2020-04-06,1.199854834964064,29,0
2020-04-07,6.178920937343752,32,0
2020-04-08,5.697683841765626,23,2
2020-04-09,11.566600258821875,17,0
2020-04-10,6.891652623785937,18,0
2020-04-11,-0.015032560182812738,24,0
2020-04-12,-1.327639055767187,1,0
2020-04-13,7.149349917464064,41,0
2020-04-14,1.558593162718751,1,0
2020-04-15,7.821086317568751,32,0
2020-04-16,-0.6836798226109373,14,0
2020-04-17,0.9348526717953136,41,0
2020-04-18,-0.9099087926078117,1,0
2020-04-19,2.447164851145314,0,0
2020-04-20,10.332253437428125,3,0
2020-04-21,12.479272544625,3,1
2020-04-22,7.778365461915624,3,0
2020-04-23,1.8457834040015615,36,0
2020-04-24,12.368016871660938,6,0
2020-04-25,0.6014192339328126,0,0
2020-04-26,-1.671120431321874,46,0
2020-04-27,2.8871787272031266,83,0
2020-04-28,5.743378126720314,7,0
2020-04-29,4.442449227385939,4,0
2020-04-30,7.4807397243406255,5,0
2020-05-01,-1.7692095624218749,10,0
2020-05-02,0.014062618887500822,1,0
2020-05-03,-0.792229174549999,3,0
2020-05-04,8.510631569892189,46,0
2020-05-05,3.7315480491875004,17,0
2020-05-06,12.788743608746875,11,2
2020-05-07,5.886338137904687,10,0
2020-05-08,6.09186755514375,8,0
2020-05-09,-0.8940466190734377,5,0
2020-05-10,-1.185885175515624,6,0
2020-05-11,12.162013318714065,23,0
2020-05-12,12.051414526609376,44,0
