,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2015-12-31,-0.4894714414843757,2,0
2016-01-01,-0.4006476826171882,13,0
2016-01-02,-0.16166841836250018,13,1
2016-01-03,-0.04223813625,3,0
2016-01-04,6.965166009484375,4,0
2016-01-05,4.870539870001561,2,0
2016-01-06,1.1514165867671875,1,0
2016-01-07,-0.35149999999999926,2,0
2016-01-08,3.2823625000000005,7,0
2016-01-09,-1.4371792499999998,2,0
2016-01-10,-1.4756577874999997,0,0
2016-01-11,-0.8973729537499997,5,0
2016-01-12,1.3432856163906246,1,3
2016-01-13,11.882624520010937,6,0
2016-01-14,0.5473701303078116,7,2
2016-01-15,2.8118456822875,3,1
2016-01-16,-2.30433268404375,9,7
2016-01-17,-1.892846782929687,3,3
2016-01-18,-1.1093208882328123,0,0
2016-01-19,0.21035799,0,0
2016-01-20,-0.9130863047812502,0,21
2016-01-21,3.397244061831249,0,0
2016-01-22,-0.6524924608546883,0,0
2016-01-23,-0.9422971405078127,0,1
2016-01-24,-0.4700974461625,2,0
2016-01-25,0.7429857242671876,0,0
2016-01-26,-0.47800077375000005,1,6
2016-01-27,1.7562795832343752,5,7
2016-01-28,0.22780662926718742,2,1
2016-01-29,0.3673733591874999,1,0
2016-01-30,-0.623930619696875,2,0
2016-01-31,-0.28168927573281244,2,0
2016-02-01,6.82193972625,0,0
2016-02-02,5.767678808234375,5,0
2016-02-03,5.760500926767188,0,0
2016-02-04,4.969508430218751,0,0
2016-02-05,0.5358616830187506,2,2
2016-02-06,-3.539301879998437,6,1
2016-02-07,-1.836273950732812,4,0
2016-02-08,1.7546074337500002,7,0
2016-02-09,1.1593822801406248,2,0
2016-02-10,2.0341578969953122,5,0
2016-02-11,-1.2320775330031255,0,0
2016-02-12,4.621084961264062,0,0
2016-02-13,1.4457174470765621,0,0
2016-02-14,-2.2770704036640623,0,0
2016-02-15,6.937242091250001,2,0
2016-02-16,8.893679328453125,3,0
2016-02-17,6.033538152504687,0,1
2016-02-18,-4.417780555510937,0,0
2016-02-19,12.232622537803127,1,0
2016-02-20,-6.163884808826563,2,0
2016-02-21,-2.7641847464593736,6,0
2016-02-22,1.2550525570687505,2,0
2016-02-23,3.8572517433749995,2,0
2016-02-24,1.9081974691999992,0,0
2016-02-25,-0.014315054465625643,4,0
2016-02-26,27.647859131423438,4,0
2016-02-27,-10.19436991471719,0,0
2016-02-28,-3.981227785992185,0,0
2016-02-29,8.74935425375,2,0
2016-03-01,4.1281861447031245,0,1
2016-03-02,5.952753003457813,0,0
2016-03-03,-1.8156817594749999,0,0
2016-03-04,2.9834470710390635,4,0
2016-03-05,7.620063007332812,1,0
2016-03-06,-5.945861634484375,0,0
2016-03-07,10.41786947625,0,0
2016-03-08,9.384632664328125,0,0
2016-03-09,-5.148953207701563,0,0
2016-03-10,14.159167263982813,0,0
2016-03-11,4.350391821126562,0,0
2016-03-12,-6.990758705290625,0,0
2016-03-13,-3.4453844563171865,3,0
2016-03-14,2.74497604495625,0,0
2016-03-15,11.945767350796874,2,0
2016-03-16,8.74665180398906,0,0
2016-03-17,-4.228605909523438,0,0
2016-03-18,1.8912524867531255,0,0
2016-03-19,-4.193560789378125,0,0
2016-03-20,-2.1361465212937496,2,0
2016-03-21,-0.36729055624999973,2,0
2016-03-22,4.6569086224218745,0,2
2016-03-23,3.2564089886015615,4,0
2016-03-24,7.872041053773437,0,0
2016-03-25,3.307712508710937,2,0
2016-03-26,-4.318705790292187,0,0
2016-03-27,-2.018577841896874,0,0
2016-03-28,-1.2547514487499996,3,0
