,node-red/node-red,home-assistant/core,ioBroker/ioBroker
2023-10-02,0,62,0
2023-10-03,2,15,0
2023-10-04,0,38,0
2023-10-05,0,26,0
2023-10-06,0,93,0
2023-10-07,0,19,0
2023-10-08,0,23,0
2023-10-09,0,21,0
2023-10-10,0,28,7
2023-10-11,0,24,3
