,tarantool/tarantool,memcached/memcached,redis/redis
2010-12-30,4,0,11
2010-12-31,1,0,5
2011-01-01,0,0,3
2011-01-02,0,0,3
2011-01-03,0,0,8
2011-01-04,0,0,5
2011-01-05,0,0,6
2011-01-06,0,0,0
2011-01-07,0,0,7
2011-01-08,0,0,3
2011-01-09,0,0,7
2011-01-10,0,0,1
2011-01-11,0,0,0
2011-01-12,3,0,0
2011-01-13,9,0,1
2011-01-14,6,0,2
2011-01-15,0,0,2
2011-01-16,0,0,0
2011-01-17,5,0,2
2011-01-18,0,0,0
2011-01-19,3,0,0
2011-01-20,1,0,3
2011-01-21,0,0,0
2011-01-22,0,0,0
2011-01-23,0,0,3
2011-01-24,1,0,2
2011-01-25,1,0,0
2011-01-26,0,0,1
2011-01-27,2,0,2
2011-01-28,1,0,0
2011-01-29,0,0,0
2011-01-30,0,0,0
2011-01-31,0,0,0
2011-02-01,1,0,0
2011-02-02,0,0,0
2011-02-03,3,0,2
2011-02-04,1,0,0
2011-02-05,0,0,0
2011-02-06,0,0,0
2011-02-07,8,0,3
2011-02-08,0,0,0
2011-02-09,1,0,1
2011-02-10,1,0,0
2011-02-11,2,0,1
2011-02-12,0,0,0
2011-02-13,0,0,0
2011-02-14,2,0,1
2011-02-15,2,0,0
2011-02-16,4,0,1
2011-02-17,7,0,1
2011-02-18,0,0,0
2011-02-19,0,0,0
2011-02-20,0,0,0
2011-02-21,7,0,3
2011-02-22,1,0,4
2011-02-23,0,0,1
2011-02-24,4,0,0
2011-02-25,2,0,2
2011-02-26,0,0,0
2011-02-27,2,0,0
2011-02-28,2,0,10
2011-03-01,6,2,1
2011-03-02,1,0,0
2011-03-03,0,0,0
2011-03-04,3,0,5
2011-03-05,0,0,0
2011-03-06,0,0,5
2011-03-07,2,0,1
2011-03-08,0,0,19
2011-03-09,2,0,16
2011-03-10,0,0,9
2011-03-11,0,0,2
2011-03-12,0,0,0
2011-03-13,0,0,0
2011-03-14,6,0,4
2011-03-15,7,0,1
2011-03-16,4,0,0
2011-03-17,1,0,0
2011-03-18,2,0,0
2011-03-19,0,0,0
2011-03-20,0,0,1
2011-03-21,12,0,1
2011-03-22,0,0,3
2011-03-23,2,0,3
2011-03-24,0,0,0
2011-03-25,0,0,0
2011-03-26,0,0,0
2011-03-27,0,0,0
2011-03-28,0,0,5
2011-03-29,0,0,5
2011-03-30,0,0,4
2011-03-31,4,0,2
2011-04-01,1,0,2
2011-04-02,0,0,0
2011-04-03,3,0,0
2011-04-04,1,0,0
2011-04-05,5,0,1
2011-04-06,0,0,7
2011-04-07,6,0,9
2011-04-08,1,0,2
2011-04-09,0,0,0
2011-04-10,0,0,0
2011-04-11,0,0,6
2011-04-12,0,0,3
2011-04-13,0,0,11
2011-04-14,0,0,2
2011-04-15,0,0,7
2011-04-16,0,0,0
2011-04-17,0,0,0
2011-04-18,0,0,0
2011-04-19,4,0,2
2011-04-20,0,0,1
2011-04-21,1,0,4
2011-04-22,0,0,2
2011-04-23,0,0,0
2011-04-24,0,0,0
2011-04-25,0,0,0
2011-04-26,1,0,0
2011-04-27,0,0,0
2011-04-28,0,0,1
2011-04-29,0,0,4
2011-04-30,0,0,0
2011-05-01,0,0,2
2011-05-02,0,0,1
2011-05-03,0,0,0
2011-05-04,0,0,4
2011-05-05,0,0,17
2011-05-06,2,0,4
2011-05-07,0,0,1
2011-05-08,0,0,0
2011-05-09,0,0,0
2011-05-10,0,0,5
2011-05-11,6,0,1
2011-05-12,7,0,3
2011-05-13,10,0,3
2011-05-14,8,0,3
2011-05-15,0,0,3
2011-05-16,0,0,2
2011-05-17,0,0,0
2011-05-18,1,0,0
2011-05-19,6,0,3
2011-05-20,8,0,2
2011-05-21,0,0,0
2011-05-22,0,0,2
2011-05-23,2,0,0
2011-05-24,4,0,2
2011-05-25,2,0,32
2011-05-26,4,0,0
2011-05-27,1,0,0
2011-05-28,0,0,4
2011-05-29,0,0,2
2011-05-30,0,0,1
2011-05-31,1,0,6
2011-06-01,1,0,3
2011-06-02,2,0,0
2011-06-03,2,0,1
2011-06-04,0,0,0
2011-06-05,0,0,3
2011-06-06,1,0,0
2011-06-07,5,0,1
2011-06-08,2,0,1
2011-06-09,5,0,4
2011-06-10,3,0,13
2011-06-11,0,0,0
2011-06-12,0,0,1
2011-06-13,0,0,0
2011-06-14,0,0,6
2011-06-15,8,0,0
2011-06-16,5,0,0
2011-06-17,0,0,2
2011-06-18,0,0,0
2011-06-19,0,0,0
2011-06-20,0,0,13
2011-06-21,7,0,0
2011-06-22,2,0,0
2011-06-23,1,0,0
2011-06-24,5,0,2
2011-06-25,0,0,4
2011-06-26,0,0,0
2011-06-27,3,0,0
2011-06-28,4,0,0
2011-06-29,0,0,1
2011-06-30,2,0,7
2011-07-01,5,0,1
2011-07-02,0,0,2
2011-07-03,0,0,1
2011-07-04,1,0,0
2011-07-05,2,0,1
2011-07-06,16,0,1
2011-07-07,3,0,3
2011-07-08,2,2,2
2011-07-09,0,0,1
2011-07-10,0,0,6
2011-07-11,12,1,18
2011-07-12,3,5,3
2011-07-13,6,3,6
2011-07-14,6,0,0
2011-07-15,2,1,3
2011-07-16,0,0,0
2011-07-17,0,0,0
2011-07-18,3,3,0
2011-07-19,2,0,0
2011-07-20,1,0,0
2011-07-21,0,0,0
2011-07-22,0,0,2
2011-07-23,0,0,0
2011-07-24,1,0,0
2011-07-25,2,0,0
2011-07-26,1,0,1
2011-07-27,1,0,4
2011-07-28,0,0,6
2011-07-29,3,0,0
2011-07-30,0,1,0
2011-07-31,0,0,0
2011-08-01,1,0,0
2011-08-02,1,0,1
2011-08-03,2,0,0
2011-08-04,1,0,0
2011-08-05,0,0,0
2011-08-06,0,0,0
2011-08-07,0,0,0
2011-08-08,3,3,0
2011-08-09,8,0,2
2011-08-10,0,10,0
2011-08-11,0,0,0
2011-08-12,0,0,0
2011-08-13,1,0,0
2011-08-14,0,0,0
2011-08-15,2,0,0
2011-08-16,3,0,0
2011-08-17,2,0,0
2011-08-18,3,0,0
2011-08-19,8,0,0
2011-08-20,0,0,0
2011-08-21,0,0,0
2011-08-22,7,0,0
2011-08-23,0,0,0
2011-08-24,0,0,0
2011-08-25,2,0,1
2011-08-26,0,0,1
2011-08-27,2,1,0
2011-08-28,0,0,0
2011-08-29,4,0,0
2011-08-30,2,0,0
2011-08-31,4,0,0
2011-09-01,0,0,1
2011-09-02,3,0,0
2011-09-03,0,1,0
2011-09-04,0,0,0
2011-09-05,0,0,0
2011-09-06,2,0,0
2011-09-07,0,0,1
