,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2017-03-25,4,2,11
2017-03-26,4,2,5
2017-03-27,19,4,43
2017-03-28,19,6,62
2017-03-29,27,11,55
2017-03-30,12,5,55
2017-03-31,20,7,78
2017-04-01,4,3,18
2017-04-02,3,4,2
2017-04-03,18,10,34
2017-04-04,15,4,31
2017-04-05,17,8,30
2017-04-06,31,4,36
2017-04-07,20,2,42
2017-04-08,12,6,16
2017-04-09,5,3,3
2017-04-10,6,10,44
2017-04-11,33,5,49
2017-04-12,32,12,35
2017-04-13,12,12,35
2017-04-14,13,12,39
2017-04-15,3,6,8
2017-04-16,3,2,10
2017-04-17,21,7,39
2017-04-18,44,5,45
2017-04-19,32,8,42
2017-04-20,26,7,55
2017-04-21,7,6,26
2017-04-22,8,2,16
2017-04-23,4,0,4
2017-04-24,23,10,16
2017-04-25,23,9,28
2017-04-26,18,9,40
2017-04-27,11,12,59
2017-04-28,40,4,50
2017-04-29,7,0,21
2017-04-30,3,5,8
2017-05-01,68,8,49
2017-05-02,25,4,48
2017-05-03,27,3,32
2017-05-04,18,9,52
2017-05-05,13,1,41
2017-05-06,4,8,29
2017-05-07,4,1,8
2017-05-08,25,8,10
2017-05-09,26,5,2
2017-05-10,24,11,65
2017-05-11,8,11,90
2017-05-12,12,9,79
2017-05-13,1,7,8
2017-05-14,2,5,6
2017-05-15,12,6,43
2017-05-16,9,11,50
2017-05-17,17,19,65
2017-05-18,11,13,59
2017-05-19,15,19,65
2017-05-20,6,11,11
2017-05-21,3,5,11
2017-05-22,6,5,44
2017-05-23,13,13,59
2017-05-24,23,10,55
2017-05-25,32,11,51
2017-05-26,16,18,63
2017-05-27,1,3,32
2017-05-28,1,0,7
2017-05-29,0,0,9
2017-05-30,15,5,33
2017-05-31,15,6,64
2017-06-01,16,6,50
2017-06-02,44,7,41
2017-06-03,5,7,12
2017-06-04,2,1,2
2017-06-05,19,3,31
2017-06-06,24,5,84
2017-06-07,36,3,63
2017-06-08,13,4,46
2017-06-09,10,8,55
2017-06-10,5,4,11
2017-06-11,70,0,10
2017-06-12,8,5,18
2017-06-13,30,4,73
2017-06-14,20,7,99
2017-06-15,29,2,33
2017-06-16,13,6,63
2017-06-17,49,2,5
2017-06-18,0,2,2
2017-06-19,20,7,32
2017-06-20,18,7,55
2017-06-21,29,2,63
2017-06-22,32,6,68
2017-06-23,18,5,39
2017-06-24,13,1,9
2017-06-25,0,1,3
2017-06-26,13,2,47
2017-06-27,16,6,59
2017-06-28,17,11,42
2017-06-29,17,1,43
2017-06-30,10,5,44
2017-07-01,2,6,14
2017-07-02,4,0,7
2017-07-03,17,4,5
2017-07-04,17,2,16
2017-07-05,10,5,24
2017-07-06,7,4,71
2017-07-07,13,1,54
2017-07-08,5,1,12
2017-07-09,3,0,2
2017-07-10,18,6,35
2017-07-11,25,7,39
2017-07-12,30,29,47
2017-07-13,45,9,45
2017-07-14,32,9,41
2017-07-15,4,2,11
2017-07-16,3,4,5
2017-07-17,11,2,20
2017-07-18,20,3,50
2017-07-19,31,3,41
2017-07-20,19,10,44
2017-07-21,19,6,51
2017-07-22,4,1,12
2017-07-23,6,1,2
2017-07-24,10,1,41
2017-07-25,60,5,83
2017-07-26,26,3,42
2017-07-27,24,4,46
2017-07-28,8,5,48
2017-07-29,6,2,10
2017-07-30,2,5,8
2017-07-31,8,7,41
2017-08-01,22,14,33
2017-08-02,16,7,53
2017-08-03,19,19,51
2017-08-04,18,7,106
2017-08-05,0,3,11
2017-08-06,11,2,3
2017-08-07,11,4,32
2017-08-08,13,7,36
2017-08-09,24,7,52
2017-08-10,16,8,69
2017-08-11,7,2,48
2017-08-12,5,7,9
2017-08-13,1,2,1
2017-08-14,18,3,33
2017-08-15,22,5,36
2017-08-16,32,5,48
2017-08-17,19,2,60
2017-08-18,17,5,49
2017-08-19,4,1,13
2017-08-20,1,1,4
2017-08-21,8,4,39
2017-08-22,13,3,40
2017-08-23,19,7,40
2017-08-24,21,14,66
2017-08-25,50,3,46
2017-08-26,14,6,12
2017-08-27,6,4,5
2017-08-28,9,4,50
2017-08-29,13,11,48
2017-08-30,26,13,49
2017-08-31,21,7,27
2017-09-01,16,4,28
2017-09-02,6,4,8
2017-09-03,2,1,27
2017-09-04,3,7,22
2017-09-05,250,5,68
2017-09-06,22,9,52
2017-09-07,44,9,68
2017-09-08,25,9,61
2017-09-09,6,10,9
2017-09-10,9,16,3
2017-09-11,22,9,33
2017-09-12,16,5,42
2017-09-13,38,5,50
2017-09-14,19,1,48
2017-09-15,18,4,53
2017-09-16,2,0,21
2017-09-17,18,6,13
2017-09-18,14,4,40
2017-09-19,38,4,52
2017-09-20,29,6,55
2017-09-21,30,3,40
2017-09-22,21,9,57
2017-09-23,9,2,15
2017-09-24,6,8,11
