,WordPress/WordPress,getgrav/grav,tryghost/ghost
2023-06-02,-0.04129157119999993,0,63
2023-06-03,0.19646259200000016,0,0
2023-06-04,0.3276039168,0,2
2023-06-05,3.3959806975999998,0,41
2023-06-06,1.8240941056000002,0,39
2023-06-07,5.8038147072,0,44
2023-06-08,4.9653779456,1,26
2023-06-09,0.6574637055999997,0,32
2023-06-10,0.22437406719999942,0,0
2023-06-11,-0.4133069824000004,0,3
2023-06-12,0.9261976575999995,0,13
2023-06-13,1.8806460416,3,28
2023-06-14,9.6936628224,4,37
2023-06-15,0.06143252480000072,5,20
2023-06-16,3.0036268031999995,0,32
2023-06-17,0.8953971712,0,0
2023-06-18,2.2858242048,0,1
2023-06-19,4.2038377472,0,13
2023-06-20,7.7746502656,0,16
2023-06-21,16.7839378432,0,30
2023-06-22,12.352394956800001,0,19
2023-06-23,10.6900100096,0,29
2023-06-24,5.468942028799999,0,0
2023-06-25,1.1528504319999984,0,0
2023-06-26,14.307672780799997,0,7
2023-06-27,28.3191051264,0,24
2023-06-28,8.3817419776,0,5
2023-06-29,5.8819496959999995,0,23
2023-06-30,-4.058417664,0,1
2023-07-01,-2.3883456512000008,0,0
2023-07-02,-2.0634257408000005,0,0
2023-07-03,2.8918541311999992,0,14
2023-07-04,0.6373256192000007,0,18
2023-07-05,6.052528742400002,0,9
2023-07-06,9.402782208000001,0,10
2023-07-07,3.6536013824000007,0,18
2023-07-08,0.30415513599999944,0,0
2023-07-09,11.2819892224,0,0
2023-07-10,9.5799170048,0,20
2023-07-11,14.924400947199999,0,16
2023-07-12,-0.6809698304000005,0,15
2023-07-13,1.3926114303999988,0,11
2023-07-14,5.0157026304,0,17
2023-07-15,-1.2284173312000002,0,0
2023-07-16,-0.0006029312000004339,0,0
2023-07-17,7.4763285504,0,30
2023-07-18,8.323277926400001,8,12
2023-07-19,0.6389177344000014,0,7
2023-07-20,-1.2385408,0,13
2023-07-21,0.8366227455999997,0,17
2023-07-22,0.02506792960000026,0,0
2023-07-23,-0.6208874496000001,0,0
2023-07-24,4.8061360128,0,8
2023-07-25,5.985578188800001,0,23
2023-07-26,1.3053547520000008,0,12
2023-07-27,0.8706173952,0,15
2023-07-28,1.2861040639999997,0,2
2023-07-29,-0.5764000768000002,0,0
2023-07-30,-0.12837099520000028,0,0
2023-07-31,1.0687388671999996,0,12
2023-08-01,7.9786674176000005,0,22
