,getsentry/sentry,elastic/kibana,grafana/grafana
2018-05-09,14,13,3
2018-05-10,16,21,2
2018-05-11,14,7,4
2018-05-12,0,0,1
2018-05-13,0,0,0
2018-05-14,12,8,8
2018-05-15,14,17,5
2018-05-16,14,15,10
2018-05-17,20,11,4
2018-05-18,3,24,11
2018-05-19,0,2,3
2018-05-20,0,1,2
2018-05-21,9,9,21
