,highcharts/highcharts,plotly/plotly.js,apache/echarts
2017-08-17,8,0,0.0
2017-08-18,9,0,2.0
2017-08-19,0,0,0.0
2017-08-20,0,0,4.0
2017-08-21,16,2,6.0
2017-08-22,7,1,7.0
2017-08-23,14,2,5.0
2017-08-24,7,2,6.0
2017-08-25,18,1,1.0
2017-08-26,0,0,0.0
2017-08-27,0,0,0.0
2017-08-28,15,2,0.0
2017-08-29,17,0,5.0
2017-08-30,25,2,2.0
2017-08-31,31,1,6.0
2017-09-01,16,3,2.0
2017-09-02,0,0,0.0
2017-09-03,0,0,0.0
2017-09-04,13,0,1.0
2017-09-05,15,7,0.0
2017-09-06,11,5,5.0
2017-09-07,2,1,0.0
2017-09-08,4,1,8.0
2017-09-09,0,0,0.0
2017-09-10,0,0,0.0
2017-09-11,11,1,2.0
2017-09-12,15,2,0.0
2017-09-13,21,25,2.0
2017-09-14,21,3,2.0
2017-09-15,14,6,6.0
2017-09-16,4,0,0.0
2017-09-17,0,0,0.0
2017-09-18,13,3,0.0
2017-09-19,9,15,0.0
2017-09-20,15,23,0.0
2017-09-21,4,4,0.0
2017-09-22,5,28,1.0
2017-09-23,0,0,0.0
2017-09-24,0,0,0.0
2017-09-25,9,9,5.0
2017-09-26,25,2,5.0
2017-09-27,14,10,4.0
2017-09-28,36,15,3.0
2017-09-29,41,3,0.0
2017-09-30,16,5,0.0
2017-10-01,3,0,0.0
2017-10-02,42,8,0.0
2017-10-03,19,20,0.0
2017-10-04,24,23,0.0
2017-10-05,13,27,0.0
2017-10-06,9,19,0.0
2017-10-07,11,0,0.0
2017-10-08,3,0,0.0
2017-10-09,0,12,2.0
2017-10-10,3,9,2.0
2017-10-11,1,0,5.0
2017-10-12,7,5,13.0
2017-10-13,11,1,3.0
2017-10-14,3,0,3.0
2017-10-15,13,1,0.0
2017-10-16,7,14,4.0
2017-10-17,10,9,2.0
2017-10-18,12,14,1.0
2017-10-19,13,14,0.0
2017-10-20,9,19,3.0
2017-10-21,1,0,0.0
2017-10-22,3,0,3.0
2017-10-23,6,23,2.0
2017-10-24,1,14,3.0
2017-10-25,0,7,0.0
2017-10-26,1,13,2.0
2017-10-27,0,8,1.0
2017-10-28,3,0,0.0
2017-10-29,4,0,0.0
2017-10-30,11,1,2.0
2017-10-31,11,15,6.0
2017-11-01,13,6,13.0
2017-11-02,9,25,3.0
2017-11-03,13,4,10.0
2017-11-04,4,0,2.0
2017-11-05,6,0,5.0
2017-11-06,7,1,9.0
2017-11-07,4,0,2.0
2017-11-08,7,1,9.0
2017-11-09,8,0,3.0
2017-11-10,11,0,10.0
2017-11-11,2,0,1.0
2017-11-12,0,0,4.0
2017-11-13,5,4,3.0
2017-11-14,8,6,1.0
2017-11-15,15,15,3.0
2017-11-16,5,12,2.0
2017-11-17,0,8,1.0
2017-11-18,0,0,0.0
2017-11-19,0,0,0.0
2017-11-20,6,6,1.0
2017-11-21,4,2,0.0
2017-11-22,5,3,0.0
2017-11-23,2,2,1.0
2017-11-24,0,4,1.0
2017-11-25,0,0,0.0
2017-11-26,0,0,0.0
2017-11-27,9,8,5.0
2017-11-28,1,6,7.0
2017-11-29,3,1,6.0
2017-11-30,0,0,1.0
2017-12-01,2,1,2.0
2017-12-02,0,0,3.0
2017-12-03,0,0,0.0
2017-12-04,10,1,5.0
2017-12-05,25,1,3.0
2017-12-06,11,1,7.0
2017-12-07,15,11,2.0
2017-12-08,5,14,5.0
2017-12-09,0,1,4.0
2017-12-10,0,0,0.0
2017-12-11,8,19,3.0
2017-12-12,12,1,1.0
2017-12-13,1,0,0.0
2017-12-14,15,0,6.0
2017-12-15,13,17,4.0
2017-12-16,0,1,0.0
2017-12-17,0,0,0.0
2017-12-18,10,13,2.0
2017-12-19,16,8,19.0
2017-12-20,11,6,10.0
2017-12-21,7,1,12.0
2017-12-22,12,6,1.0
2017-12-23,0,1,0.0
2017-12-24,0,0,1.0
2017-12-25,0,0,4.0
2017-12-26,0,0,17.0
2017-12-27,0,1,17.0
2017-12-28,0,4,16.0
2017-12-29,0,9,12.0
2017-12-30,0,7,9.0
2017-12-31,0,0,14.0
2018-01-01,0,0,1.0
2018-01-02,12,0,7.0
2018-01-03,1,6,1.0
2018-01-04,2,10,16.0
2018-01-05,5,1,5.0
2018-01-06,0,0,2.0
2018-01-07,1,1,0.0
2018-01-08,7,4,8.0
2018-01-09,8,4,12.0
2018-01-10,11,10,6.0
2018-01-11,2,21,19.0
2018-01-12,9,4,26.0
2018-01-13,0,0,24.0
2018-01-14,0,0,11.0
2018-01-15,13,11,22.0
2018-01-16,4,6,2.0
2018-01-17,2,35,9.0
2018-01-18,0,27,2.0
2018-01-19,1,9,1.0
2018-01-20,0,1,0.0
2018-01-21,0,1,0.0
2018-01-22,5,11,1.0
2018-01-23,14,12,5.0
2018-01-24,10,10,2.0
2018-01-25,16,9,0.0
2018-01-26,23,6,0.0
2018-01-27,0,1,0.0
2018-01-28,6,0,1.0
2018-01-29,12,11,4.0
2018-01-30,12,23,6.0
2018-01-31,17,9,4.0
2018-02-01,18,17,1.0
2018-02-02,5,20,0.0
2018-02-03,0,0,0.0
2018-02-04,0,11,0.0
2018-02-05,8,12,0.0
2018-02-06,0,14,0.0
2018-02-07,0,5,1.0
2018-02-08,3,29,2.0
2018-02-09,26,10,2.0
2018-02-10,3,0,1.0
2018-02-11,0,0,1.0
2018-02-12,10,14,4.0
2018-02-13,16,4,2.0
2018-02-14,16,5,3.0
2018-02-15,8,3,0.0
2018-02-16,13,22,0.0
2018-02-17,9,6,0.0
2018-02-18,4,0,0.0
2018-02-19,5,14,0.0
2018-02-20,17,14,0.0
2018-02-21,3,5,2.0
2018-02-22,3,2,2.0
2018-02-23,2,7,1.0
2018-02-24,10,0,2.0
2018-02-25,6,4,3.0
2018-02-26,6,11,11.0
2018-02-27,19,12,5.0
2018-02-28,6,29,6.0
2018-03-01,5,22,5.0
2018-03-02,33,17,2.0
2018-03-03,0,1,0.0
2018-03-04,0,0,0.0
2018-03-05,12,26,4.0
2018-03-06,14,16,5.0
2018-03-07,12,22,4.0
2018-03-08,18,8,2.0
2018-03-09,17,10,4.0
2018-03-10,0,0,0.0
2018-03-11,0,0,0.0
2018-03-12,22,5,7.0
2018-03-13,24,5,0.0
2018-03-14,15,6,2.0
2018-03-15,22,11,0.0
2018-03-16,30,4,3.0
2018-03-17,0,1,0.0
2018-03-18,0,0,0.0
2018-03-19,9,7,1.0
2018-03-20,20,5,4.0
2018-03-21,9,2,2.0
2018-03-22,29,3,0.0
2018-03-23,9,6,3.0
2018-03-24,0,0,1.0
2018-03-25,0,0,3.0
2018-03-26,7,12,1.0
2018-03-27,11,16,0.0
2018-03-28,0,29,1.0
2018-03-29,0,16,5.0
2018-03-30,0,13,1.0
2018-03-31,0,0,0.0
2018-04-01,0,0,0.0
2018-04-02,0,2,2.0
2018-04-03,40,1,5.0
2018-04-04,7,8,2.0
2018-04-05,8,15,2.0
2018-04-06,10,18,0.0
2018-04-07,0,0,0.0
2018-04-08,0,0,3.0
2018-04-09,9,11,1.0
2018-04-10,1,11,1.0
2018-04-11,9,17,4.0
2018-04-12,2,9,0.0
2018-04-13,9,13,7.0
2018-04-14,0,0,0.0
2018-04-15,0,0,0.0
2018-04-16,38,29,6.0
2018-04-17,9,29,3.0
2018-04-18,14,7,10.0
2018-04-19,8,6,1.0
2018-04-20,46,1,5.0
2018-04-21,0,0,2.0
2018-04-22,0,8,3.0
2018-04-23,0,0,3.0
2018-04-24,4,10,3.0
2018-04-25,8,4,1.0
2018-04-26,3,20,4.0
2018-04-27,3,10,5.0
2018-04-28,0,0,4.0
2018-04-29,0,1,2.0
2018-04-30,3,20,0.0
2018-05-01,0,21,0.0
2018-05-02,11,10,7.0
2018-05-03,6,6,2.0
2018-05-04,15,0,5.0
2018-05-05,0,0,0.0
2018-05-06,0,1,4.0
2018-05-07,13,1,3.0
2018-05-08,16,1,1.0
2018-05-09,0,14,0.0
2018-05-10,1,6,0.0
2018-05-11,0,10,0.0
2018-05-12,0,0,0.0
2018-05-13,0,0,0.0
2018-05-14,2,6,1.0
2018-05-15,2,3,0.0
2018-05-16,1,10,0.0
2018-05-17,0,14,0.0
2018-05-18,0,12,0.0
2018-05-19,0,0,0.0
2018-05-20,0,0,0.0
2018-05-21,0,5,7.0
2018-05-22,0,19,0.0
2018-05-23,0,24,0.0
2018-05-24,7,9,0.0
2018-05-25,1,6,0.0
2018-05-26,0,0,0.0
2018-05-27,0,0,0.0
2018-05-28,6,7,1.0
2018-05-29,16,11,8.0
2018-05-30,6,14,1.0
