,TryGhost/Ghost,decaporg/decap-cms,strapi/strapi
2020-05-18,18.33297408,1,6
2020-05-19,13.824933888,4,7
2020-05-20,17.6040923136,2,5
2020-05-21,1.8922693631999996,0,1
2020-05-22,15.752193228799998,0,5
2020-05-23,-7.1692293120000015,0,0
2020-05-24,-3.7789179904000023,1,0
2020-05-25,8.384170496,6,24
2020-05-26,22.7917274112,2,19
2020-05-27,2.114673766400002,3,6
2020-05-28,28.1752890368,1,17
2020-05-29,-7.037345587200001,0,21
2020-05-30,-5.4024621056000015,0,3
2020-05-31,-3.384045158400001,0,2
2020-06-01,8.72046848,5,10
2020-06-02,25.011401728,1,11
2020-06-03,-1.146085478399998,4,0
2020-06-04,11.634655539199999,1,0
2020-06-05,6.613744128000001,0,14
2020-06-06,1.9815829504,0,0
2020-06-07,-4.693868851200001,3,0
2020-06-08,26.20741888,0,5
2020-06-09,15.152946688,4,5
2020-06-10,11.459048857600001,0,0
2020-06-11,23.5480582144,0,3
2020-06-12,24.2062456832,0,0
2020-06-13,-12.5677769728,0,0
2020-06-14,-6.464966451200003,0,2
2020-06-15,14.673587916799999,5,21
2020-06-16,6.991713792000001,0,4
2020-06-17,1.1014554624000006,1,3
2020-06-18,29.5367876608,7,7
2020-06-19,23.747371008000002,0,3
2020-06-20,-11.8421731328,0,0
2020-06-21,-4.850878464000003,5,1
2020-06-22,4.180101119999998,0,0
2020-06-23,19.610068992000002,1,5
2020-06-24,14.3550086144,1,7
2020-06-25,4.6857129984,2,3
2020-06-26,-4.9851692032,0,1
2020-06-27,-4.452726272,0,0
2020-06-28,-2.7403790336,0,0
2020-06-29,18.265315328,1,3
2020-06-30,17.617586073600002,0,3
2020-07-01,16.665905868800003,3,2
2020-07-02,6.523300966400001,0,2
2020-07-03,6.8087805952,0,1
2020-07-04,-6.626396979200001,0,0
2020-07-05,-3.6672427008000024,0,0
2020-07-06,22.4027392,4,3
2020-07-07,8.979200000000002,2,4
2020-07-08,40.149518336,0,540
2020-07-09,5.947995852800002,3,6
2020-07-10,3.079945830399998,0,3
2020-07-11,-7.940468224000002,0,0
2020-07-12,-4.625066905600002,1,0
2020-07-13,9.787379199999998,0,0
2020-07-14,-1.1126579199999993,2,1
2020-07-15,6.102391808,5,13
2020-07-16,11.593085849600003,4,41
2020-07-17,4.291726643200002,0,5
2020-07-18,-4.6503259136,0,7
2020-07-19,-2.433819955200001,0,0
2020-07-20,18.42527744,0,16
2020-07-21,36.796388864,2,2
2020-07-22,18.0288595968,0,11
2020-07-23,6.211129958399997,3,12
2020-07-24,18.067835904,0,8
2020-07-25,-10.4173067264,0,4
2020-07-26,-1.556181504000003,4,3
2020-07-27,1.3957119999999978,4,11
2020-07-28,6.547576319999999,2,9
2020-07-29,4.746692608000003,0,16
2020-07-30,5.917311795200002,0,4
2020-07-31,-3.894967705599999,0,4
2020-08-01,-2.7649783807999997,0,0
2020-08-02,-1.7518481408,1,0
2020-08-03,11.943212032,0,13
2020-08-04,26.5588184064,1,19
2020-08-05,0.3073990656000021,0,8
2020-08-06,0.8883373055999986,1,4
2020-08-07,8.983314944,0,21
2020-08-08,-4.9555185664,0,2
2020-08-09,3.3590762495999984,0,0
2020-08-10,26.93720064,1,11
2020-08-11,48.071711744,0,10
2020-08-12,-4.071687475199997,0,18
2020-08-13,10.822083071999998,1,7
2020-08-14,-4.1353444352,0,7
2020-08-15,-6.160109158400002,0,1
2020-08-16,-4.036141875200002,2,0
2020-08-17,13.068963327999999,1,4
2020-08-18,25.4422194176,0,1
2020-08-19,-1.3822423039999947,0,1
2020-08-20,9.8547731456,11,2
2020-08-21,10.624849305600002,0,1
2020-08-22,-5.835501568,0,0
2020-08-23,-3.7776235520000023,0,1
2020-08-24,17.45799168,0,0
2020-08-25,10.053861888,0,7
2020-08-26,5.6244847616000015,1,10
2020-08-27,12.2146953216,3,6
2020-08-28,-1.6381412352,0,11
2020-08-29,-4.5253474304,0,0
2020-08-30,-2.710718668800001,2,1
2020-08-31,15.170903449599999,2,7
2020-09-01,9.16862464,2,2
2020-09-02,17.66189056,0,7
2020-09-03,2.685012889600001,1,13
2020-09-04,7.4235553792,0,8
2020-09-05,-5.704898867200001,0,2
2020-09-06,-3.0599403520000017,2,0
2020-09-07,10.878914559999998,0,1
2020-09-08,13.756412416,5,5
2020-09-09,-0.9789774847999997,3,2
2020-09-10,4.9956701184000005,0,0
2020-09-11,1.8484804608000003,0,1
2020-09-12,-3.4085017599999996,0,0
2020-09-13,-1.9673239552000008,2,0
2020-09-14,9.69415424,0,10
2020-09-15,12.774710784000002,1,4
2020-09-16,13.077210828800002,0,4
2020-09-17,10.0206998528,0,2
2020-09-18,23.92900352,0,2
2020-09-19,-9.161046425599999,0,0
2020-09-20,-4.480908902400003,7,0
2020-09-21,12.049697279999998,0,3
2020-09-22,20.786613248000002,0,87
2020-09-23,7.8350119936,0,16
2020-09-24,22.6578200576,0,13
2020-09-25,-7.9944532992,0,9
2020-09-26,-5.455780966400001,0,0
2020-09-27,-3.4820485120000004,0,0
2020-09-28,19.7023744,2,5
2020-09-29,3.783948800000002,1,9
2020-09-30,9.744115712000001,0,7
2020-10-01,18.040934297600003,0,12
2020-10-02,28.1158055936,0,32
2020-10-03,-11.140647936,0,1
2020-10-04,-4.265732300800003,2,3
2020-10-05,6.305884159999998,0,33
2020-10-06,3.3053071360000006,1,14
2020-10-07,-4.5296908288,0,12
2020-10-08,1.3642127359999998,0,22
2020-10-09,5.312756736000002,0,11
2020-10-10,-3.281810841599997,0,3
2020-10-11,-1.7063993343999997,2,2
2020-10-12,4.134514687999999,8,25
2020-10-13,11.3372957696,0,8
2020-10-14,14.4742016,1,25
2020-10-15,4.7891079168,5,13
2020-10-16,14.575035391999998,0,17
2020-10-17,-4.1934590976,0,0
2020-10-18,-3.5386668032000017,0,0
2020-10-19,11.782143999999999,0,7
2020-10-20,7.55053568,1,5
2020-10-21,8.169260032,2,5
2020-10-22,-2.2615667712,1,22
2020-10-23,6.5828092927999995,0,12
2020-10-24,-4.056617471999999,0,0
2020-10-25,-2.2389282816000007,7,0
2020-10-26,5.580173619199999,2,10
2020-10-27,18.517268992,0,10
2020-10-28,10.356082790400002,0,7
2020-10-29,20.1922593792,0,11
2020-10-30,-5.0977318912000005,0,3
2020-10-31,-4.513637171200002,0,3
2020-11-01,-1.829551104000001,0,0
2020-11-02,12.82633216,4,17
2020-11-03,11.372228096,0,25
2020-11-04,10.2839882752,0,10
2020-11-05,18.7729591296,1,3
2020-11-06,1.7980937216000008,0,11
2020-11-07,-6.076435046400002,0,1
2020-11-08,-3.306942771200002,4,1
2020-11-09,2.676274687999999,1,24
2020-11-10,18.1996266496,0,16
2020-11-11,1.9458488320000011,0,2
2020-11-12,-1.5771689984000004,0,4
2020-11-13,5.855530393600001,0,2
2020-11-14,-3.712890879999999,0,0
2020-11-15,-1.895893504000001,0,0
2020-11-16,8.749273599999999,0,16
2020-11-17,19.03016192,0,5
2020-11-18,2.008987136000002,1,6
2020-11-19,17.5484025856,0,11
2020-11-20,8.2727415808,0,4
2020-11-21,-6.305457459200001,0,0
2020-11-22,-2.403104153600002,0,0
2020-11-23,38.5178112,0,4
2020-11-24,1.9745126400000022,1,1
2020-11-25,22.862889472,0,14
2020-11-26,-3.029847244799999,9,7
2020-11-27,-6.449321267200001,0,2
2020-11-28,-3.960746188800001,0,0
2020-11-29,-2.6919797760000006,0,0
2020-11-30,10.045191167999999,9,7
2020-12-01,10.002897817600003,0,2
2020-12-02,12.905300889600001,0,4
2020-12-03,2.0042493952000022,0,2
2020-12-04,7.410005504,0,10
2020-12-05,-4.7681174528,0,0
2020-12-06,-2.5514496000000015,3,0
2020-12-07,17.206428159999998,0,9
2020-12-08,9.815166976,0,10
2020-12-09,16.3543964672,0,5
2020-12-10,16.6738909184,0,11
2020-12-11,3.5389293568000006,0,16
2020-12-12,-6.637591347200002,0,0
2020-12-13,-3.7720194048000018,4,1
2020-12-14,9.427768319999998,0,12
2020-12-15,-4.392764927999999,3,0
2020-12-16,8.4181556224,0,16
2020-12-17,-2.9309567999999984,1,17
2020-12-18,0.6940485632000009,0,10
2020-12-19,-0.9863489535999987,0,0
2020-12-20,-1.2523778048,2,0
2020-12-21,1.2583833599999994,0,6
2020-12-22,-0.9717053439999993,0,5
2020-12-23,0.37353707520000023,4,0
2020-12-24,-0.5580139519999994,0,0
2020-12-25,0.6300404736000003,0,0
2020-12-26,-0.3716312063999998,0,0
2020-12-27,-0.20625336319999993,0,0
2020-12-28,-0.11985879040000003,0,27
2020-12-29,-0.0828042239999999,0,0
2020-12-30,-0.06740142079999996,0,0
2020-12-31,-0.03481651199999995,0,0
2021-01-01,0.9706039296,0,0
2021-01-02,-0.2143877119999999,0,0
2021-01-03,-0.09246935040000004,0,0
2021-01-04,6.952,3,11
2021-01-05,10.5664,5,3
2021-01-06,5.014464,0,3
2021-01-07,5.0835712,1,6
2021-01-08,3.9318732799999996,0,29
2021-01-09,-2.0203397120000006,0,0
2021-01-10,-1.874702950400001,0,1
2021-01-11,-0.25272064000000083,1,7
2021-01-12,12.845246976,1,14
2021-01-13,13.348865843200002,2,11
2021-01-14,9.8633147392,2,7
2021-01-15,11.5806276608,0,1
2021-01-16,-6.129331507200001,0,0
2021-01-17,-3.1308059648000017,0,0
2021-01-18,12.930488729599999,1,7
2021-01-19,10.447108608,4,0
2021-01-20,-3.4421955584,0,3
2021-01-21,4.6596475904,0,6
2021-01-22,7.3004511232,0,8
2021-01-23,-4.254671359999999,0,0
2021-01-24,-1.2326509568000006,0,0
2021-01-25,13.391795199999999,1,16
2021-01-26,13.83553792,3,16
2021-01-27,2.270964224000001,1,4
2021-01-28,-1.369546240000001,0,17
2021-01-29,-1.9597703168000011,3,25
2021-01-30,-2.0902884351999997,0,0
2021-01-31,-1.4129695744000004,0,0
2021-02-01,8.010905088,6,14
2021-02-02,78.3933956096,0,16
2021-02-03,-5.5882552319999945,3,14
2021-02-04,6.277241036799996,0,2
2021-02-05,12.489755340799997,1,5
2021-02-06,-9.059219763200002,0,0
2021-02-07,-2.1159445504000036,8,0
2021-02-08,19.74089472,2,6
2021-02-09,34.100124672,3,30
2021-02-10,20.192133734400002,3,11
2021-02-11,3.9046977536000007,1,14
2021-02-12,18.325695283199998,0,16
2021-02-13,-11.131001958399999,0,0
2021-02-14,-6.040239718400003,1,1
2021-02-15,10.934697983999998,1,30
2021-02-16,26.8573022208,2,28
2021-02-17,19.6755723264,0,14
2021-02-18,20.781732147200003,2,19
2021-02-19,22.9819721728,0,13
2021-02-20,-13.106674892800001,0,0
2021-02-21,-6.842261811200004,0,0
2021-02-22,41.5506688,3,11
2021-02-23,48.41958656,3,4
2021-02-24,23.402882048000002,0,1
