,vsouza/awesome-ios,raywenderlich/swift-style-guide,matteocrippa/awesome-swift
2015-10-28,-0.24160620558437473,0,4
2015-10-29,0.8744106168765626,0,0
2015-10-30,-0.17693429878593733,0,2
2015-10-31,1.9000361744843752,0,4
2015-11-01,-0.27431657378593755,0,3
2015-11-02,0.8575817944843751,0,6
2015-11-03,0.7993477714328125,0,1
2015-11-04,10.783715282428124,0,5
2015-11-05,4.783172803749999,0,0
2015-11-06,-1.1800548380156257,1,2
2015-11-07,2.3491345049640624,0,0
2015-11-08,-0.7467028885312494,0,2
2015-11-09,-0.477312663821874,0,11
2015-11-10,-0.3476446467656243,0,2
2015-11-11,0.7190426006984384,0,2
2015-11-12,19.671437276792187,0,13
2015-11-13,6.765716706510936,0,0
2015-11-14,0.0878257960343738,0,0
2015-11-15,0.7756325609531243,0,0
2015-11-16,-1.0010633076078113,0,3
2015-11-17,1.3315404875000016,0,5
2015-11-18,27.282290303750003,0,0
2015-11-19,3.686541149484374,0,4
2015-11-20,-1.3751659040984379,0,6
2015-11-21,1.4430717146406251,0,1
2015-11-22,9.727802808645315,0,2
2015-11-23,3.0783351438968762,0,3
2015-11-24,3.3784988024281257,0,2
2015-11-25,14.46150154146875,0,0
2015-11-26,11.381333894240626,0,4
2015-11-27,0.10417745413437496,0,0
2015-11-28,-1.8163197570171872,0,0
2015-11-29,7.829871737167189,0,0
2015-11-30,19.215630455470315,0,0
2015-12-01,6.801088375776563,0,3
2015-12-02,0.2985466072421872,0,2
2015-12-03,3.075652444070313,0,1
2015-12-04,2.1994176384562523,0,6
2015-12-05,-1.520323737049998,0,3
2015-12-06,3.052902913642189,0,5
2015-12-07,2.8836346866093763,0,7
2015-12-08,0.8298190038484388,0,7
2015-12-09,4.070382815339063,0,2
2015-12-10,8.99254000434375,0,9
2015-12-11,8.453470092314062,0,26
2015-12-12,2.168792435257812,0,3
2015-12-13,1.59883575485625,0,2
2015-12-14,-1.1611808120624993,0,4
2015-12-15,15.223341382793752,0,5
2015-12-16,-1.169138142425,0,2
2015-12-17,-1.2536508576499992,0,0
2015-12-18,3.149387344664063,0,1
2015-12-19,-1.0226324780156233,0,2
2015-12-20,5.385926633828126,0,0
2015-12-21,13.996990700809375,0,23
2015-12-22,0.9314922898921871,0,11
2015-12-23,3.6253462955,0,2
2015-12-24,-0.3830730035906249,0,0
2015-12-25,5.130088362464064,0,2
2015-12-26,-1.2084840770624994,0,0
2015-12-27,-0.7477505251437487,0,0
2015-12-28,5.464452390656251,0,9
2015-12-29,-1.0331007116999993,0,3
2015-12-30,1.4099812791640631,0,1
2015-12-31,2.4658961060640627,0,2
2016-01-01,1.367900246804688,0,0
2016-01-02,9.445490769370313,0,2
2016-01-03,5.6538098097843745,0,1
2016-01-04,-1.3677831775000004,0,1
2016-01-05,16.22659084690625,0,15
2016-01-06,2.7495749547843746,0,3
2016-01-07,9.35045326021875,0,3
2016-01-08,0.8783725883812492,0,4
2016-01-09,2.463833266360939,0,1
2016-01-10,-0.4159339589781239,0,0
2016-01-11,1.9519078210312517,1,2
2016-01-12,12.988533383498439,0,4
2016-01-13,8.942587809984374,0,4
2016-01-14,-2.252768254439063,0,2
2016-01-15,16.79472090539844,0,6
2016-01-16,-2.6297543644421877,0,3
2016-01-17,3.623028456579689,0,5
2016-01-18,-1.4509972369093744,0,1
2016-01-19,2.0658773234171894,0,2
2016-01-20,20.986214901423438,0,2
2016-01-21,8.101935896325,0,2
2016-01-22,12.451842339604687,0,6
2016-01-23,-0.9220271967812512,0,1
2016-01-24,1.1019269231031263,0,1
2016-01-25,2.5133163974218764,0,9
2016-01-26,-1.4440613764296852,0,4
2016-01-27,1.033875355953127,2,2
2016-01-28,3.0366187097984394,0,8
2016-01-29,14.896244082287502,0,2
2016-01-30,35.800947496870315,0,17
2016-01-31,-1.906373552820316,0,0
2016-02-01,28.32923907088125,0,7
2016-02-02,1.197139165329686,0,0
2016-02-03,8.768026147356252,0,0
2016-02-04,17.69797238896875,0,4
2016-02-05,4.767385677865628,0,5
2016-02-06,-3.458329163393748,0,4
2016-02-07,-1.2874315114187471,0,1
2016-02-08,28.245448505837505,0,4
2016-02-09,7.884265161407813,0,0
2016-02-10,22.54914832579219,0,5
2016-02-11,9.467698894846873,0,7
2016-02-12,12.050444179990626,0,0
2016-02-13,-0.9781052328953117,0,1
2016-02-14,-0.6311697440734347,0,7
2016-02-15,5.000366149484378,0,6
2016-02-16,19.797480576995316,0,6
2016-02-17,16.268654890234377,0,18
2016-02-18,24.0053584336625,0,9
2016-02-19,2.926817274346874,0,6
2016-02-20,-2.5276743075031245,0,0
2016-02-21,1.6967734403781276,0,2
2016-02-22,13.014561667610941,0,6
2016-02-23,6.0838535363187525,0,3
2016-02-24,7.301698370904689,0,5
2016-02-25,14.276672638896876,0,5
2016-02-26,3.6812941023437507,0,2
2016-02-27,2.446830128618751,0,0
2016-02-28,-1.9697398558031238,0,0
2016-02-29,1.731534339151565,0,0
2016-03-01,1.7302942533718773,0,6
2016-03-02,16.802081469820315,2,8
2016-03-03,5.446916523270312,0,8
2016-03-04,9.852396717125,0,19
2016-03-05,-0.4485649154703131,0,2
2016-03-06,-0.5343948203296862,0,0
2016-03-07,1.8978371110703138,0,0
2016-03-08,4.922213747203127,0,3
2016-03-09,7.642889870845314,0,0
2016-03-10,7.247484088110938,1,3
2016-03-11,10.058721520228126,0,0
2016-03-12,0.7488147685249995,1,0
2016-03-13,2.4503344097875006,0,1
2016-03-14,17.6533675681625,0,7
2016-03-15,3.2193751684171876,0,3
2016-03-16,7.874703685548438,0,3
2016-03-17,-0.3367955986062503,0,3
2016-03-18,-1.6123693824640606,0,8
2016-03-19,4.918468182239065,0,1
2016-03-20,1.6157303080218766,0,0
2016-03-21,2.8742853865796887,0,4
2016-03-22,25.848190840059374,0,2
2016-03-23,-3.4437240637765636,0,1
2016-03-24,2.3440483621281247,0,0
2016-03-25,4.517402523609375,0,6
2016-03-26,4.474799579928127,0,3
2016-03-27,2.437508733156251,0,2
2016-03-28,5.597502823237501,0,4
2016-03-29,0.3975583915796883,0,6
