,microsoft/vscode,neovim/neovim,pulsar-edit/pulsar
2016-07-25,49,2,24
2016-07-26,25,0,14
2016-07-27,29,2,33
2016-07-28,19,3,35
2016-07-29,3,3,34
2016-07-30,2,14,1
2016-07-31,0,2,1
2016-08-01,0,10,12
2016-08-02,20,0,41
2016-08-03,41,1,19
2016-08-04,34,6,15
2016-08-05,16,5,21
2016-08-06,2,2,10
2016-08-07,0,17,4
2016-08-08,44,7,33
2016-08-09,59,6,25
2016-08-10,12,5,15
2016-08-11,7,9,45
2016-08-12,53,0,43
2016-08-13,0,2,8
2016-08-14,2,13,1
2016-08-15,28,3,22
2016-08-16,48,0,23
2016-08-17,65,11,20
2016-08-18,56,4,8
2016-08-19,35,1,19
2016-08-20,9,4,1
2016-08-21,4,5,0
2016-08-22,49,10,1
2016-08-23,92,0,17
2016-08-24,51,8,0
2016-08-25,55,3,14
2016-08-26,64,16,14
2016-08-27,6,0,2
2016-08-28,11,0,6
2016-08-29,86,7,21
2016-08-30,16,0,21
2016-08-31,75,14,5
2016-09-01,47,2,9
2016-09-02,19,2,4
2016-09-03,12,5,0
2016-09-04,4,7,0
2016-09-05,57,6,0
2016-09-06,40,2,4
2016-09-07,60,0,25
2016-09-08,43,2,11
2016-09-09,36,0,15
2016-09-10,13,6,2
2016-09-11,18,5,4
2016-09-12,53,4,13
2016-09-13,43,7,5
2016-09-14,42,1,7
2016-09-15,54,8,13
2016-09-16,33,2,8
2016-09-17,3,3,3
2016-09-18,4,6,0
2016-09-19,35,2,3
2016-09-20,56,5,16
2016-09-21,71,5,17
2016-09-22,58,4,26
2016-09-23,74,5,1
2016-09-24,3,10,4
2016-09-25,5,7,0
2016-09-26,70,0,3
2016-09-27,41,8,2
2016-09-28,75,7,1
2016-09-29,48,1,37
2016-09-30,12,3,3
2016-10-01,3,4,2
2016-10-02,1,2,0
2016-10-03,28,0,2
2016-10-04,41,7,3
2016-10-05,38,0,3
2016-10-06,35,3,12
2016-10-07,41,9,35
2016-10-08,22,4,5
2016-10-09,3,3,0
2016-10-10,23,4,29
2016-10-11,18,4,14
2016-10-12,14,18,18
2016-10-13,44,4,0
2016-10-14,55,1,33
2016-10-15,1,14,8
2016-10-16,7,5,4
2016-10-17,54,1,18
2016-10-18,58,5,4
2016-10-19,50,6,5
2016-10-20,76,5,2
2016-10-21,150,3,5
2016-10-22,9,15,1
2016-10-23,17,1,0
2016-10-24,91,8,2
2016-10-25,51,6,7
2016-10-26,61,5,8
2016-10-27,36,0,10
2016-10-28,43,5,8
2016-10-29,6,3,10
2016-10-30,5,6,7
2016-10-31,46,4,9
2016-11-01,60,0,15
2016-11-02,38,9,6
2016-11-03,63,3,7
2016-11-04,52,1,6
2016-11-05,5,6,2
2016-11-06,2,0,3
2016-11-07,53,0,6
2016-11-08,50,13,1
2016-11-09,54,2,1
2016-11-10,58,2,6
2016-11-11,60,3,17
2016-11-12,2,4,2
2016-11-13,0,1,1
2016-11-14,39,4,4
2016-11-15,44,12,10
2016-11-16,38,15,15
2016-11-17,45,4,7
2016-11-18,46,1,5
2016-11-19,4,2,2
2016-11-20,1,2,3
2016-11-21,45,4,15
2016-11-22,51,0,1
2016-11-23,63,4,9
2016-11-24,37,10,9
2016-11-25,37,4,0
2016-11-26,3,4,0
2016-11-27,8,2,10
2016-11-28,35,1,17
2016-11-29,72,10,6
2016-11-30,62,1,24
2016-12-01,54,14,13
2016-12-02,73,1,6
2016-12-03,21,7,0
2016-12-04,11,5,2
2016-12-05,94,1,8
2016-12-06,28,3,11
2016-12-07,87,17,5
2016-12-08,50,5,5
2016-12-09,28,8,8
2016-12-10,11,8,5
2016-12-11,3,6,1
2016-12-12,52,39,10
2016-12-13,48,3,12
2016-12-14,33,5,15
2016-12-15,16,3,12
2016-12-16,25,3,5
2016-12-17,11,0,2
2016-12-18,3,1,0
2016-12-19,39,1,0
2016-12-20,39,0,8
2016-12-21,42,0,2
2016-12-22,10,5,9
2016-12-23,26,6,4
2016-12-24,2,4,0
2016-12-25,0,0,0
2016-12-26,1,4,2
2016-12-27,17,38,1
2016-12-28,21,17,7
2016-12-29,18,1,3
2016-12-30,25,0,1
2016-12-31,13,8,11
2017-01-01,3,6,2
2017-01-02,5,13,7
2017-01-03,29,35,5
2017-01-04,41,23,9
2017-01-05,30,9,7
2017-01-06,39,10,5
2017-01-07,14,16,9
2017-01-08,6,15,1
2017-01-09,63,6,9
2017-01-10,47,21,12
2017-01-11,61,6,10
2017-01-12,63,6,10
2017-01-13,71,14,6
2017-01-14,11,6,4
2017-01-15,14,8,1
2017-01-16,67,4,0
2017-01-17,88,2,2
2017-01-18,58,5,15
2017-01-19,75,13,24
2017-01-20,119,8,12
2017-01-21,35,4,0
2017-01-22,6,9,0
2017-01-23,78,12,6
2017-01-24,48,1,7
2017-01-25,103,1,18
2017-01-26,58,3,5
2017-01-27,37,0,1
2017-01-28,1,1,1
2017-01-29,2,0,0
2017-01-30,27,1,0
2017-01-31,55,6,1
2017-02-01,36,7,3
2017-02-02,67,2,2
2017-02-03,34,8,2
2017-02-04,11,24,0
2017-02-05,6,1,1
2017-02-06,48,8,21
2017-02-07,34,5,10
2017-02-08,42,1,1
2017-02-09,43,3,4
2017-02-10,52,20,2
2017-02-11,7,4,3
2017-02-12,3,6,0
2017-02-13,22,15,17
2017-02-14,29,8,13
2017-02-15,59,29,13
2017-02-16,83,10,6
2017-02-17,60,5,5
2017-02-18,10,4,2
2017-02-19,6,3,0
2017-02-20,85,7,3
2017-02-21,94,0,3
2017-02-22,55,1,3
2017-02-23,71,23,13
2017-02-24,46,6,10
2017-02-25,1,1,0
2017-02-26,5,11,0
2017-02-27,24,18,10
2017-02-28,31,8,12
2017-03-01,67,15,2
2017-03-02,37,4,15
2017-03-03,51,0,23
2017-03-04,5,3,7
2017-03-05,7,8,1
2017-03-06,44,12,32
2017-03-07,64,5,16
2017-03-08,57,1,20
2017-03-09,42,1,7
2017-03-10,58,1,41
2017-03-11,6,29,5
2017-03-12,6,22,1
2017-03-13,35,6,3
2017-03-14,48,1,11
2017-03-15,41,11,3
2017-03-16,52,5,13
2017-03-17,77,9,19
2017-03-18,4,8,11
2017-03-19,10,37,0
2017-03-20,70,16,10
2017-03-21,78,13,5
2017-03-22,57,43,5
2017-03-23,76,7,19
2017-03-24,76,6,22
2017-03-25,19,4,1
2017-03-26,10,60,3
2017-03-27,82,12,5
2017-03-28,17,2,24
2017-03-29,74,95,3
2017-03-30,66,22,8
2017-03-31,31,26,7
2017-04-01,3,23,1
2017-04-02,1,10,2
2017-04-03,39,7,9
2017-04-04,38,9,17
2017-04-05,49,3,24
2017-04-06,23,11,36
2017-04-07,17,11,13
2017-04-08,1,28,5
2017-04-09,3,59,1
2017-04-10,49,38,5
2017-04-11,56,14,18
2017-04-12,42,6,16
2017-04-13,42,0,7
2017-04-14,29,7,3
2017-04-15,1,13,5
2017-04-16,0,55,0
2017-04-17,7,4,10
2017-04-18,54,1,18
2017-04-19,48,14,13
2017-04-20,24,12,12
2017-04-21,41,8,2
2017-04-22,8,7,0
2017-04-23,3,9,0
2017-04-24,50,12,1
2017-04-25,99,3,4
2017-04-26,34,6,3
2017-04-27,82,3,3
2017-04-28,40,32,2
2017-04-29,2,2,0
2017-04-30,2,18,3
2017-05-01,9,20,1
2017-05-02,30,14,4
2017-05-03,32,7,46
2017-05-04,38,6,3
2017-05-05,52,2,308
2017-05-06,4,0,1
2017-05-07,1,0,2
2017-05-08,46,19,12
2017-05-09,58,3,12
2017-05-10,65,16,27
2017-05-11,34,8,31
2017-05-12,66,10,12
2017-05-13,5,17,1
2017-05-14,3,1,3
2017-05-15,46,6,18
2017-05-16,52,1,15
2017-05-17,48,2,20
2017-05-18,99,0,7
2017-05-19,65,1,13
2017-05-20,16,29,2
2017-05-21,12,6,1
2017-05-22,83,9,7
2017-05-23,53,5,10
2017-05-24,86,2,22
2017-05-25,55,7,11
2017-05-26,148,0,1
2017-05-27,1,2,1
2017-05-28,1,8,0
2017-05-29,68,3,0
2017-05-30,32,1,8
2017-05-31,102,13,14
2017-06-01,76,0,39
2017-06-02,33,1,10
2017-06-03,1,57,4
2017-06-04,2,2,0
2017-06-05,14,16,6
2017-06-06,46,25,12
2017-06-07,65,8,17
2017-06-08,20,2,8
2017-06-09,48,3,5
2017-06-10,1,1,1
2017-06-11,3,4,0
2017-06-12,42,0,7
2017-06-13,50,0,7
2017-06-14,66,3,3
2017-06-15,69,5,12
2017-06-16,89,0,10
2017-06-17,15,7,0
2017-06-18,9,2,0
2017-06-19,102,2,5
2017-06-20,81,5,2
2017-06-21,74,4,0
2017-06-22,62,0,2
2017-06-23,65,0,0
2017-06-24,9,9,2
2017-06-25,13,3,0
2017-06-26,131,12,6
2017-06-27,41,9,5
2017-06-28,96,12,1
2017-06-29,59,3,2
2017-06-30,45,3,6
2017-07-01,1,5,0
2017-07-02,0,17,0
2017-07-03,38,6,2
2017-07-04,16,24,2
2017-07-05,27,0,5
2017-07-06,51,7,2
2017-07-07,42,5,4
2017-07-08,2,11,0
2017-07-09,1,5,0
2017-07-10,50,2,6
2017-07-11,50,0,1
2017-07-12,69,3,11
2017-07-13,52,2,29
2017-07-14,39,12,7
2017-07-15,10,16,0
2017-07-16,5,16,2
2017-07-17,80,10,10
2017-07-18,80,0,8
2017-07-19,64,2,7
2017-07-20,90,2,3
2017-07-21,51,1,8
2017-07-22,6,5,0
2017-07-23,13,10,1
2017-07-24,45,2,2
2017-07-25,67,5,0
2017-07-26,71,10,0
2017-07-27,35,6,1
2017-07-28,48,3,1
2017-07-29,10,12,0
2017-07-30,23,8,0
2017-07-31,31,5,8
2017-08-01,20,0,86
2017-08-02,26,4,18
2017-08-03,31,3,26
2017-08-04,13,7,14
2017-08-05,2,5,2
2017-08-06,1,16,4
2017-08-07,9,0,13
2017-08-08,24,1,11
2017-08-09,38,7,15
2017-08-10,24,5,8
2017-08-11,42,3,7
2017-08-12,13,12,15
2017-08-13,5,23,3
2017-08-14,33,7,8
2017-08-15,58,11,17
2017-08-16,50,25,21
2017-08-17,39,1,18
2017-08-18,50,7,15
2017-08-19,10,1,4
2017-08-20,11,7,5
2017-08-21,47,8,12
2017-08-22,46,12,14
2017-08-23,41,0,18
2017-08-24,39,4,9
2017-08-25,50,1,4
2017-08-26,19,5,5
2017-08-27,5,0,0
2017-08-28,96,0,14
2017-08-29,35,0,19
2017-08-30,72,3,14
2017-08-31,44,1,11
2017-09-01,29,0,6
2017-09-02,3,0,2
2017-09-03,11,3,0
2017-09-04,66,4,3
2017-09-05,34,15,11
2017-09-06,55,2,11
2017-09-07,62,1,13
2017-09-08,85,0,9
2017-09-09,11,7,15
2017-09-10,12,4,36
2017-09-11,36,2,5
2017-09-12,56,2,37
2017-09-13,55,1,4
2017-09-14,45,1,12
2017-09-15,62,0,8
2017-09-16,5,3,7
2017-09-17,12,12,5
2017-09-18,63,0,7
2017-09-19,80,1,33
2017-09-20,67,0,26
2017-09-21,70,0,22
2017-09-22,69,1,9
2017-09-23,7,5,8
2017-09-24,8,14,3
2017-09-25,90,0,9
2017-09-26,74,9,0
2017-09-27,88,8,19
2017-09-28,50,5,11
2017-09-29,25,0,9
2017-09-30,1,6,4
2017-10-01,1,6,5
2017-10-02,52,3,4
2017-10-03,45,2,15
2017-10-04,65,1,0
2017-10-05,44,4,19
2017-10-06,30,0,9
2017-10-07,4,9,4
2017-10-08,3,20,1
2017-10-09,21,3,4
2017-10-10,67,3,3
2017-10-11,49,0,6
2017-10-12,49,0,0
2017-10-13,62,0,4
2017-10-14,5,2,4
2017-10-15,2,39,10
2017-10-16,56,15,7
2017-10-17,39,4,15
2017-10-18,66,1,9
2017-10-19,43,8,19
2017-10-20,76,1,8
2017-10-21,14,7,7
2017-10-22,6,6,1
2017-10-23,42,0,31
2017-10-24,75,2,14
2017-10-25,67,1,33
2017-10-26,51,23,17
2017-10-27,74,6,5
2017-10-28,12,8,3
2017-10-29,16,34,4
2017-10-30,77,3,8
2017-10-31,38,6,19
2017-11-01,74,0,25
2017-11-02,40,1,32
2017-11-03,20,1,14
2017-11-04,4,3,2
2017-11-05,5,9,1
2017-11-06,67,21,17
2017-11-07,63,31,11
2017-11-08,85,4,7
2017-11-09,55,2,8
2017-11-10,67,7,1
2017-11-11,14,6,2
2017-11-12,7,10,3
2017-11-13,51,6,13
2017-11-14,88,4,9
2017-11-15,64,0,19
2017-11-16,53,3,9
2017-11-17,64,4,21
2017-11-18,5,5,6
2017-11-19,9,16,7
2017-11-20,65,4,16
2017-11-21,50,3,18
2017-11-22,42,11,7
2017-11-23,34,2,3
2017-11-24,43,5,0
2017-11-25,7,18,0
2017-11-26,1,9,0
2017-11-27,67,6,5
2017-11-28,29,4,6
2017-11-29,46,7,16
2017-11-30,83,4,8
2017-12-01,57,3,5
2017-12-02,9,7,1
2017-12-03,5,8,0
2017-12-04,92,0,24
2017-12-05,50,16,8
2017-12-06,69,5,7
2017-12-07,51,1,26
2017-12-08,19,0,11
2017-12-09,12,1,7
2017-12-10,6,26,12
2017-12-11,74,8,4
2017-12-12,82,3,0
2017-12-13,81,5,4
2017-12-14,53,1,3
2017-12-15,66,4,2
2017-12-16,8,5,4
2017-12-17,12,13,1
2017-12-18,57,10,1
2017-12-19,39,10,1
2017-12-20,49,1,4
2017-12-21,47,2,13
2017-12-22,19,0,10
2017-12-23,3,8,0
2017-12-24,2,12,2
2017-12-25,3,0,0
2017-12-26,5,3,6
2017-12-27,11,6,10
2017-12-28,18,6,3
2017-12-29,4,6,0
2017-12-30,0,8,2
2017-12-31,4,7,3
2018-01-01,2,7,2
2018-01-02,16,4,0
2018-01-03,24,14,15
2018-01-04,48,1,16
2018-01-05,54,1,25
2018-01-06,3,8,8
2018-01-07,2,5,2
2018-01-08,40,3,16
2018-01-09,50,8,20
2018-01-10,25,3,15
2018-01-11,43,3,7
2018-01-12,61,0,9
