,apache/echarts,plotly/plotly.js,highcharts/highcharts
2017-09-22,1.0,28,5
2017-09-23,0.0,0,0
2017-09-24,0.0,0,0
2017-09-25,5.0,9,9
2017-09-26,5.0,2,25
2017-09-27,4.0,10,14
2017-09-28,3.0,15,36
2017-09-29,0.0,3,41
2017-09-30,0.0,5,16
2017-10-01,0.0,0,3
2017-10-02,0.0,8,42
2017-10-03,0.0,20,19
2017-10-04,0.0,23,24
2017-10-05,0.0,27,13
2017-10-06,0.0,19,9
2017-10-07,0.0,0,11
2017-10-08,0.0,0,3
2017-10-09,2.0,12,0
2017-10-10,2.0,9,3
2017-10-11,5.0,0,1
2017-10-12,13.0,5,7
2017-10-13,3.0,1,11
2017-10-14,3.0,0,3
2017-10-15,0.0,1,13
2017-10-16,4.0,14,7
2017-10-17,2.0,9,10
2017-10-18,1.0,14,12
2017-10-19,0.0,14,13
2017-10-20,3.0,19,9
2017-10-21,0.0,0,1
2017-10-22,3.0,0,3
2017-10-23,2.0,23,6
2017-10-24,3.0,14,1
2017-10-25,0.0,7,0
2017-10-26,2.0,13,1
2017-10-27,1.0,8,0
2017-10-28,0.0,0,3
2017-10-29,0.0,0,4
2017-10-30,2.0,1,11
2017-10-31,6.0,15,11
2017-11-01,13.0,6,13
2017-11-02,3.0,25,9
2017-11-03,10.0,4,13
2017-11-04,2.0,0,4
2017-11-05,5.0,0,6
2017-11-06,9.0,1,7
2017-11-07,2.0,0,4
2017-11-08,9.0,1,7
2017-11-09,3.0,0,8
2017-11-10,10.0,0,11
2017-11-11,1.0,0,2
2017-11-12,4.0,0,0
2017-11-13,3.0,4,5
2017-11-14,1.0,6,8
2017-11-15,3.0,15,15
2017-11-16,2.0,12,5
2017-11-17,1.0,8,0
2017-11-18,0.0,0,0
2017-11-19,0.0,0,0
2017-11-20,1.0,6,6
2017-11-21,0.0,2,4
2017-11-22,0.0,3,5
2017-11-23,1.0,2,2
2017-11-24,1.0,4,0
2017-11-25,0.0,0,0
2017-11-26,0.0,0,0
2017-11-27,5.0,8,9
2017-11-28,7.0,6,1
2017-11-29,6.0,1,3
2017-11-30,1.0,0,0
2017-12-01,2.0,1,2
2017-12-02,3.0,0,0
2017-12-03,0.0,0,0
2017-12-04,5.0,1,10
2017-12-05,3.0,1,25
2017-12-06,7.0,1,11
2017-12-07,2.0,11,15
2017-12-08,5.0,14,5
2017-12-09,4.0,1,0
2017-12-10,0.0,0,0
2017-12-11,3.0,19,8
2017-12-12,1.0,1,12
2017-12-13,0.0,0,1
2017-12-14,6.0,0,15
2017-12-15,4.0,17,13
2017-12-16,0.0,1,0
2017-12-17,0.0,0,0
2017-12-18,2.0,13,10
2017-12-19,19.0,8,16
2017-12-20,10.0,6,11
2017-12-21,12.0,1,7
2017-12-22,1.0,6,12
2017-12-23,0.0,1,0
2017-12-24,1.0,0,0
2017-12-25,4.0,0,0
2017-12-26,17.0,0,0
2017-12-27,17.0,1,0
2017-12-28,16.0,4,0
2017-12-29,12.0,9,0
2017-12-30,9.0,7,0
2017-12-31,14.0,0,0
2018-01-01,1.0,0,0
2018-01-02,7.0,0,12
2018-01-03,1.0,6,1
2018-01-04,16.0,10,2
2018-01-05,5.0,1,5
2018-01-06,2.0,0,0
2018-01-07,0.0,1,1
2018-01-08,8.0,4,7
2018-01-09,12.0,4,8
2018-01-10,6.0,10,11
2018-01-11,19.0,21,2
2018-01-12,26.0,4,9
2018-01-13,24.0,0,0
2018-01-14,11.0,0,0
2018-01-15,22.0,11,13
2018-01-16,2.0,6,4
2018-01-17,9.0,35,2
2018-01-18,2.0,27,0
2018-01-19,1.0,9,1
2018-01-20,0.0,1,0
2018-01-21,0.0,1,0
2018-01-22,1.0,11,5
2018-01-23,5.0,12,14
2018-01-24,2.0,10,10
2018-01-25,0.0,9,16
2018-01-26,0.0,6,23
2018-01-27,0.0,1,0
2018-01-28,1.0,0,6
2018-01-29,4.0,11,12
2018-01-30,6.0,23,12
2018-01-31,4.0,9,17
2018-02-01,1.0,17,18
2018-02-02,0.0,20,5
2018-02-03,0.0,0,0
2018-02-04,0.0,11,0
2018-02-05,0.0,12,8
2018-02-06,0.0,14,0
2018-02-07,1.0,5,0
2018-02-08,2.0,29,3
2018-02-09,2.0,10,26
2018-02-10,1.0,0,3
2018-02-11,1.0,0,0
2018-02-12,4.0,14,10
2018-02-13,2.0,4,16
2018-02-14,3.0,5,16
2018-02-15,0.0,3,8
2018-02-16,0.0,22,13
2018-02-17,0.0,6,9
2018-02-18,0.0,0,4
2018-02-19,0.0,14,5
2018-02-20,0.0,14,17
2018-02-21,2.0,5,3
2018-02-22,2.0,2,3
2018-02-23,1.0,7,2
2018-02-24,2.0,0,10
2018-02-25,3.0,4,6
2018-02-26,11.0,11,6
2018-02-27,5.0,12,19
2018-02-28,6.0,29,6
2018-03-01,5.0,22,5
2018-03-02,2.0,17,33
2018-03-03,0.0,1,0
2018-03-04,0.0,0,0
2018-03-05,4.0,26,12
2018-03-06,5.0,16,14
2018-03-07,4.0,22,12
2018-03-08,2.0,8,18
2018-03-09,4.0,10,17
2018-03-10,0.0,0,0
2018-03-11,0.0,0,0
2018-03-12,7.0,5,22
2018-03-13,0.0,5,24
2018-03-14,2.0,6,15
2018-03-15,0.0,11,22
2018-03-16,3.0,4,30
2018-03-17,0.0,1,0
2018-03-18,0.0,0,0
2018-03-19,1.0,7,9
2018-03-20,4.0,5,20
2018-03-21,2.0,2,9
2018-03-22,0.0,3,29
2018-03-23,3.0,6,9
2018-03-24,1.0,0,0
2018-03-25,3.0,0,0
2018-03-26,1.0,12,7
2018-03-27,0.0,16,11
2018-03-28,1.0,29,0
2018-03-29,5.0,16,0
2018-03-30,1.0,13,0
2018-03-31,0.0,0,0
2018-04-01,0.0,0,0
2018-04-02,2.0,2,0
2018-04-03,5.0,1,40
2018-04-04,2.0,8,7
2018-04-05,2.0,15,8
2018-04-06,0.0,18,10
2018-04-07,0.0,0,0
2018-04-08,3.0,0,0
2018-04-09,1.0,11,9
2018-04-10,1.0,11,1
2018-04-11,4.0,17,9
2018-04-12,0.0,9,2
2018-04-13,7.0,13,9
2018-04-14,0.0,0,0
2018-04-15,0.0,0,0
2018-04-16,6.0,29,38
2018-04-17,3.0,29,9
2018-04-18,10.0,7,14
2018-04-19,1.0,6,8
2018-04-20,5.0,1,46
2018-04-21,2.0,0,0
2018-04-22,3.0,8,0
2018-04-23,3.0,0,0
2018-04-24,3.0,10,4
2018-04-25,1.0,4,8
2018-04-26,4.0,20,3
2018-04-27,5.0,10,3
2018-04-28,4.0,0,0
2018-04-29,2.0,1,0
2018-04-30,0.0,20,3
2018-05-01,0.0,21,0
2018-05-02,7.0,10,11
2018-05-03,2.0,6,6
2018-05-04,5.0,0,15
2018-05-05,0.0,0,0
2018-05-06,4.0,1,0
2018-05-07,3.0,1,13
2018-05-08,1.0,1,16
2018-05-09,0.0,14,0
2018-05-10,0.0,6,1
2018-05-11,0.0,10,0
2018-05-12,0.0,0,0
2018-05-13,0.0,0,0
2018-05-14,1.0,6,2
2018-05-15,0.0,3,2
2018-05-16,0.0,10,1
2018-05-17,0.0,14,0
2018-05-18,0.0,12,0
2018-05-19,0.0,0,0
2018-05-20,0.0,0,0
2018-05-21,7.0,5,0
2018-05-22,0.0,19,0
2018-05-23,0.0,24,0
2018-05-24,0.0,9,7
2018-05-25,0.0,6,1
2018-05-26,0.0,0,0
2018-05-27,0.0,0,0
2018-05-28,1.0,7,6
2018-05-29,8.0,11,16
2018-05-30,1.0,14,6
