,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2024-01-02,3,-0.02042880000000001,1
2024-01-03,3,-0.01692672000000001,9
2024-01-04,1,-0.01438771199999994,3
2024-01-05,4,-0.012469350399999964,4
2024-01-06,1,0.0,2
2024-01-07,0,0.0,4
2024-01-08,1,1.0,4
2024-01-09,5,-0.19999999999999996,9
2024-01-10,5,0.9199999999999999,8
2024-01-11,4,-0.248,3
2024-01-12,6,0.8863999999999999,5
2024-01-13,0,-0.273536,0
2024-01-14,0,-0.1340288000000001,1
2024-01-15,0,0.9095372799999999,1
2024-01-16,4,-0.26841651199999994,2
2024-01-17,2,-0.13493207040000005,7
2024-01-18,3,-0.08281651199999998,13
2024-01-19,2,-0.06299607039999999,5
2024-01-20,0,-0.03992371199999995,9
2024-01-21,0,-0.03289815039999998,9
2024-01-22,5,-0.01692672000000001,7
2024-01-23,3,-0.01438771199999994,20
2024-01-24,2,-0.012469350399999964,5
2024-01-25,0,0.0,13
2024-01-26,0,0.0,7
2024-01-27,0,0.0,1
2024-01-28,0,0.0,0
2024-01-29,1,0.0,1
2024-01-30,4,0.0,5
2024-01-31,0,0.0,0
2024-02-01,2,0.0,1
2024-02-02,2,0.0,2
2024-02-03,0,0.0,0
2024-02-04,0,0.0,0
2024-02-05,2,0.0,2
2024-02-06,4,0.0,4
2024-02-07,0,0.0,9
2024-02-08,4,0.0,7
2024-02-09,4,0.0,0
2024-02-10,0,0.0,0
2024-02-11,0,0.0,1
2024-02-12,0,0.0,1
2024-02-13,1,0.0,8
2024-02-14,1,0.0,5
2024-02-15,4,0.0,5
2024-02-16,1,3.0,3
2024-02-17,0,0.40000000000000013,8
2024-02-18,0,-0.44000000000000017,2
2024-02-19,1,0.7759999999999998,10
2024-02-20,3,0.6512,3
2024-02-21,1,-0.3902080000000001,1
2024-02-22,6,-0.21482240000000016,0
2024-02-23,1,-0.1528089600000001,2
2024-02-24,0,-0.11922585599999985,0
2024-02-25,0,-0.09776056319999986,0
2024-02-26,0,-0.049824870399999985,2
2024-02-27,1,-0.03131443199999995,0
2024-02-28,0,-0.026857062399999902,0
2024-02-29,1,0.9875306496,1
2024-03-01,0,-0.19999999999999996,2
2024-03-02,0,-0.08000000000000007,0
2024-03-03,0,-0.048000000000000036,1
2024-03-04,1,-0.03360000000000001,2
2024-03-05,1,-0.025536000000000014,1
2024-03-06,1,-0.02042880000000001,0
2024-03-07,0,-0.01692672000000001,1
2024-03-08,2,-0.01438771199999994,3
2024-03-09,0,-0.012469350399999964,1
2024-03-10,0,0.0,2
2024-03-11,4,0.0,6
2024-03-12,9,0.0,0
2024-03-13,1,0.0,4
2024-03-14,1,0.0,7
2024-03-15,0,1.0,15
2024-03-16,0,-0.19999999999999996,0
2024-03-17,0,-0.08000000000000007,1
2024-03-18,3,-0.048000000000000036,7
2024-03-19,0,-0.03360000000000001,3
2024-03-20,1,-0.025536000000000014,6
2024-03-21,3,-0.02042880000000001,5
2024-03-22,0,-0.01692672000000001,2
2024-03-23,0,-0.01438771199999994,9
2024-03-24,0,-0.012469350399999964,0
2024-03-25,1,0.0,30
2024-03-26,1,0.0,14
2024-03-27,1,1.0,12
2024-03-28,0,-0.19999999999999996,3
2024-03-29,4,0.9199999999999999,5
2024-03-30,0,-0.248,1
2024-03-31,0,-0.11360000000000009,0
2024-04-01,0,0.926464,4
2024-04-02,4,-0.2540288,4
2024-04-03,2,-0.1224627200000001,5
2024-04-04,0,-0.08281651199999998,2
2024-04-05,0,-0.06299607039999999,3
2024-04-06,0,-0.03992371199999995,2
2024-04-07,0,-0.03289815039999998,1
2024-04-08,0,-0.01692672000000001,3
2024-04-09,1,1.985612288,4
2024-04-10,3,-0.4124693503999999,5
2024-04-11,3,-0.16000000000000014,1
2024-04-12,1,-0.09600000000000007,4
2024-04-13,0,-0.06720000000000002,0
2024-04-14,0,-0.05107200000000003,3
2024-04-15,1,-0.04085760000000002,0
2024-04-16,1,-0.03385344000000002,0
2024-04-17,3,-0.02877542399999988,0
2024-04-18,4,-0.02493870079999993,0
2024-04-19,1,0.0,0
