,gogs/gogs,gitbucket/gitbucket,gitlabhq/gitlabhq
2018-09-10,2,0,61
2018-09-11,1,0,66
2018-09-12,0,0,33
2018-09-13,2,0,40
2018-09-14,2,0,79
2018-09-15,7,1,12
2018-09-16,1,0,2
2018-09-17,0,2,57
2018-09-18,1,0,46
2018-09-19,1,0,29
2018-09-20,0,0,42
2018-09-21,0,5,52
2018-09-22,0,1,3
2018-09-23,0,3,1
2018-09-24,0,0,59
2018-09-25,0,0,60
2018-09-26,1,0,54
2018-09-27,0,6,68
2018-09-28,1,0,43
2018-09-29,3,2,6
2018-09-30,1,0,4
2018-10-01,0,0,65
2018-10-02,0,0,162
2018-10-03,0,14,76
2018-10-04,1,0,101
2018-10-05,0,4,97
2018-10-06,0,0,19
2018-10-07,0,11,5
2018-10-08,0,6,59
2018-10-09,0,0,53
2018-10-10,0,2,48
2018-10-11,0,2,45
2018-10-12,0,0,36
2018-10-13,0,5,9
2018-10-14,0,1,9
2018-10-15,0,0,60
2018-10-16,1,0,63
2018-10-17,0,0,65
2018-10-18,0,0,74
2018-10-19,0,0,61
2018-10-20,0,0,1
2018-10-21,0,0,3
2018-10-22,0,1,76
2018-10-23,2,0,64
2018-10-24,3,0,60
2018-10-25,0,0,60
2018-10-26,0,0,85
2018-10-27,0,2,12
2018-10-28,0,0,6
2018-10-29,0,0,65
2018-10-30,0,0,68
2018-10-31,0,2,61
2018-11-01,0,1,67
2018-11-02,0,3,46
2018-11-03,0,2,9
2018-11-04,1,6,9
2018-11-05,4,7,68
2018-11-06,0,0,82
2018-11-07,2,0,159
2018-11-08,2,0,76
2018-11-09,0,3,60
2018-11-10,0,0,5
2018-11-11,0,8,7
2018-11-12,0,4,69
2018-11-13,1,1,91
2018-11-14,0,0,96
2018-11-15,1,5,71
2018-11-16,0,0,76
2018-11-17,0,0,4
2018-11-18,0,0,15
2018-11-19,1,0,91
2018-11-20,2,0,107
2018-11-21,0,0,84
2018-11-22,0,1,48
2018-11-23,0,2,60
2018-11-24,0,0,1
2018-11-25,0,0,0
2018-11-26,2,0,80
2018-11-27,1,0,84
2018-11-28,0,0,83
2018-11-29,2,0,80
2018-11-30,0,1,39
2018-12-01,0,1,2
2018-12-02,7,0,2
2018-12-03,4,0,88
2018-12-04,1,0,105
2018-12-05,2,0,87
2018-12-06,0,0,110
2018-12-07,1,1,103
2018-12-08,0,17,49
2018-12-09,0,8,3
2018-12-10,0,0,75
2018-12-11,3,1,71
2018-12-12,2,1,77
2018-12-13,0,0,64
2018-12-14,1,1,53
2018-12-15,3,1,6
2018-12-16,0,0,16
2018-12-17,2,0,63
2018-12-18,5,1,63
2018-12-19,3,4,71
2018-12-20,2,1,46
2018-12-21,0,3,66
2018-12-22,0,1,11
2018-12-23,0,0,1
2018-12-24,0,9,19
2018-12-25,5,1,7
2018-12-26,0,0,17
2018-12-27,0,1,32
2018-12-28,0,0,18
2018-12-29,0,3,8
2018-12-30,0,0,2
2018-12-31,0,0,94
2019-01-01,0,0,17
2019-01-02,0,3,47
2019-01-03,0,0,67
2019-01-04,0,0,88
2019-01-05,0,0,9
2019-01-06,0,6,9
2019-01-07,0,1,95
2019-01-08,0,1,73
2019-01-09,0,1,64
2019-01-10,0,5,62
2019-01-11,0,1,70
2019-01-12,0,1,5
2019-01-13,0,2,4
2019-01-14,0,2,64
2019-01-15,0,2,76
2019-01-16,0,1,66
2019-01-17,0,0,71
2019-01-18,0,0,62
2019-01-19,0,1,5
2019-01-20,0,2,3
2019-01-21,1,0,51
2019-01-22,0,0,82
2019-01-23,0,0,56
2019-01-24,0,0,76
2019-01-25,0,0,104
2019-01-26,0,0,2
2019-01-27,0,0,1
2019-01-28,0,0,48
2019-01-29,0,0,51
2019-01-30,0,0,107
2019-01-31,3,0,96
2019-02-01,0,0,38
2019-02-02,1,2,4
2019-02-03,0,0,4
2019-02-04,0,1,61
2019-02-05,0,0,75
2019-02-06,2,0,97
2019-02-07,0,0,77
2019-02-08,0,0,64
2019-02-09,0,4,2
2019-02-10,0,2,6
2019-02-11,0,1,49
