,angular/angular,facebook/react,emberjs/ember.js
2015-01-13,2.63916015625,17,15
2015-01-14,-0.514190673828125,4,7
2015-01-15,4.1871795654296875,7,16
2015-01-16,-1.6643829345703125,11,13
2015-01-17,-2.036224365234375,3,2
2015-01-18,-1.737030029296875,1,0
2015-01-19,-0.81884765625,1,4
2015-01-20,10.447540283203125,5,0
2015-01-21,-0.9111785888671875,12,12
2015-01-22,9.829513549804688,18,10
2015-01-23,-1.5057220458984375,12,2
2015-01-24,-5.1239471435546875,2,4
2015-01-25,-2.7919158935546875,2,7
2015-01-26,-0.4825897216796875,5,17
2015-01-27,7.50146484375,41,6
2015-01-28,-0.367156982421875,10,0
2015-01-29,-1.2694549560546875,0,11
2015-01-30,-1.0977020263671875,6,9
2015-01-31,-2.326904296875,11,25
2015-02-01,-0.9888763427734375,1,16
2015-02-02,-0.5904998779296875,20,14
2015-02-03,-0.420806884765625,11,9
2015-02-04,-0.3255157470703125,12,10
2015-02-05,21.746994018554688,11,4
2015-02-06,6.8739471435546875,14,9
2015-02-07,-7.8089141845703125,2,13
2015-02-08,-5.646820068359375,1,29
2015-02-09,-0.484375,12,7
2015-02-10,6.4453125,8,14
2015-02-11,0.150390625,9,5
2015-02-12,-2.0830078125,13,15
2015-02-13,3.44927978515625,10,5
2015-02-14,-2.196380615234375,8,5
2015-02-15,-0.332733154296875,1,16
2015-02-16,-0.85418701171875,2,3
2015-02-17,12.78778076171875,19,2
2015-02-18,6.4560546875,9,2
2015-02-19,-0.0678558349609375,20,5
2015-02-20,-1.251708984375,20,6
2015-02-21,2.4376373291015625,2,0
2015-02-22,-7.2010955810546875,12,1
2015-02-23,1.2248687744140625,3,0
2015-02-24,2.2823944091796875,10,2
2015-02-25,8.29205322265625,2,11
2015-02-26,17.589187622070312,8,6
2015-02-27,-9.748184204101562,5,5
2015-02-28,-4.75201416015625,3,11
2015-03-01,-4.8231048583984375,3,8
2015-03-02,7.5932159423828125,10,0
2015-03-03,1.4515380859375,14,3
2015-03-04,-4.3961181640625,3,3
2015-03-05,-2.48468017578125,8,5
2015-03-06,-1.2810516357421875,9,0
2015-03-07,0.253509521484375,1,1
2015-03-08,-1.794189453125,2,6
2015-03-09,3.2358245849609375,7,7
2015-03-10,3.50775146484375,46,4
2015-03-11,4.127960205078125,69,2
2015-03-12,2.79522705078125,3,6
2015-03-13,13.376708984375,5,0
2015-03-14,-6.3999786376953125,12,1
2015-03-15,-5.9706878662109375,0,8
2015-03-16,-0.553070068359375,21,17
2015-03-17,9.4134521484375,13,1
2015-03-18,7.6199951171875,2,2
2015-03-19,5.049530029296875,7,17
2015-03-20,-8.8038330078125,7,15
2015-03-21,9.247467041015625,2,4
2015-03-22,-7.4153289794921875,1,5
2015-03-23,-0.2039642333984375,10,9
2015-03-24,9.85955810546875,13,14
2015-03-25,-4.954803466796875,25,10
2015-03-26,12.929046630859375,21,14
2015-03-27,1.7346954345703125,10,2
2015-03-28,-5.1126861572265625,6,14
2015-03-29,-6.108428955078125,3,4
2015-03-30,-0.780487060546875,15,7
2015-03-31,8.305694580078125,5,11
2015-04-01,4.0386962890625,14,3
2015-04-02,10.101531982421875,14,104
2015-04-03,-1.73193359375,2,20
2015-04-04,-5.8690185546875,1,5
2015-04-05,-4.8537750244140625,7,5
2015-04-06,5.6837310791015625,0,11
2015-04-07,0.50067138671875,8,11
2015-04-08,2.89715576171875,19,3
2015-04-09,-1.0911712646484375,18,7
2015-04-10,29.234176635742188,7,6
2015-04-11,-12.953765869140625,1,2
2015-04-12,-7.35150146484375,0,9
2015-04-13,19.926254272460938,8,9
2015-04-14,2.669677734375,4,16
2015-04-15,-3.12384033203125,2,6
2015-04-16,16.223846435546875,3,20
2015-04-17,0.899017333984375,7,10
2015-04-18,-8.812179565429688,8,3
2015-04-19,-8.688262939453125,2,8
2015-04-20,11.02203369140625,8,25
2015-04-21,5.9068145751953125,3,7
2015-04-22,-9.780303955078125,11,9
2015-04-23,1.7939605712890625,2,2
2015-04-24,-1.198516845703125,5,5
2015-04-25,-3.151153564453125,2,0
2015-04-26,-3.160675048828125,4,13
2015-04-27,27.474090576171875,8,8
2015-04-28,8.493072509765625,6,11
2015-04-29,-2.3887481689453125,11,12
2015-04-30,-4.28326416015625,3,13
2015-05-01,5.38214111328125,5,15
2015-05-02,-10.779525756835938,3,16
2015-05-03,-4.1285858154296875,2,16
2015-05-04,5.448394775390625,6,16
2015-05-05,1.180877685546875,9,18
2015-05-06,12.096939086914062,1,10
2015-05-07,9.76385498046875,7,28
2015-05-08,18.016937255859375,7,9
2015-05-09,-18.51275634765625,0,3
2015-05-10,-5.523834228515625,2,17
2015-05-11,10.1650390625,6,15
2015-05-12,17.714111328125,3,18
2015-05-13,0.147247314453125,13,20
2015-05-14,-2.8769683837890625,7,22
2015-05-15,-2.6685791015625,2,11
2015-05-16,-7.3502044677734375,12,5
2015-05-17,-5.05889892578125,1,4
2015-05-18,21.362640380859375,4,11
2015-05-19,29.15679931640625,6,8
2015-05-20,2.1094207763671875,10,13
2015-05-21,-11.8487548828125,7,5
2015-05-22,20.335479736328125,16,6
2015-05-23,-17.116912841796875,0,4
2015-05-24,-10.136093139648438,1,8
2015-05-25,-5.134124755859375,0,14
2015-05-26,4.543701171875,3,8
2015-05-27,11.421295166015625,7,5
2015-05-28,8.189682006835938,6,7
2015-05-29,10.1793212890625,3,6
2015-05-30,-9.5592041015625,1,7
2015-05-31,-9.097366333007812,2,2
2015-06-01,6.1329498291015625,8,2
2015-06-02,25.580078125,12,10
2015-06-03,0.515380859375,4,1
2015-06-04,1.92120361328125,27,20
2015-06-05,3.058380126953125,8,4
2015-06-06,-12.70770263671875,2,5
2015-06-07,-5.617156982421875,2,20
2015-06-08,9.960739135742188,15,18
2015-06-09,14.48187255859375,7,8
2015-06-10,2.3846435546875,11,13
2015-06-11,8.750198364257812,13,36
2015-06-12,11.390869140625,8,17
2015-06-13,-13.805084228515625,5,8
2015-06-14,-3.822662353515625,1,6
2015-06-15,8.356689453125,11,28
2015-06-16,9.202285766601562,13,6
2015-06-17,-1.103668212890625,16,0
2015-06-18,-1.46575927734375,11,14
2015-06-19,6.57672119140625,4,6
2015-06-20,-6.8450469970703125,2,7
2015-06-21,-6.742431640625,2,7
2015-06-22,3.042510986328125,13,1
2015-06-23,0.134735107421875,3,1
2015-06-24,9.462615966796875,15,5
2015-06-25,0.1710968017578125,8,1
2015-06-26,7.7554931640625,10,7
2015-06-27,-11.073043823242188,7,1
2015-06-28,-3.7986907958984375,1,10
2015-06-29,19.88482666015625,8,19
2015-06-30,-4.4052886962890625,5,5
2015-07-01,12.210800170898438,4,20
2015-07-02,-9.1260986328125,17,2
2015-07-03,2.5882415771484375,8,12
2015-07-04,-7.482635498046875,8,9
2015-07-05,-3.000732421875,8,0
2015-07-06,5.2158203125,6,19
2015-07-07,11.21197509765625,6,9
2015-07-08,18.129852294921875,10,35
2015-07-09,-4.03564453125,23,5
2015-07-10,-2.68902587890625,11,16
2015-07-11,-4.852874755859375,8,10
2015-07-12,-1.7104949951171875,5,8
2015-07-13,4.22314453125,13,4
2015-07-14,3.119293212890625,5,8
2015-07-15,7.2190399169921875,9,16
2015-07-16,7.4866943359375,4,24
2015-07-17,3.336334228515625,14,25
2015-07-18,-12.230361938476562,2,15
2015-07-19,-4.3839569091796875,2,3
2015-07-20,4.44061279296875,9,15
2015-07-21,1.752593994140625,14,58
2015-07-22,5.3475494384765625,8,4
2015-07-23,7.26385498046875,13,19
2015-07-24,8.756942749023438,8,16
2015-07-25,-8.933197021484375,4,9
2015-07-26,-6.251708984375,1,7
2015-07-27,10.16943359375,11,3
2015-07-28,9.667633056640625,7,2
2015-07-29,0.0463409423828125,5,5
2015-07-30,1.9763946533203125,6,4
2015-07-31,14.162612915039062,7,7
2015-08-01,-15.785446166992188,5,13
2015-08-02,-5.2371978759765625,1,37
2015-08-03,7.08087158203125,6,37
2015-08-04,7.028045654296875,3,15
2015-08-05,-7.7231903076171875,3,14
2015-08-06,0.585968017578125,11,11
2015-08-07,9.30963134765625,5,24
2015-08-08,-7.01544189453125,5,20
2015-08-09,-1.9903564453125,1,22
2015-08-10,7.1767578125,6,9
2015-08-11,0.54388427734375,14,16
2015-08-12,7.236907958984375,11,18
2015-08-13,4.320587158203125,8,17
2015-08-14,-3.3616943359375,13,13
2015-08-15,-3.2954559326171875,2,17
2015-08-16,-3.177947998046875,0,22
2015-08-17,4.534027099609375,7,13
2015-08-18,11.065521240234375,2,8
2015-08-19,14.10443115234375,16,4
2015-08-20,-0.1376800537109375,12,7
2015-08-21,-1.2710113525390625,6,11
2015-08-22,-7.9806365966796875,13,13
2015-08-23,5.048095703125,0,20
2015-08-24,3.3335723876953125,3,8
2015-08-25,4.4326019287109375,5,10
2015-08-26,-6.8590850830078125,1,10
2015-08-27,4.7861328125,1,10
2015-08-28,3.432891845703125,9,8
2015-08-29,-8.291061401367188,4,3
2015-08-30,-3.0055694580078125,1,6
2015-08-31,22.243255615234375,5,2
2015-09-01,-3.22723388671875,18,9
2015-09-02,-4.8444061279296875,4,18
2015-09-03,7.6821746826171875,7,10
2015-09-04,6.0966033935546875,9,11
2015-09-05,2.32501220703125,3,5
2015-09-06,-10.229385375976562,0,4
2015-09-07,-3.771484375,0,0
2015-09-08,3.688720703125,5,2
2015-09-09,7.35821533203125,26,7
2015-09-10,1.215972900390625,15,8
2015-09-11,29.902862548828125,1,5
2015-09-12,-14.157058715820312,3,1
2015-09-13,-7.6541595458984375,2,4
2015-09-14,7.8679351806640625,11,7
2015-09-15,21.7783203125,6,3
2015-09-16,-3.99163818359375,10,3
2015-09-17,3.416595458984375,2,1
