,bitcoin/bitcoin,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system
2020-04-24,5.488337678899997,0,0
2020-04-25,3.24761335985,2,0
2020-04-26,9.608470397110938,1,0
2020-04-27,7.777609987418755,0,0
2020-04-28,16.03174390764688,0,0
2020-04-29,17.410921631870316,0,0
2020-04-30,20.96447818142969,0,0
2020-05-01,18.357799200400002,0,0
2020-05-02,-2.734048828160936,0,0
2020-05-03,2.585135349856252,2,0
2020-05-04,12.083295839957817,0,0
2020-05-05,22.48572260830938,0,0
2020-05-06,6.226784366756251,0,0
2020-05-07,13.147370410437501,0,0
2020-05-08,9.918076358303125,0,0
2020-05-09,1.182260907940627,1,0
2020-05-10,7.244907235090627,0,1
2020-05-11,5.25622904554844,0,0
2020-05-12,21.417104199550003,4,1
2020-05-13,16.90550920230469,0,0
2020-05-14,10.60830862964375,0,0
2020-05-15,5.068361990839062,0,0
2020-05-16,-0.2621594815796855,0,0
2020-05-17,3.665126936918753,2,0
2020-05-18,10.817795487164066,0,0
