,DevExpress/testcafe,seleniumhq/selenium,cypress-io/cypress
2016-03-29,4,0,3
2016-03-30,2,1,11
2016-03-31,0,1,9
2016-04-01,0,1,22
2016-04-02,0,1,3
2016-04-03,0,0,2
2016-04-04,0,3,34
2016-04-05,2,1,12
2016-04-06,0,0,23
2016-04-07,4,9,6
2016-04-08,1,1,6
2016-04-09,0,1,2
2016-04-10,0,0,11
2016-04-11,2,1,12
2016-04-12,2,3,9
2016-04-13,0,6,1
2016-04-14,1,0,13
2016-04-15,2,0,8
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,0,0,5
2016-04-19,2,0,26
2016-04-20,4,3,12
2016-04-21,3,5,0
2016-04-22,2,3,8
2016-04-23,0,0,1
2016-04-24,0,0,0
2016-04-25,4,3,0
2016-04-26,3,0,7
2016-04-27,8,0,8
2016-04-28,5,3,14
2016-04-29,2,2,30
2016-04-30,0,0,0
2016-05-01,0,0,4
2016-05-02,0,6,7
2016-05-03,0,5,6
2016-05-04,1,0,19
2016-05-05,3,2,3
2016-05-06,6,2,14
2016-05-07,0,0,8
2016-05-08,0,0,4
2016-05-09,0,0,16
2016-05-10,1,0,8
2016-05-11,4,4,8
2016-05-12,1,9,1
2016-05-13,3,1,22
2016-05-14,0,0,10
2016-05-15,0,1,37
2016-05-16,1,1,33
2016-05-17,1,0,33
2016-05-18,3,13,31
2016-05-19,0,4,22
2016-05-20,0,8,1
2016-05-21,0,7,8
2016-05-22,0,0,10
2016-05-23,3,2,20
2016-05-24,0,13,7
2016-05-25,0,1,2
2016-05-26,3,2,0
2016-05-27,4,1,0
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,3,0,0
2016-05-31,1,15,8
2016-06-01,2,2,6
2016-06-02,2,4,5
2016-06-03,0,10,11
2016-06-04,0,4,0
2016-06-05,0,4,3
2016-06-06,2,5,4
2016-06-07,0,13,10
2016-06-08,0,5,13
2016-06-09,1,6,12
2016-06-10,0,4,32
2016-06-11,0,2,13
2016-06-12,0,5,14
2016-06-13,0,0,42
2016-06-14,4,5,13
2016-06-15,0,4,4
2016-06-16,3,23,23
2016-06-17,3,3,34
2016-06-18,0,8,0
2016-06-19,0,4,0
2016-06-20,4,5,13
2016-06-21,1,1,13
2016-06-22,2,1,4
2016-06-23,2,1,6
2016-06-24,2,1,19
2016-06-25,0,9,1
2016-06-26,0,7,0
2016-06-27,3,0,13
2016-06-28,4,2,61
2016-06-29,2,4,18
2016-06-30,0,3,24
2016-07-01,0,2,16
2016-07-02,0,0,0
2016-07-03,2,0,8
2016-07-04,1,0,0
2016-07-05,2,3,30
2016-07-06,0,0,36
2016-07-07,3,3,39
2016-07-08,2,4,29
2016-07-09,0,0,2
2016-07-10,0,0,0
2016-07-11,1,1,54
2016-07-12,0,2,26
2016-07-13,0,3,32
2016-07-14,0,3,26
2016-07-15,4,3,23
2016-07-16,0,0,1
2016-07-17,0,2,1
2016-07-18,1,9,19
2016-07-19,1,1,45
