,koajs/koa,fastify/fastify,nestjs/nest
2017-09-01,0,1.4060431360000005,0
2017-09-02,0,-0.7252651007999995,0
2017-09-03,0,-0.32280412160000005,0
2017-09-04,0,2.8224122879999998,0
2017-09-05,0,0.2692586496000001,3
2017-09-06,0,8.4680704,0
2017-09-07,0,0.90128896,0
2017-09-08,0,4.4685711359999996,0
2017-09-09,0,2.9640778752,0
2017-09-10,0,14.9618388992,0
2017-09-11,1,-2.48983296,0
2017-09-12,1,17.477842944,8
2017-09-13,1,13.4373613568,3
2017-09-14,0,6.4898082816,1
2017-09-15,0,-0.9404036096000015,0
2017-09-16,0,0.7692704767999983,0
2017-09-17,0,2.351513497599999,0
2017-09-18,0,5.488648704000001,0
2017-09-19,1,19.0125960192,0
2017-09-20,0,6.196444979200001,4
2017-09-21,0,17.953775104,3
2017-09-22,0,-0.010351513599999862,0
2017-09-23,0,13.412129484799998,1
2017-09-24,0,-4.0358328320000005,0
2017-09-25,0,6.5867560959999985,2
2017-09-26,5,-5.0928584704,4
2017-09-27,1,0.9798319104000002,0
2017-09-28,0,5.042509004800001,4
2017-09-29,0,-0.39717560319999823,0
2017-09-30,0,-0.5101561855999996,9
2017-10-01,0,10.192981708800001,2
2017-10-02,0,-3.5412187135999993,0
2017-10-03,0,0.36152391679999973,0
2017-10-04,0,-0.4881081344,0
2017-10-05,0,-1.068523008,1
2017-10-06,0,19.2609511424,0
2017-10-07,0,-2.5371169791999986,4
2017-10-08,0,-1.3539761152000014,0
2017-10-09,0,1.4160151552,1
2017-10-10,0,1.3480855552000002,0
2017-10-11,0,6.488377856,1
2017-10-12,0,17.4834255872,0
2017-10-13,0,-1.3021973504000002,0
2017-10-14,0,-1.3034444800000005,0
2017-10-15,0,2.6182164479999996,0
2017-10-16,0,0.6203190271999999,2
2017-10-17,0,14.9890369536,0
2017-10-18,1,-1.6739049471999996,0
2017-10-19,0,16.1041686528,0
2017-10-20,0,-5.580553523199999,0
2017-10-21,0,-1.754743296000001,0
2017-10-22,0,-0.8714848256000007,1
2017-10-23,0,0.5100449791999999,0
2017-10-24,0,1.532265472,0
2017-10-25,0,0.4374734848000008,1
2017-10-26,0,9.628114227200001,0
2017-10-27,0,1.0720606208000016,0
2017-10-28,0,1.7978548223999997,2
2017-10-29,0,7.136019967999999,0
2017-10-30,0,9.1453310976,5
2017-10-31,0,14.1398214656,0
2017-11-01,0,13.4447839232,3
2017-11-02,0,-1.5546365952000007,5
2017-11-03,1,11.6503503872,12
2017-11-04,0,0.13048821759999996,0
2017-11-05,0,-3.322962329600001,0
2017-11-06,8,-0.8513898496000012,0
2017-11-07,0,4.5890151424,0
2017-11-08,0,-1.050538700799999,0
2017-11-09,0,0.8478747648000011,1
2017-11-10,0,7.1090074624,1
2017-11-11,0,4.163188736000001,5
2017-11-12,1,0.14642780160000024,2
2017-11-13,0,4.9900691456,2
2017-11-14,0,18.4444025856,3
2017-11-15,0,1.4101834752000002,2
2017-11-16,0,0.9537477631999991,0
2017-11-17,0,9.756748083199998,6
2017-11-18,0,-4.5670228991999995,0
2017-11-19,0,-1.4581758976000008,1
2017-11-20,0,1.1513075711999996,0
2017-11-21,0,-1.8810647551999997,14
2017-11-22,0,1.7699735552000009,17
2017-11-23,0,-0.490378342399999,8
2017-11-24,0,5.0543926272,1
2017-11-25,0,4.2295761920000015,8
2017-11-26,0,-2.0691146752,0
2017-11-27,0,2.0566241279999993,6
2017-11-28,0,-1.2320548863999998,0
2017-11-29,0,-0.7034330112000002,3
2017-11-30,0,-0.4798786560000001,1
2017-12-01,0,6.6232711168,0
2017-12-02,0,-0.6769639423999994,0
2017-12-03,0,1.0175712256000002,0
2017-12-04,0,-0.9415962624,0
2017-12-05,0,14.513636864,0
2017-12-06,0,4.654239948800001,0
2017-12-07,0,-3.035737600000001,1
2017-12-08,0,-1.5499878400000013,0
2017-12-09,0,-1.0464983040000002,0
2017-12-10,0,-0.7873666048000001,1
2017-12-11,0,1.4480352256,0
2017-12-12,0,0.15773009919999992,0
2017-12-13,0,-0.7112294399999992,0
2017-12-14,0,8.521858048,0
2017-12-15,0,-0.014954803199999311,14
2017-12-16,0,-1.2046720000000006,0
2017-12-17,0,1.3416063999999994,0
2017-12-18,0,10.14731776,0
2017-12-19,0,1.2972738560000003,0
2017-12-20,0,7.949742387199999,1
2017-12-21,0,5.879132569599999,8
2017-12-22,0,9.623985152,3
2017-12-23,0,0.6028468224000001,3
2017-12-24,4,-3.1936529408000016,0
2017-12-25,0,-1.878444544000001,0
2017-12-26,0,-1.3618224127999998,0
2017-12-27,0,-0.047808102399999886,0
2017-12-28,0,13.0606505984,0
2017-12-29,0,14.543625728000002,0
2017-12-30,0,8.8481019904,5
2017-12-31,0,-0.17964011519999978,1
2018-01-01,0,0.4577172479999989,0
2018-01-02,0,0.14526719999999882,7
2018-01-03,0,10.60702208,0
2018-01-04,0,6.823415807999999,1
2018-01-05,0,12.5493385216,3
2018-01-06,0,-2.8796118015999994,2
2018-01-07,0,4.4063669247999995,0
2018-01-08,0,0.2669292543999999,3
2018-01-09,0,6.1276518399999995,1
2018-01-10,0,0.4232833023999998,0
2018-01-11,0,8.184660172800001,3
2018-01-12,0,10.0399049728,2
2018-01-13,0,-2.872508518399999,2
2018-01-14,0,6.1155049472,0
2018-01-15,0,3.4921801728000004,0
2018-01-16,0,1.6413426687999997,1
2018-01-17,0,17.1115055104,0
2018-01-18,0,-4.731444121599999,0
2018-01-19,0,5.009002086399999,0
2018-01-20,0,4.4569445376,0
2018-01-21,0,7.4136315904,6
2018-01-22,0,1.8566208512000006,0
2018-01-23,0,1.5355162623999994,1
2018-01-24,0,-0.9992752128000006,1
2018-01-25,0,-0.19234611199999962,0
2018-01-26,0,-1.84511488,0
2018-01-27,0,-1.0649176063999999,0
2018-01-28,0,-0.8145032191999996,0
2018-01-29,0,3.4200040448000006,2
2018-01-30,0,1.7999476736000009,4
2018-01-31,3,2.8585342976000003,3
2018-02-01,0,4.643024384,0
2018-02-02,0,3.1478858752,0
2018-02-03,0,-1.8998827008000003,5
2018-02-04,0,0.019276799999999317,6
2018-02-05,0,2.1272627199999996,20
2018-02-06,1,0.8087377920000001,1
2018-02-07,0,3.9009997824,0
2018-02-08,0,-1.6362632192,0
2018-02-09,1,0.15682672639999995,2
2018-02-10,0,0.2490085376000003,0
2018-02-11,2,0.36036812799999995,16
2018-02-12,0,-0.5617054720000001,2
2018-02-13,0,3.6467700736,1
2018-02-14,0,-1.0579530751999997,0
2018-02-15,0,0.5035579392,9
2018-02-16,1,3.482761728,11
2018-02-17,0,-0.06614323199999994,1
2018-02-18,0,-0.7139277824000003,7
2018-02-19,1,0.5858277375999998,0
2018-02-20,0,1.5118877696,1
2018-02-21,0,-0.6937236479999997,5
2018-02-22,0,-0.3820553216000001,0
2018-02-23,0,-0.2321233920000001,0
2018-02-24,0,0.8203170816000003,3
2018-02-25,0,0.6642340864000003,1
2018-02-26,0,0.6497463296,0
2018-02-27,0,0.623758848,3
2018-02-28,0,3.5971552256,2
2018-03-01,0,2.9879252992,7
2018-03-02,0,-0.24756480000000014,8
2018-03-03,0,0.19150847999999954,1
2018-03-04,0,2.3163207679999998,1
2018-03-05,0,-0.028756582400000008,0
2018-03-06,0,1.2507570175999998,1
2018-03-07,0,3.1405848576,1
2018-03-08,0,0.7075081216000001,5
2018-03-09,0,-1.0709917696,5
2018-03-10,0,-0.5872142336000001,1
2018-03-11,0,-0.3795380224000001,9
2018-03-12,0,-0.2827608063999999,2
2018-03-13,0,-0.21843640319999993,1
2018-03-14,0,-0.1498092543999999,3
2018-03-15,0,-0.11634298879999971,2
2018-03-16,0,-0.07865282559999974,0
2018-03-17,0,-0.02493870079999993,2
2018-03-18,0,0.0,1
2018-03-19,0,3.0,1
2018-03-20,0,1.4000000000000001,0
2018-03-21,0,-0.6400000000000001,0
2018-03-22,0,-0.30400000000000027,3
2018-03-23,1,-0.19680000000000009,0
2018-03-24,0,1.856192,7
2018-03-25,0,-0.5123584,3
2018-03-26,0,1.7483622399999998,9
2018-03-27,0,-0.5730165759999999,2
2018-03-28,0,-0.29338347519999997,9
2018-03-29,0,0.8279892992,2
2018-03-30,0,-0.3080576,0
2018-03-31,0,-0.16492544000000012,1
2018-04-01,0,0.882366976,0
2018-04-02,0,-0.2923921407999999,0
2018-04-03,0,1.8656885760000002,1
2018-04-04,0,0.5066324992000001,0
2018-04-05,0,-0.4105267200000001,0
2018-04-06,0,-0.2159237120000001,0
2018-04-07,0,-0.14809815040000004,0
