,gcc-mirror/gcc,llvm/llvm-project,golang/go
2020-09-24,37,145,12
2020-09-25,22,97,6
2020-09-26,15,34,6
2020-09-27,6,25,2
2020-09-28,24,100,11
2020-09-29,26,130,17
2020-09-30,32,121,13
2020-10-01,35,112,19
2020-10-02,31,106,8
2020-10-03,6,46,3
2020-10-04,2,40,0
2020-10-05,18,96,14
2020-10-06,24,102,19
2020-10-07,23,91,11
2020-10-08,28,94,7
2020-10-09,21,117,10
2020-10-10,19,36,2
2020-10-11,26,30,1
2020-10-12,35,110,26
2020-10-13,17,122,24
2020-10-14,44,121,15
2020-10-15,63,116,15
2020-10-16,56,107,22
2020-10-17,5,28,9
2020-10-18,4,32,3
2020-10-19,51,157,21
2020-10-20,62,133,39
2020-10-21,55,122,23
2020-10-22,77,124,21
2020-10-23,57,135,33
2020-10-24,7,51,11
2020-10-25,3,25,3
2020-10-26,60,129,42
2020-10-27,61,146,41
2020-10-28,45,151,29
2020-10-29,47,120,34
2020-10-30,29,150,30
2020-10-31,6,52,7
2020-11-01,8,15,4
2020-11-02,37,127,15
2020-11-03,67,166,9
2020-11-04,28,132,11
2020-11-05,30,119,22
2020-11-06,51,94,7
2020-11-07,10,46,9
2020-11-08,5,30,1
2020-11-09,35,129,23
2020-11-10,32,138,12
2020-11-11,36,151,9
2020-11-12,30,109,11
2020-11-13,64,133,5
2020-11-14,9,37,2
2020-11-15,13,20,0
2020-11-16,22,101,9
2020-11-17,48,134,7
2020-11-18,38,133,15
2020-11-19,34,106,13
2020-11-20,31,99,17
2020-11-21,17,43,4
2020-11-22,7,33,0
2020-11-23,24,90,2
2020-11-24,61,110,34
2020-11-25,67,98,35
2020-11-26,61,86,2
2020-11-27,54,63,3
2020-11-28,6,20,3
2020-11-29,12,21,0
2020-11-30,67,105,36
2020-12-01,39,140,37
2020-12-02,54,126,23
2020-12-03,48,116,30
2020-12-04,19,119,45
2020-12-05,47,50,2
2020-12-06,7,40,4
2020-12-07,25,103,29
2020-12-08,38,147,13
2020-12-09,21,123,19
2020-12-10,32,137,16
2020-12-11,31,85,6
2020-12-12,6,44,1
2020-12-13,20,33,0
2020-12-14,51,122,34
2020-12-15,73,154,23
2020-12-16,65,109,13
2020-12-17,73,129,29
2020-12-18,25,115,12
2020-12-19,4,38,1
2020-12-20,6,24,1
2020-12-21,18,74,19
2020-12-22,17,86,25
2020-12-23,17,84,53
2020-12-24,4,28,2
2020-12-25,5,20,7
2020-12-26,5,13,1
2020-12-27,6,21,1
2020-12-28,6,50,24
2020-12-29,10,60,25
2020-12-30,6,73,11
2020-12-31,11,52,5
2021-01-01,26,41,15
2021-01-02,10,35,2
2021-01-03,4,20,9
2021-01-04,28,67,6
2021-01-05,42,104,16
2021-01-06,18,121,8
2021-01-07,23,136,10
2021-01-08,26,113,27
2021-01-09,12,46,0
2021-01-10,2,27,4
2021-01-11,28,122,12
2021-01-12,21,114,17
2021-01-13,35,102,7
2021-01-14,45,106,18
2021-01-15,42,101,17
2021-01-16,9,47,4
2021-01-17,6,29,10
2021-01-18,22,78,6
2021-01-19,25,133,18
2021-01-20,20,118,15
2021-01-21,19,92,23
2021-01-22,30,162,18
2021-01-23,6,74,14
2021-01-24,1,34,1
2021-01-25,19,132,25
2021-01-26,19,132,13
2021-01-27,24,114,13
2021-01-28,21,133,8
2021-01-29,25,88,3
2021-01-30,9,31,2
2021-01-31,3,24,0
2021-02-01,23,103,6
2021-02-02,22,174,6
2021-02-03,46,100,10
2021-02-04,20,115,10
2021-02-05,15,118,11
2021-02-06,1,37,0
2021-02-07,1,21,2
2021-02-08,9,101,12
2021-02-09,19,114,12
2021-02-10,22,121,13
2021-02-11,20,136,6
2021-02-12,31,139,18
2021-02-13,6,54,4
2021-02-14,3,35,0
2021-02-15,10,71,2
2021-02-16,11,100,20
2021-02-17,11,116,5
2021-02-18,13,144,24
2021-02-19,22,125,65
2021-02-20,5,66,8
2021-02-21,3,31,2
2021-02-22,18,101,8
2021-02-23,18,123,48
2021-02-24,28,130,30
2021-02-25,28,109,22
2021-02-26,17,97,12
2021-02-27,6,58,4
2021-02-28,7,25,0
2021-03-01,6,119,9
2021-03-02,23,123,13
2021-03-03,30,111,13
2021-03-04,20,162,36
2021-03-05,20,125,31
2021-03-06,10,69,0
2021-03-07,2,33,2
2021-03-08,19,106,8
2021-03-09,22,135,22
2021-03-10,26,129,25
2021-03-11,26,124,20
2021-03-12,10,115,14
2021-03-13,7,38,16
2021-03-14,3,27,5
2021-03-15,21,127,22
2021-03-16,16,109,21
2021-03-17,11,90,16
2021-03-18,17,122,27
2021-03-19,20,117,15
2021-03-20,5,53,1
2021-03-21,2,40,0
2021-03-22,17,129,11
2021-03-23,37,162,19
2021-03-24,11,146,16
2021-03-25,23,106,29
2021-03-26,30,80,3
2021-03-27,2,31,2
2021-03-28,11,32,1
2021-03-29,18,86,19
2021-03-30,16,125,23
2021-03-31,23,98,16
2021-04-01,14,116,8
2021-04-02,8,105,17
2021-04-03,15,27,9
2021-04-04,2,33,3
2021-04-05,15,60,32
2021-04-06,25,137,22
2021-04-07,15,94,17
2021-04-08,38,111,31
2021-04-09,28,94,30
2021-04-10,17,26,8
2021-04-11,5,31,3
2021-04-12,17,116,31
2021-04-13,22,140,25
2021-04-14,22,134,36
2021-04-15,21,105,20
2021-04-16,23,118,39
2021-04-17,7,36,1
2021-04-18,2,25,1
2021-04-19,15,106,15
2021-04-20,18,160,22
2021-04-21,39,133,28
2021-04-22,23,162,24
2021-04-23,22,125,34
2021-04-24,11,42,1
2021-04-25,2,36,0
2021-04-26,26,103,12
2021-04-27,40,134,37
2021-04-28,66,126,32
2021-04-29,64,110,30
2021-04-30,30,121,37
2021-05-01,4,38,5
2021-05-02,5,26,7
2021-05-03,50,107,21
2021-05-04,55,125,30
2021-05-05,75,128,18
2021-05-06,55,106,14
2021-05-07,53,107,14
2021-05-08,4,37,6
2021-05-09,1,16,9
2021-05-10,61,118,11
2021-05-11,31,118,6
2021-05-12,27,121,10
2021-05-13,27,135,12
2021-05-14,22,179,10
2021-05-15,8,45,1
2021-05-16,5,30,0
2021-05-17,33,116,7
2021-05-18,40,116,13
2021-05-19,38,116,20
2021-05-20,26,104,15
2021-05-21,37,105,28
2021-05-22,5,38,1
2021-05-23,8,25,0
2021-05-24,16,96,21
2021-05-25,31,150,5
2021-05-26,30,121,23
2021-05-27,18,113,25
2021-05-28,15,78,7
2021-05-29,6,23,2
2021-05-30,3,18,2
2021-05-31,7,57,1
2021-06-01,21,88,14
2021-06-02,15,113,33
