,rescript-lang/rescript-compiler,google/closure-compiler,microsoft/typescript
2014-12-17,0,10.603082794376563,60
2014-12-18,1,12.626188310401561,9
2014-12-19,0,14.89294454029375,8
2014-12-20,1,4.209070641543748,0
2014-12-21,0,-2.1870992731593755,0
2014-12-22,1,6.681167112464063,3
2014-12-23,0,5.240547610437502,0
2014-12-24,0,0.1814835061062514,0
2014-12-25,1,-1.3401346531718739,0
2014-12-26,0,-0.9618706838640606,1
2014-12-27,0,-0.6884726305187482,1
2014-12-28,0,-0.4691970342203111,1
2014-12-29,0,1.7280908747484383,1
2014-12-30,0,-0.38052640287499967,7
2014-12-31,1,-0.24635640389687463,3
2015-01-01,0,-0.13492859378281236,0
2015-01-02,0,-0.05812270507187481,2
2015-01-03,0,0.9677665000000001,0
2015-01-04,5,1.873675975,3
2015-01-05,0,12.7328126075,7
2015-01-06,0,2.562363373968749,8
2015-01-07,0,1.9205397949281244,8
2015-01-08,0,3.0920582499999996,5
2015-01-09,0,1.0369919875000004,11
2015-01-10,1,-0.7950854712499993,3
2015-01-11,0,-0.5333163680156241,3
2015-01-12,0,5.5875981701828135,11
2015-01-13,0,6.069161403225,9
2015-01-14,1,0.7643790262203125,19
2015-01-15,0,4.181000840809375,18
2015-01-16,0,4.000867797829687,12
2015-01-17,0,1.9239299638250003,4
2015-01-18,0,-0.9174120300718748,0
2015-01-19,1,0.42825773500000075,15
2015-01-20,2,6.469213973156251,41
2015-01-21,2,3.9070599886750004,21
2015-01-22,0,8.908942612467188,17
2015-01-23,0,5.395243711099999,10
2015-01-24,1,2.423628833492187,11
2015-01-25,0,-1.2999909642265624,2
2015-01-26,0,3.2048669086421886,5
2015-01-27,0,7.027160750734376,20
2015-01-28,0,-1.437932899895312,21
2015-01-29,1,12.151828417170313,26
2015-01-30,0,0.12136868341406215,19
2015-01-31,0,-1.2101085014687492,10
2015-02-01,0,1.260852730185938,5
2015-02-02,0,0.29112120485625126,19
2015-02-03,2,4.432134427937501,33
2015-02-04,0,12.08451842323125,27
2015-02-05,0,6.167442103462499,27
2015-02-06,1,5.273028538296874,27
2015-02-07,1,0.2954250160015621,43
2015-02-08,0,-1.1443433600718742,5
2015-02-09,0,7.2396418652187515,28
2015-02-10,0,0.616487838162501,15
2015-02-11,0,4.980103181135938,16
2015-02-12,0,0.7025005106171878,26
2015-02-13,0,3.0179885141578136,32
2015-02-14,0,-0.9876154038968745,5
2015-02-15,0,-0.5764331937828115,11
2015-02-16,0,-0.38389680007187427,33
2015-02-17,0,3.707410528375001,26
2015-02-18,0,5.35631935118125,24
2015-02-19,0,0.07095697433437476,17
2015-02-20,0,1.4020954737531248,15
2015-02-21,0,3.4462790428656254,29
2015-02-22,0,-0.7405374101437496,13
2015-02-23,0,4.5929889500000005,35
2015-02-24,0,4.20521139,40
2015-02-25,0,6.0421190579375,27
2015-02-26,0,-1.2603900094875002,23
2015-02-27,0,9.30439062926875,51
2015-02-28,1,1.5446934864328123,10
2015-03-01,1,-1.0961022696343745,4
2015-03-02,0,-0.6876912038937495,22
2015-03-03,0,7.512430866171877,11
2015-03-04,0,3.809353298492188,18
2015-03-05,0,4.851057171210938,20
2015-03-06,0,3.7377850322484374,17
2015-03-07,1,3.7932357810937503,23
2015-03-08,2,-1.2409399644062495,10
2015-03-09,9,3.2974485923921883,25
2015-03-10,3,6.1029273675,14
2015-03-11,0,4.7251166896250005,21
2015-03-12,2,0.6430116246343751,35
2015-03-13,0,4.027167315476563,57
2015-03-14,0,-1.1238076615437493,18
2015-03-15,2,-0.6612761277578115,10
2015-03-16,0,0.5409713648203134,28
2015-03-17,1,5.569552799187501,77
2015-03-18,2,3.0809564462468755,35
2015-03-19,7,7.097300699154688,9
2015-03-20,0,0.7033392775031244,6
2015-03-21,4,-0.8787310201499998,9
2015-03-22,0,-0.5525067751796869,7
2015-03-23,0,1.623167228750001,19
2015-03-24,5,0.5009624594843758,44
2015-03-25,3,1.562286884370313,29
2015-03-26,0,6.494260037721875,39
2015-03-27,0,0.00784569323124984,13
2015-03-28,0,-0.6112234463187499,2
2015-03-29,0,-0.3450634800718749,5
2015-03-30,0,1.7592795950000006,19
2015-03-31,2,3.6099659027187503,43
2015-04-01,6,2.3531957519124997,42
2015-04-02,0,7.344646635182812,27
2015-04-03,0,3.8148054075687496,16
2015-04-04,0,-0.12874378076718762,5
2015-04-05,0,-0.7141773775359375,0
2015-04-06,0,2.5240143075000008,20
2015-04-07,0,10.336256051468752,7
2015-04-08,2,4.470105604115625,22
2015-04-09,2,2.5865232683093744,59
2015-04-10,0,-0.21586105548281265,29
2015-04-11,0,12.147236168384376,17
2015-04-12,0,-1.8513078631953124,14
2015-04-13,0,4.020687421214063,24
2015-04-14,0,4.814662827203126,36
2015-04-15,0,9.640612521720314,27
2015-04-16,0,5.070648196510938,48
2015-04-17,1,5.259821273971875,41
2015-04-18,0,-1.7204405244093748,8
2015-04-19,1,-1.0370849842390613,22
2015-04-20,0,9.234952610782814,19
2015-04-21,0,5.4833593699218754,32
2015-04-22,0,3.4236138629765627,22
2015-04-23,1,-0.4254345196375,40
2015-04-24,4,0.03185355724531347,9
2015-04-25,0,16.280924841139065,1
2015-04-26,0,-2.180041842751563,3
2015-04-27,2,2.9021827000000004,15
2015-04-28,0,0.8395716835937501,5
2015-04-29,1,16.03302353978125,20
2015-04-30,0,0.6911260084203121,25
2015-05-01,0,5.508939515554688,33
2015-05-02,1,-1.6318520018015628,17
2015-05-03,0,-1.0077042238015608,13
2015-05-04,0,-0.7489515531109359,50
2015-05-05,0,6.522797392937502,30
2015-05-06,0,4.906371840075001,27
2015-05-07,0,3.7801257974125,25
2015-05-08,0,-1.2186413059078127,21
2015-05-09,0,-0.6328122487171871,8
2015-05-10,0,-0.4380842177515616,0
2015-05-11,0,7.707852912500001,11
2015-05-12,0,5.96278830125,15
2015-05-13,0,4.740649568890625,29
2015-05-14,0,1.685329672904687,7
2015-05-15,1,1.9669653197062502,23
2015-05-16,0,0.07843423732031307,8
2015-05-17,0,-0.6625883499999992,1
2015-05-18,0,10.529928342500002,1
2015-05-19,0,4.527987797125,38
2015-05-20,0,-1.404229976396875,12
2015-05-21,0,6.211414277904687,6
2015-05-22,0,3.7761713444875005,2
2015-05-23,0,-1.181254442904687,6
2015-05-24,0,-0.700747508123437,3
2015-05-25,0,-0.49653908628593646,1
2015-05-26,2,1.6120566293281262,6
2015-05-27,0,5.477484906510938,14
2015-05-28,0,3.116140948534375,9
2015-05-29,0,9.150553327640624,7
2015-05-30,0,-1.4989585328296884,15
2015-05-31,0,-0.7622027626796872,5
2015-06-01,0,-0.49067452499999953,16
2015-06-02,0,-0.3722514674999987,45
2015-06-03,0,2.700485646468751,87
2015-06-04,0,1.4497975068343756,46
2015-06-05,0,6.4653966702218755,19
2015-06-06,0,-1.0047785403000005,3
2015-06-07,0,-0.5179760253593748,3
2015-06-08,1,6.7108247500000004,12
2015-06-09,2,6.0836429625,32
2015-06-10,0,-1.1874223637500003,19
2015-06-11,0,20.342473580953126,15
2015-06-12,0,6.4338734426109365,21
2015-06-13,0,-2.1862306461812504,7
2015-06-14,0,-1.2672433052515624,3
2015-06-15,0,9.139797538750003,21
2015-06-16,1,11.330951685140626,26
2015-06-17,0,3.7027768286390623,23
2015-06-18,6,13.119782298498437,70
2015-06-19,2,12.352097160421874,13
2015-06-20,0,-3.038270720395312,3
2015-06-21,0,-1.6432025478234364,1
2015-06-22,5,5.883818875000002,21
2015-06-23,0,15.429437993593751,31
2015-06-24,0,3.2708797904375,45
2015-06-25,0,5.905069407689062,35
2015-06-26,0,4.9405392458,25
2015-06-27,0,3.035412766726564,0
2015-06-28,0,-1.6590766255390614,0
2015-06-29,2,7.012089413750002,24
2015-06-30,1,2.449385397640626,13
2015-07-01,1,0.6305586834828139,39
2015-07-02,1,0.9303422212953132,27
2015-07-03,0,-0.839705555590624,4
2015-07-04,0,-0.5482214926468739,1
2015-07-05,2,-0.37472163282968657,0
2015-07-06,0,-0.25695038267968673,31
2015-07-07,0,43.820521185875,33
2015-07-08,0,12.446024510149996,14
2015-07-09,0,10.245080571324998,37
2015-07-10,2,22.54506566889687,39
2015-07-11,0,-4.640447705071875,18
2015-07-12,0,-2.6293994999999972,0
2015-07-13,0,3.116611700000003,24
2015-07-14,0,13.025263652500005,26
2015-07-15,0,8.062097716062503,49
2015-07-16,0,13.052765094653125,29
2015-07-17,0,4.809014522170313,34
2015-07-18,0,-2.5903813239093743,6
2015-07-19,0,-1.5692189784343733,4
2015-07-20,0,11.011217081250003,10
2015-07-21,0,-0.9821971463281236,29
2015-07-22,0,20.71292418333594,23
2015-07-23,0,10.89897052878906,28
2015-07-24,0,4.999320043854688,15
2015-07-25,0,-2.4819916447000003,4
2015-07-26,0,-1.4548267202874983,4
2015-07-27,0,11.981870132500003,28
2015-07-28,0,-2.106412227437499,20
2015-07-29,0,8.747381964053126,17
2015-07-30,2,6.149990413620313,19
2015-07-31,2,15.073906791990627,20
2015-08-01,0,-2.748648189628126,2
2015-08-02,0,-0.43792198278749916,6
2015-08-03,1,3.944814448750001,11
2015-08-04,0,5.718795305796877,14
2015-08-05,0,14.447097104532814,18
2015-08-06,0,0.5136505873437498,34
2015-08-07,0,10.311942884265626,23
2015-08-08,0,2.740764595946875,0
2015-08-09,0,-1.7886015018609362,0
2015-08-10,4,12.955973618234376,11
2015-08-11,0,8.816711258635937,6
2015-08-12,0,6.647328868710938,10
2015-08-13,0,16.722306035248437,20
2015-08-14,0,16.730204002878125,11
2015-08-15,0,2.240093204954687,2
2015-08-16,0,-2.7376427205093745,2
2015-08-17,0,9.280273602320314,14
2015-08-18,0,10.635086596531252,23
2015-08-19,5,7.185933117575002,39
2015-08-20,0,14.352276826214062,45
2015-08-21,0,9.693978879879687,31
2015-08-22,0,-3.2134033859953117,4
2015-08-23,0,-1.8558118163124984,0
2015-08-24,0,10.773540063534377,10
2015-08-25,0,4.876313130578127,16
2015-08-26,0,6.999015627901564,36
2015-08-27,2,8.878432788126563,55
2015-08-28,0,-0.3433178978749991,22
2015-08-29,0,-1.5567070623140613,7
2015-08-30,0,-0.969408982967186,2
2015-08-31,0,15.345403307500002,11
2015-09-01,0,10.8704570075625,9
2015-09-02,0,3.5353766747093744,8
2015-09-03,2,4.0657385313578125,23
2015-09-04,0,17.225871491504687,19
2015-09-05,0,-1.9790045039265625,16
2015-09-06,0,-1.686882655071874,4
2015-09-07,3,-1.1557808024999985,1
2015-09-08,0,6.105928865500003,2
2015-09-09,0,11.568815287721877,15
2015-09-10,0,-1.1143521260609375,45
2015-09-11,0,4.783754765440625,20
2015-09-12,0,-0.4034222587624998,9
2015-09-13,0,1.050923738801564,4
2015-09-14,0,6.253286809964063,9
2015-09-15,0,11.79264621375,18
2015-09-16,0,2.9862787451406243,22
2015-09-17,0,8.384812441795312,16
2015-09-18,0,4.029151414017187,18
2015-09-19,0,-1.6771562018796868,6
2015-09-20,1,-1.0421131582312488,6
2015-09-21,0,4.265493735182814,18
2015-09-22,0,1.9210534900687515,20
2015-09-23,0,6.008030856795314,1
2015-09-24,1,8.675564314454688,10
2015-09-25,0,12.291947929664062,26
2015-09-26,0,-2.333469653453126,9
2015-09-27,0,-1.2241909277156247,4
2015-09-28,0,0.1866032312500011,14
2015-09-29,0,15.276300758671876,24
2015-09-30,0,7.849390299523438,25
2015-10-01,0,7.864120113782812,27
2015-10-02,0,5.763550654592187,25
2015-10-03,0,-1.0996616575781246,11
2015-10-04,0,-1.3402389480031236,5
2015-10-05,1,4.1375216037500016,38
2015-10-06,0,11.826344921984376,41
2015-10-07,0,2.921354551714063,11
