,NativeScript/NativeScript,flutter/flutter,ionic-team/ionic-framework
2015-09-07,7,1,3
2015-09-08,0,9,17
2015-09-09,8,12,18
2015-09-10,11,12,6
2015-09-11,6,21,14
2015-09-12,1,1,3
2015-09-13,1,0,3
2015-09-14,7,11,16
2015-09-15,6,4,26
2015-09-16,7,29,4
2015-09-17,7,24,6
2015-09-18,21,24,17
2015-09-19,1,10,6
2015-09-20,0,1,0
2015-09-21,6,14,6
2015-09-22,0,28,29
2015-09-23,5,32,12
2015-09-24,5,26,14
2015-09-25,10,39,10
2015-09-26,0,11,0
2015-09-27,0,3,3
2015-09-28,5,5,27
2015-09-29,11,24,20
2015-09-30,17,35,16
2015-10-01,22,42,15
2015-10-02,5,17,26
2015-10-03,0,15,6
2015-10-04,0,1,10
2015-10-05,11,26,31
2015-10-06,6,36,48
2015-10-07,7,13,35
2015-10-08,6,24,27
2015-10-09,18,23,40
2015-10-10,1,12,7
2015-10-11,0,4,3
2015-10-12,10,25,10
2015-10-13,12,26,9
2015-10-14,17,19,3
2015-10-15,20,20,6
2015-10-16,12,17,23
2015-10-17,0,4,0
2015-10-18,0,4,19
2015-10-19,10,27,9
2015-10-20,10,18,14
2015-10-21,17,20,7
2015-10-22,13,16,3
2015-10-23,6,27,3
2015-10-24,0,5,0
2015-10-25,0,0,0
2015-10-26,4,38,9
2015-10-27,2,22,18
2015-10-28,10,23,11
2015-10-29,20,31,23
2015-10-30,20,13,38
2015-10-31,0,4,10
2015-11-01,0,1,0
2015-11-02,29,19,33
2015-11-03,14,39,24
2015-11-04,6,32,10
2015-11-05,8,21,20
2015-11-06,30,20,13
2015-11-07,0,14,2
2015-11-08,0,4,2
2015-11-09,18,15,8
2015-11-10,27,30,5
2015-11-11,9,24,7
2015-11-12,12,27,23
2015-11-13,5,27,13
2015-11-14,0,4,7
2015-11-15,0,0,0
2015-11-16,9,19,22
2015-11-17,10,31,32
2015-11-18,10,24,14
2015-11-19,2,24,12
2015-11-20,2,33,18
2015-11-21,0,9,2
2015-11-22,0,10,6
2015-11-23,20,15,15
2015-11-24,7,21,21
2015-11-25,15,20,25
2015-11-26,6,19,1
2015-11-27,11,2,0
2015-11-28,0,2,4
2015-11-29,0,4,5
2015-11-30,7,15,13
2015-12-01,10,16,21
2015-12-02,10,20,18
2015-12-03,5,23,28
2015-12-04,10,39,38
2015-12-05,0,27,13
2015-12-06,0,0,5
2015-12-07,3,30,32
2015-12-08,10,32,51
2015-12-09,3,26,36
2015-12-10,10,28,49
2015-12-11,4,9,38
2015-12-12,8,7,7
2015-12-13,0,0,0
2015-12-14,11,27,28
2015-12-15,9,30,24
2015-12-16,9,26,33
2015-12-17,3,11,28
2015-12-18,7,6,18
2015-12-19,0,0,11
2015-12-20,0,4,0
2015-12-21,4,7,7
2015-12-22,6,3,6
2015-12-23,2,0,6
2015-12-24,0,2,1
2015-12-25,0,1,0
2015-12-26,0,3,0
2015-12-27,0,0,0
2015-12-28,1,4,4
2015-12-29,0,2,11
2015-12-30,0,3,10
2015-12-31,0,4,8
2016-01-01,0,0,7
2016-01-02,0,10,4
2016-01-03,0,0,2
2016-01-04,2,8,19
2016-01-05,0,8,24
2016-01-06,0,15,21
2016-01-07,1,30,19
2016-01-08,3,16,22
2016-01-09,0,5,3
2016-01-10,0,7,14
2016-01-11,11,30,13
2016-01-12,16,23,13
2016-01-13,10,11,6
2016-01-14,4,15,19
2016-01-15,8,15,15
2016-01-16,0,9,2
2016-01-17,0,0,1
2016-01-18,6,13,3
2016-01-19,13,17,18
2016-01-20,12,26,15
2016-01-21,3,23,11
2016-01-22,5,21,13
2016-01-23,0,5,6
2016-01-24,2,8,0
2016-01-25,8,12,15
2016-01-26,16,17,5
2016-01-27,5,20,40
2016-01-28,3,18,21
2016-01-29,4,14,12
2016-01-30,0,4,3
2016-01-31,0,9,7
2016-02-01,10,12,32
2016-02-02,8,17,41
2016-02-03,12,26,21
2016-02-04,14,26,31
2016-02-05,11,16,42
2016-02-06,0,16,6
2016-02-07,1,0,5
2016-02-08,5,11,6
2016-02-09,13,38,8
2016-02-10,15,26,39
2016-02-11,17,28,16
2016-02-12,9,57,12
2016-02-13,1,19,17
2016-02-14,1,21,9
2016-02-15,15,15,7
2016-02-16,5,20,5
2016-02-17,7,33,17
2016-02-18,17,8,24
2016-02-19,9,24,9
2016-02-20,0,9,6
2016-02-21,0,12,11
2016-02-22,4,19,14
2016-02-23,7,22,29
2016-02-24,24,21,22
2016-02-25,15,42,10
2016-02-26,1,38,2
2016-02-27,3,23,2
2016-02-28,0,5,7
2016-02-29,9,9,23
2016-03-01,8,23,11
2016-03-02,6,24,11
2016-03-03,2,46,13
2016-03-04,1,28,26
2016-03-05,0,8,5
2016-03-06,0,16,12
2016-03-07,9,18,18
2016-03-08,7,27,0
2016-03-09,15,21,11
2016-03-10,4,31,5
2016-03-11,7,44,15
2016-03-12,1,30,7
2016-03-13,0,9,5
2016-03-14,1,34,8
2016-03-15,5,19,11
2016-03-16,9,8,3
2016-03-17,7,22,1
2016-03-18,7,42,4
2016-03-19,1,6,0
2016-03-20,0,0,0
2016-03-21,12,35,1
2016-03-22,8,13,6
2016-03-23,8,24,5
2016-03-24,14,37,5
2016-03-25,13,23,0
2016-03-26,0,10,0
2016-03-27,0,11,0
2016-03-28,9,18,2
2016-03-29,7,30,1
2016-03-30,7,25,1
2016-03-31,3,23,8
2016-04-01,2,28,14
2016-04-02,0,5,1
2016-04-03,0,2,0
2016-04-04,2,8,1
2016-04-05,0,11,14
2016-04-06,3,13,9
2016-04-07,1,21,12
2016-04-08,11,19,3
2016-04-09,0,3,2
2016-04-10,0,0,4
2016-04-11,7,10,24
2016-04-12,4,15,19
2016-04-13,18,13,9
2016-04-14,15,10,20
2016-04-15,16,15,14
2016-04-16,0,3,4
2016-04-17,0,0,12
2016-04-18,11,10,18
2016-04-19,10,10,16
2016-04-20,8,15,18
2016-04-21,8,17,25
2016-04-22,7,10,16
2016-04-23,0,3,0
2016-04-24,0,2,0
2016-04-25,5,12,3
2016-04-26,6,7,7
2016-04-27,8,11,8
2016-04-28,5,14,3
2016-04-29,1,17,14
2016-04-30,0,3,0
2016-05-01,0,3,0
2016-05-02,10,8,1
2016-05-03,8,18,1
2016-05-04,2,23,4
2016-05-05,11,13,8
2016-05-06,5,9,0
2016-05-07,2,1,0
2016-05-08,1,0,0
2016-05-09,20,18,3
2016-05-10,7,14,10
2016-05-11,3,13,1
2016-05-12,1,12,6
2016-05-13,16,11,5
2016-05-14,3,1,2
2016-05-15,0,1,0
2016-05-16,8,16,9
2016-05-17,12,20,5
2016-05-18,11,15,11
2016-05-19,12,14,21
2016-05-20,15,12,13
2016-05-21,0,3,10
2016-05-22,0,0,0
2016-05-23,0,13,3
2016-05-24,0,11,8
2016-05-25,11,8,12
2016-05-26,8,16,7
2016-05-27,8,11,12
2016-05-28,0,3,0
2016-05-29,0,4,0
2016-05-30,17,2,0
2016-05-31,10,9,26
2016-06-01,4,12,18
2016-06-02,7,16,20
2016-06-03,9,18,3
2016-06-04,0,2,1
2016-06-05,1,0,0
2016-06-06,4,8,4
2016-06-07,8,18,6
2016-06-08,14,11,26
2016-06-09,5,10,23
2016-06-10,5,11,4
2016-06-11,0,0,0
2016-06-12,0,2,2
2016-06-13,14,11,5
2016-06-14,16,12,12
2016-06-15,7,9,8
