,spring-projects/spring-framework,apache/struts,apache/tomcat
2011-08-18,7,1,0
2011-08-19,0,0,0
2011-08-20,18,0,0
2011-08-21,0,0,0
2011-08-22,0,0,3
2011-08-23,0,0,11
2011-08-24,4,0,3
2011-08-25,3,2,5
2011-08-26,2,0,4
2011-08-27,0,0,0
2011-08-28,0,0,0
2011-08-29,2,0,5
2011-08-30,3,0,0
2011-08-31,5,0,5
2011-09-01,2,0,1
2011-09-02,3,0,5
2011-09-03,2,0,0
2011-09-04,1,0,0
2011-09-05,1,0,16
2011-09-06,2,0,15
2011-09-07,6,0,5
2011-09-08,1,0,14
2011-09-09,6,0,2
