,hashicorp/nomad,docker-archive/classicswarm,kubernetes/kubernetes
2015-09-22,83,2,69
2015-09-23,89,5,68
2015-09-24,53,3,64
2015-09-25,53,3,85
2015-09-26,33,0,33
2015-09-27,23,0,2
2015-09-28,48,0,35
2015-09-29,26,7,52
2015-09-30,7,5,98
2015-10-01,11,3,72
2015-10-02,21,5,94
2015-10-03,16,0,17
2015-10-04,5,0,6
2015-10-05,10,2,88
2015-10-06,31,2,66
2015-10-07,15,5,79
2015-10-08,21,7,81
2015-10-09,14,22,91
2015-10-10,21,2,47
2015-10-11,34,1,3
2015-10-12,23,4,95
2015-10-13,11,8,74
2015-10-14,3,9,61
2015-10-15,9,6,77
2015-10-16,22,3,75
2015-10-17,9,3,25
2015-10-18,0,3,12
2015-10-19,9,10,60
2015-10-20,5,2,56
2015-10-21,4,6,72
2015-10-22,14,7,52
2015-10-23,15,7,53
2015-10-24,2,0,34
2015-10-25,9,0,10
2015-10-26,22,2,44
2015-10-27,6,1,66
2015-10-28,26,9,32
2015-10-29,40,1,66
2015-10-30,11,6,56
2015-10-31,4,1,10
2015-11-01,0,1,4
2015-11-02,11,2,51
2015-11-03,12,8,69
2015-11-04,5,2,50
2015-11-05,27,2,53
2015-11-06,30,0,49
2015-11-07,4,0,27
2015-11-08,0,0,4
2015-11-09,7,1,32
2015-11-10,10,1,48
2015-11-11,16,2,51
2015-11-12,5,0,130
2015-11-13,6,0,58
2015-11-14,0,1,11
2015-11-15,0,1,4
2015-11-16,34,0,42
2015-11-17,53,0,58
2015-11-18,118,4,56
2015-11-19,34,2,63
2015-11-20,19,0,49
2015-11-21,10,1,25
2015-11-22,4,2,8
2015-11-23,7,5,68
2015-11-24,28,2,57
2015-11-25,38,10,96
2015-11-26,19,5,36
2015-11-27,9,0,24
2015-11-28,3,1,7
2015-11-29,1,1,4
2015-11-30,10,4,38
2015-12-01,14,2,69
2015-12-02,9,6,55
2015-12-03,12,12,84
2015-12-04,4,9,41
2015-12-05,4,3,31
2015-12-06,0,4,11
2015-12-07,1,7,47
2015-12-08,5,12,42
2015-12-09,19,9,67
2015-12-10,13,1,76
2015-12-11,38,9,56
2015-12-12,4,3,13
2015-12-13,0,1,8
2015-12-14,13,11,65
2015-12-15,15,6,66
2015-12-16,10,10,71
2015-12-17,11,4,71
2015-12-18,26,5,70
2015-12-19,2,0,30
2015-12-20,6,0,17
2015-12-21,12,0,31
2015-12-22,18,4,58
2015-12-23,1,0,31
2015-12-24,36,0,8
2015-12-25,1,0,1
2015-12-26,0,0,2
2015-12-27,0,0,2
2015-12-28,5,0,29
2015-12-29,2,3,30
2015-12-30,0,1,29
2015-12-31,0,0,6
2016-01-01,0,0,5
2016-01-02,0,0,9
2016-01-03,0,0,9
2016-01-04,7,5,24
2016-01-05,10,14,48
2016-01-06,7,6,39
2016-01-07,12,8,42
2016-01-08,9,5,41
2016-01-09,0,0,7
2016-01-10,2,0,7
2016-01-11,4,6,31
2016-01-12,10,13,64
2016-01-13,12,9,49
2016-01-14,30,12,71
2016-01-15,9,2,45
2016-01-16,0,4,24
2016-01-17,3,4,14
2016-01-18,0,2,19
2016-01-19,11,3,15
2016-01-20,3,2,49
2016-01-21,22,5,102
2016-01-22,11,2,84
2016-01-23,0,4,17
2016-01-24,2,1,16
2016-01-25,2,2,47
2016-01-26,14,4,65
2016-01-27,37,8,53
2016-01-28,12,13,65
2016-01-29,19,13,75
2016-01-30,1,2,67
2016-01-31,6,2,25
2016-02-01,14,15,69
2016-02-02,17,10,74
2016-02-03,14,18,80
2016-02-04,22,16,65
2016-02-05,61,4,79
2016-02-06,12,3,50
2016-02-07,12,0,42
2016-02-08,15,4,69
2016-02-09,23,11,83
2016-02-10,19,12,71
2016-02-11,27,12,82
2016-02-12,22,10,70
2016-02-13,9,1,38
2016-02-14,1,0,32
2016-02-15,3,0,57
2016-02-16,9,2,74
2016-02-17,19,10,65
2016-02-18,5,5,58
2016-02-19,12,4,102
2016-02-20,29,3,37
2016-02-21,25,0,18
2016-02-22,32,1,76
2016-02-23,28,7,101
2016-02-24,4,9,98
2016-02-25,19,6,96
2016-02-26,1,7,96
2016-02-27,6,4,52
2016-02-28,0,0,25
2016-02-29,8,3,51
2016-03-01,4,7,88
2016-03-02,35,11,96
2016-03-03,11,7,87
2016-03-04,9,3,104
2016-03-05,4,0,70
2016-03-06,0,0,26
2016-03-07,9,4,59
2016-03-08,6,2,37
2016-03-09,3,2,35
2016-03-10,24,2,51
2016-03-11,6,5,68
2016-03-12,2,3,25
2016-03-13,0,8,6
2016-03-14,7,4,35
2016-03-15,19,13,65
2016-03-16,28,8,55
2016-03-17,12,12,67
2016-03-18,15,7,37
2016-03-19,18,4,24
2016-03-20,3,0,10
2016-03-21,16,1,35
2016-03-22,23,7,62
2016-03-23,27,2,42
2016-03-24,41,10,28
2016-03-25,37,11,40
2016-03-26,13,2,14
2016-03-27,0,0,4
2016-03-28,21,7,18
2016-03-29,12,11,30
2016-03-30,15,8,34
2016-03-31,8,4,33
2016-04-01,7,3,38
2016-04-02,13,0,22
2016-04-03,1,0,12
2016-04-04,2,2,24
2016-04-05,5,4,25
2016-04-06,6,7,17
2016-04-07,11,9,24
2016-04-08,11,7,43
2016-04-09,4,0,11
2016-04-10,4,0,2
2016-04-11,5,0,28
2016-04-12,18,2,37
2016-04-13,16,11,45
2016-04-14,19,23,68
2016-04-15,10,11,62
2016-04-16,1,1,25
2016-04-17,0,0,25
2016-04-18,2,0,28
2016-04-19,14,2,52
2016-04-20,5,0,57
2016-04-21,2,1,64
2016-04-22,14,7,35
2016-04-23,2,6,14
2016-04-24,0,3,9
2016-04-25,2,5,32
2016-04-26,3,5,50
2016-04-27,0,5,45
2016-04-28,0,5,82
2016-04-29,0,3,44
2016-04-30,0,4,6
2016-05-01,2,2,5
2016-05-02,2,3,41
2016-05-03,10,8,36
2016-05-04,2,1,54
2016-05-05,13,5,60
2016-05-06,2,7,86
2016-05-07,16,0,23
2016-05-08,6,1,19
2016-05-09,20,0,83
2016-05-10,6,4,71
2016-05-11,28,2,68
2016-05-12,4,1,65
2016-05-13,4,3,59
2016-05-14,5,1,26
2016-05-15,1,0,22
2016-05-16,8,0,61
2016-05-17,13,1,84
2016-05-18,4,0,67
2016-05-19,6,0,65
2016-05-20,2,0,88
2016-05-21,1,1,47
2016-05-22,3,1,37
2016-05-23,3,1,63
2016-05-24,4,3,60
2016-05-25,24,2,53
2016-05-26,0,6,76
2016-05-27,11,1,87
2016-05-28,7,0,41
2016-05-29,72,2,28
2016-05-30,1,0,42
2016-05-31,12,9,50
2016-06-01,3,0,59
2016-06-02,2,3,65
2016-06-03,12,3,65
2016-06-04,2,2,36
2016-06-05,8,1,7
2016-06-06,10,1,43
2016-06-07,10,0,39
2016-06-08,10,2,63
2016-06-09,2,1,51
2016-06-10,186,0,78
2016-06-11,28,0,28
2016-06-12,27,0,11
2016-06-13,11,1,68
2016-06-14,25,6,59
2016-06-15,26,1,59
2016-06-16,40,0,51
2016-06-17,44,4,70
2016-06-18,2,1,35
2016-06-19,0,0,23
2016-06-20,8,2,61
2016-06-21,20,2,76
2016-06-22,28,4,75
2016-06-23,7,4,49
2016-06-24,5,0,83
2016-06-25,2,0,38
2016-06-26,0,1,21
2016-06-27,5,2,47
2016-06-28,24,1,71
2016-06-29,6,3,74
2016-06-30,4,2,48
2016-07-01,13,4,35
2016-07-02,0,0,30
2016-07-03,0,0,23
2016-07-04,0,0,23
2016-07-05,0,3,35
2016-07-06,5,0,48
2016-07-07,2,6,88
2016-07-08,5,3,67
2016-07-09,11,0,16
2016-07-10,19,0,8
2016-07-11,24,3,54
2016-07-12,33,5,62
2016-07-13,13,2,79
2016-07-14,1,3,56
2016-07-15,0,0,72
2016-07-16,0,0,17
2016-07-17,0,0,8
2016-07-18,6,1,63
2016-07-19,4,2,89
2016-07-20,18,8,90
2016-07-21,15,2,73
2016-07-22,11,3,68
2016-07-23,5,1,33
2016-07-24,0,0,3
2016-07-25,39,0,38
2016-07-26,35,0,37
2016-07-27,10,0,42
2016-07-28,20,3,47
2016-07-29,4,0,48
2016-07-30,1,0,23
2016-07-31,0,0,3
2016-08-01,2,0,37
2016-08-02,19,2,94
2016-08-03,20,2,80
2016-08-04,24,1,99
2016-08-05,12,1,71
2016-08-06,3,1,23
2016-08-07,2,0,8
2016-08-08,19,0,43
2016-08-09,24,0,62
2016-08-10,11,0,86
2016-08-11,18,0,79
2016-08-12,27,0,78
2016-08-13,5,0,34
2016-08-14,4,0,18
2016-08-15,7,1,47
2016-08-16,25,0,61
2016-08-17,75,3,89
2016-08-18,12,6,114
2016-08-19,25,0,115
2016-08-20,2,0,59
2016-08-21,1,0,49
2016-08-22,9,1,98
2016-08-23,18,0,114
2016-08-24,9,4,79
2016-08-25,16,1,100
2016-08-26,13,0,95
2016-08-27,7,0,20
2016-08-28,1,2,12
2016-08-29,9,0,39
2016-08-30,11,0,81
2016-08-31,18,0,54
2016-09-01,14,0,76
2016-09-02,12,0,69
2016-09-03,0,0,21
2016-09-04,1,0,15
2016-09-05,7,0,34
2016-09-06,0,0,79
2016-09-07,1,0,79
2016-09-08,0,0,74
2016-09-09,1,0,76
2016-09-10,1,0,39
2016-09-11,2,0,31
2016-09-12,5,0,76
2016-09-13,4,0,76
2016-09-14,4,0,77
2016-09-15,6,0,68
2016-09-16,2,0,86
2016-09-17,1,0,25
2016-09-18,0,0,9
2016-09-19,2,0,37
2016-09-20,5,3,74
2016-09-21,14,2,53
2016-09-22,3,0,75
2016-09-23,3,1,69
2016-09-24,6,1,57
2016-09-25,0,1,11
2016-09-26,23,0,74
2016-09-27,7,0,94
2016-09-28,5,0,91
2016-09-29,1,1,60
2016-09-30,4,0,67
2016-10-01,0,0,24
2016-10-02,0,0,8
2016-10-03,28,0,30
2016-10-04,0,0,69
2016-10-05,4,0,83
2016-10-06,10,0,45
2016-10-07,8,0,66
2016-10-08,4,0,33
2016-10-09,5,0,9
2016-10-10,8,0,63
2016-10-11,12,0,49
2016-10-12,5,1,82
2016-10-13,15,1,90
2016-10-14,0,0,67
2016-10-15,2,0,50
2016-10-16,0,0,15
2016-10-17,2,1,75
2016-10-18,14,1,67
2016-10-19,4,2,101
2016-10-20,4,3,68
2016-10-21,7,0,51
2016-10-22,1,0,34
2016-10-23,4,0,11
2016-10-24,13,1,52
2016-10-25,36,0,81
2016-10-26,21,2,84
2016-10-27,26,0,96
2016-10-28,22,0,67
2016-10-29,7,2,38
2016-10-30,1,1,27
2016-10-31,41,0,74
2016-11-01,51,1,74
2016-11-02,18,0,119
2016-11-03,4,0,95
2016-11-04,19,0,116
2016-11-05,5,0,35
2016-11-06,3,0,60
2016-11-07,6,1,88
2016-11-08,33,0,78
2016-11-09,22,0,77
2016-11-10,23,0,66
2016-11-11,1,0,42
2016-11-12,1,0,16
2016-11-13,0,0,8
2016-11-14,4,0,49
2016-11-15,8,1,63
2016-11-16,15,0,45
2016-11-17,12,0,53
2016-11-18,7,1,51
2016-11-19,0,1,18
2016-11-20,0,0,2
2016-11-21,1,3,47
2016-11-22,2,1,60
2016-11-23,3,0,87
2016-11-24,2,0,22
2016-11-25,0,1,8
2016-11-26,3,0,0
2016-11-27,0,0,1
2016-11-28,16,2,57
2016-11-29,10,0,64
2016-11-30,4,1,68
2016-12-01,6,0,97
2016-12-02,4,1,64
2016-12-03,1,0,64
2016-12-04,0,0,9
2016-12-05,5,0,89
2016-12-06,8,1,90
2016-12-07,2,7,96
2016-12-08,5,1,100
2016-12-09,3,0,103
2016-12-10,7,1,34
2016-12-11,0,0,12
2016-12-12,11,1,77
2016-12-13,14,0,76
2016-12-14,9,0,76
2016-12-15,9,0,54
2016-12-16,10,0,68
2016-12-17,1,0,20
2016-12-18,1,0,8
2016-12-19,13,0,42
2016-12-20,19,1,61
2016-12-21,3,3,63
2016-12-22,0,0,57
2016-12-23,1,0,27
2016-12-24,1,0,6
2016-12-25,2,0,2
2016-12-26,0,0,2
2016-12-27,0,1,24
2016-12-28,0,3,23
2016-12-29,1,2,31
2016-12-30,0,0,16
2016-12-31,0,0,6
2017-01-01,0,0,1
2017-01-02,0,0,20
2017-01-03,7,0,58
2017-01-04,3,1,68
2017-01-05,13,2,48
2017-01-06,19,3,57
2017-01-07,1,1,13
2017-01-08,9,0,1
2017-01-09,6,1,45
2017-01-10,10,1,58
2017-01-11,9,9,110
2017-01-12,6,0,50
2017-01-13,7,0,56
2017-01-14,3,1,23
2017-01-15,0,0,8
2017-01-16,1,1,48
2017-01-17,8,2,86
2017-01-18,9,6,93
2017-01-19,7,7,72
2017-01-20,16,7,90
2017-01-21,2,0,14
2017-01-22,7,0,7
2017-01-23,48,0,75
2017-01-24,20,0,71
2017-01-25,5,0,97
2017-01-26,28,1,63
2017-01-27,11,1,88
2017-01-28,13,0,21
2017-01-29,0,0,14
2017-01-30,10,1,42
2017-01-31,17,2,82
2017-02-01,19,0,82
2017-02-02,39,1,114
2017-02-03,10,0,55
2017-02-04,3,0,28
2017-02-05,5,0,6
2017-02-06,3,1,69
2017-02-07,5,1,73
2017-02-08,9,1,75
2017-02-09,7,1,43
2017-02-10,6,0,89
2017-02-11,6,1,14
2017-02-12,1,0,5
2017-02-13,7,0,54
2017-02-14,12,0,92
2017-02-15,8,2,119
2017-02-16,18,0,96
2017-02-17,19,2,55
2017-02-18,0,0,27
2017-02-19,0,0,28
2017-02-20,4,1,55
2017-02-21,23,1,73
2017-02-22,6,1,60
2017-02-23,25,1,116
2017-02-24,18,2,71
2017-02-25,5,0,45
2017-02-26,1,0,55
2017-02-27,16,0,107
2017-02-28,20,0,96
2017-03-01,20,0,128
2017-03-02,9,1,86
2017-03-03,10,0,34
2017-03-04,8,0,38
2017-03-05,0,0,7
2017-03-06,6,0,56
2017-03-07,6,3,64
2017-03-08,7,1,65
2017-03-09,17,0,66
2017-03-10,13,0,47
2017-03-11,8,0,17
2017-03-12,4,0,13
2017-03-13,15,0,34
2017-03-14,20,1,55
2017-03-15,10,1,47
2017-03-16,4,3,46
2017-03-17,3,3,58
2017-03-18,1,0,17
2017-03-19,0,0,12
2017-03-20,6,0,34
2017-03-21,5,0,45
2017-03-22,4,0,41
2017-03-23,0,1,25
2017-03-24,8,2,66
2017-03-25,0,2,41
2017-03-26,2,1,40
2017-03-27,14,0,59
2017-03-28,35,0,54
2017-03-29,7,2,49
2017-03-30,1,1,37
2017-03-31,4,0,46
2017-04-01,3,0,9
2017-04-02,3,0,6
2017-04-03,0,1,46
2017-04-04,16,0,49
2017-04-05,1,0,58
2017-04-06,8,0,58
2017-04-07,10,0,55
2017-04-08,5,0,31
2017-04-09,0,0,5
2017-04-10,11,0,59
2017-04-11,6,0,59
2017-04-12,7,0,49
2017-04-13,2,0,58
2017-04-14,9,0,62
2017-04-15,0,0,8
2017-04-16,10,0,5
2017-04-17,3,1,42
2017-04-18,5,0,71
2017-04-19,44,0,62
2017-04-20,7,0,57
2017-04-21,4,0,55
2017-04-22,0,0,15
2017-04-23,0,0,12
2017-04-24,2,3,41
2017-04-25,8,0,70
2017-04-26,3,2,50
2017-04-27,5,2,72
2017-04-28,2,0,79
2017-04-29,1,0,24
2017-04-30,2,0,13
2017-05-01,10,2,34
2017-05-02,9,3,65
2017-05-03,30,0,53
2017-05-04,14,1,62
2017-05-05,5,2,65
2017-05-06,0,2,18
2017-05-07,0,0,4
2017-05-08,5,0,49
2017-05-09,9,1,50
2017-05-10,6,2,62
2017-05-11,8,0,70
2017-05-12,4,0,78
2017-05-13,0,0,18
2017-05-14,0,0,9
2017-05-15,3,0,96
2017-05-16,14,0,75
2017-05-17,7,0,99
2017-05-18,2,3,74
2017-05-19,2,0,85
2017-05-20,2,0,46
2017-05-21,4,0,16
2017-05-22,1,6,65
2017-05-23,13,3,81
2017-05-24,5,0,77
2017-05-25,7,4,82
2017-05-26,8,2,111
2017-05-27,1,0,34
2017-05-28,0,0,11
2017-05-29,0,0,53
2017-05-30,16,0,95
2017-05-31,33,0,99
2017-06-01,0,0,88
2017-06-02,4,2,55
2017-06-03,1,0,72
2017-06-04,1,1,29
2017-06-05,2,0,72
2017-06-06,3,0,91
2017-06-07,3,0,68
2017-06-08,5,0,54
2017-06-09,5,0,44
2017-06-10,0,0,13
2017-06-11,0,0,10
2017-06-12,2,0,40
2017-06-13,0,0,71
2017-06-14,0,0,61
2017-06-15,4,3,47
2017-06-16,8,2,53
2017-06-17,1,0,27
2017-06-18,0,0,5
2017-06-19,0,1,25
2017-06-20,1,5,38
2017-06-21,3,2,54
2017-06-22,19,2,78
2017-06-23,9,1,116
2017-06-24,7,1,39
2017-06-25,9,0,3
2017-06-26,6,3,67
2017-06-27,2,2,54
2017-06-28,3,1,47
2017-06-29,6,5,53
2017-06-30,2,5,48
2017-07-01,1,0,23
2017-07-02,3,0,5
2017-07-03,19,0,29
2017-07-04,1,0,32
2017-07-05,5,2,49
2017-07-06,19,0,36
2017-07-07,142,0,38
2017-07-08,8,0,41
2017-07-09,1,0,6
2017-07-10,5,3,23
2017-07-11,5,17,15
2017-07-12,1,4,118
2017-07-13,6,0,50
2017-07-14,7,1,76
2017-07-15,0,3,14
2017-07-16,2,0,19
2017-07-17,18,0,70
2017-07-18,21,8,94
2017-07-19,27,5,100
2017-07-20,14,0,107
2017-07-21,39,3,74
2017-07-22,8,0,32
2017-07-23,11,0,2
2017-07-24,27,0,52
2017-07-25,21,2,96
2017-07-26,34,0,69
2017-07-27,9,0,25
2017-07-28,6,2,84
2017-07-29,2,0,13
2017-07-30,3,0,4
2017-07-31,19,0,52
2017-08-01,20,0,47
2017-08-02,20,0,80
2017-08-03,3,0,101
2017-08-04,37,1,64
2017-08-05,1,0,39
2017-08-06,2,0,16
2017-08-07,22,1,59
2017-08-08,13,0,61
2017-08-09,5,2,55
2017-08-10,18,0,88
2017-08-11,19,0,58
2017-08-12,10,0,41
2017-08-13,0,0,7
2017-08-14,25,0,70
2017-08-15,12,0,78
2017-08-16,11,0,75
2017-08-17,32,0,82
2017-08-18,10,0,73
2017-08-19,2,0,16
2017-08-20,0,0,5
2017-08-21,14,0,56
2017-08-22,17,0,74
2017-08-23,24,0,93
2017-08-24,7,1,83
2017-08-25,25,0,128
2017-08-26,1,0,83
2017-08-27,0,0,16
2017-08-28,29,0,57
2017-08-29,37,3,81
2017-08-30,17,0,91
2017-08-31,8,1,48
2017-09-01,5,0,134
2017-09-02,0,0,28
2017-09-03,0,0,82
2017-09-04,93,0,49
2017-09-05,24,1,77
2017-09-06,9,0,62
2017-09-07,10,0,55
2017-09-08,12,0,64
2017-09-09,5,0,10
2017-09-10,7,0,5
2017-09-11,18,0,25
2017-09-12,7,0,44
2017-09-13,24,0,62
2017-09-14,56,0,31
2017-09-15,47,0,66
2017-09-16,8,0,15
2017-09-17,24,0,1
2017-09-18,5,0,27
2017-09-19,17,0,38
2017-09-20,3,0,60
2017-09-21,2,0,50
2017-09-22,1,0,27
2017-09-23,0,0,91
2017-09-24,1,0,47
2017-09-25,20,0,53
2017-09-26,33,0,44
2017-09-27,31,0,50
2017-09-28,7,0,55
2017-09-29,15,0,60
2017-09-30,4,0,19
2017-10-01,0,0,7
2017-10-02,11,0,30
2017-10-03,18,0,68
2017-10-04,2,0,47
2017-10-05,12,2,46
2017-10-06,12,0,50
2017-10-07,0,0,14
2017-10-08,0,0,6
2017-10-09,16,0,60
2017-10-10,8,1,55
2017-10-11,31,0,67
2017-10-12,43,0,66
2017-10-13,35,0,68
2017-10-14,2,0,18
2017-10-15,1,1,8
2017-10-16,31,0,78
2017-10-17,18,0,55
2017-10-18,14,0,74
2017-10-19,36,0,93
2017-10-20,9,0,47
2017-10-21,1,1,22
2017-10-22,1,0,8
2017-10-23,17,0,55
2017-10-24,35,0,75
2017-10-25,17,0,76
2017-10-26,18,0,82
2017-10-27,14,0,74
2017-10-28,3,0,26
2017-10-29,0,0,10
2017-10-30,5,1,42
2017-10-31,12,0,63
2017-11-01,59,0,82
2017-11-02,22,0,89
2017-11-03,36,1,76
2017-11-04,1,0,20
2017-11-05,2,0,12
2017-11-06,6,2,56
2017-11-07,5,0,95
2017-11-08,1,1,40
2017-11-09,3,0,111
2017-11-10,13,0,95
2017-11-11,2,0,30
2017-11-12,0,0,13
2017-11-13,25,0,69
2017-11-14,9,0,81
2017-11-15,24,0,75
2017-11-16,8,0,95
2017-11-17,26,0,53
2017-11-18,4,0,76
2017-11-19,2,0,41
2017-11-20,17,0,89
2017-11-21,27,0,110
2017-11-22,1,0,143
2017-11-23,2,0,71
2017-11-24,0,0,30
2017-11-25,0,0,15
2017-11-26,0,0,3
2017-11-27,2,0,41
2017-11-28,3,0,47
2017-11-29,9,0,48
2017-11-30,27,1,31
2017-12-01,7,0,33
2017-12-02,1,0,10
2017-12-03,2,0,5
2017-12-04,13,0,31
2017-12-05,7,0,24
2017-12-06,23,0,20
2017-12-07,17,0,21
2017-12-08,20,0,13
2017-12-09,1,0,2
2017-12-10,1,0,3
2017-12-11,6,0,19
2017-12-12,30,0,22
2017-12-13,4,0,30
2017-12-14,2,0,68
2017-12-15,3,0,42
2017-12-16,0,0,75
2017-12-17,0,0,58
2017-12-18,9,0,70
2017-12-19,6,1,68
2017-12-20,10,0,51
2017-12-21,5,0,47
2017-12-22,0,0,30
2017-12-23,0,0,18
2017-12-24,0,0,0
2017-12-25,0,0,19
2017-12-26,0,1,8
2017-12-27,2,0,16
2017-12-28,0,1,11
2017-12-29,1,0,9
2017-12-30,0,0,2
2017-12-31,0,0,0
2018-01-01,0,0,1
2018-01-02,2,2,40
2018-01-03,11,2,51
2018-01-04,12,1,50
2018-01-05,1,1,39
2018-01-06,0,0,19
2018-01-07,0,0,19
2018-01-08,30,0,34
2018-01-09,16,0,47
2018-01-10,6,0,91
2018-01-11,3,0,32
2018-01-12,7,0,37
2018-01-13,2,0,35
2018-01-14,2,0,5
2018-01-15,0,0,42
2018-01-16,8,0,48
2018-01-17,57,0,47
2018-01-18,19,0,59
2018-01-19,14,0,103
2018-01-20,0,0,37
2018-01-21,4,0,5
2018-01-22,7,0,20
2018-01-23,14,0,78
2018-01-24,4,2,47
2018-01-25,4,1,48
2018-01-26,6,1,56
2018-01-27,1,0,16
2018-01-28,0,0,4
2018-01-29,9,0,47
2018-01-30,13,0,63
2018-01-31,65,0,61
2018-02-01,11,0,60
2018-02-02,3,0,57
2018-02-03,2,0,26
2018-02-04,0,0,16
2018-02-05,3,0,50
2018-02-06,46,0,79
2018-02-07,8,1,98
2018-02-08,7,0,87
2018-02-09,6,0,83
2018-02-10,0,0,16
2018-02-11,0,0,31
2018-02-12,9,1,44
2018-02-13,1,1,84
2018-02-14,6,0,63
2018-02-15,79,1,58
2018-02-16,3,0,64
2018-02-17,1,0,21
2018-02-18,0,0,5
2018-02-19,0,0,17
2018-02-20,10,0,51
2018-02-21,8,0,69
2018-02-22,3,0,105
2018-02-23,0,0,104
2018-02-24,1,0,46
2018-02-25,0,0,42
2018-02-26,11,0,93
2018-02-27,8,0,118
2018-02-28,2,0,80
2018-03-01,5,0,54
2018-03-02,1,0,34
2018-03-03,24,0,18
2018-03-04,1,0,4
2018-03-05,18,0,38
2018-03-06,9,0,36
2018-03-07,3,0,34
2018-03-08,17,0,34
2018-03-09,9,1,35
2018-03-10,1,0,11
2018-03-11,167,0,5
2018-03-12,9,0,33
2018-03-13,19,0,46
2018-03-14,65,0,16
2018-03-15,7,0,15
2018-03-16,24,0,34
2018-03-17,4,0,3
2018-03-18,0,0,2
2018-03-19,13,0,27
2018-03-20,26,0,83
2018-03-21,118,0,85
2018-03-22,33,0,67
2018-03-23,15,0,23
2018-03-24,1,0,14
2018-03-25,2,0,16
2018-03-26,15,0,39
2018-03-27,33,0,70
2018-03-28,30,2,51
2018-03-29,39,0,37
2018-03-30,44,0,59
2018-03-31,1,0,25
2018-04-01,0,0,5
2018-04-02,4,0,36
2018-04-03,16,0,40
2018-04-04,21,0,61
2018-04-05,17,0,39
2018-04-06,2,0,60
2018-04-07,4,0,20
2018-04-08,0,0,14
2018-04-09,27,0,41
2018-04-10,33,0,39
2018-04-11,24,0,65
2018-04-12,45,4,68
2018-04-13,10,0,64
2018-04-14,2,0,13
2018-04-15,1,0,5
2018-04-16,23,1,51
2018-04-17,17,0,46
2018-04-18,15,0,69
2018-04-19,19,0,71
2018-04-20,5,0,36
2018-04-21,3,0,12
2018-04-22,1,0,4
2018-04-23,9,0,38
2018-04-24,8,0,57
2018-04-25,14,0,83
2018-04-26,30,0,54
2018-04-27,12,0,60
2018-04-28,0,0,24
2018-04-29,0,0,8
2018-04-30,1,0,30
2018-05-01,4,0,30
2018-05-02,12,0,28
2018-05-03,5,0,47
2018-05-04,18,0,41
2018-05-05,18,0,5
2018-05-06,0,0,2
