,facebook/react,angular/angular,emberjs/ember.js
2017-06-05,9,5.0,2
2017-06-06,9,12.0,2
2017-06-07,3,11.0,0
2017-06-08,4,20.0,13
2017-06-09,13,24.0,2
2017-06-10,2,10.0,8
2017-06-11,1,2.0,6
2017-06-12,0,12.0,5
2017-06-13,5,20.0,2
2017-06-14,7,6.0,3
2017-06-15,2,9.0,0
2017-06-16,3,14.0,2
2017-06-17,0,0.0,0
2017-06-18,0,0.0,2
2017-06-19,7,8.0,4
2017-06-20,1,10.0,6
2017-06-21,3,11.0,9
2017-06-22,1,14.0,4
2017-06-23,2,45.0,12
2017-06-24,0,1.0,11
2017-06-25,1,0.0,8
2017-06-26,6,6.0,16
2017-06-27,6,5.0,7
2017-06-28,4,0.0,3
2017-06-29,2,10.0,13
2017-06-30,2,5.0,2
2017-07-01,8,4.0,3
2017-07-02,2,0.0,4
2017-07-03,0,4.0,2
2017-07-04,2,0.0,4
2017-07-05,1,9.0,14
2017-07-06,1,11.0,5
2017-07-07,1,29.0,4
2017-07-08,0,4.0,3
2017-07-09,2,0.0,3
2017-07-10,1,7.0,2
2017-07-11,4,40.0,4
2017-07-12,5,0.0,5
2017-07-13,9,21.0,21
2017-07-14,2,12.0,8
2017-07-15,0,3.0,1
2017-07-16,0,0.0,6
2017-07-17,1,11.0,11
2017-07-18,3,26.0,8
2017-07-19,7,6.0,1
2017-07-20,3,21.0,2
2017-07-21,5,8.0,2
2017-07-22,0,0.0,1
2017-07-23,0,0.0,2
2017-07-24,2,0.0,4
2017-07-25,2,8.0,3
2017-07-26,16,8.0,7
2017-07-27,12,4.0,2
2017-07-28,1,19.0,0
2017-07-29,0,0.0,4
2017-07-30,0,0.0,0
2017-07-31,4,8.0,4
2017-08-01,6,2.0,5
2017-08-02,16,18.0,1
2017-08-03,8,8.0,4
2017-08-04,7,8.0,1
2017-08-05,1,0.0,0
2017-08-06,0,0.0,0
2017-08-07,3,9.0,5
2017-08-08,5,3.0,1
2017-08-09,5,10.0,0
2017-08-10,3,2.0,3
2017-08-11,1,4.0,2
2017-08-12,3,0.0,4
2017-08-13,3,0.0,1
2017-08-14,2,1.0,0
2017-08-15,2,16.0,1
2017-08-16,4,17.0,6
2017-08-17,4,9.0,0
2017-08-18,1,11.0,5
2017-08-19,0,10.0,0
2017-08-20,0,0.0,0
2017-08-21,2,7.0,1
2017-08-22,2,12.0,0
2017-08-23,2,4.0,1
2017-08-24,2,2.0,0
2017-08-25,10,1.0,3
2017-08-26,4,0.0,3
2017-08-27,0,0.0,1
2017-08-28,8,15.0,1
2017-08-29,2,9.0,1
2017-08-30,4,8.0,4
2017-08-31,6,28.0,5
2017-09-01,6,12.0,4
2017-09-02,1,5.0,0
2017-09-03,0,0.0,1
2017-09-04,0,0.0,1
2017-09-05,3,16.0,6
2017-09-06,9,5.0,0
2017-09-07,4,7.0,0
2017-09-08,6,11.0,2
2017-09-09,1,0.0,7
2017-09-10,5,0.0,0
2017-09-11,6,0.0,7
2017-09-12,3,11.0,3
2017-09-13,3,4.0,11
2017-09-14,11,5.0,8
2017-09-15,0,1.0,4
2017-09-16,0,0.0,0
2017-09-17,0,0.0,0
2017-09-18,0,0.0,0
2017-09-19,1,9.0,0
2017-09-20,0,15.0,0
2017-09-21,0,19.0,10
2017-09-22,2,10.0,0
2017-09-23,0,0.0,0
2017-09-24,1,0.0,0
2017-09-25,4,17.0,1
2017-09-26,22,12.0,0
2017-09-27,14,6.0,0
2017-09-28,12,22.0,0
2017-09-29,7,2.0,0
2017-09-30,10,0.0,0
2017-10-01,4,0.0,3
2017-10-02,32,7.0,2
2017-10-03,11,6.0,5
2017-10-04,7,12.0,5
2017-10-05,4,2.0,11
2017-10-06,7,23.0,5
2017-10-07,2,6.0,0
2017-10-08,0,0.0,0
2017-10-09,2,14.0,8
2017-10-10,17,7.0,6
2017-10-11,7,12.0,1
2017-10-12,2,7.0,1
2017-10-13,2,13.0,3
2017-10-14,3,1.0,0
2017-10-15,0,0.0,0
2017-10-16,6,2.0,1
2017-10-17,10,10.0,8
2017-10-18,13,18.0,3
2017-10-19,7,3.0,0
2017-10-20,12,5.0,0
2017-10-21,2,0.0,1
2017-10-22,1,0.0,4
2017-10-23,5,7.0,1
2017-10-24,5,11.0,0
2017-10-25,10,4.0,8
2017-10-26,10,7.0,15
2017-10-27,1,2.0,34
2017-10-28,3,5.0,15
2017-10-29,0,0.0,14
2017-10-30,1,1.0,4
2017-10-31,9,12.0,7
2017-11-01,4,46.0,17
2017-11-02,15,25.0,1
2017-11-03,11,17.0,12
2017-11-04,7,0.0,4
2017-11-05,3,0.0,16
2017-11-06,10,12.0,8
2017-11-07,11,0.0,2
2017-11-08,7,4.0,5
2017-11-09,7,1.0,6
2017-11-10,8,16.0,1
2017-11-11,0,0.0,0
2017-11-12,2,0.0,3
2017-11-13,9,0.0,2
2017-11-14,0,20.0,6
2017-11-15,4,4.0,1
2017-11-16,2,18.0,1
2017-11-17,4,3.0,2
