,decaporg/decap-cms,strapi/strapi,TryGhost/Ghost
2017-04-07,1,2.9168,9
2017-04-08,1,-1.2599039999999997,1
2017-04-09,2,-0.4059264,0
2017-04-10,1,1.77125888,7
2017-04-11,5,14.044888576,18
2017-04-12,0,-5.355452313599998,0
2017-04-13,4,-2.3968895999999997,5
2017-04-14,15,-1.2183116800000002,4
2017-04-15,0,-0.7933711360000006,4
2017-04-16,0,-0.5752008704000003,0
2017-04-17,2,-0.4111411200000001,7
2017-04-18,5,-0.3288330239999999,1
2017-04-19,6,-0.2713025535999999,12
2017-04-20,1,0.792871936,4
2017-04-21,5,5.5872018432,0
2017-04-22,0,-2.5199999999999996,0
2017-04-23,0,-0.784,0
2017-04-24,21,-0.42560000000000003,17
2017-04-25,3,1.7204479999999998,8
2017-04-26,3,-1.0026751999999999,0
2017-04-27,0,-0.39614976,0
2017-04-28,1,-0.253379072,0
2017-04-29,0,-0.18693242880000005,0
2017-04-30,0,-0.13669294080000002,0
2017-05-01,1,-0.04592640000000001,0
2017-05-02,1,-0.03674111999999999,2
2017-05-03,1,7.969688576,0
2017-05-04,4,-1.2255963135999992,0
2017-05-05,14,-0.7599999999999998,0
2017-05-06,0,2.848,0
2017-05-07,1,-2.1808,2
2017-05-08,1,-0.8668160000000003,3
2017-05-09,1,3.4587904,3
2017-05-10,2,4.01075712,7
2017-05-11,4,5.8192419840000005,1
2017-05-12,0,-1.818920038399999,9
2017-05-13,1,-2.9446342656,0
2017-05-14,0,-1.3788290048000005,0
2017-05-15,1,-0.8891574272000005,8
2017-05-16,2,0.3943705599999997,1
2017-05-17,3,9.132628992,3
2017-05-18,5,-4.496351539199999,3
2017-05-19,0,-1.5323020287999998,0
2017-05-20,0,-0.8422505472,0
2017-05-21,0,-0.4843464704000005,1
2017-05-22,3,-0.3224832000000002,4
2017-05-23,0,-0.24800256000000004,10
2017-05-24,0,-0.19886131199999993,6
2017-05-25,4,-0.16435527679999992,0
2017-05-26,0,-0.12798156799999996,0
2017-05-27,0,0.0,0
2017-05-28,0,0.0,0
2017-05-29,0,1.0,4
2017-05-30,0,-0.3999999999999999,9
2017-05-31,0,-0.12,7
2017-06-01,7,-0.064,8
2017-06-02,0,-0.04160000000000005,0
2017-06-03,0,-0.029952000000000017,0
2017-06-04,0,-0.022963200000000007,2
2017-06-05,5,-0.018370559999999994,1
2017-06-06,0,2.984844288,6
2017-06-07,3,-1.2127981567999997,5
2017-06-08,6,0.64,13
2017-06-09,2,5.408,0
2017-06-10,0,-2.6447999999999996,0
2017-06-11,0,-0.873856,0
2017-06-12,1,-0.4944896000000001,2
2017-06-13,1,-0.33466368000000024,4
2017-06-14,3,-0.24814233600000007,1
2017-06-15,1,3.8054557696,7
2017-06-16,1,-1.7253790719999995,0
2017-06-17,0,3.4162675712,0
2017-06-18,0,-0.9327889407999996,0
2017-06-19,1,1.9535999999999998,6
2017-06-20,2,8.304192,3
2017-06-21,0,-3.6822527999999997,4
2017-06-22,4,-2.02689024,11
2017-06-23,1,0.9327723519999997,4
2017-06-24,3,-1.5174940672000004,0
2017-06-25,1,0.2709969919999998,0
2017-06-26,0,-0.9090440192,0
2017-06-27,0,-0.4681340928,1
2017-06-28,1,1.6677738496,0
2017-06-29,0,-1.0306636799999997,1
2017-06-30,1,-0.3194912768,0
2017-07-01,2,4.818725376,0
2017-07-02,0,-2.1271668736,0
2017-07-03,0,-0.675059712,0
2017-07-04,2,1.6212754432,3
2017-07-05,0,-1.04474112,4
2017-07-06,0,10.579928576,4
2017-07-07,0,-2.6684123135999984,2
2017-07-08,0,-2.2950527999999997,0
2017-07-09,0,-1.07968256,2
2017-07-10,13,6.304482815999999,11
2017-07-11,0,4.75058688,9
2017-07-12,0,7.617189376000001,0
2017-07-13,0,10.5184011264,1
2017-07-14,0,-8.246653951999999,0
2017-07-15,0,-3.9215551488000004,0
2017-07-16,0,-2.1331547136000006,0
2017-07-17,0,17.55707648,0
2017-07-18,0,0.32060313600000256,5
2017-07-19,0,16.2683940864,0
2017-07-20,0,-2.115516518399996,16
2017-07-21,0,4.444004454400002,7
2017-07-22,1,-9.048212377599999,5
2017-07-23,1,-3.8754669568000013,0
2017-07-24,0,20.507394559999998,0
2017-07-25,2,-2.0217671679999984,2
2017-07-26,0,14.2189027328,5
2017-07-27,5,-3.297991987199996,10
2017-07-28,0,1.5424679936000008,5
2017-07-29,0,-6.8763018240000005,0
2017-07-30,0,-4.055297638400001,0
2017-07-31,0,18.577464319999997,19
2017-08-01,1,0.8313251840000007,16
2017-08-02,2,3.6972998656000016,13
2017-08-03,0,7.662471884800002,13
2017-08-04,0,-3.0422296576,1
2017-08-05,0,-5.8597030912,3
2017-08-06,0,-1.7180364800000008,0
2017-08-07,0,4.955800883199999,0
2017-08-08,0,11.929663488,7
2017-08-09,1,4.837403955200001,2
2017-08-10,0,0.9575283712000022,10
2017-08-11,2,4.291669606400001,1
2017-08-12,0,-8.217973452799999,0
2017-08-13,0,-3.496773529600001,0
2017-08-14,0,13.8162235392,2
2017-08-15,2,-7.979346329599999,18
2017-08-16,2,22.8737238016,5
2017-08-17,10,11.686987366400002,11
2017-08-18,0,1.063221964800002,2
2017-08-19,0,-9.333082112,0
2017-08-20,4,-5.738589081600001,0
2017-08-21,0,6.728919039999998,2
2017-08-22,0,9.689617408,14
2017-08-23,0,20.633998131200002,0
2017-08-24,0,0.20070604800000424,7
2017-08-25,80,2.542026035200001,1
2017-08-26,0,-11.3763525632,0
2017-08-27,0,-5.003147776000001,0
2017-08-28,0,1.8991268863999986,1
2017-08-29,3,6.76238592,12
2017-08-30,2,2.261719040000001,2
2017-08-31,2,4.462181171200001,7
2017-09-01,6,-3.293994495999998,1
2017-09-02,0,-4.5354661888,2
2017-09-03,1,-2.1946603520000005,0
2017-09-04,0,5.672383999999999,2
2017-09-05,6,2.21960448,11
2017-09-06,5,2.9915581440000008,1
2017-09-07,7,4.4608899072,13
2017-09-08,1,12.529421516800001,0
2017-09-09,3,6.611333427200002,0
2017-09-10,2,-9.8188470272,1
2017-09-11,2,-2.9224371200000006,5
2017-09-12,0,12.180576255999998,10
2017-09-13,1,2.1594799104,1
2017-09-14,0,4.895216435200001,5
2017-09-15,6,0.07433021440000154,0
2017-09-16,8,-6.615867187199999,0
2017-09-17,0,-3.089101414400001,0
2017-09-18,3,15.1216909312,4
2017-09-19,1,9.987429888000001,6
2017-09-20,1,7.820986163200001,6
2017-09-21,1,13.804318208000002,9
2017-09-22,2,-13.476014591999999,2
2017-09-23,0,-6.084807577600001,0
2017-09-24,0,-3.500695654400001,0
2017-09-25,1,11.631226879999998,12
2017-09-26,15,8.607945216000001,12
2017-09-27,0,16.4949264384,4
2017-09-28,1,-4.201396838399997,15
2017-09-29,9,2.645969817600001,0
2017-09-30,0,3.915962367999999,0
2017-10-01,3,-8.175114956800002,0
2017-10-02,8,3.4526489599999994,1
2017-10-03,23,-4.053872128,12
2017-10-04,25,-2.8531561472,13
2017-10-05,12,-2.6410590207999998,8
2017-10-06,3,-0.6140295168000005,3
2017-10-07,1,-1.358446592,0
2017-10-08,0,-0.7741822976,0
2017-10-09,3,1.5316253696,6
2017-10-10,3,22.9646518272,6
2017-10-11,6,21.978980761600003,2
2017-10-12,0,18.1282847744,3
2017-10-13,3,-2.090368716799997,7
2017-10-14,1,-14.001459711999999,0
2017-10-15,0,-6.324772556800002,0
2017-10-16,1,18.951278079999998,0
2017-10-17,0,1.8684047360000005,4
2017-10-18,3,0.37287587840000214,4
2017-10-19,3,-8.359111987199999,7
2017-10-20,1,-2.8099347455999997,0
2017-10-21,0,0.4119195647999989,0
2017-10-22,0,-3.5266502656000003,0
2017-10-23,3,25.27692032,2
2017-10-24,4,-10.027516415999997,5
2017-10-25,2,7.0021190656000005,3
2017-10-26,18,-1.2979919871999988,11
2017-10-27,1,7.624270643199999,0
2017-10-28,0,-7.6964958208,1
2017-10-29,0,-3.2093295616000006,0
2017-10-30,3,13.9658518528,3
2017-10-31,0,5.157984256000001,11
2017-11-01,0,-3.2434635776,6
2017-11-02,0,7.799790182400001,5
2017-11-03,0,16.2190705664,1
2017-11-04,0,-12.7738451968,0
2017-11-05,0,-4.843163238400001,1
2017-11-06,0,9.18098944,3
2017-11-07,3,6.216099328,12
2017-11-08,4,1.848982835200001,6
2017-11-09,3,0.6399113216000005,13
2017-11-10,0,0.5668915200000004,8
2017-11-11,13,-2.8303371264,0
2017-11-12,7,-3.9400901632000003,0
2017-11-13,1,4.040711679999999,1
2017-11-14,0,17.226866176,11
2017-11-15,6,-0.1724773375999984,0
2017-11-16,0,2.3805039616000006,9
2017-11-17,0,12.759689216000002,3
2017-11-18,0,-11.1568989184,0
2017-11-19,2,-4.3578254336,0
2017-11-20,0,16.373634969599998,0
2017-11-21,0,-5.437868031999999,8
2017-11-22,0,-4.2874364927999995,3
2017-11-23,0,10.8407119872,0
2017-11-24,0,-6.413349887999999,2
2017-11-25,0,-2.310583808,4
2017-11-26,0,-2.269671936,0
2017-11-27,20,18.762754559999998,1
2017-11-28,11,16.090668032000004,9
2017-11-29,0,8.884804812800002,11
2017-11-30,1,-1.4564513791999971,7
2017-12-01,3,-3.1383118848000002,0
2017-12-02,0,-3.4997404672000005,1
2017-12-03,0,-5.359217868800001,0
2017-12-04,1,14.959566643199999,5
2017-12-05,2,14.625807360000001,8
2017-12-06,10,14.549369344000002,4
2017-12-07,27,23.613623296000004,4
2017-12-08,2,-12.328674713599995,0
2017-12-09,7,-12.4626861056,0
2017-12-10,2,-6.207195545600002,0
2017-12-11,1,10.924364492799999,4
2017-12-12,1,7.029254144000001,7
2017-12-13,5,21.4734724096,17
2017-12-14,14,-7.375970099199996,29
2017-12-15,0,9.3637175296,3
2017-12-16,0,0.9736366079999996,0
2017-12-17,0,-10.922861568000002,0
2017-12-18,0,12.022566399999999,1
2017-12-19,6,-5.08360704,0
2017-12-20,2,2.5266063359999986,0
2017-12-21,2,2.959949107200001,0
2017-12-22,4,-6.3571941376,1
2017-12-23,0,-2.581467648,0
2017-12-24,2,-2.5426775040000007,0
2017-12-25,0,-1.4758577152000005,0
2017-12-26,0,-0.9612887040000002,0
2017-12-27,0,-0.7598662655999999,1
2017-12-28,0,-0.4370129919999999,0
2017-12-29,0,-0.3080742911999999,0
2017-12-30,0,-0.16150783999999996,0
2017-12-31,0,0.9720461312,0
2018-01-01,1,-0.4127981567999999,0
2018-01-02,0,-0.12,17
2018-01-03,7,-0.064,12
2018-01-04,2,11.9584,7
2018-01-05,13,5.170048000000001,2
2018-01-06,0,-4.462963199999999,0
2018-01-07,0,-2.38637056,1
2018-01-08,1,16.725644287999998,6
2018-01-09,0,6.947777843200001,14
2018-01-10,2,27.223321600000002,0
2018-01-11,1,7.167969280000001,5
2018-01-12,3,3.582662656,12
2018-01-13,0,-14.7906415616,0
2018-01-14,0,-6.503354880000002,0
2018-01-15,0,14.913811763199998,0
2018-01-16,0,1.4441635840000018,4
2018-01-17,11,24.6278373376,6
2018-01-18,0,22.087894016000003,3
2018-01-19,1,3.154562355200003,0
2018-01-20,0,-19.06735616,0
2018-01-21,0,-8.146087936,0
2018-01-22,1,14.029032959999997,1
2018-01-23,3,20.831165952,6
2018-01-24,2,-4.826912563199997,2
2018-01-25,3,30.743262310400002,4
2018-01-26,1,-2.1174003711999987,0
2018-01-27,2,-15.198262784,2
2018-01-28,0,-6.340316876799999,4
2018-01-29,3,13.353960959999998,4
2018-01-30,0,-10.303874047999999,6
2018-01-31,0,9.5254253568,3
2018-02-01,0,6.642169446400002,7
2018-02-02,0,8.635916185600001,2
2018-02-03,2,-12.041946214399998,5
2018-02-04,0,-3.7300666368,2
2018-02-05,1,19.841208422399998,0
2018-02-06,0,57.7339945984,1
2018-02-07,4,-11.894378291199995,11
2018-02-08,1,-3.7639635967999965,0
2018-02-09,1,18.413743615999998,0
2018-02-10,0,-20.3549882368,0
2018-02-11,0,-8.608377139200002,0
2018-02-12,0,19.642820608,0
2018-02-13,1,2.0897078272,1
2018-02-14,0,-7.440376934399998,7
2018-02-15,1,10.260468940800001,13
2018-02-16,0,9.046472704000001,0
2018-02-17,1,-8.586510848,1
2018-02-18,0,0.16434882559999942,0
2018-02-19,2,16.714764799999998,2
2018-02-20,0,8.545226240000002,11
2018-02-21,9,5.558924288,10
2018-02-22,6,11.926508851200001,3
2018-02-23,3,4.413478400000001,0
2018-02-24,1,-11.5462017024,0
2018-02-25,0,-7.592725504000001,0
2018-02-26,4,19.688879308799997,0
2018-02-27,13,5.366948966400001,0
2018-02-28,6,7.660411801600002,4
2018-03-01,0,17.7388961792,0
2018-03-02,0,-5.0087585791999985,0
2018-03-03,1,-11.34582784,0
2018-03-04,10,-5.167683072000003,1
2018-03-05,1,16.8667344896,6
2018-03-06,12,5.793016831999999,4
2018-03-07,0,12.5257950208,1
2018-03-08,0,0.5429579776000022,0
2018-03-09,0,-2.8591226879999994,2
2018-03-10,0,-8.9072928768,0
2018-03-11,0,-1.2297135104000017,0
2018-03-12,0,14.0770419712,1
2018-03-13,0,3.421835571200001,3
2018-03-14,1,13.8666821632,11
2018-03-15,2,7.899667046400003,8
2018-03-16,0,-1.5304824832000001,5
2018-03-17,0,-8.26919936,0
2018-03-18,0,-3.5138086912000004,0
2018-03-19,0,26.954845184,20
2018-03-20,0,4.025639833600003,3
2018-03-21,0,-10.222765158399998,2
2018-03-22,0,1.2165984256000009,2
2018-03-23,0,15.9954953216,1
2018-03-24,0,-6.604209356799998,0
2018-03-25,0,-7.2983776256,0
2018-03-26,0,4.3236481024,5
2018-03-27,5,13.3062303744,9
2018-03-28,11,-0.42201466879999927,0
2018-03-29,5,4.0645378048000005,0
2018-03-30,0,7.731257753600001,0
2018-03-31,0,-5.071205990399999,0
2018-04-01,0,-5.2420854784,0
2018-04-02,0,18.5172257792,11
2018-04-03,2,6.035057664000002,6
2018-04-04,3,-1.040839782399999,1
2018-04-05,1,-2.6219400192,10
2018-04-06,0,0.6482529279999998,10
2018-04-07,0,-6.0370292736,0
2018-04-08,0,0.04670597119999931,0
2018-04-09,2,3.929206784,5
2018-04-10,1,8.4809326592,8
2018-04-11,6,7.697644646400001,5
2018-04-12,7,10.227108454400001,3
2018-04-13,5,13.039434240000002,3
2018-04-14,1,-12.842232524799998,1
2018-04-15,0,0.18518282239999984,8
2018-04-16,5,7.231737343999999,1
2018-04-17,1,11.7207622656,10
2018-04-18,0,9.297081446400002,6
2018-04-19,3,-5.205421158399998,1
2018-04-20,3,17.33570048,10
2018-04-21,0,-13.6884278272,0
2018-04-22,0,-4.235696435200001,0
2018-04-23,4,23.6523942912,8
2018-04-24,4,23.0513324032,8
