,rclone/rclone,iterate-ch/cyberduck,aws/aws-cli
2017-10-09,6,28,4
2017-10-10,3,17,3
2017-10-11,1,18,4
2017-10-12,1,6,3
2017-10-13,1,11,7
2017-10-14,1,3,0
2017-10-15,0,0,0
2017-10-16,7,25,6
2017-10-17,0,23,4
2017-10-18,0,15,12
2017-10-19,1,15,9
2017-10-20,3,10,4
2017-10-21,0,2,0
2017-10-22,0,0,0
2017-10-23,2,1,3
2017-10-24,3,4,3
2017-10-25,2,5,1
2017-10-26,6,10,5
2017-10-27,0,16,2
2017-10-28,0,2,2
2017-10-29,0,6,0
2017-10-30,0,25,1
2017-10-31,1,19,2
2017-11-01,1,29,3
2017-11-02,1,4,1
2017-11-03,22,28,6
2017-11-04,9,4,0
2017-11-05,7,11,0
2017-11-06,2,31,0
2017-11-07,1,36,6
2017-11-08,0,32,3
2017-11-09,2,10,15
2017-11-10,0,12,0
2017-11-11,0,12,0
2017-11-12,0,0,0
2017-11-13,0,25,0
2017-11-14,2,17,5
2017-11-15,7,5,3
2017-11-16,1,0,3
2017-11-17,12,2,3
2017-11-18,0,2,0
2017-11-19,3,0,0
2017-11-20,47,1,4
2017-11-21,6,11,7
2017-11-22,5,37,9
2017-11-23,5,6,3
2017-11-24,4,7,0
2017-11-25,0,7,0
2017-11-26,0,2,0
2017-11-27,0,22,4
2017-11-28,5,23,5
2017-11-29,2,2,21
2017-11-30,2,2,6
2017-12-01,0,0,0
2017-12-02,0,1,0
2017-12-03,9,1,1
2017-12-04,3,2,3
2017-12-05,0,8,6
2017-12-06,1,1,12
2017-12-07,6,0,9
2017-12-08,0,8,7
2017-12-09,2,0,1
2017-12-10,7,0,0
2017-12-11,1,9,5
2017-12-12,2,22,7
2017-12-13,3,11,1
2017-12-14,4,3,5
2017-12-15,2,1,5
2017-12-16,0,0,0
2017-12-17,0,2,0
2017-12-18,2,3,1
2017-12-19,2,3,6
2017-12-20,5,0,3
2017-12-21,2,5,7
2017-12-22,1,7,3
2017-12-23,3,1,1
2017-12-24,0,0,0
2017-12-25,0,0,0
2017-12-26,0,0,0
2017-12-27,0,0,0
2017-12-28,0,0,1
2017-12-29,0,0,3
2017-12-30,0,0,0
2017-12-31,0,0,0
2018-01-01,0,0,0
2018-01-02,0,11,3
2018-01-03,0,1,1
2018-01-04,0,0,0
2018-01-05,3,17,7
2018-01-06,8,1,1
2018-01-07,3,0,0
2018-01-08,1,26,3
2018-01-09,0,7,6
2018-01-10,4,30,0
2018-01-11,3,0,3
2018-01-12,3,8,4
2018-01-13,0,0,0
2018-01-14,0,2,0
2018-01-15,1,6,8
2018-01-16,7,0,10
2018-01-17,0,10,7
