,ethereum/go-ethereum,NethermindEth/nethermind,hyperledger/besu
2019-05-16,15,0,1.1993218048000003
2019-05-17,4,0,4.0288130048
2019-05-18,0,0,-3.067192832
2019-05-19,0,0,-1.0238287872000003
2019-05-20,2,0,3.498807808
2019-05-21,1,4,2.1102057472
2019-05-22,0,0,8.7596077056
2019-05-23,0,106,-2.135234559999999
2019-05-24,0,11,-0.8485264383999995
2019-05-25,3,12,-3.0043763712000002
2019-05-26,2,0,0.4971106303999995
2019-05-27,13,7,0.24755333119999978
2019-05-28,4,10,4.2594040832
2019-05-29,0,10,0.6900751360000008
2019-05-30,2,10,-0.9194311679999996
2019-05-31,3,10,2.9235835904000003
2019-06-01,0,15,-1.9480901631999998
2019-06-02,0,31,-1.5951739904000002
2019-06-03,4,4,2.1521602559999997
2019-06-04,5,9,0.2101121024000001
2019-06-05,5,6,0.4127007744000002
2019-06-06,4,14,9.4490790912
2019-06-07,7,1,-2.0891200511999983
2019-06-08,1,2,-1.9408014336
2019-06-09,0,3,-1.7551400959999999
2019-06-10,1,27,5.0566597632
2019-06-11,5,15,4.953593344
2019-06-12,8,14,-1.4094982143999992
2019-06-13,3,9,1.0991745024000004
2019-06-14,0,12,3.0080159744
2019-06-15,0,6,-3.7891294207999997
2019-06-16,0,0,-1.5317453824000002
2019-06-17,2,5,0.053016883199999754
2019-06-18,4,9,2.923803648
2019-06-19,2,12,1.7552888832000004
2019-06-20,5,3,7.496886169600001
2019-06-21,2,20,0.013159321600000773
2019-06-22,0,4,-3.7944788991999996
2019-06-23,0,3,-1.6259601408000002
2019-06-24,5,6,0.03396863999999944
2019-06-25,2,19,3.911989248
2019-06-26,1,18,0.35370475520000033
2019-06-27,2,8,3.7256629248000004
2019-06-28,1,15,-1.4162025471999993
2019-06-29,0,10,-1.153712128
2019-06-30,0,22,-0.38551398400000014
2019-07-01,1,10,0.8793574399999997
2019-07-02,5,7,6.5771898879999995
2019-07-03,6,9,5.1130284032
2019-07-04,1,11,-3.025159679999999
2019-07-05,2,0,0.3058149376000001
2019-07-06,0,0,-1.5571381248000002
2019-07-07,0,7,-0.6070649856000006
2019-07-08,10,4,1.6868314112
2019-07-09,6,8,1.0345531392000002
2019-07-10,6,0,-1.1135594495999999
2019-07-11,1,35,14.6320306176
2019-07-12,1,9,-3.090321715199999
2019-07-13,1,1,2.0889467904
2019-07-14,0,0,-0.17626634239999994
2019-07-15,0,7,11.5764928512
2019-07-16,0,8,-2.6459721727999987
2019-07-17,3,3,6.1049486336
2019-07-18,6,2,-4.745443942399999
2019-07-19,1,0,-0.6503589888000003
2019-07-20,0,6,-3.2687495168000003
2019-07-21,0,8,3.3445828607999997
2019-07-22,12,27,2.8675418112
2019-07-23,7,9,1.1923196928000004
2019-07-24,2,5,2.3543905280000006
2019-07-25,4,0,3.071665664
2019-07-26,0,4,0.5344371712000004
2019-07-27,0,2,1.2024085504000004
2019-07-28,0,5,-3.7153864704
2019-07-29,0,20,10.30827008
2019-07-30,1,20,8.077778944
2019-07-31,2,17,-2.821293260799999
2019-08-01,1,1,-1.9960949760000002
2019-08-02,1,7,1.4152522751999999
2019-08-03,1,10,-2.8790424576
2019-08-04,0,0,-2.2346557440000003
2019-08-05,1,26,-0.320482304
2019-08-06,1,11,-0.31572838400000025
2019-08-07,1,10,7.7621397504
2019-08-08,6,37,-3.238832435199999
2019-08-09,0,16,0.19012607999999998
2019-08-10,0,0,-1.7000955904
2019-08-11,0,0,-0.8104616960000004
2019-08-12,6,7,2.5067000831999997
2019-08-13,4,2,3.446652928
2019-08-14,1,38,7.3638438912
2019-08-15,5,15,-3.005496524799999
2019-08-16,0,5,-1.6118802432
2019-08-17,0,8,-1.6209655808
2019-08-18,0,20,-0.9082459136000005
2019-08-19,6,10,2.3833523199999997
2019-08-20,0,8,0.33154406400000025
2019-08-21,4,12,-0.5337570303999999
2019-08-22,15,1,4.892747776
2019-08-23,5,66,0.050536448000000345
2019-08-24,0,17,-2.1978080255999997
2019-08-25,0,0,-0.9271917568000001
2019-08-26,1,15,2.4274099199999997
2019-08-27,2,11,2.390316544
2019-08-28,0,4,1.7252883456
2019-08-29,0,2,-1.4918649855999995
2019-08-30,2,0,0.5803558912
2019-08-31,0,6,-1.5545120768
2019-09-01,0,3,-0.6974920704000003
2019-09-02,2,3,0.5636275199999998
2019-09-03,4,2,2.276045824
2019-09-04,2,12,0.42463324160000027
2019-09-05,0,2,0.5998875648000004
2019-09-06,0,0,-1.3766894591999999
2019-09-07,0,0,-0.5658615808000002
2019-09-08,0,0,-0.34961551360000015
2019-09-09,0,1,0.7696358399999998
2019-09-10,8,0,1.4239022080000001
2019-09-11,2,2,5.9390671872
2019-09-12,6,0,3.7905529856000006
2019-09-13,2,0,5.1344922624
2019-09-14,0,0,-5.026748313599999
2019-09-15,0,0,-0.9020672000000005
2019-09-16,5,0,3.4588390399999995
2019-09-17,4,3,1.0832967679999999
2019-09-18,2,1,3.1339860992000004
2019-09-19,10,4,-1.7085490175999993
2019-09-20,3,2,-1.3749641215999997
2019-09-21,0,0,-1.5891117056000001
2019-09-22,0,4,1.1342220287999996
2019-09-23,1,2,3.674226688
2019-09-24,3,0,3.3586578432000005
2019-09-25,2,0,4.561284608000001
2019-09-26,6,5,-3.525031219199999
2019-09-27,1,0,-2.1373749248
2019-09-28,0,0,-1.1180384256000004
2019-09-29,0,0,3.2591327231999996
2019-09-30,2,3,8.858840576
2019-10-01,0,2,-4.305255833599999
2019-10-02,3,13,1.6991472640000005
2019-10-03,2,3,1.1931948032000004
2019-10-04,0,0,-1.8389489664000003
2019-10-05,0,1,-0.6117229568000002
2019-10-06,0,0,-1.29842944
2019-10-07,0,0,3.244129792
2019-10-08,0,0,-0.15353681919999973
2019-10-09,0,0,0.32717752320000026
2019-10-10,0,0,0.5041815552000002
2019-10-11,0,0,-0.48754923519999993
2019-10-12,0,0,-1.0557268992000002
2019-10-13,0,0,-0.5109106688000001
2019-10-14,0,5,0.6606892031999998
2019-10-15,1,1,4.355205632
2019-10-16,2,2,-0.3141235711999997
2019-10-17,2,0,4.4203879424
2019-10-18,2,6,-3.075878297599999
2019-10-19,0,0,-1.1267040256000003
2019-10-20,2,1,-0.6527213568000002
2019-10-21,1,0,1.5573094399999996
2019-10-22,0,0,2.867353088
2019-10-23,0,0,-1.1030970367999995
2019-10-24,1,2,3.7874744320000002
2019-10-25,0,6,-2.5757305855999997
2019-10-26,0,0,-0.9670929408000002
2019-10-27,0,0,-0.5273344000000002
2019-10-28,3,0,1.6334540799999997
2019-10-29,5,3,0.9234831360000002
2019-10-30,3,4,0.7405942784000001
2019-10-31,4,2,3.6737988608000003
2019-11-01,0,6,-2.5397767167999996
2019-11-02,2,1,-0.9350947840000001
2019-11-03,0,2,-0.5090304000000001
2019-11-04,3,1,3.6494284799999996
2019-11-05,2,2,2.1372610560000003
2019-11-06,3,0,3.7125351424
2019-11-07,3,0,-3.283760537599999
2019-11-08,1,9,2.7562251264
2019-11-09,0,0,-2.334198784
2019-11-10,0,0,0.05873919999999966
2019-11-11,0,2,0.99895296
2019-11-12,0,2,2.641715712
2019-11-13,4,1,1.7541531648000004
2019-11-14,7,1,1.5164203008000001
2019-11-15,1,0,-1.5994231807999997
2019-11-16,0,1,-1.445890048
2019-11-17,2,1,1.2223024127999997
2019-11-18,10,4,-0.29395763200000014
2019-11-19,12,18,1.9901473792
2019-11-20,18,6,3.2704937984000004
2019-11-21,13,2,1.2845390848000005
2019-11-22,4,8,-1.6236900351999997
2019-11-23,2,0,-1.4670267392
2019-11-24,2,0,-0.7463584768000003
2019-11-25,6,0,-0.49773158400000034
2019-11-26,5,2,4.6279122944
2019-11-27,6,1,0.7280771072000003
2019-11-28,3,0,-0.010618470399999858
2019-11-29,6,1,2.3770158080000003
2019-11-30,0,1,-2.3063483392
2019-12-01,0,0,0.1046418431999998
2019-12-02,3,3,1.056128
2019-12-03,0,1,-1.3070464
2019-12-04,0,10,3.39937536
2019-12-05,3,19,0.9923481600000006
2019-12-06,3,30,-1.9353401343999996
2019-12-07,0,9,-0.7850863616
2019-12-08,0,17,-0.4738895872000002
