,facebook/react,angular/angular,jquery/jquery
2015-02-01,1,-0.5053855432671865,0
2015-02-02,20,-0.3375219112859366,0
2015-02-03,11,-0.2648968917656242,0
2015-02-04,12,-0.22170168842656185,1
2015-02-05,11,21.816963648348437,2
2015-02-06,14,15.707113405773436,0
2015-02-07,2,1.1656668163609352,0
2015-02-08,1,-1.8537977050718764,0
2015-02-09,12,0.8524250000000011,0
2015-02-10,8,7.9595065000000025,1
2015-02-11,9,4.347684225000001,2
2015-02-12,13,1.3925554575000008,0
2015-02-13,10,5.669337531156251,0
2015-02-14,8,1.374424824928126,6
2015-02-15,1,1.814697627290626,0
2015-02-16,2,1.0325710848562504,0
2015-02-17,19,14.18856028271875,1
2015-02-18,9,12.9407345127875,0
2015-02-19,20,7.399247522832812,3
2015-02-20,20,4.6115847844874995,0
2015-02-21,2,6.915387125032813,0
2015-02-22,12,-2.1987907705484364,0
2015-02-23,3,2.6736046733453147,0
2015-02-24,10,4.629526185110939,0
2015-02-25,2,11.46287228094375,0
2015-02-26,8,23.69837071672656,0
2015-02-27,5,2.143570095554686,0
2015-02-28,3,0.4202480172812497,0
2015-03-01,3,-1.8738678348921867,0
2015-03-02,10,8.748320717176565,0
2015-03-03,14,6.095547907937502,0
2015-03-04,3,0.013876335512501337,2
2015-03-05,8,-0.4355396119187489,1
2015-03-06,9,-0.08863443637343593,0
2015-03-07,1,1.1624713672218767,0
2015-03-08,2,-0.654477179262499,2
2015-03-09,7,3.5871743798921885,2
2015-03-10,46,5.29546402484375,0
2015-03-11,69,6.966673815515625,0
2015-03-12,3,6.67318334493125,0
2015-03-13,5,17.5225662606625,0
2015-03-14,12,2.283403441948436,0
2015-03-15,0,-1.9251840285671875,0
2015-03-16,21,0.7991214349281259,3
2015-03-17,13,10.925846970437503,2
2015-03-18,2,13.0154182917625,0
2015-03-19,7,12.356648823159375,0
2015-03-20,7,-0.9786526156625008,1
2015-03-21,2,12.112859251165625,0
2015-03-22,1,-0.6545822882609365,0
2015-03-23,10,2.3391854448203144,1
2015-03-24,13,12.47823258146875,1
2015-03-25,25,1.5460384074906264,2
2015-03-26,21,16.152000105584378,1
2015-03-27,10,10.030153449226562,0
2015-03-28,6,2.095502813429688,1
2015-03-29,3,-2.1318740297906245,0
2015-03-30,15,0.6027444784656273,4
2015-03-31,5,9.835755245365627,0
2015-04-01,14,9.048326947637502,0
2015-04-02,14,15.740766367434375,0
2015-04-03,2,6.934321841825,0
2015-04-04,1,0.2859431039000002,0
2015-04-05,7,-1.8509224230453116,0
2015-04-06,0,6.821826957320315,0
2015-04-07,8,4.3318240777187516,0
2015-04-08,19,6.3358489680062515,0
2015-04-09,18,3.124704271432813,0
2015-04-10,7,32.38865998782344,0
2015-04-11,1,1.6139474354468728,0
2015-04-12,0,-1.75249006440625,0
2015-04-13,8,22.23583529739219,3
2015-04-14,4,13.352486468375002,0
2015-04-15,2,6.2403951691187505,0
2015-04-16,3,22.803720474409374,0
2015-04-17,7,13.382293117134376,0
2015-04-18,8,1.5598944047890635,0
2015-04-19,2,-3.301562610565623,0
2015-04-20,8,12.968643149268754,1
2015-04-21,3,12.979788173839065,0
2015-04-22,11,-1.5064595696281233,1
2015-04-23,2,4.791983549232814,0
2015-04-24,5,2.8326392287343767,0
2015-04-25,2,0.09848677228437763,0
2015-04-26,4,-1.3297124112406233,0
2015-04-27,8,28.163238241034378,3
2015-04-28,6,20.479522389765624,0
2015-04-29,11,9.779693973710936,1
2015-04-30,3,4.364282297143748,2
2015-05-01,5,11.121219097568751,0
2015-05-02,3,-3.2511066753296856,0
2015-05-03,2,-1.9769062512109343,6
2015-05-04,6,6.555662303678128,4
2015-05-05,9,5.053793037546878,10
2015-05-06,1,15.980551416582815,0
2015-05-07,7,18.04845341191875,1
2015-05-08,7,28.375757812871875,0
2015-05-09,0,-3.132718702506253,0
2015-05-10,2,-0.9461222855031242,0
2015-05-11,6,12.893102342500002,2
2015-05-12,3,24.962229647125003,7
2015-05-13,13,13.300681193603126,1
2015-05-14,7,7.553767876717187,0
2015-05-15,2,5.116392776025001,0
2015-05-16,12,-1.304374587254685,0
2015-05-17,1,-2.277711487181247,0
2015-05-18,4,22.544572375146878,0
2015-05-19,6,39.45577437969375,3
2015-05-20,10,21.682098015023435,0
2015-05-21,7,3.8897865272124976,0
2015-05-22,16,28.626433606915626,0
2015-05-23,0,-1.0323779400718731,0
2015-05-24,1,-3.9521848488546834,0
2015-05-25,0,-2.6724069525718708,0
2015-05-26,3,5.939265198875006,0
2015-05-27,7,15.50958120946563,0
2015-05-28,6,16.58506945151719,0
2015-05-29,3,20.1992469600875,3
2015-05-30,1,2.566488663874999,0
2015-05-31,2,-3.1758626987640617,0
2015-06-01,8,8.150358137320314,4
2015-06-02,12,30.656599205000003,0
2015-06-03,4,15.179087213375,0
2015-06-04,27,13.34000007043125,0
2015-06-05,8,13.451946596540624,1
2015-06-06,2,-2.4983024368437476,0
2015-06-07,2,-1.8682735269718718,0
2015-06-08,15,11.99866465724844,0
2015-06-09,7,21.110958143593752,0
2015-06-10,11,13.751540495125,0
2015-06-11,13,18.762972848501562,1
2015-06-12,8,23.3343910075,0
2015-06-13,5,0.5717071150718747,7
2015-06-14,1,2.3600951570718767,0
2015-06-15,11,13.069094934412503,0
2015-06-16,13,17.364244580245316,6
2015-06-17,16,9.584119732121877,2
2015-06-18,11,6.980831041106251,0
2015-06-19,4,13.483353384993752,1
2015-06-20,2,2.1075988747359395,0
2015-06-21,2,-1.8759588765999977,0
2015-06-22,13,5.1308736041906275,1
2015-06-23,3,3.934731330284378,1
2015-06-24,15,13.023130151096877,0
2015-06-25,8,7.257019843276563,1
2015-06-26,10,13.502845460075001,0
2015-06-27,7,-3.049065139160938,3
2015-06-28,1,-1.715056154954686,0
2015-06-29,8,20.87903437301875,0
2015-06-30,5,4.968863091354688,0
2015-07-01,4,17.53790458540469,1
2015-07-02,17,0.49755302704999904,0
2015-07-03,8,6.6182599418046895,0
2015-07-04,8,-2.406950033609374,0
2015-07-05,8,-1.485129915574997,0
2015-07-06,6,5.9891575825000025,1
2015-07-07,6,14.487077793656251,1
2015-07-08,10,25.404106015084373,3
2015-07-09,23,8.859110021899998,0
2015-07-10,11,5.533268930968749,0
2015-07-11,8,1.1538725227156252,1
2015-07-12,5,1.820358239676565,1
2015-07-13,13,7.155370426250003,1
2015-07-14,5,7.797506068890627,1
2015-07-15,9,12.559684616498439,0
2015-07-16,4,14.981412431237501,0
2015-07-17,14,12.477523243540624,0
2015-07-18,2,-3.481498485107813,0
2015-07-19,2,-1.9808008223859361,0
2015-07-20,9,5.626991696543753,2
2015-07-21,14,5.251221122715627,0
2015-07-22,8,9.152537528270315,0
2015-07-23,13,12.74770804690625,0
2015-07-24,8,16.185150937679687,0
2015-07-25,4,0.5497728961031241,0
2015-07-26,1,-2.2491204780749996,0
2015-07-27,11,11.621488288750001,3
2015-07-28,7,15.662245047640628,2
2015-07-29,5,8.780900744889063,0
2015-07-30,6,8.974505907826563,2
2015-07-31,7,20.979047148120312,0
2015-08-01,5,-4.215598270335937,0
2015-08-02,1,-2.3290091127453105,0
2015-08-03,6,8.459919313606253,2
2015-08-04,3,11.828680248296878,0
2015-08-05,3,-0.8092852222484361,0
2015-08-06,11,3.1699882431656263,0
2015-08-07,5,12.322520303381252,0
2015-08-08,5,-0.46286824280624916,0
2015-08-09,1,0.42734791413750095,0
2015-08-10,6,8.8802488625,1
2015-08-11,14,5.2058223473437515,0
2015-08-12,11,11.220098137421875,0
2015-08-13,8,10.649984282215625,0
2015-08-14,13,3.43036645735,0
2015-08-15,2,0.9142329376015628,0
2015-08-16,0,-0.6124578290343736,2
2015-08-17,7,5.876864368896877,0
2015-08-18,2,14.474764378521876,0
2015-08-19,16,21.43152106978125,0
2015-08-20,12,11.205117086795312,0
2015-08-21,6,7.463624382829686,0
2015-08-22,13,-1.1154553123109374,0
2015-08-23,0,7.941406161987502,0
2015-08-24,3,8.576747555626564,0
2015-08-25,5,10.35519676635469,0
2015-08-26,1,0.025826876498438622,0
2015-08-27,1,7.887432765800002,0
2015-08-28,9,8.612593160153127,0
2015-08-29,4,-2.4664384987109362,0
2015-08-30,1,-1.418748353926561,0
2015-08-31,5,23.025907093521877,0
2015-09-01,18,6.838600942718751,0
2015-09-02,4,1.3610390891515625,0
2015-09-03,7,11.072390877985937,0
2015-09-04,9,12.496189653485938,0
2015-09-05,3,10.01833303146875,0
2015-09-06,0,-2.9975931778953124,0
2015-09-07,0,-1.7434483349999983,12
2015-09-08,5,4.716820225125002,15
2015-09-09,26,10.376899711481252,0
2015-09-10,15,6.856572233828126,0
2015-09-11,1,34.893504914403124,2
2015-09-12,3,2.032097170548435,0
2015-09-13,2,-1.2165213572421876,0
2015-09-14,11,10.862979342032812,4
2015-09-15,6,28.276430422500002,0
2015-09-16,10,10.20805040440625,0
2015-09-17,2,12.828307149846875,0
2015-09-18,4,1.751152103678125,0
2015-09-19,4,-2.1761524031515593,0
2015-09-20,3,0.7649139600609414,0
2015-09-21,0,11.260817217467192,0
2015-09-22,13,10.456019704475002,0
2015-09-23,11,15.11617455729844,0
2015-09-24,19,8.494941714901563,0
2015-09-25,15,12.934168950695312,0
2015-09-26,12,-3.3819003549546873,0
2015-09-27,4,-0.9077914294812479,0
2015-09-28,7,1.5535204946671899,0
2015-09-29,1,8.600280096939066,0
2015-09-30,12,0.987428165329689,0
2015-10-01,21,8.518706227751563,0
2015-10-02,5,20.058397508165626,0
2015-10-03,2,17.74248349881875,0
2015-10-04,0,-3.7831163743250014,0
2015-10-05,3,7.9985552232343755,0
2015-10-06,9,15.598230708417189,0
2015-10-07,30,15.67573809848594,0
2015-10-08,16,14.153353548093751,0
2015-10-09,22,8.984031732235938,2
2015-10-10,5,3.2879484670468764,0
2015-10-11,4,5.001981545881252,0
2015-10-12,14,3.3121276592453155,12
2015-10-13,15,19.736338099843753,1
2015-10-14,11,2.243930136609376,0
2015-10-15,9,16.257112762056252,0
2015-10-16,12,-1.6180689712140621,0
2015-10-17,2,-2.2357948885999974,3
2015-10-18,3,1.5460715809234398,14
2015-10-19,11,2.6622470756234407,0
2015-10-20,1,1.669822659118752,1
2015-10-21,7,5.824730083440626,2
2015-10-22,0,-0.4902763876343743,0
2015-10-23,9,1.1141212949875008,1
2015-10-24,8,-0.7891553617140619,0
2015-10-25,0,-0.41421459382187414,1
2015-10-26,12,15.696954488453125,1
2015-10-27,8,31.153673264079686,0
2015-10-28,5,29.79464826455937,0
2015-10-29,14,35.529407530032806,2
2015-10-30,21,6.008352326732809,4
2015-10-31,6,-2.0812659785671865,0
2015-11-01,2,-0.5152676550718716,0
2015-11-02,8,6.187522447500006,1
2015-11-03,12,12.983407340500005,1
2015-11-04,23,2.271030594909378,2
2015-11-05,23,20.084729765032815,3
2015-11-06,0,9.878121341387502,2
2015-11-07,1,1.3768411005734382,2
2015-11-08,1,-2.456972223264062,0
2015-11-09,7,3.4397250370953154,2
2015-11-10,10,4.329757160251566,3
2015-11-11,3,3.2480818539265646,1
2015-11-12,12,7.375701542581251,2
2015-11-13,1,13.109101375425,1
2015-11-14,1,0.3653427782046874,0
2015-11-15,0,-1.6627485630812497,0
2015-11-16,3,9.994518931070314,1
2015-11-17,5,10.179297944921876,2
