,twbs/bootstrap,mui/material-ui,ant-design/ant-design
2017-01-02,15,1.2953044992000002,4
2017-01-03,6,1.229922304,7
2017-01-04,20,1.2286108672,10
2017-01-05,7,1.2039781376,13
2017-01-06,8,12.1759031296,6
2017-01-07,0,1.9535559679999999,8
2017-01-08,1,-2.355840102400001,14
2017-01-09,0,-0.25822781440000075,29
2017-01-10,3,0.9437028351999999,9
2017-01-11,3,5.8916068352,10
2017-01-12,1,3.9111780352,8
2017-01-13,0,3.7344945151999998,14
2017-01-14,1,-0.4053485567999999,12
2017-01-15,7,0.29125908480000007,6
2017-01-16,13,-1.3484830720000003,9
2017-01-17,0,-0.8020587520000004,7
2017-01-18,2,0.40127938559999987,0
2017-01-19,0,2.3319421952000003,14
2017-01-20,0,2.9528983552000003,16
2017-01-21,13,-1.3238534143999994,3
2017-01-22,6,0.3649550335999999,12
2017-01-23,3,5.4279498752,13
2017-01-24,8,2.4636244992000003,9
2017-01-25,2,-1.5083571200000003,9
2017-01-26,2,-0.7884830720000005,8
2017-01-27,0,-0.5424753664,11
2017-01-28,2,0.5969963008000002,0
2017-01-29,0,12.5084790784,0
2017-01-30,0,-1.8776632319999997,9
2017-01-31,0,2.5454974975999995,13
2017-02-01,0,1.3300330496000001,1
2017-02-02,0,-0.48021340160000014,0
2017-02-03,0,-1.0179968000000006,5
2017-02-04,3,-0.6664371200000004,5
2017-02-05,5,-0.5058078720000002,1
2017-02-06,0,5.591640473600001,7
2017-02-07,0,8.468981452800001,13
2017-02-08,4,-2.6212291584,13
2017-02-09,2,4.8020327424,16
2017-02-10,0,7.0666042368,12
2017-02-11,0,12.2183146496,0
2017-02-12,2,-0.38593279999999996,0
2017-02-13,2,-0.9394483200000012,16
2017-02-14,0,5.848790527999999,7
2017-02-15,0,7.9729099776000005,15
2017-02-16,0,0.13644697600000022,21
2017-02-17,0,0.22155724799999899,13
2017-02-18,0,-1.3077935103999998,9
2017-02-19,0,0.35750768640000063,20
2017-02-20,0,-1.4811709439999996,42
2017-02-21,1,-0.8497273856000002,21
2017-02-22,1,2.3858424832000003,20
2017-02-23,0,-0.07974891519999905,16
2017-02-24,0,-0.7569946623999997,22
2017-02-25,2,6.6251751424,9
2017-02-26,2,5.365550796800001,12
2017-02-27,2,0.8885472256,20
2017-02-28,0,0.39223889919999944,17
2017-03-01,0,2.7175910399999994,14
2017-03-02,1,0.421958144,21
2017-03-03,7,1.7096506367999997,11
2017-03-04,2,-1.3697659904000004,0
2017-03-05,11,2.198040576,13
2017-03-06,0,-1.1929811967999995,22
2017-03-07,1,-0.6378892287999999,9
2017-03-08,2,1.6046440448000001,13
2017-03-09,1,1.3215706112000003,10
2017-03-10,0,-0.7660409855999999,22
2017-03-11,0,5.6146117632,3
2017-03-12,2,3.5486117888,2
2017-03-13,3,0.35856486399999987,13
2017-03-14,0,-1.2173376512000003,12
2017-03-15,1,-0.6763110400000004,5
2017-03-16,0,-0.47984486400000015,11
2017-03-17,0,-0.37116692479999996,15
2017-03-18,10,4.7202849792,13
2017-03-19,10,10.788182528,10
2017-03-20,19,0.019391897600000707,12
2017-03-21,3,4.1088778239999995,12
2017-03-22,2,-2.2089387008,9
2017-03-23,2,-0.1548800000000008,8
2017-03-24,16,-0.9973760000000005,18
2017-03-25,0,5.3120128,2
2017-03-26,16,0.2624384000000002,1
2017-03-27,2,1.6780477440000006,53
2017-03-28,11,3.6321083392,18
2017-03-29,0,1.3182368768000003,11
2017-03-30,1,2.5438411776,12
2017-03-31,1,-0.5688325120000002,7
2017-04-01,0,6.936504729599999,16
2017-04-02,5,2.7180538880000005,10
2017-04-03,2,-2.1555236864000005,2
2017-04-04,0,0.8662341631999995,4
2017-04-05,0,2.8238220288,17
2017-04-06,0,5.474066432000001,8
2017-04-07,3,-1.2189960191999996,5
2017-04-08,18,7.6789771263999995,4
2017-04-09,16,-2.613676646399999,3
2017-04-10,5,2.6821050368,14
2017-04-11,3,0.37773260799999986,10
2017-04-12,5,-0.2874199040000003,21
2017-04-13,3,6.9967706112,19
2017-04-14,1,2.7382226944000005,4
2017-04-15,0,-1.1113576448,8
2017-04-16,8,5.7076540416,1
2017-04-17,1,-1.2351246336,2
2017-04-18,3,0.7078789119999995,0
2017-04-19,2,0.7637100543999997,7
