,golang/go,swiftlang/swift,rust-lang/rust
2019-06-01,0,36,64
2019-06-02,2,39,54
2019-06-03,6,41,84
2019-06-04,4,40,96
2019-06-05,11,61,64
2019-06-06,18,41,68
2019-06-07,12,17,44
2019-06-08,0,19,84
2019-06-09,2,12,71
2019-06-10,10,56,61
2019-06-11,6,65,93
2019-06-12,7,112,100
2019-06-13,11,66,44
2019-06-14,4,100,61
2019-06-15,3,22,85
2019-06-16,1,3,70
2019-06-17,4,48,30
2019-06-18,7,71,54
2019-06-19,11,49,65
2019-06-20,7,61,64
2019-06-21,9,37,75
2019-06-22,0,25,72
2019-06-23,2,15,44
2019-06-24,7,71,64
2019-06-25,15,50,52
2019-06-26,17,91,85
2019-06-27,8,69,29
2019-06-28,3,76,22
2019-06-29,1,30,52
2019-06-30,1,20,61
2019-07-01,2,64,43
2019-07-02,3,48,110
2019-07-03,6,41,91
2019-07-04,0,24,70
2019-07-05,5,19,61
2019-07-06,1,21,111
2019-07-07,0,13,86
2019-07-08,5,38,47
2019-07-09,2,70,77
2019-07-10,6,45,97
2019-07-11,2,41,56
2019-07-12,3,59,50
2019-07-13,0,53,49
2019-07-14,1,7,45
2019-07-15,6,17,81
2019-07-16,4,98,44
2019-07-17,4,54,48
2019-07-18,7,47,60
2019-07-19,3,53,57
2019-07-20,0,10,61
2019-07-21,0,4,38
2019-07-22,2,36,69
2019-07-23,4,53,62
2019-07-24,0,47,75
2019-07-25,0,60,64
2019-07-26,0,36,81
2019-07-27,2,15,69
2019-07-28,1,7,129
2019-07-29,3,27,71
2019-07-30,6,42,82
2019-07-31,5,46,61
2019-08-01,5,31,82
2019-08-02,8,59,103
2019-08-03,1,10,60
2019-08-04,0,2,69
2019-08-05,6,35,95
2019-08-06,5,58,88
2019-08-07,1,70,42
2019-08-08,5,42,84
2019-08-09,4,59,93
2019-08-10,1,29,91
2019-08-11,2,11,74
2019-08-12,2,66,101
2019-08-13,1,90,67
2019-08-14,2,48,81
2019-08-15,3,56,91
2019-08-16,3,39,70
2019-08-17,0,30,73
2019-08-18,1,2,46
2019-08-19,1,74,108
2019-08-20,2,84,72
2019-08-21,4,65,85
2019-08-22,3,66,81
2019-08-23,4,71,42
2019-08-24,1,31,80
2019-08-25,3,24,62
2019-08-26,13,103,68
2019-08-27,32,109,55
2019-08-28,46,100,59
2019-08-29,24,91,71
2019-08-30,13,86,63
2019-08-31,9,30,47
2019-09-01,10,21,34
2019-09-02,10,11,36
2019-09-03,16,61,65
2019-09-04,11,61,62
2019-09-05,2,51,123
2019-09-06,18,77,66
2019-09-07,7,50,79
2019-09-08,2,7,45
2019-09-09,10,24,82
2019-09-10,14,53,64
2019-09-11,22,43,45
2019-09-12,19,49,42
2019-09-13,4,77,47
2019-09-14,1,82,68
2019-09-15,2,7,56
2019-09-16,16,28,95
2019-09-17,12,60,87
2019-09-18,24,70,56
2019-09-19,12,44,72
2019-09-20,6,62,46
2019-09-21,5,56,49
2019-09-22,1,0,56
2019-09-23,12,89,74
2019-09-24,15,94,70
2019-09-25,23,68,119
2019-09-26,30,70,84
2019-09-27,11,42,57
2019-09-28,4,21,128
2019-09-29,3,10,63
2019-09-30,10,29,100
2019-10-01,14,42,82
2019-10-02,11,73,132
2019-10-03,20,58,82
2019-10-04,26,30,78
2019-10-05,7,8,34
2019-10-06,2,4,55
2019-10-07,13,9,84
2019-10-08,17,72,83
2019-10-09,24,44,50
2019-10-10,12,78,59
2019-10-11,22,65,101
2019-10-12,5,35,39
2019-10-13,2,15,78
2019-10-14,21,88,66
2019-10-15,20,68,113
2019-10-16,14,65,66
2019-10-17,29,61,91
2019-10-18,11,36,112
2019-10-19,3,23,60
2019-10-20,7,9,55
2019-10-21,33,45,65
2019-10-22,37,51,98
2019-10-23,14,26,88
2019-10-24,18,33,103
2019-10-25,26,34,138
2019-10-26,16,14,65
2019-10-27,3,8,63
2019-10-28,22,27,80
2019-10-29,24,68,87
2019-10-30,12,84,57
2019-10-31,18,60,64
2019-11-01,24,45,69
2019-11-02,21,32,37
2019-11-03,6,25,65
2019-11-04,21,53,83
2019-11-05,36,90,100
2019-11-06,19,99,102
2019-11-07,43,49,111
2019-11-08,45,57,76
2019-11-09,6,38,51
2019-11-10,8,24,51
2019-11-11,27,74,85
2019-11-12,30,76,93
2019-11-13,13,73,89
2019-11-14,6,67,86
2019-11-15,18,62,150
2019-11-16,3,58,59
2019-11-17,0,32,74
2019-11-18,14,49,84
2019-11-19,22,77,73
2019-11-20,12,54,59
2019-11-21,7,94,76
2019-11-22,15,54,101
2019-11-23,4,9,84
2019-11-24,1,10,95
2019-11-25,9,1,84
2019-11-26,4,7,99
2019-11-27,10,6,114
2019-11-28,1,2,74
2019-11-29,0,1,70
2019-11-30,0,4,72
2019-12-01,0,6,51
2019-12-02,5,55,153
2019-12-03,4,58,112
2019-12-04,8,70,87
2019-12-05,13,45,53
2019-12-06,17,47,117
2019-12-07,2,30,47
2019-12-08,0,12,67
2019-12-09,10,31,56
2019-12-10,6,30,44
2019-12-11,8,84,51
2019-12-12,4,77,85
2019-12-13,4,77,74
2019-12-14,0,26,29
2019-12-15,1,15,47
2019-12-16,4,33,59
2019-12-17,5,51,24
2019-12-18,7,47,70
2019-12-19,5,84,67
2019-12-20,10,67,148
2019-12-21,0,10,111
2019-12-22,0,5,92
2019-12-23,2,6,133
2019-12-24,5,2,47
2019-12-25,0,2,71
2019-12-26,2,2,84
2019-12-27,8,8,65
2019-12-28,0,6,35
2019-12-29,0,0,36
2019-12-30,3,2,119
2019-12-31,1,1,131
2020-01-01,0,4,30
2020-01-02,5,66,35
2020-01-03,11,40,65
2020-01-04,4,26,82
2020-01-05,0,13,50
2020-01-06,22,38,51
2020-01-07,13,35,126
2020-01-08,4,36,107
2020-01-09,16,64,105
2020-01-10,14,86,118
2020-01-11,0,31,130
2020-01-12,0,19,67
2020-01-13,6,52,71
2020-01-14,4,101,71
2020-01-15,6,46,111
2020-01-16,3,68,86
2020-01-17,2,75,49
2020-01-18,3,35,55
2020-01-19,4,35,52
2020-01-20,1,22,71
2020-01-21,3,63,48
2020-01-22,7,100,35
2020-01-23,11,88,52
2020-01-24,6,99,45
2020-01-25,7,27,43
2020-01-26,1,26,36
2020-01-27,5,70,54
2020-01-28,8,69,63
2020-01-29,9,84,77
2020-01-30,6,40,58
2020-01-31,25,54,44
2020-02-01,1,34,68
2020-02-02,1,33,99
2020-02-03,0,71,89
2020-02-04,11,75,62
2020-02-05,20,59,83
2020-02-06,4,57,120
2020-02-07,14,62,92
2020-02-08,3,48,78
2020-02-09,0,23,103
2020-02-10,3,18,80
2020-02-11,2,58,108
2020-02-12,5,70,145
