,hapijs/hapi,expressjs/express,balderdashy/sails
2014-01-05,2.7542480895999994,3,16
2014-01-06,0.7898839039999999,0,31
2014-01-07,1.1481724927999997,0,14
2014-01-08,3.2933408768000003,0,2
2014-01-09,6.9724875776,0,14
2014-01-10,-1.904097792,0,0
2014-01-11,-1.7214383104000004,5,1
2014-01-12,-1.0262623232,0,5
2014-01-13,-0.7369012223999998,2,7
2014-01-14,0.4781419520000002,4,6
2014-01-15,1.4254000128000002,0,4
2014-01-16,3.2378841088000003,0,24
