,brave/brave-browser,gorhill/ublock,adblockplus/adblockplus
2017-08-29,0.0,2,3
2017-08-30,0.0,9,0
2017-08-31,0.0,3,0
2017-09-01,2.0,2,0
2017-09-02,0.6000000000000001,10,0
2017-09-03,-0.3600000000000001,0,0
2017-09-04,-0.17600000000000016,7,1
2017-09-05,-0.11520000000000005,3,0
2017-09-06,0.9153279999999999,0,0
2017-09-07,-0.2663936,0,0
2017-09-08,-0.1342822400000001,0,0
2017-09-09,-0.09370214399999993,0,0
2017-09-10,-0.07292641279999988,4,0
2017-09-11,-0.03800535039999998,5,0
2017-09-12,1.9795712,1,0
2017-09-13,-0.4169267199999999,2,0
2017-09-14,-0.17438771200000008,3,2
2017-09-15,-0.10846935040000004,0,3
2017-09-16,-0.06720000000000002,7,0
2017-09-17,-0.05107200000000003,2,0
2017-09-18,-0.04085760000000002,4,1
2017-09-19,-0.03385344000000002,3,0
2017-09-20,0.9712245760000001,4,0
2017-09-21,-0.2249387007999999,5,0
2017-09-22,0.9199999999999999,0,3
2017-09-23,-0.248,1,0
2017-09-24,-0.11360000000000009,0,0
2017-09-25,-0.07353600000000005,0,4
2017-09-26,-0.05402880000000002,7,1
2017-09-27,-0.04246272000000002,7,1
2017-09-28,-0.03481651199999995,4,4
2017-09-29,0.9706039296,3,4
2017-09-30,-0.2143877119999999,6,0
2017-10-01,-0.09246935040000004,3,0
2017-10-02,-0.048000000000000036,5,0
2017-10-03,-0.03360000000000001,0,0
2017-10-04,2.9744639999999998,6,0
2017-10-05,-0.6204287999999999,2,2
2017-10-06,-0.2569267200000002,5,1
2017-10-07,-0.15838771200000004,0,0
2017-10-08,-0.1132693504,1,0
2017-10-09,-0.07660800000000004,2,3
2017-10-10,-0.06128640000000003,0,3
2017-10-11,-0.05078016000000003,0,5
2017-10-12,-0.04316313599999982,1,0
2017-10-13,-0.03740805119999989,5,1
2017-10-14,1.0,0,0
2017-10-15,-0.19999999999999996,1,0
2017-10-16,-0.08000000000000007,0,0
2017-10-17,-0.048000000000000036,0,2
2017-10-18,0.9664,3,0
2017-10-19,0.774464,7,0
2017-10-20,-0.30042880000000005,1,2
2017-10-21,-0.14492672000000012,4,0
2017-10-22,-0.09598771199999999,3,0
2017-10-23,0.9283946496,8,1
2017-10-24,-0.24596479999999998,11,9
