,saltstack/salt,ansible/ansible,cfengine/core
2012-08-06,15,2,4
2012-08-07,17,29,19
2012-08-08,12,25,7
2012-08-09,12,29,12
2012-08-10,13,46,13
2012-08-11,8,34,4
2012-08-12,0,3,0
2012-08-13,26,12,12
2012-08-14,14,23,9
2012-08-15,26,17,9
2012-08-16,23,0,11
2012-08-17,15,19,33
2012-08-18,25,23,18
2012-08-19,8,9,7
2012-08-20,27,19,16
2012-08-21,7,9,5
2012-08-22,10,14,8
2012-08-23,1,8,5
2012-08-24,19,17,8
2012-08-25,18,3,0
2012-08-26,1,0,1
2012-08-27,18,15,0
2012-08-28,25,34,12
2012-08-29,13,21,1
2012-08-30,33,33,0
2012-08-31,11,10,2
2012-09-01,11,0,2
2012-09-02,9,5,0
2012-09-03,24,0,4
2012-09-04,6,17,3
2012-09-05,18,16,2
2012-09-06,23,12,8
2012-09-07,19,21,2
2012-09-08,4,9,2
2012-09-09,3,1,3
2012-09-10,25,9,4
2012-09-11,9,9,7
2012-09-12,16,11,5
2012-09-13,8,3,5
2012-09-14,8,6,6
2012-09-15,11,0,0
2012-09-16,4,0,0
2012-09-17,13,10,0
2012-09-18,35,6,6
2012-09-19,22,19,9
2012-09-20,29,0,5
2012-09-21,10,4,2
2012-09-22,24,1,0
2012-09-23,24,9,0
2012-09-24,51,6,4
2012-09-25,29,16,33
2012-09-26,31,14,8
2012-09-27,42,14,9
2012-09-28,28,29,21
2012-09-29,12,35,0
2012-09-30,22,39,1
2012-10-01,34,23,5
2012-10-02,35,23,1
2012-10-03,12,13,1
2012-10-04,43,23,3
2012-10-05,51,9,8
2012-10-06,20,5,0
2012-10-07,31,7,0
2012-10-08,32,31,5
2012-10-09,28,15,0
2012-10-10,14,24,4
2012-10-11,25,14,8
2012-10-12,34,43,7
2012-10-13,2,9,0
2012-10-14,10,4,4
2012-10-15,15,8,0
2012-10-16,39,19,0
2012-10-17,11,15,2
2012-10-18,21,24,2
2012-10-19,29,15,7
2012-10-20,8,12,0
2012-10-21,2,12,0
2012-10-22,34,6,8
2012-10-23,21,11,9
2012-10-24,68,23,9
2012-10-25,62,18,1
2012-10-26,43,25,21
2012-10-27,7,6,0
2012-10-28,6,3,0
2012-10-29,47,12,1
2012-10-30,43,14,5
2012-10-31,42,17,5
2012-11-01,43,13,1
2012-11-02,27,4,14
2012-11-03,11,15,0
2012-11-04,32,6,0
2012-11-05,51,3,2
2012-11-06,27,11,2
2012-11-07,39,26,2
2012-11-08,51,10,3
2012-11-09,42,30,3
2012-11-10,26,12,0
2012-11-11,36,5,1
2012-11-12,54,14,2
2012-11-13,51,20,9
2012-11-14,70,9,1
2012-11-15,112,4,10
2012-11-16,75,5,20
2012-11-17,33,15,1
2012-11-18,23,11,4
2012-11-19,37,8,7
2012-11-20,49,6,4
2012-11-21,53,9,8
2012-11-22,33,10,1
2012-11-23,37,8,7
2012-11-24,16,11,5
2012-11-25,17,4,1
2012-11-26,47,15,16
2012-11-27,39,13,3
2012-11-28,33,13,10
2012-11-29,45,1,4
2012-11-30,42,0,7
2012-12-01,26,6,1
2012-12-02,30,11,4
2012-12-03,42,2,4
2012-12-04,57,5,4
2012-12-05,29,5,4
2012-12-06,31,2,7
2012-12-07,22,1,9
2012-12-08,8,0,0
2012-12-09,21,1,2
2012-12-10,42,1,1
2012-12-11,40,4,8
2012-12-12,33,16,3
2012-12-13,24,5,0
2012-12-14,31,10,26
2012-12-15,4,9,0
2012-12-16,9,4,0
2012-12-17,29,3,9
2012-12-18,20,5,6
2012-12-19,30,8,24
2012-12-20,51,2,12
2012-12-21,22,1,4
2012-12-22,31,0,0
2012-12-23,8,6,0
2012-12-24,17,3,0
2012-12-25,3,0,0
2012-12-26,11,0,19
2012-12-27,60,1,1
2012-12-28,115,0,1
2012-12-29,83,0,2
2012-12-30,24,0,0
2012-12-31,97,0,0
2013-01-01,20,0,0
2013-01-02,20,0,0
2013-01-03,20,10,16
2013-01-04,40,6,4
2013-01-05,22,5,2
2013-01-06,10,3,0
2013-01-07,29,6,20
2013-01-08,28,2,9
2013-01-09,46,13,5
2013-01-10,76,8,30
2013-01-11,51,1,5
2013-01-12,17,2,0
2013-01-13,28,14,34
2013-01-14,53,1,7
2013-01-15,74,0,8
2013-01-16,32,1,13
2013-01-17,34,2,4
2013-01-18,64,10,3
2013-01-19,20,3,1
2013-01-20,30,6,0
2013-01-21,62,8,11
2013-01-22,40,12,13
2013-01-23,31,16,45
2013-01-24,47,6,9
2013-01-25,29,14,10
2013-01-26,33,25,29
2013-01-27,19,3,0
2013-01-28,41,10,6
2013-01-29,55,6,8
2013-01-30,59,2,14
2013-01-31,79,10,1
2013-02-01,34,5,2
2013-02-02,22,22,0
2013-02-03,18,13,3
2013-02-04,33,11,3
2013-02-05,25,2,6
2013-02-06,60,6,18
2013-02-07,58,21,2
2013-02-08,72,6,2
2013-02-09,12,29,0
2013-02-10,12,24,0
2013-02-11,29,6,12
2013-02-12,57,8,7
2013-02-13,55,7,10
2013-02-14,19,9,16
2013-02-15,26,2,29
2013-02-16,17,37,1
2013-02-17,23,26,0
2013-02-18,51,19,23
2013-02-19,44,14,9
2013-02-20,35,29,33
2013-02-21,17,5,51
2013-02-22,26,12,24
2013-02-23,18,47,2
2013-02-24,19,10,0
2013-02-25,42,15,22
2013-02-26,70,9,13
2013-02-27,33,31,9
2013-02-28,41,23,8
2013-03-01,26,44,8
2013-03-02,7,28,6
2013-03-03,19,1,17
2013-03-04,39,2,29
2013-03-05,83,18,13
2013-03-06,16,10,20
2013-03-07,87,13,23
2013-03-08,44,7,15
2013-03-09,13,1,2
2013-03-10,25,13,17
2013-03-11,50,22,43
2013-03-12,60,14,40
2013-03-13,27,9,16
2013-03-14,32,15,41
2013-03-15,21,9,37
2013-03-16,6,10,6
2013-03-17,34,38,2
2013-03-18,41,17,28
2013-03-19,20,9,38
2013-03-20,47,3,12
2013-03-21,52,5,15
2013-03-22,35,7,14
2013-03-23,40,6,1
2013-03-24,37,16,1
2013-03-25,54,7,15
2013-03-26,43,23,14
2013-03-27,12,7,13
2013-03-28,31,3,10
2013-03-29,40,7,4
2013-03-30,7,9,3
2013-03-31,21,8,31
2013-04-01,26,8,13
2013-04-02,12,3,7
2013-04-03,26,9,12
2013-04-04,25,9,33
2013-04-05,56,38,10
2013-04-06,10,26,2
2013-04-07,107,0,0
2013-04-08,36,12,18
2013-04-09,45,6,44
2013-04-10,64,19,28
2013-04-11,41,19,42
2013-04-12,12,20,33
2013-04-13,10,13,4
2013-04-14,6,2,6
2013-04-15,25,0,24
2013-04-16,21,11,32
2013-04-17,25,14,21
2013-04-18,28,7,42
2013-04-19,21,8,14
2013-04-20,22,20,0
2013-04-21,3,13,0
2013-04-22,52,4,12
2013-04-23,29,31,18
2013-04-24,31,7,48
2013-04-25,18,10,47
2013-04-26,23,18,38
2013-04-27,19,41,12
2013-04-28,6,8,1
2013-04-29,37,11,16
2013-04-30,49,11,20
2013-05-01,78,1,3
2013-05-02,92,12,16
2013-05-03,75,8,6
2013-05-04,37,2,14
2013-05-05,22,49,2
2013-05-06,60,4,9
2013-05-07,70,3,35
2013-05-08,49,12,24
2013-05-09,104,5,3
2013-05-10,42,7,33
2013-05-11,26,57,1
2013-05-12,28,2,1
2013-05-13,39,7,8
2013-05-14,37,2,3
2013-05-15,30,8,9
2013-05-16,50,11,3
2013-05-17,80,1,0
2013-05-18,41,27,4
2013-05-19,44,8,0
2013-05-20,42,2,1
2013-05-21,41,4,9
2013-05-22,33,6,11
2013-05-23,50,18,24
2013-05-24,28,8,4
2013-05-25,15,24,0
2013-05-26,39,2,0
2013-05-27,21,8,4
2013-05-28,72,9,13
2013-05-29,59,46,17
2013-05-30,22,14,40
2013-05-31,56,33,8
2013-06-01,31,45,1
2013-06-02,19,9,0
2013-06-03,11,17,5
2013-06-04,15,4,10
2013-06-05,18,8,16
2013-06-06,25,14,8
2013-06-07,24,9,2
2013-06-08,6,13,2
2013-06-09,9,12,1
2013-06-10,25,19,1
2013-06-11,45,7,0
2013-06-12,56,4,5
2013-06-13,75,11,3
2013-06-14,35,14,5
2013-06-15,25,7,3
2013-06-16,23,0,0
2013-06-17,51,36,2
2013-06-18,37,26,2
2013-06-19,52,34,3
2013-06-20,45,53,2
2013-06-21,46,10,1
2013-06-22,17,4,0
2013-06-23,5,6,1
2013-06-24,26,5,4
2013-06-25,44,6,13
2013-06-26,80,10,9
2013-06-27,138,5,4
2013-06-28,50,6,9
2013-06-29,11,4,0
2013-06-30,12,56,0
2013-07-01,91,6,5
2013-07-02,94,4,13
2013-07-03,34,13,9
2013-07-04,47,15,8
2013-07-05,58,15,5
2013-07-06,15,7,1
2013-07-07,28,3,0
2013-07-08,40,9,5
2013-07-09,38,6,8
2013-07-10,31,8,15
2013-07-11,46,23,8
2013-07-12,17,11,9
2013-07-13,73,2,0
2013-07-14,63,4,0
2013-07-15,38,12,13
2013-07-16,40,11,12
2013-07-17,45,2,13
2013-07-18,28,7,4
2013-07-19,20,43,1
2013-07-20,14,42,0
2013-07-21,47,33,2
2013-07-22,25,17,9
2013-07-23,67,9,4
2013-07-24,19,7,5
2013-07-25,34,5,11
2013-07-26,37,4,12
2013-07-27,98,1,0
2013-07-28,45,6,0
2013-07-29,38,4,5
2013-07-30,49,4,4
2013-07-31,18,5,0
2013-08-01,47,5,2
2013-08-02,34,26,0
2013-08-03,10,36,0
2013-08-04,21,3,3
2013-08-05,22,5,1
2013-08-06,35,17,5
2013-08-07,54,6,12
2013-08-08,84,11,34
2013-08-09,29,7,7
2013-08-10,76,24,0
2013-08-11,54,15,0
2013-08-12,58,9,29
2013-08-13,89,14,10
2013-08-14,37,9,7
2013-08-15,67,4,2
2013-08-16,36,9,10
2013-08-17,35,9,1
2013-08-18,16,2,0
2013-08-19,41,15,5
2013-08-20,58,18,11
2013-08-21,50,8,13
2013-08-22,45,27,2
2013-08-23,41,25,14
2013-08-24,7,12,0
2013-08-25,14,5,0
2013-08-26,59,1,9
2013-08-27,21,4,14
2013-08-28,38,17,7
2013-08-29,68,4,3
2013-08-30,83,7,16
2013-08-31,8,1,0
2013-09-01,29,5,0
2013-09-02,23,9,6
2013-09-03,58,15,11
2013-09-04,76,12,16
2013-09-05,86,15,11
2013-09-06,72,28,6
2013-09-07,20,8,0
2013-09-08,31,4,0
2013-09-09,35,14,2
2013-09-10,35,7,5
2013-09-11,51,8,12
2013-09-12,52,3,5
2013-09-13,50,8,9
2013-09-14,30,13,4
2013-09-15,22,7,0
2013-09-16,44,23,22
2013-09-17,38,5,19
2013-09-18,53,17,3
2013-09-19,59,30,5
2013-09-20,63,18,0
2013-09-21,45,14,0
2013-09-22,10,8,0
2013-09-23,33,28,2
2013-09-24,69,19,3
2013-09-25,51,31,2
2013-09-26,67,11,0
2013-09-27,40,8,2
2013-09-28,24,4,0
2013-09-29,16,24,0
2013-09-30,20,21,18
2013-10-01,59,36,16
2013-10-02,47,22,25
2013-10-03,57,24,47
2013-10-04,69,20,12
2013-10-05,9,13,0
2013-10-06,19,6,0
2013-10-07,37,33,4
2013-10-08,44,12,6
2013-10-09,34,22,2
2013-10-10,50,20,2
2013-10-11,33,31,3
2013-10-12,51,21,1
2013-10-13,11,14,2
2013-10-14,47,36,0
2013-10-15,101,27,8
2013-10-16,84,20,1
2013-10-17,163,23,3
2013-10-18,108,14,8
2013-10-19,15,26,2
2013-10-20,15,6,0
2013-10-21,25,21,3
2013-10-22,52,6,1
2013-10-23,49,2,3
2013-10-24,34,13,14
2013-10-25,76,12,6
2013-10-26,24,15,4
2013-10-27,18,12,1
2013-10-28,32,20,12
2013-10-29,36,15,14
2013-10-30,26,5,3
2013-10-31,25,41,17
2013-11-01,34,19,9
2013-11-02,10,9,0
2013-11-03,15,12,0
2013-11-04,15,18,1
2013-11-05,27,9,23
2013-11-06,85,13,6
2013-11-07,51,32,11
2013-11-08,75,21,3
2013-11-09,37,4,0
2013-11-10,16,3,0
2013-11-11,46,10,1
2013-11-12,131,26,11
2013-11-13,68,18,1
2013-11-14,81,28,1
2013-11-15,72,27,5
2013-11-16,29,10,1
2013-11-17,4,5,0
2013-11-18,20,25,11
2013-11-19,50,28,28
2013-11-20,45,6,9
2013-11-21,65,15,4
2013-11-22,40,15,1
2013-11-23,37,7,0
2013-11-24,18,1,0
2013-11-25,43,14,9
2013-11-26,37,7,53
2013-11-27,45,20,12
2013-11-28,54,12,2
2013-11-29,3,2,13
2013-11-30,10,1,0
2013-12-01,33,2,0
2013-12-02,48,18,15
2013-12-03,79,11,53
2013-12-04,57,20,1
2013-12-05,51,25,37
2013-12-06,79,11,10
2013-12-07,6,4,0
2013-12-08,14,7,2
2013-12-09,65,6,13
2013-12-10,50,9,34
2013-12-11,95,3,15
2013-12-12,70,24,17
2013-12-13,102,16,23
2013-12-14,59,4,0
2013-12-15,18,5,1
2013-12-16,27,10,8
2013-12-17,27,14,22
2013-12-18,17,7,13
2013-12-19,31,26,4
2013-12-20,55,29,22
2013-12-21,15,6,3
2013-12-22,15,0,0
2013-12-23,42,6,5
2013-12-24,33,18,0
2013-12-25,13,19,1
2013-12-26,31,19,3
2013-12-27,35,12,10
2013-12-28,12,0,4
2013-12-29,9,2,3
2013-12-30,41,3,64
2013-12-31,40,5,4
2014-01-01,14,0,0
2014-01-02,44,9,9
2014-01-03,46,13,15
2014-01-04,11,15,0
2014-01-05,20,0,0
2014-01-06,33,20,17
2014-01-07,39,10,49
2014-01-08,40,17,20
2014-01-09,29,8,5
2014-01-10,49,8,15
2014-01-11,25,4,24
2014-01-12,28,2,18
2014-01-13,25,9,18
2014-01-14,20,24,30
2014-01-15,24,13,4
2014-01-16,53,13,22
2014-01-17,64,10,10
2014-01-18,21,3,1
2014-01-19,24,6,1
2014-01-20,25,14,12
2014-01-21,23,23,19
2014-01-22,21,13,29
2014-01-23,31,17,51
2014-01-24,32,21,17
2014-01-25,13,6,22
2014-01-26,8,6,8
2014-01-27,21,16,15
2014-01-28,32,17,20
2014-01-29,52,30,42
2014-01-30,53,24,16
2014-01-31,48,4,14
2014-02-01,33,2,4
2014-02-02,16,3,0
2014-02-03,51,13,19
2014-02-04,77,10,6
2014-02-05,51,31,48
2014-02-06,59,13,14
2014-02-07,53,30,2
2014-02-08,94,11,1
2014-02-09,16,8,0
2014-02-10,45,18,18
2014-02-11,81,13,8
2014-02-12,90,30,2
2014-02-13,45,17,9
2014-02-14,50,18,28
2014-02-15,32,7,8
2014-02-16,37,1,0
2014-02-17,34,17,5
2014-02-18,60,25,23
2014-02-19,69,46,13
2014-02-20,89,60,36
2014-02-21,45,18,39
2014-02-22,27,6,4
2014-02-23,26,6,2
2014-02-24,77,26,11
2014-02-25,83,23,39
2014-02-26,93,39,34
2014-02-27,82,22,29
2014-02-28,56,36,51
2014-03-01,20,6,2
2014-03-02,23,7,0
2014-03-03,64,32,39
2014-03-04,77,24,17
2014-03-05,75,29,32
2014-03-06,66,36,29
2014-03-07,72,23,16
2014-03-08,18,12,6
2014-03-09,11,14,0
2014-03-10,155,51,6
2014-03-11,72,88,34
2014-03-12,79,68,61
2014-03-13,65,25,19
2014-03-14,79,21,23
2014-03-15,23,12,1
2014-03-16,16,77,0
2014-03-17,103,28,20
2014-03-18,56,30,18
2014-03-19,49,37,40
2014-03-20,90,24,26
2014-03-21,78,11,10
2014-03-22,43,5,2
2014-03-23,43,15,1
2014-03-24,64,15,14
2014-03-25,38,37,15
2014-03-26,65,29,6
2014-03-27,49,20,9
2014-03-28,38,70,17
2014-03-29,21,5,3
2014-03-30,13,12,2
2014-03-31,59,25,22
2014-04-01,61,18,18
2014-04-02,41,39,16
2014-04-03,39,32,29
2014-04-04,24,13,12
2014-04-05,14,6,12
2014-04-06,21,3,0
2014-04-07,70,9,8
2014-04-08,57,23,12
2014-04-09,42,4,23
2014-04-10,52,8,23
2014-04-11,40,9,6
2014-04-12,13,2,0
2014-04-13,21,3,0
2014-04-14,77,28,11
2014-04-15,72,17,0
2014-04-16,59,16,3
2014-04-17,62,10,1
2014-04-18,91,10,0
2014-04-19,22,3,1
2014-04-20,14,3,1
2014-04-21,30,17,0
2014-04-22,46,14,9
2014-04-23,59,30,8
2014-04-24,75,25,15
2014-04-25,57,6,5
2014-04-26,34,0,0
2014-04-27,20,7,0
2014-04-28,37,8,8
2014-04-29,78,41,5
2014-04-30,131,12,5
2014-05-01,77,8,7
2014-05-02,51,3,4
2014-05-03,9,4,7
2014-05-04,22,2,2
2014-05-05,49,12,10
2014-05-06,50,11,3
2014-05-07,72,16,3
2014-05-08,52,19,6
2014-05-09,34,30,6
2014-05-10,22,3,0
2014-05-11,19,0,0
2014-05-12,69,7,10
2014-05-13,81,10,12
2014-05-14,74,22,7
2014-05-15,41,8,24
2014-05-16,45,9,17
2014-05-17,27,2,0
2014-05-18,13,0,0
2014-05-19,40,4,4
2014-05-20,31,8,5
2014-05-21,48,22,9
2014-05-22,52,6,7
2014-05-23,57,17,18
2014-05-24,17,4,1
2014-05-25,22,3,0
2014-05-26,18,7,6
2014-05-27,38,24,4
2014-05-28,45,4,1
2014-05-29,51,5,0
2014-05-30,46,8,2
2014-05-31,7,2,0
2014-06-01,14,6,3
2014-06-02,44,4,22
2014-06-03,40,8,11
2014-06-04,31,15,6
2014-06-05,85,15,6
2014-06-06,171,9,2
2014-06-07,18,4,0
2014-06-08,2,3,0
2014-06-09,40,11,0
2014-06-10,53,18,3
2014-06-11,55,5,10
2014-06-12,43,20,6
2014-06-13,31,3,1
2014-06-14,17,3,0
2014-06-15,30,7,0
2014-06-16,21,13,10
2014-06-17,119,17,2
2014-06-18,67,13,0
2014-06-19,132,117,2
2014-06-20,109,38,7
2014-06-21,35,7,0
2014-06-22,15,9,0
2014-06-23,35,25,3
2014-06-24,49,13,3
2014-06-25,78,13,13
2014-06-26,71,12,44
2014-06-27,75,6,9
2014-06-28,17,5,0
2014-06-29,13,4,0
2014-06-30,63,2,26
2014-07-01,69,17,40
2014-07-02,47,19,13
2014-07-03,50,5,16
2014-07-04,14,3,23
2014-07-05,5,7,0
2014-07-06,4,3,0
2014-07-07,72,6,14
2014-07-08,64,11,9
2014-07-09,81,9,7
2014-07-10,103,21,10
2014-07-11,49,13,13
2014-07-12,19,2,1
2014-07-13,16,1,0
2014-07-14,70,27,8
2014-07-15,89,12,13
2014-07-16,35,21,28
2014-07-17,82,14,13
2014-07-18,16,8,13
2014-07-19,9,7,0
2014-07-20,4,1,0
2014-07-21,36,8,5
2014-07-22,52,2,7
2014-07-23,71,3,27
2014-07-24,53,20,6
2014-07-25,61,26,14
2014-07-26,39,6,0
2014-07-27,7,0,0
2014-07-28,39,31,0
2014-07-29,67,11,3
2014-07-30,57,13,4
2014-07-31,106,14,3
2014-08-01,37,8,7
2014-08-02,12,5,0
2014-08-03,10,18,0
2014-08-04,60,22,4
2014-08-05,62,17,8
2014-08-06,55,26,2
2014-08-07,67,13,0
2014-08-08,40,102,171
2014-08-09,10,10,1
2014-08-10,45,1,0
2014-08-11,59,40,0
2014-08-12,37,17,6
2014-08-13,56,3,3
2014-08-14,36,14,1
2014-08-15,64,6,3
2014-08-16,35,1,0
2014-08-17,10,1,0
2014-08-18,18,8,4
2014-08-19,47,16,3
2014-08-20,48,7,3
2014-08-21,80,38,2
2014-08-22,43,26,2
2014-08-23,27,2,0
2014-08-24,17,2,0
2014-08-25,90,20,1
2014-08-26,92,16,1
2014-08-27,44,20,4
2014-08-28,38,12,25
2014-08-29,35,11,22
2014-08-30,15,0,0
2014-08-31,10,4,0
2014-09-01,17,6,19
2014-09-02,97,24,20
2014-09-03,72,9,4
2014-09-04,48,10,12
2014-09-05,46,8,25
2014-09-06,26,2,0
2014-09-07,17,1,0
2014-09-08,39,9,1
2014-09-09,63,20,29
2014-09-10,52,24,10
2014-09-11,59,16,20
2014-09-12,81,3,55
2014-09-13,11,2,0
2014-09-14,8,0,0
2014-09-15,51,10,7
2014-09-16,67,22,11
2014-09-17,83,13,9
2014-09-18,85,12,14
2014-09-19,70,6,12
2014-09-20,24,1,0
2014-09-21,20,5,0
2014-09-22,68,6,2
2014-09-23,88,8,8
2014-09-24,64,3,4
2014-09-25,66,5,2
2014-09-26,63,12,4
2014-09-27,19,1,0
2014-09-28,11,21,1
2014-09-29,49,14,8
2014-09-30,57,12,1
2014-10-01,31,17,0
2014-10-02,139,14,0
2014-10-03,118,21,0
2014-10-04,7,2,0
2014-10-05,13,3,0
2014-10-06,36,8,1
2014-10-07,57,12,1
2014-10-08,61,16,3
2014-10-09,39,8,2
2014-10-10,56,7,0
2014-10-11,17,1,0
2014-10-12,38,5,0
2014-10-13,62,8,0
2014-10-14,34,4,0
2014-10-15,49,16,0
2014-10-16,40,3,0
2014-10-17,64,1,0
2014-10-18,12,1,0
2014-10-19,9,2,0
2014-10-20,34,11,5
2014-10-21,31,20,0
2014-10-22,24,13,1
2014-10-23,63,2,0
2014-10-24,75,1,0
2014-10-25,15,1,0
2014-10-26,5,4,0
2014-10-27,59,8,3
2014-10-28,60,12,3
2014-10-29,63,10,2
2014-10-30,83,11,3
2014-10-31,49,4,4
2014-11-01,13,4,0
2014-11-02,20,1,0
2014-11-03,79,8,0
2014-11-04,109,10,3
2014-11-05,48,7,4
2014-11-06,92,13,0
2014-11-07,119,4,1
2014-11-08,123,2,0
2014-11-09,14,3,0
2014-11-10,299,13,3
2014-11-11,1171,4,0
2014-11-12,303,14,1
2014-11-13,61,4,1
2014-11-14,78,11,1
2014-11-15,4,5,0
2014-11-16,9,0,0
2014-11-17,50,6,2
2014-11-18,428,7,4
2014-11-19,73,5,3
2014-11-20,147,11,2
2014-11-21,78,2,6
2014-11-22,31,1,1
2014-11-23,3,2,0
2014-11-24,58,3,6
2014-11-25,83,18,2
2014-11-26,113,9,5
2014-11-27,15,7,8
2014-11-28,27,5,0
2014-11-29,6,4,0
2014-11-30,2,3,0
2014-12-01,66,7,6
2014-12-02,68,11,2
2014-12-03,50,14,1
2014-12-04,121,10,7
2014-12-05,30,1,7
2014-12-06,7,0,1
2014-12-07,7,2,1
2014-12-08,79,8,0
2014-12-09,53,14,7
2014-12-10,53,15,2
2014-12-11,67,7,2
2014-12-12,63,5,3
2014-12-13,11,1,1
2014-12-14,0,7,0
2014-12-15,56,9,1
2014-12-16,29,22,0
2014-12-17,58,6,4
2014-12-18,80,2,1
2014-12-19,81,5,0
2014-12-20,9,2,3
2014-12-21,6,0,0
2014-12-22,47,9,4
2014-12-23,47,4,1
2014-12-24,16,2,0
2014-12-25,5,3,0
2014-12-26,2,0,0
2014-12-27,7,0,0
2014-12-28,21,1,0
2014-12-29,27,6,4
2014-12-30,32,2,1
2014-12-31,10,1,1
2015-01-01,2,1,0
2015-01-02,19,1,6
2015-01-03,6,1,0
2015-01-04,6,1,3
2015-01-05,65,6,2
2015-01-06,98,1,21
2015-01-07,191,12,0
2015-01-08,105,8,0
2015-01-09,51,5,8
2015-01-10,37,0,0
2015-01-11,78,4,2
2015-01-12,58,14,2
2015-01-13,61,7,4
2015-01-14,51,8,5
2015-01-15,51,10,1
2015-01-16,54,9,4
2015-01-17,25,0,0
2015-01-18,24,6,1
2015-01-19,13,19,7
2015-01-20,65,8,3
2015-01-21,79,2,5
2015-01-22,92,8,6
2015-01-23,65,3,2
2015-01-24,70,2,0
2015-01-25,8,4,0
2015-01-26,63,10,2
2015-01-27,107,22,2
2015-01-28,81,16,2
2015-01-29,182,16,0
2015-01-30,497,19,0
2015-01-31,19,1,0
2015-02-01,1,2,0
2015-02-02,36,21,0
2015-02-03,96,11,0
2015-02-04,47,6,1
2015-02-05,120,2,0
2015-02-06,91,2,0
2015-02-07,82,0,0
2015-02-08,6,0,0
2015-02-09,51,20,4
2015-02-10,138,17,0
2015-02-11,85,38,4
2015-02-12,80,22,3
2015-02-13,52,15,4
2015-02-14,28,0,0
2015-02-15,19,1,1
2015-02-16,37,19,6
2015-02-17,88,12,9
2015-02-18,59,12,1
2015-02-19,59,14,1
2015-02-20,25,8,4
2015-02-21,35,9,0
2015-02-22,7,2,0
2015-02-23,37,10,9
2015-02-24,73,4,10
2015-02-25,133,7,1
2015-02-26,72,11,7
2015-02-27,161,20,2
2015-02-28,50,1,0
2015-03-01,35,0,0
2015-03-02,61,5,8
2015-03-03,63,5,5
2015-03-04,62,7,0
2015-03-05,51,10,3
2015-03-06,59,7,2
2015-03-07,10,5,0
2015-03-08,11,1,0
2015-03-09,79,9,0
2015-03-10,111,12,1
2015-03-11,98,12,2
2015-03-12,87,18,1
2015-03-13,80,11,1
2015-03-14,15,0,0
2015-03-15,21,4,0
2015-03-16,92,10,5
2015-03-17,70,14,4
2015-03-18,91,3,7
2015-03-19,107,12,6
2015-03-20,84,21,2
2015-03-21,17,12,0
2015-03-22,9,3,0
2015-03-23,51,10,0
2015-03-24,102,8,4
2015-03-25,97,15,0
2015-03-26,102,16,0
2015-03-27,86,12,8
2015-03-28,26,0,0
2015-03-29,39,3,0
2015-03-30,123,2,21
2015-03-31,109,16,7
2015-04-01,82,15,10
2015-04-02,86,19,1
2015-04-03,67,17,0
2015-04-04,19,6,0
2015-04-05,25,2,0
2015-04-06,48,7,0
2015-04-07,87,10,2
2015-04-08,237,7,1
2015-04-09,43,11,5
2015-04-10,69,4,7
2015-04-11,27,5,0
2015-04-12,22,0,0
