,apache/struts,spring-projects/spring-framework,apache/tomcat
2011-07-18,0,8,6
2011-07-19,1,6,11
2011-07-20,0,8,3
2011-07-21,0,10,6
2011-07-22,0,6,2
2011-07-23,0,1,1
2011-07-24,0,0,3
2011-07-25,0,8,19
2011-07-26,0,16,7
2011-07-27,0,9,7
2011-07-28,0,7,3
2011-07-29,0,1,4
2011-07-30,0,1,1
2011-07-31,0,0,5
2011-08-01,0,1,5
2011-08-02,0,4,5
2011-08-03,0,4,4
2011-08-04,2,2,3
2011-08-05,0,1,5
2011-08-06,0,0,7
2011-08-07,0,0,2
2011-08-08,0,1,3
2011-08-09,3,4,8
