,ionic-team/ionic-framework,NativeScript/NativeScript,flutter/flutter
2017-06-01,1,7,4.275939404804688
2017-06-02,5,1,12.405250107029689
2017-06-03,0,0,1.7146730540765618
2017-06-04,0,0,-1.636329192457812
2017-06-05,12,5,11.020469583606252
2017-06-06,1,2,6.098375417421876
2017-06-07,6,2,8.100675573789063
2017-06-08,8,3,7.870221812271875
2017-06-09,14,6,4.724691799046876
2017-06-10,0,0,-1.0224252824343742
2017-06-11,0,0,-1.3493603375656233
2017-06-12,4,2,5.115691634856252
2017-06-13,9,2,10.730505548812502
2017-06-14,2,3,8.97663042794375
2017-06-15,2,5,7.80693824955625
