,golang/go,gcc-mirror/gcc,llvm/llvm-project
2017-08-12,4,4,13
2017-08-13,6,5,19
2017-08-14,42,13,85
2017-08-15,51,4,71
2017-08-16,31,16,76
2017-08-17,27,21,64
2017-08-18,39,12,64
2017-08-19,9,3,55
2017-08-20,1,5,34
2017-08-21,15,24,89
2017-08-22,19,20,75
2017-08-23,12,15,89
2017-08-24,22,14,88
2017-08-25,39,10,62
2017-08-26,3,1,17
2017-08-27,1,3,28
2017-08-28,30,11,81
2017-08-29,40,35,98
2017-08-30,22,98,99
2017-08-31,14,16,99
2017-09-01,10,25,74
2017-09-02,2,1,28
2017-09-03,4,5,35
2017-09-04,1,24,38
2017-09-05,7,37,75
2017-09-06,13,58,73
2017-09-07,5,17,81
2017-09-08,14,43,72
2017-09-09,20,18,34
2017-09-10,10,4,17
2017-09-11,22,28,82
2017-09-12,12,42,98
2017-09-13,14,40,123
2017-09-14,9,27,103
2017-09-15,11,30,102
2017-09-16,2,6,47
2017-09-17,2,5,31
2017-09-18,15,36,94
2017-09-19,14,16,100
2017-09-20,29,37,135
2017-09-21,8,30,96
2017-09-22,25,21,104
2017-09-23,6,4,19
2017-09-24,8,6,16
2017-09-25,15,28,88
2017-09-26,10,31,82
2017-09-27,23,20,98
2017-09-28,10,19,88
2017-09-29,7,35,86
2017-09-30,4,6,40
2017-10-01,2,4,28
2017-10-02,9,26,98
2017-10-03,25,12,118
2017-10-04,25,32,85
2017-10-05,27,22,87
2017-10-06,16,25,92
2017-10-07,4,10,26
2017-10-08,3,14,40
2017-10-09,12,31,53
2017-10-10,14,40,139
2017-10-11,45,37,144
2017-10-12,17,26,107
2017-10-13,21,33,132
2017-10-14,3,18,55
2017-10-15,3,5,42
2017-10-16,18,22,80
2017-10-17,16,27,80
2017-10-18,10,26,84
2017-10-19,12,31,52
2017-10-20,13,30,51
2017-10-21,7,11,27
2017-10-22,2,11,26
2017-10-23,5,27,92
2017-10-24,19,27,137
2017-10-25,59,21,87
2017-10-26,11,26,81
2017-10-27,10,32,101
