,emberjs/ember.js,angular/angular,facebook/react
2023-02-27,1,14.0,7
2023-02-28,0,23.0,5
2023-03-01,1,15.0,7
2023-03-02,0,10.0,7
2023-03-03,2,12.0,22
2023-03-04,5,0.0,11
2023-03-05,0,0.0,3
2023-03-06,5,12.0,26
2023-03-07,0,7.0,9
2023-03-08,1,12.0,19
2023-03-09,0,10.0,11
2023-03-10,0,0.0,7
2023-03-11,0,0.0,6
2023-03-12,0,0.0,1
2023-03-13,1,2.0,9
2023-03-14,2,18.0,3
2023-03-15,0,2.0,12
2023-03-16,1,14.0,9
2023-03-17,0,12.0,10
2023-03-18,0,0.0,2
2023-03-19,0,0.0,0
2023-03-20,4,8.0,8
2023-03-21,25,24.0,12
2023-03-22,3,23.0,19
2023-03-23,0,12.0,5
2023-03-24,0,7.0,12
2023-03-25,0,0.0,3
2023-03-26,0,0.0,0
2023-03-27,0,9.0,16
2023-03-28,0,10.0,9
2023-03-29,0,19.0,8
2023-03-30,0,23.0,22
2023-03-31,0,9.0,15
2023-04-01,0,1.0,1
2023-04-02,0,0.0,1
2023-04-03,4,4.0,4
2023-04-04,0,41.0,14
2023-04-05,1,15.0,12
2023-04-06,2,11.0,8
2023-04-07,0,1.0,4
2023-04-08,1,0.0,0
2023-04-09,0,0.0,1
2023-04-10,0,5.0,10
2023-04-11,0,36.0,13
2023-04-12,4,15.0,2
2023-04-13,1,9.0,3
2023-04-14,0,8.0,3
2023-04-15,0,0.0,2
2023-04-16,0,0.0,0
2023-04-17,5,28.0,7
2023-04-18,4,46.0,8
2023-04-19,21,25.0,11
2023-04-20,12,3.0,13
2023-04-21,0,1.0,13
2023-04-22,0,0.0,3
2023-04-23,0,0.0,2
2023-04-24,3,19.0,7
2023-04-25,34,8.0,9
2023-04-26,10,16.0,18
2023-04-27,0,6.0,7
2023-04-28,8,7.0,3
2023-04-29,0,0.0,2
2023-04-30,0,0.0,0
2023-05-01,7,34.0,6
2023-05-02,2,13.0,11
2023-05-03,2,8.0,12
2023-05-04,15,13.0,8
2023-05-05,4,0.0,2
2023-05-06,0,0.0,0
2023-05-07,0,0.0,1
2023-05-08,2,22.0,9
2023-05-09,0,21.0,4
2023-05-10,1,11.0,3
2023-05-11,0,5.0,8
2023-05-12,0,6.0,6
2023-05-13,0,0.0,0
2023-05-14,0,0.0,0
2023-05-15,1,12.0,5
2023-05-16,0,9.0,2
2023-05-17,2,8.0,15
2023-05-18,4,1.0,9
2023-05-19,0,9.0,1
2023-05-20,0,0.0,2
2023-05-21,0,0.0,0
2023-05-22,2,11.0,3
2023-05-23,0,18.0,5
2023-05-24,0,10.0,4
2023-05-25,0,7.0,10
2023-05-26,0,0.0,4
2023-05-27,0,0.0,0
2023-05-28,3,0.0,0
2023-05-29,0,0.0,0
2023-05-30,0,21.0,2
2023-05-31,0,7.0,13
2023-06-01,0,18.0,6
2023-06-02,0,2.0,5
2023-06-03,0,0.0,2
2023-06-04,0,0.0,3
2023-06-05,0,0.0,13
2023-06-06,1,9.0,7
2023-06-07,1,8.0,3
2023-06-08,0,8.0,10
2023-06-09,0,2.0,1
2023-06-10,0,0.0,1
2023-06-11,0,0.0,0
2023-06-12,2,19.0,1
2023-06-13,4,15.0,5
2023-06-14,0,24.0,4
2023-06-15,0,4.0,13
2023-06-16,0,2.0,13
2023-06-17,0,0.0,0
2023-06-18,0,3.0,0
2023-06-19,0,8.0,0
2023-06-20,0,15.0,13
2023-06-21,0,11.0,3
2023-06-22,0,12.0,10
2023-06-23,0,6.0,6
2023-06-24,2,0.0,0
2023-06-25,0,0.0,0
2023-06-26,4,17.0,1
2023-06-27,0,7.0,7
2023-06-28,2,3.0,5
2023-06-29,12,1.0,2
2023-06-30,4,18.0,3
2023-07-01,0,0.0,0
2023-07-02,0,0.0,1
2023-07-03,1,0.0,5
2023-07-04,0,0.0,1
2023-07-05,0,6.0,5
2023-07-06,0,1.0,21
2023-07-07,0,0.0,1
2023-07-08,0,0.0,7
2023-07-09,0,0.0,0
2023-07-10,0,8.0,0
2023-07-11,1,19.0,6
2023-07-12,0,0.0,5
2023-07-13,0,15.0,8
2023-07-14,0,15.0,10
2023-07-15,0,0.0,0
2023-07-16,0,0.0,0
2023-07-17,1,19.0,2
2023-07-18,0,10.0,1
2023-07-19,4,12.0,1
2023-07-20,1,5.0,1
2023-07-21,0,7.0,2
2023-07-22,0,0.0,0
2023-07-23,0,0.0,0
2023-07-24,2,5.0,1
2023-07-25,2,4.0,10
2023-07-26,0,6.0,3
2023-07-27,0,11.0,7
2023-07-28,0,15.0,4
2023-07-29,0,0.0,0
2023-07-30,0,0.0,0
2023-07-31,2,0.0,0
2023-08-01,0,29.0,4
2023-08-02,0,3.0,4
2023-08-03,0,5.0,2
2023-08-04,4,8.0,7
2023-08-05,0,0.0,0
2023-08-06,0,0.0,0
2023-08-07,3,7.0,7
2023-08-08,0,6.0,1
2023-08-09,2,4.0,4
2023-08-10,0,8.0,14
2023-08-11,2,6.0,9
2023-08-12,0,0.0,1
2023-08-13,2,1.0,0
2023-08-14,0,19.0,14
2023-08-15,0,15.0,6
2023-08-16,0,2.0,16
2023-08-17,3,10.0,14
2023-08-18,1,7.0,6
2023-08-19,1,0.0,0
2023-08-20,0,0.0,0
2023-08-21,2,11.0,4
2023-08-22,1,7.0,11
2023-08-23,2,7.0,6
2023-08-24,1,3.0,2
2023-08-25,6,1.0,2
2023-08-26,0,0.0,2
2023-08-27,0,0.0,0
2023-08-28,1,29.0,2
2023-08-29,2,39.0,14
2023-08-30,0,12.0,7
2023-08-31,0,18.0,5
2023-09-01,0,13.0,3
2023-09-02,0,0.0,0
2023-09-03,0,0.0,0
2023-09-04,0,0.0,0
2023-09-05,0,23.0,13
2023-09-06,0,10.0,3
2023-09-07,0,11.0,14
2023-09-08,6,6.0,4
2023-09-09,0,0.0,0
2023-09-10,0,0.0,0
2023-09-11,0,3.0,9
2023-09-12,0,17.0,3
2023-09-13,0,7.0,5
2023-09-14,0,9.0,12
2023-09-15,0,9.0,13
2023-09-16,0,0.0,0
2023-09-17,0,0.0,0
