,ramda/ramda,lodash/lodash,jashkenas/underscore
2014-03-11,0.2786370025000001,6,1
2014-03-12,-0.69102302853125,5,0
2014-03-13,1.6179395814718749,7,2
2014-03-14,-0.8513512004312501,6,0
2014-03-15,-0.3581979085312499,6,0
2014-03-16,-0.237082486465625,9,0
2014-03-17,-0.15431656978125008,9,0
2014-03-18,1.87855868301875,0,0
2014-03-19,-0.6760218549984376,2,0
2014-03-20,-0.2614979607328124,2,6
2014-03-21,-0.15075343353125004,3,1
2014-03-22,-0.10749182646562504,1,2
2014-03-23,1.9405595,6,0
2014-03-24,-0.6465617250000001,1,7
2014-03-25,-0.24791454749999986,12,0
2014-03-26,-0.15075343353125004,8,6
2014-03-27,-0.10749182646562504,3,2
2014-03-28,-0.05944049999999999,4,3
2014-03-29,-0.04656172499999999,3,0
2014-03-30,-0.037914547500000007,5,0
2014-03-31,-0.03175343353125009,0,0
2014-04-01,-0.027166826465625047,4,0
2014-04-02,0.0,6,4
2014-04-03,0.0,2,0
2014-04-04,0.0,4,0
2014-04-05,0.0,2,0
2014-04-06,0.0,5,1
2014-04-07,3.0,4,7
2014-04-08,0.09999999999999987,5,0
2014-04-09,-0.6149999999999998,1,0
2014-04-10,-0.28349999999999986,3,5
2014-04-11,-0.17998749999999997,0,3
2014-04-12,-0.12932324999999997,12,0
2014-04-13,-0.09956283749999997,8,0
2014-04-14,-0.08015268375000001,4,1
2014-04-15,-0.06658742404687513,13,5
2014-04-16,-0.056626956464062614,12,0
2014-04-17,-0.013583413232812524,5,0
2014-04-18,0.0,5,5
2014-04-19,0.0,7,1
2014-04-20,0.0,6,4
2014-04-21,0.0,0,1
2014-04-22,0.0,1,0
2014-04-23,0.0,0,8
2014-04-24,0.0,3,4
2014-04-25,0.0,3,2
2014-04-26,0.0,2,0
2014-04-27,0.0,5,0
2014-04-28,0.0,13,1
2014-04-29,0.0,8,0
2014-04-30,0.0,10,0
2014-05-01,0.0,9,0
2014-05-02,0.0,6,2
2014-05-03,2.0,12,2
2014-05-04,-0.6000000000000001,25,0
2014-05-05,-0.20999999999999985,1,0
2014-05-06,3.8810000000000002,8,3
2014-05-07,0.7196749999999998,5,5
2014-05-08,-1.0794404999999998,0,0
2014-05-09,-0.49456172499999973,5,0
2014-05-10,-0.31756454749999996,0,0
2014-05-11,-0.2309594335312501,2,0
2014-05-12,-0.17973077646562502,5,0
2014-05-13,-0.12239082000000001,8,1
2014-05-14,-0.10142141456250019,0,0
2014-05-15,-0.08608708646250018,0,0
2014-05-16,0.9728331735343749,14,4
2014-05-17,1.7,0,4
2014-05-18,12.295,0,5
2014-05-19,-4.1695,8,1
2014-05-20,0.475837500000001,0,10
2014-05-21,-1.4835452499999997,11,0
2014-05-22,-0.8148338624999998,0,0
2014-05-23,-0.5708822487499998,3,0
2014-05-24,6.563232523234375,2,0
2014-05-25,-2.451221905514063,6,2
2014-05-26,-1.0151258694187502,5,0
2014-05-27,1.3690010804734374,0,0
2014-05-28,0.08710906646874983,6,0
2014-05-29,-0.7452085764656249,0,0
2014-05-30,-0.38696603749999986,8,0
2014-05-31,0.72747408375,0,0
2014-06-01,4.4892599826406245,6,0
2014-06-02,0.22363413237031216,7,0
2014-06-03,-0.24569540999999973,0,3
2014-06-04,-0.8983732072812498,4,2
2014-06-05,0.50242370676875,3,2
2014-06-06,4.3747094742671875,1,2
2014-06-07,-1.8399645862500003,1,1
2014-06-08,-0.7714450605156247,0,6
2014-06-09,3.5081750929390623,5,1
2014-06-10,-1.549160523445313,3,6
2014-06-11,3.3650743442687503,8,2
2014-06-12,-1.5869449994828124,9,3
2014-06-13,0.30868691448437524,3,8
2014-06-14,2.2501520029390623,3,0
2014-06-15,8.673309483835936,7,1
2014-06-16,-1.5692100950000003,6,4
2014-06-17,-2.0252928170624998,5,2
2014-06-18,5.914629502068751,0,3
2014-06-19,-2.7965734795625004,9,2
2014-06-20,-0.2556610141812494,0,9
