,iterate-ch/cyberduck,rclone/rclone,aws/aws-cli
2013-01-01,-0.9478181888000005,0,-0.055644780587499845
2013-01-02,-0.7077777408000001,2,-0.032654561285937404
2013-01-03,-0.5530310655999999,1,8.979337990734376
2013-01-04,-0.4334839807999999,0,3.082032834448437
2013-01-05,-0.18930862079999994,0,-0.8133988525359381
2013-01-06,-0.09430220799999997,0,-0.43650000000000033
2013-01-07,-0.025596313599999993,0,-0.2999624999999994
2013-01-08,0.0,2,-0.22770074999999923
2013-01-09,0.0,0,-0.18292511249999943
2013-01-10,0.0,2,0.8475086837500004
2013-01-11,3.0,0,-0.23048960214062472
2013-01-12,-1.1999999999999997,0,-0.15886292488593723
2013-01-13,-0.36,0,-0.06209541014374993
2013-01-14,-0.192,1,-0.020662499999999924
2013-01-15,0.8751999999999999,0,-0.016116749999999947
2013-01-16,-0.48985599999999996,0,-0.01316201249999996
2013-01-17,-0.18888960000000002,0,-0.011093696249999967
2013-01-18,0.8808883200000001,4,-0.009568313015624975
2013-01-19,-0.48706713599999996,2,-0.008398852535937478
2013-01-20,-0.18834647040000002,1,0.0
2013-01-21,-0.0869632,0,0.0
2013-01-22,-0.05997056000000004,0,0.0
2013-01-23,-0.04510771200000001,2,0.0
2013-01-24,-0.035761356800000005,0,0.0
2013-01-25,-0.018370559999999994,0,2.0
2013-01-26,-0.015155711999999993,0,3.8
2013-01-27,-0.012798156799999997,0,-0.49000000000000044
2013-01-28,0.0,0,-0.23700000000000018
2013-01-29,1.0,0,-0.15532499999999994
2013-01-30,1.6,0,-0.11488349999999958
2013-01-31,4.08,0,1.9092089750000003
2013-02-01,-2.3039999999999994,0,-0.27483544249999997
2013-02-02,-0.7696000000000001,0,-0.15351141103124988
2013-02-03,-0.4331520000000001,0,-0.1120709571343749
2013-02-04,-0.29086720000000027,0,-0.07492041014374975
2013-02-05,-0.2140569600000001,0,0.9677665000000001
2013-02-06,-0.166712832,1,-0.126324025
2013-02-07,-0.13496238079999995,0,-0.06718739249999997
2013-02-08,-0.10137487359999996,0,-0.047636626031249976
2013-02-09,-0.06399078399999998,0,-0.03746020507187488
2013-02-10,0.0,0,-0.016116749999999947
2013-02-11,0.0,0,-0.01316201249999996
2013-02-12,0.0,0,-0.011093696249999967
2013-02-13,0.0,0,-0.009568313015624975
2013-02-14,0.0,0,0.9916011474640625
2013-02-15,0.0,0,3.9
2013-02-16,0.0,0,-0.4450000000000004
2013-02-17,0.0,0,-0.20850000000000016
2013-02-18,0.0,0,0.8653375
2013-02-19,0.0,0,4.80123325
2013-02-20,0.0,0,-0.6226290125000002
2013-02-21,0.0,0,-0.31724174625
2013-02-22,0.0,0,5.782894401984375
2013-02-23,0.0,0,0.23389864540156258
2013-02-24,0.0,0,1.50265882735625
2013-02-25,0.0,0,0.50709624125
2013-02-26,0.0,0,-0.40751179426562456
2013-02-27,0.0,0,1.724396582385938
2013-02-28,0.0,0,-0.40690808767968717
2013-03-01,0.0,0,1.7773798100000002
2013-03-02,0.0,0,-0.36794434934374987
2013-03-03,0.0,0,-0.22663583323124964
2013-03-04,0.0,0,-0.12786267481718733
2013-03-05,0.0,0,-0.0940150430874997
2013-03-06,0.0,0,9.937180254964062
2013-03-07,0.0,0,-0.04546065103125074
2013-03-08,1.0,0,-0.5889850975718753
2013-03-09,-0.3999999999999999,0,5.6508633739687495
2013-03-10,-0.12,0,3.1480772949281253
2013-03-11,-0.064,0,14.14817
2013-03-12,-0.04160000000000005,0,-1.9987368750000012
2013-03-13,-0.029952000000000017,0,0.9629260250000002
2013-03-14,-0.022963200000000007,0,3.0863726735937504
2013-03-15,-0.018370559999999994,0,3.9630665866250014
2013-03-16,1.984844288,0,-1.1063603300359368
2013-03-17,-0.8127981567999998,0,-0.6795398505937492
2013-03-18,-0.24,0,1.4875446889718762
2013-03-19,-0.128,0,-0.5712236303781241
2013-03-20,-0.0832000000000001,0,-0.37140198053906176
2013-03-21,10.940096,0,-0.18632147353124967
2013-03-22,-1.4459263999999985,0,-0.15186443838437452
2013-03-23,0.44325888000000013,0,-0.11367047522187468
2013-03-24,-0.29431142399999954,0,-0.06831828767968731
2013-03-25,-1.8351963136000005,0,1.9778126075
2013-03-26,-0.8862720000000004,0,2.78086337396875
2013-03-27,-0.5952512000000003,0,-0.4067977050718753
2013-03-28,-0.4440217600000001,0,-0.19200000000000014
2013-03-29,-0.350618112,0,-0.1268249999999999
2013-03-30,-0.28728494079999994,0,-0.09422099999999967
2013-03-31,-0.12060272639999996,0,-0.07467427499999976
2013-04-01,-0.06870589439999998,0,-0.06167342999999982
2013-04-02,-0.025596313599999993,0,-0.052417714781249854
2013-04-03,16.0,0,0.9544973558812502
2013-04-04,2.6000000000000014,0,-0.1251965576078125
2013-04-05,0.4800000000000004,0,-0.04500000000000003
2013-04-06,-4.504,0,-0.028500000000000022
2013-04-07,-0.9616000000000009,0,-0.020662499999999924
2013-04-08,11.362368,0,0.9838832500000001
2013-04-09,-4.2065792,0,-0.11316201250000005
2013-04-10,8.89569024,0,4.94390630375
2013-04-11,5.540794368000001,0,3.4619316869843746
2013-04-12,-7.3901472768,0,6.345938647464062
2013-04-13,-2.9096568832000003,0,-1.0386167500000008
2013-04-14,-1.7207851008000006,0,-0.5454745124999999
2013-04-15,1.8414766079999993,0,-0.37382744624999953
2013-04-16,7.9184540672,0,-0.28448287551562407
2013-04-17,2.947307417600001,0,0.7706673662140633
2013-04-18,3.9800884224000006,0,5.715649562421875
2013-04-19,6.339753574400001,0,4.197076611507812
2013-04-20,0.9485661184000005,0,2.1009263987468745
2013-04-21,-5.9172096,0,1.2245455322484373
2013-04-22,1.3732403199999994,0,0.3824082500000001
2013-04-23,23.706353663999998,0,5.5113249875
2013-04-24,-3.5158088703999972,0,0.06536297875000008
2013-04-25,0.9742632960000002,0,0.36988419698437536
2013-04-26,-7.217338982399999,0,-0.5296592493796871
2013-04-27,-3.343024435200001,0,-0.3714315440437491
2013-04-28,-2.125780377600001,0,-0.2519116067265618
2013-04-29,19.5601581056,0,1.828821795110938
2013-04-30,-6.432864767999998,0,4.6777930419125004
2013-05-01,-2.552400691199999,0,2.319935560620312
2013-05-02,17.8487133184,0,7.34694487551875
2013-05-03,2.0428151808,0,-1.1367921655515631
2013-05-04,-8.3169754112,0,-0.5894448525359373
2013-05-05,-3.4392832,0,1.6031047250000003
2013-05-06,5.843824639999999,0,-0.5016477049999992
2013-05-07,-4.747500032,0,6.666974855218751
2013-05-08,-2.1526207488000004,0,0.03978354109999993
2013-05-09,1.7579539456000002,0,1.3842262282734379
2013-05-10,0.9028870144000001,0,0.4215234382671875
2013-05-11,-2.2502458367999996,0,1.5433476547125005
2013-05-12,-0.8892834816,0,1.5423328575000004
2013-05-13,5.53623552,0,0.5127875364687502
2013-05-14,-2.7359016959999995,0,1.5924884086781252
2013-05-15,-0.9811308544,0,0.5361623376406253
2013-05-16,9.49199872,0,6.604231814232813
2013-05-17,-1.3501788159999997,0,7.080150800182812
2013-05-18,-2.6635736064,0,-1.2758191855875005
2013-05-19,-1.1761736703999999,0,0.3247191164328125
2013-05-20,-0.7182233600000005,0,4.437893697646875
2013-05-21,1.4847457279999996,0,6.1151673269125
2013-05-22,-0.1962769407999998,0,-0.2131972623171876
2013-05-23,6.1074048,0,2.2125195081625
2013-05-24,11.7453312,0,1.1719441363546879
2013-05-25,-7.160648703999998,0,2.2627782656234383
2013-05-26,-2.3878984703999997,0,-0.7530743290374996
2013-05-27,-1.3270784000000004,0,-0.42727513176562437
2013-05-28,-0.8933683200000008,0,2.677766446135938
2013-05-29,-0.6587043840000002,0,1.4462268124609379
2013-05-30,4.4862060544,0,3.4886843554828126
2013-05-31,-1.3944465407999993,0,1.3257227784171872
2013-06-01,-1.3169227775999999,0,-0.5766017723890624
2013-06-02,-0.6319723519999999,0,-0.33917789411874977
2013-06-03,2.7279999999999998,0,-0.23656609510781196
2013-06-04,6.60864,0,-0.16539711374999946
2013-06-05,-0.7047679999999992,0,3.8642261184531255
2013-06-06,-2.4668159999999997,0,0.4849680063609375
2013-06-07,15.90905088,0,-0.357258349634375
2013-06-08,-6.493802495999999,0,-0.211732036175
2013-06-09,-2.8861037568000003,0,-0.12794770507187467
2013-06-10,10.46332672,0,7.9148705
2013-06-11,20.167478784,0,18.1312352
2013-06-12,-12.605535846399999,0,-0.31753679750000163
2013-06-13,-4.4561787904,0,-1.332366948312501
2013-06-14,17.4631428096,0,2.160036276840625
2013-06-15,-9.717041664,0,-0.8869203525359359
2013-06-16,-0.6870347776000005,0,-0.5878393499999985
2013-06-17,-3.3102880768,0,-0.45656130749999896
2013-06-18,4.148496895999999,0,-0.3756382578749989
2013-06-19,2.2613336064000005,0,-0.3195264100843742
2013-06-20,1.9631839232000008,0,-0.21820086171406192
2013-06-21,65.0387328,0,-0.050078793821874856
2013-06-22,-27.325603839999996,0,0.9712950609531251
2013-06-23,9.795613184,0,-0.1251965576078125
2013-06-24,-1.2685583359999981,0,-0.04500000000000003
2013-06-25,47.3354909696,0,-0.028500000000000022
2013-06-26,42.59117516800001,0,2.9793375
2013-06-27,-9.882311372799997,6,-0.3161167500000002
