,mlpack/mlpack,scikit-learn/scikit-learn,statsmodels/statsmodels
2018-06-22,3.6718902587890625,4,1
2018-06-23,-0.068878173828125,4,4
2018-06-24,-1.909027099609375,3,0
2018-06-25,-0.2862091064453125,1,0
2018-06-26,-4.837921142578125,5,2
2018-06-27,6.0801239013671875,2,5
2018-06-28,-1.221038818359375,8,5
2018-06-29,0.16082763671875,3,13
2018-06-30,-1.6321868896484375,1,2
2018-07-01,5.5296478271484375,1,0
2018-07-02,3.891693115234375,6,1
2018-07-03,0.8253021240234375,4,0
2018-07-04,0.4220123291015625,5,3
2018-07-05,-0.055908203125,3,2
2018-07-06,-0.5029296875,0,8
2018-07-07,3.18817138671875,0,2
2018-07-08,3.87841796875,1,0
2018-07-09,-3.399505615234375,5,3
2018-07-10,-1.796417236328125,5,0
2018-07-11,1.2906341552734375,1,0
2018-07-12,-0.2979888916015625,5,0
2018-07-13,-1.82720947265625,1,0
2018-07-14,1.3105621337890625,6,0
2018-07-15,-0.365264892578125,6,0
2018-07-16,0.0523834228515625,19,0
2018-07-17,7.1896820068359375,41,0
2018-07-18,-0.2044219970703125,9,2
2018-07-19,-0.053192138671875,9,2
2018-07-20,3.519134521484375,8,5
2018-07-21,1.1460723876953125,4,1
2018-07-22,2.3101654052734375,6,0
2018-07-23,1.7438201904296875,3,2
2018-07-24,-3.428375244140625,3,0
2018-07-25,5.95947265625,3,0
2018-07-26,-0.9966583251953125,1,1
2018-07-27,3.4423980712890625,6,2
2018-07-28,3.167449951171875,1,2
2018-07-29,-4.6300201416015625,7,0
2018-07-30,-2.3773193359375,1,1
2018-07-31,5.8534698486328125,8,1
2018-08-01,-3.1704254150390625,2,5
2018-08-02,9.22900390625,3,2
2018-08-03,-0.3208770751953125,2,3
2018-08-04,4.1898345947265625,0,2
2018-08-05,-5.179718017578125,1,0
2018-08-06,-0.5154876708984375,4,8
2018-08-07,3.818603515625,8,4
2018-08-08,-2.9759979248046875,0,5
2018-08-09,-0.86444091796875,4,15
2018-08-10,-2.356170654296875,2,4
2018-08-11,2.844818115234375,1,5
2018-08-12,-2.6955718994140625,2,5
2018-08-13,-0.959991455078125,2,14
2018-08-14,0.48040771484375,4,1
2018-08-15,0.1461334228515625,4,7
2018-08-16,0.1308441162109375,6,1
2018-08-17,-0.817535400390625,2,15
2018-08-18,0.687164306640625,10,0
2018-08-19,-0.6812744140625,4,1
2018-08-20,-0.25555419921875,3,26
2018-08-21,1.87353515625,5,6
2018-08-22,-0.088775634765625,8,5
2018-08-23,1.1825408935546875,2,27
2018-08-24,1.7054901123046875,0,26
2018-08-25,1.0823516845703125,3,9
2018-08-26,-2.106842041015625,1,21
2018-08-27,-0.7198944091796875,2,8
2018-08-28,-0.412109375,0,3
2018-08-29,0.71746826171875,4,2
2018-08-30,-0.710693359375,7,14
2018-08-31,0.7280426025390625,1,2
2018-09-01,1.32806396484375,4,10
2018-09-02,-1.2360687255859375,3,6
2018-09-03,2.6274261474609375,5,8
2018-09-04,1.3154296875,1,2
2018-09-05,-1.99658203125,8,16
2018-09-06,1.349212646484375,5,3
2018-09-07,0.6272735595703125,1,11
2018-09-08,-1.494537353515625,3,22
2018-09-09,-0.5556488037109375,3,15
2018-09-10,-0.334808349609375,0,13
2018-09-11,-0.220428466796875,1,5
2018-09-12,-0.1677093505859375,3,21
2018-09-13,0.8940277099609375,11,10
2018-09-14,1.44158935546875,4,15
2018-09-15,-1.173004150390625,0,14
2018-09-16,5.665679931640625,4,20
2018-09-17,1.8359375,4,4
2018-09-18,-1.35546875,1,3
2018-09-19,-1.0751953125,1,6
2018-09-20,1.64599609375,4,2
2018-09-21,4.845306396484375,2,6
2018-09-22,-2.3124847412109375,3,1
2018-09-23,-0.377288818359375,0,6
2018-09-24,-1.03216552734375,4,0
2018-09-25,-0.41412353515625,6,3
2018-09-26,-1.1779022216796875,10,1
2018-09-27,-0.547119140625,5,2
2018-09-28,4.6397552490234375,5,0
2018-09-29,-2.7640228271484375,2,5
2018-09-30,-0.8076324462890625,3,0
2018-10-01,-0.397125244140625,3,1
2018-10-02,-0.246337890625,7,3
2018-10-03,-0.1607208251953125,5,3
2018-10-04,-0.1134490966796875,13,2
2018-10-05,-0.08056640625,9,1
2018-10-06,-0.065460205078125,1,3
2018-10-07,-0.0545501708984375,3,0
2018-10-08,0.0,2,0
2018-10-09,9.0,4,1
2018-10-10,-4.5,5,0
2018-10-11,2.875,4,0
2018-10-12,-2.5625,0,2
2018-10-13,-0.8515625,3,1
2018-10-14,2.50390625,5,8
2018-10-15,-0.8408203125,2,0
2018-10-16,1.87060546875,2,4
2018-10-17,2.987640380859375,1,10
2018-10-18,-0.2173309326171875,2,0
2018-10-19,-0.4859619140625,2,1
2018-10-20,1.06280517578125,0,0
2018-10-21,-1.28369140625,2,0
2018-10-22,4.629180908203125,4,0
2018-10-23,-0.6693572998046875,4,0
2018-10-24,0.3233489990234375,3,1
2018-10-25,14.441360473632812,1,0
2018-10-26,-3.5117950439453125,1,0
2018-10-27,-3.7215118408203125,2,1
2018-10-28,-3.21197509765625,0,3
2018-10-29,-0.5751190185546875,4,0
2018-10-30,0.4764556884765625,3,0
2018-10-31,8.131103515625,4,0
2018-11-01,-5.8361663818359375,0,0
2018-11-02,0.1929473876953125,2,11
2018-11-03,-0.0267181396484375,1,5
2018-11-04,-1.807464599609375,1,3
2018-11-05,3.272613525390625,3,0
2018-11-06,2.546478271484375,7,0
2018-11-07,-2.3310394287109375,6,0
2018-11-08,3.376556396484375,1,0
2018-11-09,1.723907470703125,0,0
2018-11-10,-2.55059814453125,1,0
2018-11-11,-1.743316650390625,5,0
2018-11-12,5.151031494140625,6,0
2018-11-13,-0.5479736328125,4,0
2018-11-14,3.346466064453125,6,3
2018-11-15,3.9719085693359375,1,1
2018-11-16,-4.3493194580078125,1,0
2018-11-17,3.7076263427734375,1,1
2018-11-18,-3.1320953369140625,2,1
2018-11-19,0.0418243408203125,4,0
2018-11-20,1.99224853515625,4,0
2018-11-21,-0.939697265625,4,0
2018-11-22,-2.0888214111328125,9,1
2018-11-23,-0.914825439453125,2,0
2018-11-24,-0.553497314453125,3,0
2018-11-25,-0.3340911865234375,2,0
2018-11-26,-0.24749755859375,2,1
2018-11-27,-0.1425628662109375,3,5
2018-11-28,3.893585205078125,2,6
2018-11-29,-2.06982421875,0,1
2018-11-30,0.478179931640625,3,0
2018-12-01,-0.75,0,0
2018-12-02,5.71875,0,0
2018-12-03,-0.171875,3,0
2018-12-04,2.62890625,1,0
2018-12-05,-0.341796875,0,0
2018-12-06,5.3802490234375,2,0
2018-12-07,-3.02850341796875,2,0
2018-12-08,-1.600982666015625,1,0
2018-12-09,2.3269805908203125,3,0
2018-12-10,0.12603759765625,3,0
2018-12-11,-2.606201171875,1,0
2018-12-12,-0.0293426513671875,0,2
2018-12-13,1.8651580810546875,4,1
2018-12-14,1.9582366943359375,8,1
2018-12-15,-2.73114013671875,4,0
2018-12-16,-0.887451171875,1,0
2018-12-17,2.4938507080078125,2,0
2018-12-18,0.158294677734375,5,2
2018-12-19,-1.5947418212890625,9,0
2018-12-20,-0.580963134765625,4,0
2018-12-21,-0.3568267822265625,1,0
2018-12-22,2.7547454833984375,0,2
2018-12-23,0.34014892578125,3,0
2018-12-24,-1.46435546875,0,0
2018-12-25,3.490997314453125,0,0
2018-12-26,3.6988983154296875,0,0
2018-12-27,8.318023681640625,2,4
2018-12-28,-4.1162109375,3,1
2018-12-29,-2.62060546875,1,0
2018-12-30,1.959747314453125,0,0
2018-12-31,-2.0862579345703125,1,0
2019-01-01,-1.717132568359375,0,0
2019-01-02,9.1087646484375,2,0
2019-01-03,0.3768310546875,4,0
2019-01-04,9.310150146484375,0,1
